iso3c,production,reported_by_fao,year,nutrient,nearest,country_application,method,gapfilled
AUT,18718651.40663913,Yes,2005,K2O,AUT,39313.56,none,0
NIC,17610256.38688291,Yes,2005,K2O,NIC,9712,none,0
PRK,17014139.914172295,No,2005,K2O,9712,9712,nearest use,1
VEN,15907817.17073627,Yes,2005,K2O,VEN,73000,none,0
TWN,15451483.585332446,Yes,2005,K2O,TWN,113303,none,0
AZE,14907447.192262892,Yes,2005,K2O,AZE,3837,none,0
CHE,14525092.945975028,Yes,2005,K2O,CHE,23496,none,0
FIN,14055662.784255108,Yes,2005,K2O,FIN,66839.916,none,0
NZL,13942387.220853884,Yes,2005,K2O,NZL,24171.503599999996,none,0
KGZ,13692151.529250788,Yes,2005,K2O,KGZ,0,none,0
CMR,13637400.23891997,Yes,2005,K2O,CMR,18748,none,0
KHM,13595715.82186319,Yes,2005,K2O,KHM,1555.91,none,0
CIV,12955457.408819854,Yes,2005,K2O,CIV,22859,none,0
HND,12780212.949240863,Yes,2005,K2O,HND,6958.65,none,0
SAU,12683449.049103377,Yes,2005,K2O,SAU,21700,none,0
MLI,12463161.338653237,Yes,2005,K2O,MLI,16605.09,none,0
LTU,12354101.599334715,Yes,2005,K2O,LTU,37752,none,0
TUN,12035264.377723213,Yes,2005,K2O,TUN,5600,none,0
MDG,11867310.836907458,Yes,2005,K2O,MDG,4670.93,none,0
LAO,11740312.049463883,No,2005,K2O,4670.93,4670.93,nearest use,1
AGO,11316164.06115643,Yes,2005,K2O,AGO,2277,none,0
SVK,11271125.355770351,Yes,2005,K2O,SVK,14114.1,none,0
LKA,11254375.594190333,Yes,2005,K2O,LKA,62375,none,0
AFG,11103174.046912694,Yes,2005,K2O,AFG,105.6,none,0
KEN,10772148.531103551,Yes,2005,K2O,KEN,15038,none,0
NOR,10740117.096851815,Yes,2005,K2O,NOR,54473,none,0
TKM,10726360.416745638,No,2005,K2O,54473,54473,nearest use,1
SYR,10559246.660225878,Yes,2005,K2O,SYR,8807,none,0
ISR,10317064.779519146,Yes,2005,K2O,ISR,30400,none,0
DOM,10152260.896133812,Yes,2005,K2O,DOM,7504,none,0
TJK,9741323.549771942,Yes,2005,K2O,TJK,205.35,none,0
YEM,9554599.044593014,Yes,2005,K2O,YEM,87,none,0
SWZ,9477485.681020593,No,2005,K2O,87,87,nearest use,1
IRL,9129797.634830145,Yes,2005,K2O,IRL,95995.614,none,0
MWI,8903642.548293917,Yes,2005,K2O,MWI,11726,none,0
SLV,8782144.894177927,Yes,2005,K2O,SLV,1358,none,0
BOL,8670978.747869343,Yes,2005,K2O,BOL,4694,none,0
MDA,8538527.205399537,Yes,2005,K2O,MDA,400,none,0
BGR,7926581.878972925,Yes,2005,K2O,BGR,5377.086,none,0
URY,7816526.595472928,Yes,2005,K2O,URY,2554,none,0
EST,7745325.367166781,Yes,2005,K2O,EST,8326.89,none,0
IRQ,7661246.997111124,Yes,2005,K2O,IRQ,2400,none,0
HRV,7451541.9081978705,Yes,2005,K2O,HRV,47909.004,none,0
ZMB,7340673.0285031125,Yes,2005,K2O,ZMB,19885,none,0
ZWE,7083056.152574739,Yes,2005,K2O,ZWE,15849,none,0
CRI,6996794.074496098,Yes,2005,K2O,CRI,53891.38,none,0
COD,6643288.819602948,Yes,2005,K2O,COD,38,none,0
BEN,6277503.905782782,Yes,2005,K2O,BEN,409,none,0
UGA,6191792.702472046,Yes,2005,K2O,UGA,1160,none,0
ALB,6057152.999387405,Yes,2005,K2O,ALB,111.45,none,0
MOZ,5544543.034773104,Yes,2005,K2O,MOZ,298,none,0
NER,5324185.605239309,Yes,2005,K2O,NER,1061,none,0
PNG,5249871.930766702,Yes,2005,K2O,PNG,1684,none,0
ARM,5225264.465244473,Yes,2005,K2O,ARM,41,none,0
GUY,4954922.981898397,Yes,2005,K2O,GUY,1500,none,0
SEN,4899747.942125075,Yes,2005,K2O,SEN,7005,none,0
HTI,4721179.39972458,No,2005,K2O,7005,7005,nearest use,1
BIH,4210665.446934637,Yes,2005,K2O,BIH,11799.31,none,0
BFA,3923855.232149631,Yes,2005,K2O,BFA,17112,none,0
JOR,3895682.771797947,Yes,2005,K2O,JOR,2500,none,0
LBN,3502117.49785091,Yes,2005,K2O,LBN,7378.57,none,0
MUS,3487113.817627549,Yes,2005,K2O,MUS,14196,none,0
ARE,3460651.270073656,Yes,2005,K2O,ARE,7050,none,0
LBY,3425715.4297097246,Yes,2005,K2O,LBY,731.38,none,0
PAN,3267217.61708053,Yes,2005,K2O,PAN,1607,none,0
BDI,2748742.92866233,Yes,2005,K2O,BDI,36,none,0
SVN,2525702.7958724904,Yes,2005,K2O,SVN,13715.130000000001,none,0
RWA,2396067.7596552595,Yes,2005,K2O,RWA,1099,none,0
OMN,2233642.493901007,Yes,2005,K2O,OMN,7316.2,none,0
GIN,2037378.3660401627,Yes,2005,K2O,GIN,450,none,0
JAM,1927771.3420681953,Yes,2005,K2O,JAM,3756,none,0
GEO,1714112.967168633,Yes,2005,K2O,GEO,194,none,0
MKD,1678187.252377656,Yes,2005,K2O,MKD,4282,none,0
TCD,1631199.0443771405,No,2005,K2O,4282,4282,nearest use,1
XKO,1505488.8990551075,Yes,2005,K2O,XKO,2995.60385165978,none,0
LUX,1461422.4844591722,Yes,2005,K2O,LUX,2048.904,none,0
MNE,1338660.950568848,Yes,2005,K2O,MNE,727,none,0
TGO,1158866.0873362347,Yes,2005,K2O,TGO,68.04,none,0
SOM,1038368.1028475016,No,2005,K2O,1276,1276,nearest use,1
CYP,1030471.4808870537,Yes,2005,K2O,CYP,1094.808,none,0
SLE,1028081.6690776274,No,2005,K2O,1276,1276,nearest use,1
FJI,1011223.8870821148,Yes,2005,K2O,FJI,21,none,0
SUR,878341.9295825958,Yes,2005,K2O,SUR,726,none,0
COG,817013.5914447829,Yes,2005,K2O,COG,NA,none,0
MNG,708403.239158292,Yes,2005,K2O,MNG,NA,none,0
GNB,582822.1520262472,No,2005,K2O,1871,1871,nearest use,1
GAB,472134.8084433824,Yes,2005,K2O,GAB,1871,none,0
MRT,465262.4154650011,No,2005,K2O,1871,1871,nearest use,1
LBR,403184.49088207074,No,2005,K2O,0,0,nearest use,1
QAT,368794.1200319603,Yes,2005,K2O,QAT,0,none,0
TLS,345131.65923787653,No,2005,K2O,0,0,nearest use,1
KWT,329516.8733068891,Yes,2005,K2O,KWT,0,none,0
CAF,311807.46240679733,Yes,2005,K2O,CAF,0.01,none,0
BTN,211961.66956338336,Yes,2005,K2O,BTN,154,none,0
GMB,164120.41320878267,Yes,2005,K2O,GMB,750,none,0
ERI,157223.43264709655,Yes,2005,K2O,ERI,NA,none,0
XMI,147685.73278356518,Yes,2005,K2O,XMI,0,none,0
SSD,121669.49473145345,No,2005,K2O,0,0,nearest use,1
CXR,112599.20039215684,No,2005,K2O,16,16,nearest use,1
ALA,90919.16266685673,No,2005,K2O,16,13.728,nearest use,1
LSO,88594.53884182841,No,2005,K2O,16,16,nearest use,1
BLZ,83628.44249719381,Yes,2005,K2O,BLZ,16,none,0
BHR,81095.11913231015,Yes,2005,K2O,BHR,145.5,none,0
MLT,69660.46047009453,Yes,2005,K2O,MLT,136.422,none,0
"NAM",66674.56633578241,Yes,2005,K2O,"NAM",251,none,0
BRN,38542.701472287066,Yes,2005,K2O,BRN,180,none,0
TTO,36921.29870283604,Yes,2005,K2O,TTO,400,none,0
GNQ,35972.30806827545,No,2005,K2O,400,400,nearest use,1
PRI,28662.257500866424,No,2005,K2O,NA,NA,none,0
GUF,26967.58330526948,No,2005,K2O,NA,NA,none,0
BWA,24817.926067456105,Yes,2005,K2O,BWA,NA,none,0
GLP,23751.10955373943,No,2005,K2O,NA,NA,none,0
DJI,22681.95148062706,No,2005,K2O,NA,NA,none,0
GRD,21957.41449737549,No,2005,K2O,NA,NA,none,0
SGP,20506.614683747295,No,2005,K2O,NA,NA,none,0
SLB,17624.222730457783,No,2005,K2O,NA,NA,none,0
MTQ,17572.376029849052,No,2005,K2O,NA,NA,none,0
VUT,16904.80774780363,No,2005,K2O,NA,NA,none,0
BHS,16526.3634185791,Yes,2005,K2O,BHS,NA,none,0
ISL,8912.380160093307,Yes,2005,K2O,ISL,3025,none,0
NCL,7881.618533998728,Yes,2005,K2O,NCL,589,none,0
JEY,6522.582320484483,No,2005,K2O,55,55,nearest use,1
BRB,5771.393712043762,Yes,2005,K2O,BRB,55,none,0
GGY,5565.868829096662,Yes,2005,K2O,GGY,0,none,0
DMA,5268.732059001923,Yes,2005,K2O,DMA,172,none,0
LCA,3284.654992580414,Yes,2005,K2O,LCA,152.23,none,0
STP,2771.982379555702,No,2005,K2O,0,0,nearest use,1
TON,2357.369364261627,Yes,2005,K2O,TON,0,none,0
GUM,2163.8583984375,No,2005,K2O,0,0,nearest use,1
BMU,1939.9529418945312,Yes,2005,K2O,BMU,NA,none,0
PYF,1880.0881591588259,Yes,2005,K2O,PYF,236,none,0
VCT,1753.1834526062012,No,2005,K2O,236,236,nearest use,1
ATG,1300.8822555541992,Yes,2005,K2O,ATG,1,none,0
MSR,597.2594909667969,No,2005,K2O,14,14,nearest use,1
FSM,377.7010202407837,No,2005,K2O,14,14,nearest use,1
NIU,365.32257080078125,No,2005,K2O,14,14,nearest use,1
KIR,362.8517019748688,No,2005,K2O,14,14,nearest use,1
PSE,259.6483723522413,No,2005,K2O,14,14,nearest use,1
KNA,254.51612854003903,Yes,2005,K2O,KNA,14,none,0
VGB,169.47203826904297,No,2005,K2O,14,14,nearest use,1
AND,124.50000250339507,No,2005,K2O,14,14,nearest use,1
ESH,124.03519773483276,No,2005,K2O,14,14,nearest use,1
WLF,74.63145104050636,No,2005,K2O,14,14,nearest use,1
SYC,51.590001583099365,Yes,2005,K2O,SYC,14,none,0
CYM,18.799999237060547,No,2005,K2O,16,16,nearest use,1
HKG,7.1721498655297875,No,2005,K2O,16,15.52,nearest use,1
ABW,0,No,2005,K2O,16,16,nearest use,1
AIA,0,No,2005,K2O,16,16,nearest use,1
ASM,0,No,2005,K2O,16,16,nearest use,1
BES,0,No,2005,K2O,16,16,nearest use,1
BLM,0,No,2005,K2O,16,16,nearest use,1
CCK,0,No,2005,K2O,16,16,nearest use,1
COK,0,Yes,2005,K2O,COK,16,none,0
COM,0,No,2005,K2O,16,16,nearest use,1
CPV,0,No,2005,K2O,16,16,nearest use,1
CUW,0,No,2005,K2O,16,16,nearest use,1
FLK,0,No,2005,K2O,16,16,nearest use,1
FRO,0,No,2005,K2O,16,13.728,nearest use,1
GIB,0,No,2005,K2O,16,13.728,nearest use,1
GRL,0,No,2005,K2O,16,16,nearest use,1
IMN,0,No,2005,K2O,16,16,nearest use,1
IOT,0,No,2005,K2O,16,16,nearest use,1
LIE,0,No,2005,K2O,16,16,nearest use,1
MAC,0,No,2005,K2O,16,15.52,nearest use,1
MAF,0,No,2005,K2O,16,16,nearest use,1
MCO,0,No,2005,K2O,16,16,nearest use,1
MDV,0,Yes,2005,K2O,MDV,30,none,0
MHL,0,No,2005,K2O,16,16,nearest use,1
MNP,0,No,2005,K2O,16,16,nearest use,1
MYT,0,No,2005,K2O,16,16,nearest use,1
NFK,0,No,2005,K2O,16,16,nearest use,1
NRU,0,Yes,2005,K2O,NRU,NA,none,0
PCN,0,No,2005,K2O,16,16,nearest use,1
PLW,0,No,2005,K2O,16,16,nearest use,1
REU,0,No,2005,K2O,16,16,nearest use,1
SHN,0,No,2005,K2O,16,16,nearest use,1
SJM,0,No,2005,K2O,16,13.728,nearest use,1
SMR,0,No,2005,K2O,16,16,nearest use,1
SPM,0,No,2005,K2O,16,16,nearest use,1
SXM,0,No,2005,K2O,16,16,nearest use,1
TCA,0,No,2005,K2O,16,16,nearest use,1
TKL,0,No,2005,K2O,16,16,nearest use,1
TUV,0,No,2005,K2O,16,16,nearest use,1
VIR,0,No,2005,K2O,16,16,nearest use,1
WSM,0,Yes,2005,K2O,WSM,12,none,0
CHN,2267414909.013471,Yes,2006,K2O,CHN,6006603.488100001,none,0
USA,1685696968.1634908,Yes,2006,K2O,USA,4340185.33704,none,0
IND,1298334009.3600392,Yes,2006,K2O,IND,2331051,none,0
RUS,393538249.3994526,Yes,2006,K2O,RUS,227846.52,none,0
DEU,370973013.91670436,Yes,2006,K2O,DEU,379731.924,none,0
IDN,342701278.9558128,Yes,2006,K2O,IDN,607750,none,0
FRA,331406239.8252842,Yes,2006,K2O,FRA,627377.322,none,0
PAK,305394562.04671705,Yes,2006,K2O,PAK,36408,none,0
AUS,294279917.9619316,Yes,2006,K2O,AUS,150644.06174,none,0
EGY,276096501.37281895,Yes,2006,K2O,EGY,49000,none,0
BRA,265053819.25387812,Yes,2006,K2O,BRA,3611617.74108,none,0
THA,250650979.07415372,Yes,2006,K2O,THA,319314.69,none,0
MEX,244714768.83693212,Yes,2006,K2O,MEX,194306,none,0
CAN,213816256.9340958,Yes,2006,K2O,CAN,132275,none,0
ARG,200824807.52287441,Yes,2006,K2O,ARG,37339,none,0
VNM,175531253.24923196,Yes,2006,K2O,VNM,345480.92,none,0
UKR,169486497.68667194,Yes,2006,K2O,UKR,101586.8,none,0
IRN,129910329.12320079,Yes,2006,K2O,IRN,182841.327,none,0
ITA,127819881.1273082,Yes,2006,K2O,ITA,202476.84600000002,none,0
ESP,124586547.10772365,Yes,2006,K2O,ESP,333064.446,none,0
PHL,122448932.7718554,Yes,2006,K2O,PHL,117000,none,0
BGD,117668736.34127656,Yes,2006,K2O,BGD,124836,none,0
MYS,113914676.43505079,Yes,2006,K2O,MYS,911084.19,none,0
GBR,109019734.02652495,Yes,2006,K2O,GBR,278850,none,0
POL,107416258.81941463,Yes,2006,K2O,POL,431230.8,none,0
JPN,100319549.95629139,Yes,2006,K2O,JPN,329363.759,none,0
COL,79846359.37517765,Yes,2006,K2O,COL,250693.69,none,0
TUR,76049183.09535167,Yes,2006,K2O,TUR,98875,none,0
NLD,70788056.33485001,Yes,2006,K2O,NLD,35791.47,none,0
ROU,67355533.9592786,Yes,2006,K2O,ROU,14446.146,none,0
UZB,66272017.93972518,Yes,2006,K2O,UZB,29550,none,0
GTM,56733102.49160689,Yes,2006,K2O,GTM,8419,none,0
ZAF,56112834.05497494,Yes,2006,K2O,ZAF,147128.28,none,0
PER,51883022.74158923,Yes,2006,K2O,PER,51021,none,0
MMR,47367605.74191096,Yes,2006,K2O,MMR,8195,none,0
BLR,47182114.28745654,Yes,2006,K2O,BLR,556017.5,none,0
DNK,44849307.75908263,Yes,2006,K2O,DNK,81625.83,none,0
MAR,44230673.90954738,Yes,2006,K2O,MAR,62150,none,0
PRY,40807672.72664807,Yes,2006,K2O,PRY,94366,none,0
BEL,37881620.430979386,Yes,2006,K2O,BEL,74752.392,none,0
SWE,37143224.497521594,Yes,2006,K2O,SWE,31831.8,none,0
ECU,36358870.95008872,Yes,2006,K2O,ECU,94183,none,0
CHL,35358705.215926774,Yes,2006,K2O,CHL,80750,none,0
HUN,33193416.77833699,Yes,2006,K2O,HUN,78936,none,0
KOR,33154489.12534804,Yes,2006,K2O,KOR,131100,none,0
DZA,32143603.141003493,Yes,2006,K2O,DZA,23441,none,0
GRC,31918293.246788524,Yes,2006,K2O,GRC,54296.814,none,0
KAZ,29929723.955679696,Yes,2006,K2O,KAZ,200,none,0
CZE,29788124.38627481,Yes,2006,K2O,CZE,26681.226000000002,none,0
PRT,28506095.278970405,Yes,2006,K2O,PRT,27159.132,none,0
NPL,26876323.37709631,Yes,2006,K2O,NPL,NA,none,0
CUB,26294904.08919849,Yes,2006,K2O,CUB,38406.88,none,0
GHA,24756986.966226343,Yes,2006,K2O,GHA,38884,none,0
SRB,22487966.389169283,Yes,2006,K2O,SRB,58696.4861483402,none,0
NGA,22359247.217234705,Yes,2006,K2O,NGA,71890,none,0
ETH,22181941.102866244,Yes,2006,K2O,ETH,NA,none,0
LVA,20371689.546484135,Yes,2006,K2O,LVA,15701.4,none,0
SDN,19222229.623063345,Yes,2006,K2O,SDN,150,none,0
TZA,19013640.007680494,Yes,2006,K2O,TZA,1583,none,0
AUT,18718651.40663913,Yes,2006,K2O,AUT,34953.204,none,0
NIC,17610256.38688291,Yes,2006,K2O,NIC,11497,none,0
PRK,17014139.914172295,No,2006,K2O,11497,11497,nearest use,1
VEN,15907817.17073627,Yes,2006,K2O,VEN,70000,none,0
TWN,15451483.585332446,Yes,2006,K2O,TWN,120706,none,0
AZE,14907447.192262892,Yes,2006,K2O,AZE,2105,none,0
CHE,14525092.945975028,Yes,2006,K2O,CHE,22938,none,0
FIN,14055662.784255108,Yes,2006,K2O,FIN,57824.91,none,0
NZL,13942387.220853884,Yes,2006,K2O,NZL,22077.90879999999,none,0
KGZ,13692151.529250788,Yes,2006,K2O,KGZ,NA,none,0
CMR,13637400.23891997,Yes,2006,K2O,CMR,17112,none,0
KHM,13595715.82186319,Yes,2006,K2O,KHM,762.75,none,0
CIV,12955457.408819854,Yes,2006,K2O,CIV,30489,none,0
HND,12780212.949240863,Yes,2006,K2O,HND,15891.9,none,0
SAU,12683449.049103377,Yes,2006,K2O,SAU,23000,none,0
MLI,12463161.338653237,Yes,2006,K2O,MLI,19733.67,none,0
LTU,12354101.599334715,Yes,2006,K2O,LTU,48048,none,0
TUN,12035264.377723213,Yes,2006,K2O,TUN,5600,none,0
MDG,11867310.836907458,Yes,2006,K2O,MDG,1690.01,none,0
LAO,11740312.049463883,No,2006,K2O,1690.01,1690.01,nearest use,1
AGO,11316164.06115643,Yes,2006,K2O,AGO,4059,none,0
SVK,11271125.355770351,Yes,2006,K2O,SVK,15002.130000000001,none,0
LKA,11254375.594190333,Yes,2006,K2O,LKA,79720,none,0
AFG,11103174.046912694,Yes,2006,K2O,AFG,0,none,0
KEN,10772148.531103551,Yes,2006,K2O,KEN,13140,none,0
NOR,10740117.096851815,Yes,2006,K2O,NOR,54303,none,0
TKM,10726360.416745638,No,2006,K2O,54303,54303,nearest use,1
SYR,10559246.660225878,Yes,2006,K2O,SYR,9555,none,0
ISR,10317064.779519146,Yes,2006,K2O,ISR,32700,none,0
DOM,10152260.896133812,Yes,2006,K2O,DOM,11370,none,0
TJK,9741323.549771942,Yes,2006,K2O,TJK,1656.37,none,0
YEM,9554599.044593014,Yes,2006,K2O,YEM,2536,none,0
SWZ,9477485.681020593,No,2006,K2O,2536,2536,nearest use,1
IRL,9129797.634830145,Yes,2006,K2O,IRL,87579.492,none,0
MWI,8903642.548293917,Yes,2006,K2O,MWI,14546,none,0
SLV,8782144.894177927,Yes,2006,K2O,SLV,456,none,0
BOL,8670978.747869343,Yes,2006,K2O,BOL,2675,none,0
MDA,8538527.205399537,Yes,2006,K2O,MDA,717,none,0
BGR,7926581.878972925,Yes,2006,K2O,BGR,7095.66,none,0
URY,7816526.595472928,Yes,2006,K2O,URY,2005,none,0
EST,7745325.367166781,Yes,2006,K2O,EST,9943.362000000001,none,0
IRQ,7661246.997111124,Yes,2006,K2O,IRQ,1400,none,0
HRV,7451541.9081978705,Yes,2006,K2O,HRV,53436.240000000005,none,0
ZMB,7340673.0285031125,Yes,2006,K2O,ZMB,19587,none,0
ZWE,7083056.152574739,Yes,2006,K2O,ZWE,26817,none,0
CRI,6996794.074496098,Yes,2006,K2O,CRI,81767.73,none,0
COD,6643288.819602948,Yes,2006,K2O,COD,1176,none,0
BEN,6277503.905782782,Yes,2006,K2O,BEN,11,none,0
UGA,6191792.702472046,Yes,2006,K2O,UGA,1091,none,0
ALB,6057152.999387405,Yes,2006,K2O,ALB,142.05,none,0
MOZ,5544543.034773104,Yes,2006,K2O,MOZ,2748,none,0
NER,5324185.605239309,Yes,2006,K2O,NER,1293,none,0
PNG,5249871.930766702,Yes,2006,K2O,PNG,1306,none,0
ARM,5225264.465244473,Yes,2006,K2O,ARM,0.5,none,0
GUY,4954922.981898397,Yes,2006,K2O,GUY,3863,none,0
SEN,4899747.942125075,Yes,2006,K2O,SEN,1637,none,0
HTI,4721179.39972458,No,2006,K2O,1637,1637,nearest use,1
BIH,4210665.446934637,Yes,2006,K2O,BIH,10247.45,none,0
BFA,3923855.232149631,Yes,2006,K2O,BFA,15000,none,0
JOR,3895682.771797947,Yes,2006,K2O,JOR,2500,none,0
LBN,3502117.49785091,Yes,2006,K2O,LBN,5984.81,none,0
MUS,3487113.817627549,Yes,2006,K2O,MUS,9397,none,0
ARE,3460651.270073656,Yes,2006,K2O,ARE,7050,none,0
LBY,3425715.4297097246,Yes,2006,K2O,LBY,547.83,none,0
PAN,3267217.61708053,Yes,2006,K2O,PAN,1647,none,0
BDI,2748742.92866233,Yes,2006,K2O,BDI,882,none,0
SVN,2525702.7958724904,Yes,2006,K2O,SVN,12340.614,none,0
RWA,2396067.7596552595,Yes,2006,K2O,RWA,1769,none,0
OMN,2233642.493901007,Yes,2006,K2O,OMN,10935.18,none,0
GIN,2037378.3660401627,Yes,2006,K2O,GIN,428,none,0
JAM,1927771.3420681953,Yes,2006,K2O,JAM,1459,none,0
GEO,1714112.967168633,Yes,2006,K2O,GEO,128,none,0
MKD,1678187.252377656,Yes,2006,K2O,MKD,3701,none,0
TCD,1631199.0443771405,No,2006,K2O,3701,3701,nearest use,1
XKO,1505488.8990551075,Yes,2006,K2O,XKO,2995.60385165978,none,0
LUX,1461422.4844591722,Yes,2006,K2O,LUX,1609.608,none,0
MNE,1338660.950568848,Yes,2006,K2O,MNE,727,none,0
TGO,1158866.0873362347,Yes,2006,K2O,TGO,33.17,none,0
SOM,1038368.1028475016,No,2006,K2O,1174,1174,nearest use,1
CYP,1030471.4808870537,Yes,2006,K2O,CYP,1007.292,none,0
SLE,1028081.6690776274,No,2006,K2O,1174,1174,nearest use,1
FJI,1011223.8870821148,Yes,2006,K2O,FJI,23,none,0
SUR,878341.9295825958,Yes,2006,K2O,SUR,889,none,0
COG,817013.5914447829,Yes,2006,K2O,COG,NA,none,0
MNG,708403.239158292,Yes,2006,K2O,MNG,2,none,0
GNB,582822.1520262472,No,2006,K2O,1651,1651,nearest use,1
GAB,472134.8084433824,Yes,2006,K2O,GAB,1651,none,0
MRT,465262.4154650011,No,2006,K2O,1651,1651,nearest use,1
LBR,403184.49088207074,No,2006,K2O,NA,NA,none,0
QAT,368794.1200319603,Yes,2006,K2O,QAT,NA,none,0
TLS,345131.65923787653,No,2006,K2O,1489.07,1489.07,nearest use,1
KWT,329516.8733068891,Yes,2006,K2O,KWT,1489.07,none,0
CAF,311807.46240679733,Yes,2006,K2O,CAF,30.01,none,0
BTN,211961.66956338336,Yes,2006,K2O,BTN,133,none,0
GMB,164120.41320878267,Yes,2006,K2O,GMB,750,none,0
ERI,157223.43264709655,Yes,2006,K2O,ERI,2,none,0
XMI,147685.73278356518,Yes,2006,K2O,XMI,0,none,0
SSD,121669.49473145345,No,2006,K2O,0,0,nearest use,1
CXR,112599.20039215684,No,2006,K2O,28,28,nearest use,1
ALA,90919.16266685673,No,2006,K2O,28,24.024,nearest use,1
LSO,88594.53884182841,No,2006,K2O,28,28,nearest use,1
BLZ,83628.44249719381,Yes,2006,K2O,BLZ,28,none,0
BHR,81095.11913231015,Yes,2006,K2O,BHR,145.5,none,0
MLT,69660.46047009453,Yes,2006,K2O,MLT,120.12,none,0
"NAM",66674.56633578241,Yes,2006,K2O,"NAM",206,none,0
BRN,38542.701472287066,Yes,2006,K2O,BRN,0,none,0
TTO,36921.29870283604,Yes,2006,K2O,TTO,300,none,0
GNQ,35972.30806827545,No,2006,K2O,300,300,nearest use,1
PRI,28662.257500866424,No,2006,K2O,NA,NA,none,0
GUF,26967.58330526948,No,2006,K2O,NA,NA,none,0
