"forage_fish","TaxonKey","CommonName","stock","inSAUP"
"Brama australis",654793,"Southern rays bream","Brama australis Southern rays bream","yes"
"Bregmaceros mcclellandi",608421,"Unicorn cod","Bregmaceros mcclellandi Unicorn cod","yes"
"Brevoortia patronus",601589,"Gulf menhaden","Brevoortia patronus Gulf menhaden","yes"
"Brevoortia tyrannus",601592,"Atlantic menhaden","Brevoortia tyrannus Atlantic menhaden","yes"
"Caesionidae",400459,"Fusiliers","Caesionidae Fusiliers","yes"
"Caproidae",400252,"Boarfishes","Caproidae Boarfishes","yes"
"Capros aper",600054,"Boarfish","Capros aper Boarfish","yes"
"Caranx rhonchus",601899,"False scad","Caranx rhonchus False scad","yes"
"Centriscops humerosus",614242,"Banded yellowfish","Centriscops humerosus Banded yellowfish","yes"
"Centrolabrus exoletus",NA,NA,NA,NA
"Cephalopholis boenak",606444,"Chocolate hind","Cephalopholis boenak Chocolate hind","yes"
"Cephalopholis fulva",608816,"Coney","Cephalopholis fulva Coney","yes"
"Cephalopholis hemistiktos",606447,"Yellowfin hind","Cephalopholis hemistiktos Yellowfin hind","yes"
"Cephalopholis miniata",606450,"Coral hind","Cephalopholis miniata Coral hind","yes"
"Cetengraulis mysticetus",600548,"Pacific anchoveta","Cetengraulis mysticetus Pacific anchoveta","yes"
"Champsocephalus esox",605133,"Pike icefish","Champsocephalus esox Pike icefish","yes"
"Channichthys rhinoceratus",600477,"Unicorn icefish","Channichthys rhinoceratus Unicorn icefish","yes"
"Cheilodactylus variegatus",600461,"Peruvian morwong","Cheilodactylus variegatus Peruvian morwong","yes"
"Chirocentrus nudus",601452,"Whitefin wolf-herring","Chirocentrus nudus Whitefin wolf-herring","yes"
"Chlorophthalmidae",400163,"Greeneyes","Chlorophthalmidae Greeneyes","yes"
"Chloroscombrus orqueta",601937,"Pacific bumper","Chloroscombrus orqueta Pacific bumper","yes"
"Citharichthys sordidus",604215,"Pacific sanddab","Citharichthys sordidus Pacific sanddab","yes"
"Citharidae",NA,NA,NA,NA
"Clupanodon thrissa",601608,"Chinese gizzard shad","Clupanodon thrissa Chinese gizzard shad","yes"
"Clupea harengus",600024,"Atlantic herring","Clupea harengus Atlantic herring","yes"
"Clupea pallasii pallasii",601520,"Pacific herring","Clupea pallasii pallasii Pacific herring","yes"
"Clupeoids",100035,"Herrings sardines anchovies","Clupeoids Herrings sardines anchovies","yes"
"Clupeonella cultriventris",601470,"Black and Caspian Sea sprat","Clupeonella cultriventris Black and Caspian Sea sprat","yes"
"Coelorinchus chilensis",608445,"Chilean grenadier","Coelorinchus chilensis Chilean grenadier","yes"
"Cololabis saira",600303,"Pacific saury","Cololabis saira Pacific saury","yes"
"Conodon nobilis",600401,"Barred grunt","Conodon nobilis Barred grunt","yes"
"Coregonus albula",600231,"Vendace","Coregonus albula Vendace","yes"
"Cottidae",400277,"Sculpins","Cottidae Sculpins","yes"
"Crenidens crenidens",607931,"Karanteen seabream","Crenidens crenidens Karanteen seabream","yes"
"Ctenolabrus rupestris",600061,"Goldsinny-wrasse","Ctenolabrus rupestris Goldsinny-wrasse","yes"
"Cynoglossidae",400442,"Tonguefishes","Cynoglossidae Tonguefishes","yes"
"Cynoscion jamaicensis",601171,"Jamaica weakfish","Cynoscion jamaicensis Jamaica weakfish","yes"
"Cyttus novaezealandiae",614575,"New Zealand dory","Cyttus novaezealandiae New Zealand dory","yes"
"Decapterus macrosoma",601938,"Shortfin scad","Decapterus macrosoma Shortfin scad","yes"
"Decapterus maruadsi",601939,"Japanese scad","Decapterus maruadsi Japanese scad","yes"
"Decapterus russelli",600374,"Indian scad","Decapterus russelli Indian scad","yes"
"Decapterus",502102,"Scads","Decapterus Scads","yes"
"Dentex angolensis",600440,"Angolan dentex","Dentex angolensis Angolan dentex","yes"
"Diapterus auratus",603563,"Irish mojarra","Diapterus auratus Irish mojarra","yes"
"Dicologlossa cuneata",600526,"Wedge sole","Dicologlossa cuneata Wedge sole","yes"
"Diplodus annularis",601752,"Annular seabream","Diplodus annularis Annular seabream","yes"
"Diplodus argenteus argenteus",603574,"South American silver porgy","Diplodus argenteus argenteus South American silver porgy","yes"
"Drepane africana",600455,"African sicklefish","Drepane africana African sicklefish","yes"
"Dussumieria acuta",601453,"Rainbow sardine","Dussumieria acuta Rainbow sardine","yes"
"Electrona carlsbergi",606985,"Electron subantarctic","Electrona carlsbergi Electron subantarctic","yes"
"Encrasicholina punctifer",600558,"Buccaneer anchovy","Encrasicholina punctifer Buccaneer anchovy","yes"
"Engraulidae",400454,"Anchovies, round herrings","Engraulidae Anchovies, round herrings","yes"
"Engraulis anchoita",601659,"Argentine anchovy","Engraulis anchoita Argentine anchovy","yes"
"Engraulis encrasicolus",600066,"European anchovy","Engraulis encrasicolus European anchovy","yes"
"Engraulis japonicus",601663,"Japanese anchovy","Engraulis japonicus Japanese anchovy","yes"
"Engraulis mordax",601664,"Californian anchovy","Engraulis mordax Californian anchovy","yes"
"Engraulis ringens",600004,"Anchoveta","Engraulis ringens Anchoveta","yes"
"Epinephelus merra",604923,"Honeycomb grouper","Epinephelus merra Honeycomb grouper","yes"
"Ethmalosa fimbriata",601594,"Bonga shad","Ethmalosa fimbriata Bonga shad","yes"
"Ethmidium maculatum",601593,"Pacific menhaden","Ethmidium maculatum Pacific menhaden","yes"
"Etmopterus spinax",600687,"Velvet belly","Etmopterus spinax Velvet belly","yes"
"Etrumeus sadina",601455,"Red-eye round herring","Etrumeus sadina Red-eye round herring","yes"
"Etrumeus whiteheadi",601456,"Whitehead's round herring","Etrumeus whiteheadi Whitehead's round herring","yes"
"Eucinostomus melanopterus",601052,"Flagfin mojarra","Eucinostomus melanopterus Flagfin mojarra","yes"
"Eutrigla gurnardus",600068,"Grey gurnard","Eutrigla gurnardus Grey gurnard","yes"
"Exocoetidae",400206,"Flyingfishes","Exocoetidae Flyingfishes","yes"
"Gadiculus argenteus thori",600025,"Silvery pout","Gadiculus argenteus thori Silvery pout","yes"
"Gasterosteus aculeatus",602420,"Three-spined stickleback","Gasterosteus aculeatus Three-spined stickleback","yes"
"Gerreidae",400326,"Mojarras, silverbellies","Gerreidae Mojarras, silverbellies","yes"
"Gerres nigri",609907,"Guinean striped mojarra","Gerres nigri Guinean striped mojarra","yes"
"Gerres oblongus",605801,"Slender silver-biddy","Gerres oblongus Slender silver-biddy","yes"
"Gerres oyena",605996,"Common silver-biddy","Gerres oyena Common silver-biddy","yes"
"Gobiidae",400405,"Gobies","Gobiidae Gobies","yes"
"Grammoplites suppositus",628128,"Spotfin flathead","Grammoplites suppositus Spotfin flathead","yes"
"Gymnocephalus cernua",604474,"Ruffe","Gymnocephalus cernua Ruffe","yes"
"Harengula thrissina",601481,"Pacific flatiron herring","Harengula thrissina Pacific flatiron herring","yes"
"Harpadon nehereus",600260,"Bombay-duck","Harpadon nehereus Bombay-duck","yes"
"Hemiramphus balao",NA,NA,NA,NA
"Hemiramphus brasiliensis",601059,"Ballyhoo halfbeak","Hemiramphus brasiliensis Ballyhoo halfbeak","yes"
"Holocentridae",400243,"Squirrel-, soldierfishes","Holocentridae Squirrel-, soldierfishes","yes"
"Hypoptychus dybowskii",600488,"Korean sandlance","Hypoptychus dybowskii Korean sandlance","yes"
"Ilisha africana",601625,"West African ilisha","Ilisha africana West African ilisha","yes"
"Ilisha elongata",601627,"Elongate ilisha","Ilisha elongata Elongate ilisha","yes"
"Isacia conceptionis",600397,"Cabinza grunt","Isacia conceptionis Cabinza grunt","yes"
"Isopisthus parvipinnis",601179,"Bigtooth corvina","Isopisthus parvipinnis Bigtooth corvina","yes"
"Konosirus punctatus",601609,"Dotted gizzard shad","Konosirus punctatus Dotted gizzard shad","yes"
"Labridae",400362,"Wrasses, gropers, tuskfishes","Labridae Wrasses, gropers, tuskfishes","yes"
"Lactarius lactarius",600363,"False trevally","Lactarius lactarius False trevally","yes"
"Lampanyctodes hectoris",600259,"Hector's lanternfish","Lampanyctodes hectoris Hector's lanternfish","yes"
"Larimichthys polyactis",600416,"Yellow croaker","Larimichthys polyactis Yellow croaker","yes"
"Larimus breviceps",601180,"Shorthead drum","Larimus breviceps Shorthead drum","yes"
"Leiognathidae",400318,"Slipmouths, ponyfishes","Leiognathidae Slipmouths, ponyfishes","yes"
"Lepidoperca pulchella",614354,"Orange perch","Lepidoperca pulchella Orange perch","yes"
"Lepidorhombus boscii",600027,"Four-spot megrim","Lepidorhombus boscii Four-spot megrim","yes"
"Lepidotrigla brachyoptera",628232,"Scaly gurnard","Lepidotrigla brachyoptera Scaly gurnard","yes"
"Lethrinus borbonicus",601844,"Snubnose emperor","Lethrinus borbonicus Snubnose emperor","yes"
"Lile stolifera",601529,"Pacific piquitinga","Lile stolifera Pacific piquitinga","yes"
"Limanda limanda",600695,"Common dab","Limanda limanda Common dab","yes"
"Liza klunzingeri",646376,"Klunzinger's mullet","Liza klunzingeri Klunzinger's mullet","yes"
"Liza saliens",601736,"Leaping mullet","Liza saliens Leaping mullet","yes"
"Lutjanus quinquelineatus",600172,"Five-lined snapper","Lutjanus quinquelineatus Five-lined snapper","yes"
"Lutjanus vitta",600184,"Brownstripe red snapper","Lutjanus vitta Brownstripe red snapper","yes"
"Macrodon ancylodon",600417,"King weakfish","Macrodon ancylodon King weakfish","yes"
"Macroramphosus scolopax",600333,"Longspine snipefish","Macroramphosus scolopax Longspine snipefish","yes"
"Mallotus villosus",600252,"Capelin","Mallotus villosus Capelin","yes"
"Maurolicus muelleri",600754,"Silvery lightfish","Maurolicus muelleri Silvery lightfish","yes"
"Mene maculata",600390,"Moonfish","Mene maculata Moonfish","yes"
"Menidia menidia",600339,"Atlantic silverside","Menidia menidia Atlantic silverside","yes"
"Merluccius productus",600326,"North Pacific hake","Merluccius productus North Pacific hake","yes"
"Micromesistius australis",600320,"Southern blue whiting","Micromesistius australis Southern blue whiting","yes"
"Micromesistius poutassou",600031,"Blue whiting","Micromesistius poutassou Blue whiting","yes"
"Monacanthidae",400517,"Filefishes","Monacanthidae Filefishes","yes"
"Moridae",400180,"Codlings, moras","Moridae Codlings, moras","yes"
"Mugil curema",601086,"White mullet","Mugil curema White mullet","yes"
"Mugil incilis",601089,"Parassi mullet","Mugil incilis Parassi mullet","yes"
"Mullidae",400332,"Goatfishes","Mullidae Goatfishes","yes"
"Mulloidichthys flavolineatus",605983,"Yellowstripe goatfish","Mulloidichthys flavolineatus Yellowstripe goatfish","yes"
"Mullus argentinae",614063,"Argentine goatfish","Mullus argentinae Argentine goatfish","yes"
"Mullus barbatus barbatus",600790,"Red mullet","Mullus barbatus barbatus Red mullet","yes"
"Mullus surmuletus",601327,"Surmullet","Mullus surmuletus Surmullet","yes"
"Myctophidae",400167,"Lanternfishes","Myctophidae Lanternfishes","yes"
"Nematalosa nasus",601616,"Bloch's gizzard shad","Nematalosa nasus Bloch's gizzard shad","yes"
"Nemipteridae",400324,"Threadfins, whiptail breams","Nemipteridae Threadfins, whiptail breams","yes"
"Nemipterus japonicus",604559,"Japanese threadfin bream","Nemipterus japonicus Japanese threadfin bream","yes"
"Nemipterus randalli",605852,"Randall's threadfin bream","Nemipterus randalli Randall's threadfin bream","yes"
"Nemipterus virgatus",600396,"Golden threadfin bream","Nemipterus virgatus Golden threadfin bream","yes"
"Normanichthys crockeri",604313,"Mote sculpin","Normanichthys crockeri Mote sculpin","yes"
"Oblada melanura",600850,"Saddled seabream","Oblada melanura Saddled seabream","yes"
"Oligoplites refulgens",601946,"Shortjaw leatherjacket","Oligoplites refulgens Shortjaw leatherjacket","yes"
"Opisthonema libertate",601484,"Pacific thread herring","Opisthonema libertate Pacific thread herring","yes"
"Opisthonema oglinum",601486,"Atlantic thread herring","Opisthonema oglinum Atlantic thread herring","yes"
"Ostraciidae",400446,"Box-, cow-, trunkfishes","Ostraciidae Box-, cow-, trunkfishes","yes"
"Pagellus acarne",600889,"Axillary seabream","Pagellus acarne Axillary seabream","yes"
"Pagellus bellottii",600436,"Red pandora","Pagellus bellottii Red pandora","yes"
"Patagonotothen brevicauda brevicauda",607052,"Patagonian rockcod","Patagonotothen brevicauda brevicauda Patagonian rockcod","yes"
"Patagonotothen ramsayi",610308,"Longtail southern cod","Patagonotothen ramsayi Longtail southern cod","yes"
"Pelates quadrilineatus",607945,"Fourlined terapon","Pelates quadrilineatus Fourlined terapon","yes"
"Pellona ditchela",601641,"Indian pellona","Pellona ditchela Indian pellona","yes"
"Pennahia anea",613664,"Bigeye croaker","Pennahia anea Bigeye croaker","yes"
"Pennahia argentata",600434,"Silver croaker","Pennahia argentata Silver croaker","yes"
"Pentanemus quinquarius",600342,"Royal threadfin","Pentanemus quinquarius Royal threadfin","yes"
"Peprilus paru",628143,"American harvestfish","Peprilus paru American harvestfish","yes"
"Peprilus triacanthus",600492,"Atlantic butterfish","Peprilus triacanthus Atlantic butterfish","yes"
"Percarina demidoffi",NA,NA,NA,NA
"Petromyzontidae",400001,"Lampreys","Petromyzontidae Lampreys","yes"
"Platycephalidae",400273,"Flatheads","Platycephalidae Flatheads","yes"
"Pomacanthidae",400460,"Angelfishes","Pomacanthidae Angelfishes","yes"
"Pomadasys stridens",607708,"Striped piggy","Pomadasys stridens Striped piggy","yes"
"Priacanthus macracanthus",600356,"Red bigeye","Priacanthus macracanthus Red bigeye","yes"
"Psenopsis anomala",600497,"Pacific rudderfish","Psenopsis anomala Pacific rudderfish","yes"
"Pseudopentaceros wheeleri",612361,"Slender armorhead","Pseudopentaceros wheeleri Slender armorhead","yes"
"Pseudotolithus elongatus",600433,"Bobo croaker","Pseudotolithus elongatus Bobo croaker","yes"
"Pterygotrigla picta",614327,"Spotted gurnard","Pterygotrigla picta Spotted gurnard","yes"
"Rastrelliger brachysoma",600109,"Short mackerel","Rastrelliger brachysoma Short mackerel","yes"
"Rastrelliger kanagurta",600111,"Indian mackerel","Rastrelliger kanagurta Indian mackerel","yes"
"Rhabdosargus haffara",608166,"Haffara seabream","Rhabdosargus haffara Haffara seabream","yes"
"Rioraja agassizii",650857,"Rio skate","Rioraja agassizii Rio skate","yes"
"Sardina pilchardus",601350,"European pilchard","Sardina pilchardus European pilchard","yes"
"Sardinella aurita",601043,"Round sardinella","Sardinella aurita Round sardinella","yes"
"Sardinella gibbosa",601508,"Goldstripe sardinella","Sardinella gibbosa Goldstripe sardinella","yes"
"Sardinella lemuru",601510,"Bali sardinella","Sardinella lemuru Bali sardinella","yes"
"Sardinella longiceps",601511,"Indian oil sardine","Sardinella longiceps Indian oil sardine","yes"
"Sardinella maderensis",601047,"Madeiran sardinella","Sardinella maderensis Madeiran sardinella","yes"
"Sardinella",501940,"Sardinellas","Sardinella Sardinellas","yes"
"Sardinella zunasi",601519,"Japanese sardinella","Sardinella zunasi Japanese sardinella","yes"
"Sardinops caeruleus",NA,NA,NA,NA
"Sardinops melanostictus",NA,NA,NA,NA
"Sardinops ocellatus",NA,NA,NA,NA
"Sardinops sagax",601477,"South American pilchard","Sardinops sagax South American pilchard","yes"
"Scomberoides tol",601953,"Needlescaled queenfish","Scomberoides tol Needlescaled queenfish","yes"
"Scorpaenidae",400264,"Scorpionfishes, rockfishes","Scorpaenidae Scorpionfishes, rockfishes","yes"
"Sebastes viviparus",601352,"Norway redfish","Sebastes viviparus Norway redfish","yes"
"Selar crumenophthalmus",600387,"Bigeye scad","Selar crumenophthalmus Bigeye scad","yes"
"Selaroides leptolepis",600388,"Yellowstripe scad","Selaroides leptolepis Yellowstripe scad","yes"
"Selene peruviana",601958,"Peruvian moonfish","Selene peruviana Peruvian moonfish","yes"
"Serranus cabrilla",601353,"Comber","Serranus cabrilla Comber","yes"
"Sillaginidae",400307,"Smelt-whitings","Sillaginidae Smelt-whitings","yes"
"Sillago sihama",604544,"Silver sillago","Sillago sihama Silver sillago","yes"
"Soleidae",400441,"Soles","Soleidae Soles","yes"
"Spicara maena",604887,"Blotched picarel","Spicara maena Blotched picarel","yes"
"Spicara smaris",601766,"Picarel","Spicara smaris Picarel","yes"
"Sprattus fuegensis",601466,"Falkland sprat","Sprattus fuegensis Falkland sprat","yes"
"Sprattus sprattus",601357,"European sprat","Sprattus sprattus European sprat","yes"
"Stephanolepis cirrhifer",600531,"Threadsail filefish","Stephanolepis cirrhifer Threadsail filefish","yes"
"Strangomera bentincki",601530,"Araucanian herring","Strangomera bentincki Araucanian herring","yes"
"Stromateidae",400425,"Butterfishes","Stromateidae Butterfishes","yes"
"Stromateus brasiliensis",612930,"Southwest Atlantic butterfish","Stromateus brasiliensis Southwest Atlantic butterfish","yes"
"Symphodus melops",600059,"Corkwing wrasse","Symphodus melops Corkwing wrasse","yes"
"Synagrops japonicus",600357,"Blackmouth splitfin","Synagrops japonicus Blackmouth splitfin","yes"
"Synodontidae",400160,"Lizardfishes, sauries","Synodontidae Lizardfishes, sauries","yes"
"Tautogolabrus adspersus",603672,"Cunner","Tautogolabrus adspersus Cunner","yes"
"Tenualosa ilisha",601596,"Hilsa shad","Tenualosa ilisha Hilsa shad","yes"
"Tetraodontidae",400448,"Puffers, tobies","Tetraodontidae Puffers, tobies","yes"
"Trachichthyidae",400236,"Slimeheads","Trachichthyidae Slimeheads","yes"
"Trachinidae",400377,"Weeverfishes","Trachinidae Weeverfishes","yes"
"Trachurus japonicus",600366,"Japanese jack mackerel","Trachurus japonicus Japanese jack mackerel","yes"
"Trachurus lathami",600369,"Rough scad","Trachurus lathami Rough scad","yes"
"Trachurus murphyi",600367,"Chilean jack mackerel","Trachurus murphyi Chilean jack mackerel","yes"
"Trachurus",500661,"Jacks, horse mackerels","Trachurus Jacks, horse mackerels","yes"
"Trachurus trachurus",601365,"Atlantic horse mackerel","Trachurus trachurus Atlantic horse mackerel","yes"
"Triglidae",400266,"Searobins, gurnards","Triglidae Searobins, gurnards","yes"
"Tripterophycis gilchristi",602023,"Grenadier cod","Tripterophycis gilchristi Grenadier cod","yes"
"Trisopterus esmarkii",601023,"Norway pout","Trisopterus esmarkii Norway pout","yes"
"Trisopterus luscus",601367,"Pouting","Trisopterus luscus Pouting","yes"
"Trisopterus minutus",600481,"Poor cod","Trisopterus minutus Poor cod","yes"
"Umbrina canosai",600413,"Argentine croaker","Umbrina canosai Argentine croaker","yes"
"Uranoscopus scaber",601779,"Stargazer","Uranoscopus scaber Stargazer","yes"
"Urophycis brasiliensis",600311,"Brazilian codling","Urophycis brasiliensis Brazilian codling","yes"
"Xyrichtys novacula",604581,"Pearly razorfish","Xyrichtys novacula Pearly razorfish","yes"
"Zoarces viviparus",600479,"Eelpout","Zoarces viviparus Eelpout","yes"
