rgn_id,trend_lm,year,ico_trend
34,-0.002196969696969797,2004,-0.01098
35,-0.002196969696969797,2004,-0.01098
36,-0.002196969696969797,2004,-0.01098
37,-0.0035350303030303428,2004,-0.01768
38,-0.002181818181818212,2004,-0.01091
39,-0.001454181818181821,2004,-0.00727
40,-0.003030545454545475,2004,-0.01515
41,-0.0025397575757575837,2004,-0.0127
42,-0.003381757575757573,2004,-0.01691
43,-0.0023576969696969454,2004,-0.01179
44,-0.001515272727272727,2004,-0.00758
45,-0.003837696969696947,2004,-0.01919
46,-0.0013636363636363787,2004,-0.00682
47,-0.003529090909090885,2004,-0.01765
48,-0.0030681818181818215,2004,-0.01534
49,-0.001983818181818225,2004,-0.00992
50,-0.004675636363636341,2004,-0.02338
51,-0.005454545454545454,2004,-0.02727
52,-0.007939393939393875,2004,-0.0397
53,-0.0021212727272726787,2004,-0.01061
54,-0.004090909090909094,2004,-0.02045
56,-0.0019483636363636326,2004,-0.00974
59,0.0021556363636363327,2004,0.01078
60,0.0010719393939393421,2004,0.00536
61,3.856363636363434e-4,2004,0.00193
62,-3.512121212121519e-4,2004,-0.00176
63,0.0012935757575757386,2004,0.00647
64,-0.0014484242424242246,2004,-0.00724
65,-7.227272727272688e-4,2004,-0.00361
66,-0.001168121212121254,2004,-0.00584
67,3.5284848484846065e-4,2004,0.00176
68,0.0012926060606060503,2004,0.00646
69,-0.0035498787878787963,2004,-0.01775
70,-0.003821696969696987,2004,-0.01911
71,7.353600283273464e-17,2004,0
72,7.353600283273464e-17,2004,0
73,-0.0036638181818181904,2004,-0.01832
74,-0.03272727272727235,2004,-0.16364
75,7.353600283273464e-17,2004,0
76,-0.003966545454545458,2004,-0.01983
77,-0.0073484848484848255,2004,-0.03674
78,-0.005878787878787818,2004,-0.02939
79,-0.004646606060606012,2004,-0.02323
80,2.6515151515153665e-4,2004,0.00133
81,-0.005344363636363603,2004,-0.02672
82,-0.0015846060606060407,2004,-0.00792
84,0.00193939393939392,2004,0.0097
85,-0.0030801212121211803,2004,-0.0154
86,-0.0030801212121211803,2004,-0.0154
88,-0.0030801212121211803,2004,-0.0154
89,-0.00436363636363645,2004,-0.02182
91,-0.002196969696969797,2004,-0.01098
92,-0.002196969696969797,2004,-0.01098
93,-0.002196969696969797,2004,-0.01098
94,0.00646496969696954,2004,0.03232
95,0.0012120606060605278,2004,0.00606
96,-0.001036545454545473,2004,-0.00518
97,-8.409090909091036e-4,2004,-0.0042
98,-9.181818181818023e-4,2004,-0.00459
99,-7.772727272727327e-4,2004,-0.00389
100,-0.0013772727272727036,2004,-0.00689
101,-6.952727272727555e-4,2004,-0.00348
102,-2.943030303030618e-4,2004,-0.00147
103,-0.0023689090909090947,2004,-0.01184
104,-0.0021723636363636307,2004,-0.01086
105,-0.005454545454545489,2004,-0.02727
106,-0.001165151515151493,2004,-0.00583
108,-0.0010967878787879043,2004,-0.00548
110,-0.002651515151515135,2004,-0.01326
111,-0.0020999999999999903,2004,-0.0105
112,-0.001658242424242443,2004,-0.00829
113,-4.194545454545663e-4,2004,-0.0021
114,-0.0015846060606060407,2004,-0.00792
115,-0.0024966060606060854,2004,-0.01248
116,-0.0016582424242424184,2004,-0.00829
117,-0.00185363636363638,2004,-0.00927
118,-0.0012878787878787968,2004,-0.00644
119,-0.0021015151515151654,2004,-0.01051
120,-0.0016287878787878747,2004,-0.00814
121,-0.001716484848484873,2004,-0.00858
122,-0.0015861212121212095,2004,-0.00793
123,-0.001081818181818126,2004,-0.00541
124,-0.0021015151515151654,2004,-0.01051
125,-0.0021015151515151958,2004,-0.01051
126,-0.001969696969696978,2004,-0.00985
127,-0.0014727878787878965,2004,-0.00736
129,-0.0012607272727272732,2004,-0.0063
130,-0.0012607272727272667,2004,-0.0063
131,-0.001391575757575781,2004,-0.00696
132,-0.0016530303030303157,2004,-0.00827
133,-0.001654545454545472,2004,-0.00827
134,-0.0017367272727272657,2004,-0.00868
135,-0.002690545454545447,2004,-0.01345
136,-8.638787878787969e-4,2004,-0.00432
137,-0.0022335757575757567,2004,-0.01117
138,-0.0022335757575757415,2004,-0.01117
139,-0.0022507272727272523,2004,-0.01125
140,-0.0018536363636363312,2004,-0.00927
141,9.436363636363296e-4,2004,0.00472
143,-3.032121212121432e-4,2004,-0.00152
144,-0.002234848484848441,2004,-0.01117
145,1.515151515150855e-4,2004,7.6e-4
146,-9.916363636363295e-4,2004,-0.00496
147,-0.00212121212121209,2004,-0.01061
149,-0.0018179999999999598,2004,-0.00909
150,-0.0018179999999999598,2004,-0.00909
151,-0.0026604242424242124,2004,-0.0133
152,-0.002174909090909095,2004,-0.01087
153,-6.818181818181276e-4,2004,-0.00341
154,-0.0010909090909090675,2004,-0.00545
155,-0.0026515151515151252,2004,-0.01326
156,-0.0010909090909090675,2004,-0.00545
158,-0.0018179999999999598,2004,-0.00909
159,-0.0018179999999999598,2004,-0.00909
161,-0.0016783636363636204,2004,-0.00839
162,-0.003636121212121184,2004,-0.01818
163,-7.875151515151609e-4,2004,-0.00394
164,-0.001969696969696978,2004,-0.00985
166,-0.0018546060606060603,2004,-0.00927
167,-0.0025257575757575497,2004,-0.01263
168,-0.0015846060606060346,2004,-0.00792
169,-0.001471272727272697,2004,-0.00736
171,-7.825454545454858e-4,2004,-0.00391
172,-8.073939393939435e-4,2004,-0.00404
173,-7.575757575762746e-5,2004,-3.8e-4
174,-0.0033138181818181387,2004,-0.01657
175,-0.0013176363636363216,2004,-0.00659
176,-0.0014433939393939173,2004,-0.00722
177,0.001939393939393895,2004,0.0097
178,-0.0035498787878787473,2004,-0.01775
179,-6.69333333333326e-4,2004,-0.00335
180,-0.0015790909090909317,2004,-0.0079
181,-0.002000181818181871,2004,-0.01
182,-3.3333333333339425e-4,2004,-0.00167
183,-0.0013044848484848562,2004,-0.00652
184,2.489090909090916e-4,2004,0.00124
185,0.0031060606060605684,2004,0.01553
186,7.456969696969573e-4,2004,0.00373
187,3.262424242423849e-4,2004,0.00163
188,-0.0026060606060606343,2004,-0.01303
189,-0.0035498787878787963,2004,-0.01775
190,-0.004909090909090864,2004,-0.02455
191,-0.002887636363636322,2004,-0.01444
192,-0.0032727272727272137,2004,-0.01636
193,-7.212121212121249e-4,2004,-0.00361
194,0.0012636363636363468,2004,0.00632
195,-7.772727272727508e-4,2004,-0.00389
196,-8.409090909090975e-4,2004,-0.0042
197,-0.0013772727272727036,2004,-0.00689
198,-0.0012621212121211997,2004,-0.00631
199,-0.0025242424242424245,2004,-0.01262
200,-0.0023791515151515502,2004,-0.0119
202,-0.0022326060606060794,2004,-0.01116
203,-0.0038569090909090736,2004,-0.01928
204,-0.004349696969696923,2004,-0.02175
205,-0.003317454545454526,2004,-0.01659
206,-0.0019286666666666755,2004,-0.00964
207,-0.0012987272727272598,2004,-0.00649
208,-7.27090909090904e-4,2004,-0.00364
209,-0.0038924242424242367,2004,-0.01946
210,-0.0030535151515151864,2004,-0.01527
212,-0.0021743636363636045,2004,-0.01087
213,-0.0036365454545455216,2004,-0.01818
214,-9.761212121212616e-4,2004,-0.00488
215,-0.010909090909090771,2004,-0.05455
216,-0.0016307272727272765,2004,-0.00815
218,-6.283636363636582e-4,2004,-0.00314
219,7.072121212120839e-4,2004,0.00354
220,-0.0018612727272727056,2004,-0.00931
221,-0.001861272727272681,2004,-0.00931
222,-0.0015151515151515043,2004,-0.00758
223,8.854545454546268e-5,2004,4.4e-4
224,-7.132727272727384e-4,2004,-0.00357
227,0.004328787878787826,2004,0.02164
228,0.004328787878787826,2004,0.02164
231,-9.092727272726976e-4,2004,-0.00455
232,0.0018939393939393905,2004,0.00947
244,-0.0021015151515151958,2004,-0.01051
245,-0.0022507272727272766,2004,-0.01125
247,-0.00126363636363635,2004,-0.00632
248,-0.0022507272727272766,2004,-0.01125
249,-0.0022507272727272766,2004,-0.01125
250,-0.0013738787878787681,2004,-0.00687
1,-0.001492363636363538,2005,-0.00746
2,-0.0019393939393937865,2005,-0.0097
3,-0.002154666666666489,2005,-0.01077
5,-0.0020513939393938157,2005,-0.01026
6,-0.0020412121212119772,2005,-0.01021
7,-0.0026666666666664597,2005,-0.01333
8,-0.001995636363636215,2005,-0.00998
9,-0.0029633939393937186,2005,-0.01482
10,-0.0025861818181816343,2005,-0.01293
11,-0.00333333333333308,2005,-0.01667
12,-0.0032319999999997524,2005,-0.01616
13,-0.002121212121211971,2005,-0.01061
14,-0.001696969696969575,2005,-0.00848
15,-0.0015432727272726243,2005,-0.00772
16,-3.6072727272719985e-4,2005,-0.0018
17,-0.0014763636363635622,2005,-0.00738
18,-0.0026666666666664966,2005,-0.01333
19,-0.0033333333333331063,2005,-0.01667
20,-0.006234666666666225,2005,-0.03117
21,-0.0024247272727271592,2005,-0.01212
24,-0.002121212121211996,2005,-0.01061
25,-0.0018860606060604863,2005,-0.00943
28,-0.0028286060606059105,2005,-0.01414
29,-0.003393939393939187,2005,-0.01697
30,0.0018181818181817052,2005,0.00909
31,-0.0024247272727271254,2005,-0.01212
32,0.0026458181818180076,2005,0.01323
33,0.0018181818181817052,2005,0.00909
34,0.0018181818181817052,2005,0.00909
35,0.0018181818181817052,2005,0.00909
36,0.0018181818181817052,2005,0.00909
37,-0.0012116363636363104,2005,-0.00606
38,-0.001939393939393818,2005,-0.0097
39,-0.0012926060606059753,2005,-0.00646
40,-0.002552727272727137,2005,-0.01276
41,-0.0016164848484847207,2005,-0.00808
42,-0.0017866666666665296,2005,-0.00893
43,-0.001886060606060474,2005,-0.00943
44,-0.001077333333333232,2005,-0.00539
45,-0.0032315151515149433,2005,-0.01616
46,-0.0016164848484847498,2005,-0.00808
47,-0.0045633939393936165,2005,-0.02282
48,-0.0036363636363633935,2005,-0.01818
49,-0.0017638787878786915,2005,-0.00882
50,-0.005541818181817811,2005,-0.02771
51,-0.006464969696969254,2005,-0.03232
52,-0.008727272727272164,2005,-0.04364
53,-0.0032319999999997524,2005,-0.01616
54,-0.004848484848484544,2005,-0.02424
56,1.2256000472123237e-17,2005,0
59,0.0032334545454543893,2005,0.01617
60,0.002237090909090791,2005,0.01119
61,0.0013221818181817482,2005,0.00661
62,7.650909090908493e-4,2005,0.00383
63,0.0019403636363635398,2005,0.0097
64,-8.087272727272138e-4,2005,-0.00404
65,-6.938181818181585e-4,2005,-0.00347
66,-5.396363636363381e-4,2005,-0.0027
67,0.0012116363636362844,2005,0.00606
68,0.0019389090909089923,2005,0.00969
69,-0.0027709090909090197,2005,-0.01385
70,-0.0029827878787877914,2005,-0.01491
71,7.353600283273942e-17,2005,0
72,7.353600283273942e-17,2005,0
73,-0.0026841212121211182,2005,-0.01342
74,-0.05818181818181403,2005,-0.29091
75,7.353600283273942e-17,2005,0
76,-0.0052887272727269,2005,-0.02644
77,-0.00909090909090851,2005,-0.04545
78,-0.007272727272726788,2005,-0.03636
79,-0.00614157575757533,2005,-0.03071
80,9.090909090908693e-4,2005,0.00455
81,-0.006611878787878345,2005,-0.03306
82,-0.001118545454545399,2005,-0.00559
84,0.0029090909090907866,2005,0.01455
85,-0.0012116363636362772,2005,-0.00606
86,-0.0012116363636362772,2005,-0.00606
88,-0.0012116363636362772,2005,-0.00606
89,-3.676800141636971e-17,2005,-0
91,0.0018181818181817052,2005,0.00909
92,0.0018181818181817052,2005,0.00909
93,0.0018181818181817052,2005,0.00909
94,0.009697454545454027,2005,0.04849
