fishing_entity,rgn_id,rgn_name,notes
Poland,178,Poland,
Portugal,183,Portugal,
Puerto Rico (USA),116,Puerto Rico and Virgin Islands of the United States,
US Virgin Isl.,116,Puerto Rico and Virgin Islands of the United States,
Qatar,190,Qatar,
"Congo, R. of",100,Republique du Congo,
Réunion (France),32,Reunion,
Romania,72,Romania,
Russian Federation,73,Russia,
Saint Helena (UK),86,Saint Helena,
Saint Kitts & Nevis,119,Saint Kitts and Nevis,
Saint Lucia,122,Saint Lucia,
Saint Pierre & Miquelon (France),219,Saint Pierre and Miquelon,
Saint Vincent & the Grenadines,127,Saint Vincent and the Grenadines,
Samoa,152,Samoa,
Sao Tome & Principe,103,Sao Tome and Principe,
Saudi Arabia,50,Saudi Arabia,
Senegal,66,Senegal,
Seychelles,31,Seychelles,
Sierra Leone,96,Sierra Leone,
Singapore,208,Singapore,
Sint Maarten,220,Sint Maarten,
Slovenia,188,Slovenia,
Solomon Isl.,7,Solomon Islands,
Somalia,44,Somalia,
South Africa,102,South Africa,
Korea (South),20,South Korea,
Spain,182,Spain,
Sri Lanka,40,Sri Lanka,
Sudan,49,Sudan,
Suriname,168,Suriname,
Sweden,222,Sweden,
Syrian Arab Republic,77,Syria,
Taiwan,14,Taiwan,
Tanzania,202,Tanzania,
Thailand,25,Thailand,
Togo,98,Togo,
Tokelau (New Zealand),156,Tokelau,
Tonga,155,Tonga,
Trinidad & Tobago,126,Trinidad and Tobago,
Tristan da Cunha Isl. (UK),88,Tristan da Cunha,
Tunisia,61,Tunisia,
Turkey,76,Turkey,
Turks & Caicos Isl. (UK),111,Turks and Caicos Islands,
Tuvalu,19,Tuvalu,
Ukraine,75,Ukraine,
United Arab Emirates,54,United Arab Emirates,
United Kingdom,180,United Kingdom,
USA,163,United States,
Uruguay,173,Uruguay,
Vanuatu,6,Vanuatu,
Venezuela,139,Venezuela,
Viet Nam,207,Vietnam,
Wallis & Futuna Isl. (France),161,Wallis and Futuna,
Yemen,47,Yemen,
