x,TaxonKey
Fasciolaria tulipa True tulip,694932
Felimare picta Florida regal doris,697707
Fissurella cumingi keyhole limpet,69153507
Fissurella latimarginata Gastropod,69153505
Fissurella maxima giant keyhole limpet,69153506
Fissurella picta Large banded keyhole limpet,69148064
Fundulus heteroclitus Mummichog,603192
Gadus chalcogrammus Alaska pollock,600318
Gari solida Pacific clam,69139977
Geryon longipes Mediterranean geryon,6919472
Geukensia demissa Ribbed mussel,6947691
Glaucostegus cemiculus Blackchin guitarfish,602074
Glossanodon leioglossus Smalltoothed argentine,601782
Glycymeris nummaria Violet bittersweet,69140597
Graus nigra Mulata,657673
Gymnoscopelus fraseri Fraser’s lanternfish,606992
Gymnothorax funebris Green moray,607546
Gymnothorax miliaris Goldentail moray,601103
Gymnothorax nigromarginatus Blackedge moray,602615
Gymnothorax polygonius Polygon moray,609035
Gymnothorax porphyreus Lowfin moray,627501
Haemulon melanurum Cottonwick grunt,601138
Halichoeres bivittatus Slippery dick,603660
Halichoeres garnoti Yellowhead wrasse,603663
Halichoeres maculipinna Clown wrasse,603664
Halichoeres semicinctus Rock wrasse,603667
Hemanthias leptus Longtail bass,603325
Hemigrapsus crenulatus Hairy-handed shore crab,69154506
Hemilepidotus hemilepidotus Red Irish lord,604093
Hemitriakis japanica Japanese topeshark,605926
Heterocarpus laevigatus Smooth nylon shrimp,6925925
Hexagrammos lagocephalus Rock greenling,604033
Hippocampus zosterae Dwarf seahorse,603286
Hippoglossina oblonga American fourspot flounder,604229
Hippospongia lachne Sheepswool sponge,6951081
Histrio histrio Sargassumfish,603089
Holacanthus ciliaris Queen angelfish,603609
Holacanthus tricolor Rock beauty,603610
Holothuria floridana Florida sea cucumber,6950073
Holothuria fuscogilva White teatfish,6983489
Holothuria fuscopunctata Elephant trunkfish,6983490
Hyperprosopon argenteum Walleye surfperch,603631
Hyperprosopon ellipticum Silver surfperch,603632
Hypleurochilus bermudensis Barred blenny,603758
Hypoplectrus unicolor Butter hamlet,603329
Hyporthodus acanthistius Rooster hind,609205
Hypsopsetta guttulata Diamond turbot,604241
Hypsurus caryi Rainbow seaperch,603633
Labrisomus nuchipinnis Hairy blenny,603735
Labrisomus philippii Chalapo clinid,655259
Labrus viridis Green wrasse,651659
Lactophrys bicaudalis Spotted trunkfish,604286
Lithodes santolla Southern king crab,690377
Lolliguncula brevis Western Atlantic brief squid,6957412
Lutjanus buccanella Blackfin snapper,601419
Lutjanus endecacanthus Guinea snapper,600794
Lysmata wurdemanni Peppermint shrimp,6925854
Lytechinus variegatus Green sea urchin,6949984
Macrocypraea cervus Atlantic deer cowrie,692194
Macrocypraea zebra Measled cowrie,692195
Macrostrombus costatus Milk conch,692798
Malacoctenus triangulatus Saddled blenny,603738
Melongena corona Crown conch,695518
Menticirrhus undulatus California kingcroaker,603587
Mercenaria campechiensis Southern hardshell clam,6948854
Mesocentrotus franciscanus Red sea urchin,6949324
Metoporhaphis calcarata False arrow crab,6927018
Mithraculus forceps Red-ridged clinging crab,6927092
Mithraculus sculptus Green clinging crab,6927093
Mulinia edulis taquilla clam,69139978
Mustelus lunulatus Sicklefin smooth-hound,602541
Mustelus mento Speckled smooth-hound,605934
Myliobatis californica Bat eagle ray,602582
Mytilida Mussels,390054
Nasolamia velox Whitenose shark,600895
Nemadactylus gayi Bilagay,655196
Neomerinthe hemingwayi Spinycheek scorpionfish,603930
Notarius troschelii Chili sea catfish,613507
Octopus briareus Caribbean reef octopus,6958194
Octopus joubini Atlantic pygmy octopus,6958192
Ocypode cursor Tufted ghost crab,699341
Odontocymbiola magellanica Magellanic volute,69148078
Oligoplites saurus Leatherjacket,601001
Ophioblennius atlanticus Redlip blenny,603768
Ophiocoma echinata Black brittle star,6949017
Ophioderma brevispinum Short-spined brittle star,6949633
Ophioderma squamosissimum Scaly brittle star,6949631
Opistognathus aurifrons Yellowhead jawfish,603684
Opistognathus whitehursti Dusky jawfish,603689
Orthopristis ruber Corocoro grunt,601145
Osteichthyes Bony fishes,210006
Ovalipes trimaculatus Rowing crab,69153511
Paguristes puncticeps Hermit crab,6926689
Panopea generosa Pacific geoduck,6949107
Paraclinus fasciatus Banded blenny,603744
Pareques acuminatus High-hat,603583
Parupeneus insularis Twosaddle goatfish,660849
Parupeneus porphyreus Whitesaddle goatfish,612604
Pecten fumatus Commercial scallop,6983806
Penaeus kerathurus Caramote prawn,690070
Peprilus burti Gulf butterfish,603924
Periclimenes yucatanicus Spotted cleaner shrimp,6924498
Phanerodon atripes Sharpnose seaperch,603637
Phanerodon furcatus White seaperch,603638
Phimochirus operculatus Polkadotted hermit,6926470
Phrontis vibex Bruised nassa,695520
Pleuronichthys verticalis Hornyhead turbot,604254
Podophthalmus vigil Periscope crab,6926398
Pomacanthus paru French angelfish,601118
Porcellana sayana Spotted porcelain crab,6926639
Pristiophorus cirratus Common sawshark,600721
Pseudograpsus setosus Jaiba peluda,69154709
Pteroplatytrygon violacea Pelagic stingray,602576
Raja polystigma Speckled ray,609283
Randallichthys filamentosus Randall's snapper,600212
Rhacochilus toxotes Rubberlip seaperch,603639
Rhinobatos rhinobatos Common guitarfish,605016
Rhinoptera brasiliensis Ticon cownose ray,614148
Rhizoprionodon longurio Pacific sharpnose shark,600901
Rhopilema hispidum Sand jellyfish,6992738
Rhynchocinetes typus Rabbitnose shrimp,6924927
Roncador stearnsii Spotfin croaker,603588
Rostroraja eglanteria Clearnose skate,601252
Sargocentron coruscum Reef squirrelfish,603248
Sargocentron xantherythrum Hawaiian squirrelfish,607868
Sarotherodon melanotheron Blackchin tilapia,601412
Scarus coelestinus Midnight parrotfish,601152
Scarus guacamaia Rainbow parrotfish,601155
Sciades dowii Brown sea catfish,613494
"Scombroidei Tunas, bonitos, billfishes",300036
Scorpaena histrio Player scorpionfish,608332
Scorpaenodes caribbaeus Reef scorpionfish,603946
Scyllarides haanii Aesop slipper lobster,699317
Sebastes aleutianus Rougheye rockfish,603949
Sebastes atrovirens Kelp rockfish,603950
Sebastes auriculatus Brown rockfish,603951
Sebastes aurora Aurora rockfish,603952
Sebastes babcocki Redbanded rockfish,603953
Sebastes carnatus Gopher rockfish,603956
Sebastes chlorostictus Greenspotted rockfish,603958
Sebastes chrysomelas Black-and-yellow rockfish,603959
Sebastes dallii Calico rockfish,603963
Sebastes elongatus Greenstriped rockfish,603965
Sebastes ensifer Swordspine rockfish,603967
Sebastes eos Pink rockfish,603968
Sebastes helvomaculatus Rosethorn rockfish,603972
Sebastes hopkinsi Squarespot rockfish,603973
Sebastes jordani Shortbelly rockfish,603974
Sebastes lentiginosus Freckled rockfish,603975
Sebastes levis Cowcod,603976
Sebastes macdonaldi Mexican rockfish,603977
Sebastes nigrocinctus Tiger rockfish,603985
Sebastes ovalis Speckled rockfish,603986
Sebastes proriger Redstripe rockfish,603991
Sebastes rastrelliger Grass rockfish,603992
Sebastes rosaceus Rosy rockfish,603994
Sebastes rosenblatti Greenblotched rockfish,603995
Sebastes rubrivinctus Flag rockfish,603997
Sebastes rufus Bank rockfish,603999
Sebastes saxicola Stripetail rockfish,604000
Sebastes semicinctus Halfbanded rockfish,604001
Sebastes serriceps Treefish,604003
Sebastes umbrosus Honeycomb rockfish,604005
Sebastes zacentrus Sharpchin rockfish,604008
Sebastolobus altivelis Longspine thornyhead,604010
Seriolella violacea Palm ruff,613020
Serranus baldwini Lantern bass,603344
Serranus subligarius Belted sandfish,603348
Serranus tabacarius Tobaccofish,603349
Serranus tigrinus Harlequin bass,603350
Serranus tortugarum Chalk bass,603351
Sinistrofulgur sinistrum Lightning whelk,692914
Solen marginatus Grooved razor clam,6947879
Solenocera membranacea Altlantic mud shrimp,6925483
Sphyraena helleri Heller's barracuda,606649
Sphyrna corona Scalloped bonnethead,600909
Sphyrna media Scoophead,600913
Spondylus americanus Atlantic thorny oyster,6947226
Squatina australis Australian angelshark,600728
Squatina guggenheim Angular angel shark,653932
Squatina tergocellata Ornate angelshark,600737
Stegastes partitus Bicolor damselfish,603652
Stellifer minor Minor stardrum,614087
Stenocionops furcatus Furcate spider crab,6921151
Stenopus hispidus Banded coral shrimp,6925798
Stenorhynchus seticornis Yellowline arrow crab,6927017
Stephanolepis hispida Planehead filefish,604281
Stephanolepis setifer Pygmy filefish,601195
Stichopus chloronotus Greenfish,6983494
Stromateus stellatus Starry butterfish,626365
Strombus alatus Florida fighting conch,692797
Syngnathus pelagicus Sargassum pipefish,603305
Synodus saurus Atlantic lizardfish,601771
Taliepus dentatus Spider crabs,69153508
Taliepus marginatus Spider crabs,69153510
Tegula atra Smooth black trochid,69148271
Thalassoma bifasciatum Bluehead,603673
Thelenota ananas Prickly redfish,6983497
Thelenota anax Amber fish,6983499
Torpedo torpedo Common torpedo,602062
Triplofusus giganteus Horse conch,69148205
Turbo castanea Chestnut turban,693284
Umbrina roncador Yellowfin drum,603590
Urobatis jamaicensis Yellow stingray,602581
Xanthochorus cassidiformis Orange whelk,69153522
Xystreurys liolepis Fantail flounder,604235
