"rgn_id","year","product","exposure"
15,2005,"corals",0.00814058602856898
15,2006,"corals",0.00843383096867001
15,2007,"corals",0.00657079371879798
15,2008,"corals",0.00380699547443185
15,2009,"corals",0.00160219037856733
15,2010,"corals",0
15,2011,"corals",0
15,2012,"corals",0
15,2013,"corals",0
15,2014,"corals",0
15,2015,"corals",0
15,2016,"corals",0
15,2017,"corals",0
16,1976,"corals",0.00113494187478093
16,1977,"corals",0.00120818624691323
16,1978,"corals",0.00137983927363068
16,1979,"corals",0.00163389918125687
16,1980,"corals",0.00226778057565561
16,1981,"corals",0.00235232690173432
16,1982,"corals",0.00237300396879512
16,1983,"corals",0.00214913553956607
16,1984,"corals",0.00155831159518246
16,1985,"corals",0.00143940864188177
16,1986,"corals",0.000988403860938467
16,1987,"corals",0.000613822811510658
