"rgn_id","fao_id","RAM_area_m2","stockid","stocklong","idtemp2"
194,34,NA,"CHMACKCWAGNB-LBR","Cunene horse mackerel Central West Africa Guinea Bissau-Liberia",35
73,27,NA,"REDDEEPI-II","Deepwater redfish North-East Arctic",36
182,27,NA,"REDDEEPI-II","Deepwater redfish North-East Arctic",37
223,27,NA,"REDDEEPI-II","Deepwater redfish North-East Arctic",38
102,47,NA,"ECSOLESASC","East coast sole South Africa South coast",39
59,27,NA,"EBASSVIIIab","European seabass ICES 8ab",40
177,27,NA,"EBASSVIIIab","European seabass ICES 8ab",41
179,27,NA,"EBASSVIIIab","European seabass ICES 8ab",42
180,27,NA,"EBASSVIIIab","European seabass ICES 8ab",43
182,27,NA,"EBASSVIIIab","European seabass ICES 8ab",44
163,67,NA,"GKCRABAIES","Golden king crab Aleutian Islands Eastern segment",45
163,67,NA,"GKCRABAIWS","Golden king crab Aleutian Islands Western segment",46
163,31,NA,"GRSNAPGM","Gray snapper Gulf of Mexico",47
101,47,NA,"HAKESPPSAF","Hake spp Southern Africa",48
218,21,NA,"HERR4RSP","Herring NAFO division 4R (Spring spawners)",49
218,21,NA,"HERR4TFA","Herring Southern Gulf of St. Lawrence (Fall spawners)",50
218,21,NA,"HERR4TSP","Herring Southern Gulf of St. Lawrence (Spring spawners)",51
218,21,NA,"MACKNWATLSA3-4","Mackerel Northwest Atlantic (NAFO Subareas 3 and 4)",52
98,34,NA,"MSARDCWACIV-BEN","Madeiran sardinella Central West Africa Cote Divoire-Benin",53
99,34,NA,"MSARDCWACIV-BEN","Madeiran sardinella Central West Africa Cote Divoire-Benin",54
106,34,NA,"MSARDCWACIV-BEN","Madeiran sardinella Central West Africa Cote Divoire-Benin",55
195,34,NA,"MSARDCWACIV-BEN","Madeiran sardinella Central West Africa Cote Divoire-Benin",56
218,67,NA,"PCOD5ABCD","Pacific cod British Columbia Waters Area 5ABCD",57
172,41,NA,"PATCODARGS","Patagonian cod Southern Argentina",58
162,81,NA,"RROCKLOBSTERCRA1","Red rock lobster New Zealand Area CRA1",59
162,81,NA,"RROCKLOBSTERCRA2","Red rock lobster New Zealand Area CRA2",60
162,81,NA,"RROCKLOBSTERCRA4","Red rock lobster New Zealand Area CRA4",61
162,81,NA,"RROCKLOBSTERCRA7","Red rock lobster New Zealand Area CRA7",62
162,81,NA,"RROCKLOBSTERCRA8","Red rock lobster New Zealand Area CRA8",63
218,67,NA,"RSROCKBCWN","Redstripe rockfish British Columbia Waters North",64
218,67,NA,"RSROCKBCWS","Redstripe rockfish British Columbia Waters South",65
163,67,NA,"REXSOLEGA","Rex sole Gulf of Alaska",66
98,34,NA,"RSARDCWACIV-BEN","Round sardinella Central West Africa Cote Divoire-Benin",67
99,34,NA,"RSARDCWACIV-BEN","Round sardinella Central West Africa Cote Divoire-Benin",68
106,34,NA,"RSARDCWACIV-BEN","Round sardinella Central West Africa Cote Divoire-Benin",69
195,34,NA,"RSARDCWACIV-BEN","Round sardinella Central West Africa Cote Divoire-Benin",70
175,27,NA,"SARDVIIIabd","Sardine ICES 8abd",71
176,27,NA,"SARDVIIIabd","Sardine ICES 8abd",72
177,27,NA,"SARDVIIIabd","Sardine ICES 8abd",73
179,27,NA,"SARDVIIIabd","Sardine ICES 8abd",74
180,27,NA,"SARDVIIIabd","Sardine ICES 8abd",75
181,27,NA,"SARDVIIIabd","Sardine ICES 8abd",76
182,27,NA,"SARDVIIIabd","Sardine ICES 8abd",77
189,27,NA,"SARDVIIIabd","Sardine ICES 8abd",78
62,34,NA,"SARDNWAZC","Sardine North West Africa Zone C",79
100,34,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",80
198,34,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",81
199,34,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",82
200,34,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",83
100,47,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",84
198,47,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",85
199,47,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",86
200,47,NA,"SARDINCWAGAB-AGO","Sardinella Central West Africa Gabon-Angola",87
96,34,NA,"SARDINCWAGNB-LBR","Sardinella Central West Africa Guinea Bissau-Liberia",88
97,34,NA,"SARDINCWAGNB-LBR","Sardinella Central West Africa Guinea Bissau-Liberia",89
193,34,NA,"SARDINCWAGNB-LBR","Sardinella Central West Africa Guinea Bissau-Liberia",90
194,34,NA,"SARDINCWAGNB-LBR","Sardinella Central West Africa Guinea Bissau-Liberia",91
96,34,NA,"SCADSPPCWAGNB-LBR","Scad spp Central West Africa Guinea Bissau-Liberia",92
97,34,NA,"SCADSPPCWAGNB-LBR","Scad spp Central West Africa Guinea Bissau-Liberia",93
193,34,NA,"SCADSPPCWAGNB-LBR","Scad spp Central West Africa Guinea Bissau-Liberia",94
194,34,NA,"SCADSPPCWAGNB-LBR","Scad spp Central West Africa Guinea Bissau-Liberia",95
163,77,NA,"SFMAKONPAC","Shortfin mako North Pacific",96
200,47,NA,"SOLECWAAGO","Sole Central West Africa Angola",97
193,34,NA,"SOLECWAGNB-GIN","Sole Central West Africa Guinea Bissau-Guinea",98
194,34,NA,"SOLECWAGNB-GIN","Sole Central West Africa Guinea Bissau-Guinea",99
163,77,NA,"THRSHARNPAC","Thresher shark North Pacific",100
177,27,NA,"TURIV","Turbot North Sea",101
180,27,NA,"TURIV","Turbot North Sea",102
218,67,NA,"WPOLLBCWN","Walleye pollock British Columbia Waters North",103
218,67,NA,"WPOLLBCWS","Walleye pollock British Columbia Waters South",104
179,27,NA,"WHITVIIbce-k","Whiting Celtic Sea",105
180,27,NA,"WHITVIIbce-k","Whiting Celtic Sea",106
181,27,NA,"WHITVIIbce-k","Whiting Celtic Sea",107
227,27,NA,"WHITVIIbce-k","Whiting Celtic Sea",108
228,27,NA,"WHITVIIbce-k","Whiting Celtic Sea",109
262,27,NA,"WHITVIIbce-k","Whiting Celtic Sea",110
218,67,NA,"WROCKBCW","Widow rockfish British Columbia Waters",111
218,21,NA,"WINFLOUN4T","Winter flounder Southern Gulf of St. Lawrence",112
