x,TaxonKey
Harpadon nehereus Bombay-duck,600260
Harriotta raleighana Pacific longnose chimaera,605053
Helicolenus percoides Red gurnard perch,614309
Hexagrammos otakii Fat grrenling,606598
Hexaplex trunculus Banded dye-murex,69140012
Himantura uarnak Honeycomb stingray,605507
Hirundichthys rondeletii Black wing flyingfish,601035
Holothuria leucospilota White threads fish,6983487
Hypoptychus dybowskii Korean sandlance,600488
Illex Shortfin squid,596759
Jacquinotia edwardsi Southern spider crab,6981351
Kyphosus cinerascens Blue sea chub,605805
Labrus Wrasse,500719
Lampanyctodes hectoris Hector's lanternfish,600259
Lateolabrax japonicus Japanese seabass,604589
Latris lineata Striped trumpeter,614417
Leiognathus berbis Berbis ponyfish,607748
Lepidorhombus boscii Four-spot megrim,600027
Leptomelanosoma indicum Indian threadfin,604469
Lethrinus laticaudis Grass emperor,601857
Leukoma staminea Pacific littleneck clam,690285
Liocarcinus Flying and swimcrabs,597726
Liza klunzingeri Klunzinger's mullet,646376
Lunarca ovalis Oval blood ark,690649
Lutjanus johnii John's snapper,600264
Lutjanus monostigma One-spot snapper,600166
Megastraea undosa Wavy turban,692212
Melicertus canaliculatus Witch prawn,6914824
Melicertus plebejus Eastern king prawn,6914828
Menticirrhus saxatilis Northern kingfish,600410
Merlucciidae Merluccid hakes,400184
Mesocentrotus franciscanus red sea urchin,6949324
Metacarcinus magister Dungeness crab,690115
Metapenaeus affinis Jinga shrimp,6925396
Metapenaeus brevicornis Yellow shrimp,6925399
Metapenaeus tenuipes Stork shrimp,6925241
Mizuhopecten yessoensis Yesso scallop,690445
Moronidae Temperate basses,400487
Mustelus whitneyi Humpback smooth-hound,605939
Myxus elongatus Sand grey mullet,612823
Nassarius mutabilis Changeable nassa,6989738
Nematalosa nasus Bloch's gizzard shad,601616
Nematopalaemon hastatus Estuarine prawn,6924566
Nemipterus hexodon Ornate threadfin bream,604565
Nemipterus randalli Randall's threadfin bream,605852
Nemopilema nomurai Nomura jelly,6989889
Neomyxus leuciscus Acute-jawed mullet,605652
Nototodarus gouldi Gould's flying squid,6957664
Ocypode cursor tufted ghost crab,699341
Odax pullus Butterfish,612840
Odontamblyopus rubicundus Rubicundus eelgoby,613545
Odontaspis ferox Smalltooth sand tiger,600749
Ommastrephes Flying squids,5910844
Ophichthus Snake eel,501991
Orthopristis reddingi Bronze-striped grunt,613724
Osteichthyes Bony fish,210006
Otolithes ruber Tigertooth croaker,604824
Ozius guttatus Spottedbelly rock crab,6983554
Pagrus major Japanese seabream,600445
Paralabrax albomaculatus Camotillo,612860
Paralabrax maculatofasciatus Spotted sand bass,603336
Paranthias furcifer Creole-fish,601217
Parapenaeopsis stylifera Kiddi shrimp,6925410
Parapenaeopsis uncta Uncta shrimp,6925412
Parapristipoma trilineatum Chicken grunt,604584
Parastichopus regalis Royal cucumber,6949463
Paromola cuvieri Paromola,6926779
Parupeneus cyclostomus Gold-saddle goatfish,605990
Pasiphaea multidentata Pink glass shrimp,6925579
Pasiphaea sivado White glass shrimp,6925586
Pastinachus sephen Cowtail stingray,608203
Patagonotothen guntheri Yellowfin notothen,654742
Peristedion cataphractum African armoured searobin,601746
Plectorhinchus gaterinus Blackspotted rubberlip,607703
Plectorhinchus schotaf Minstrel sweetlips,607706
Plesionika edwardsii Soldier striped shrimp,6925333
Plesionika heterocarpus Arrow shrimp,6925918
Plesionika martia Golden shrimp,6925331
Plesionika trispinus Pacific deepwater shrimp,690910
Pleurogrammus azonus Okhotsk atka mackerel,600510
Podophthalmus vigil periscope crab,6926398
Polititapes rhomboides Banded carpet shell,6984345
Polymesoda caroliniana Carolina marshclam,6948774
Polynemus paradiseus Paradise threadfin,608318
Polyprion oxygeneios Hapuku wreckfish,600350
Polyprion Wreckfishes,509367
Pomadasys argyreus Bluecheek silver grunt,604823
Pomatomidae Bluefishes,400311
Pontinus macrocephalus Large-headed scorpionfish,608280
Porichthys analis Darkedge midshipman,613547
Porichthys porosissimus South American toadfish,612925
Portunus armatus Blue swimmer crab,69162458
Priacanthus tayenus Purple-spotted bigeye,604651
Protonibea diacanthus Blackspotted croaker,604571
Pseudaphya ferreri Ferrer's goby,6057560
Pseudobatos planiceps Pacific guitarfish,600149
Pseudopentaceros richardsoni Pelagic armourhead,603611
Pseudorhombus arsius Largetooth flounder,601325
Pterengraulis atherinoides Wingfin anchovy,600550
Pterocaesio tile Dark-banded fusilier,600939
Pterotolithus maculatus Blotched tiger-toothed croaker,608393
Rangia cuneata Atlantic rangia,6947954
Rhinoptera steindachneri Pacific cownose ray,613271
Rhizostoma pulmo Barrel jellyfish,6944381
Rhizostomeae Oral arm jellyfishes,3910180
Salpidae Salps,491351
Sarda australis Australian bonito,600112
Sarda Bonitos,500939
Scolopsis taeniata Black-streaked monocle bream,605889
Scomber japonicus Pacific chub mackerel,600117
Scomberomorus semifasciatus Broad-barred king mackerel,600135
"Scombroidei Barracudas, tunas, marlins, mackarels",310060
Scorpaena sonorae Sonora scorpionfish,614222
Scorpis violacea Blue maomao,612235
Scyliorhinus canicula Small-spotted catshark,600845
Scyllarus arctus Small European locust lobster,6926136
Secutor insidiator Pugnose ponyfish,604455
Selene peruviana Peruvian moonfish,601958
Sepia elegans Elegant cuttlefish,6957473
Sepia orbignyana Pink cuttlefish,6957475
Sepia pharaonis Pharaoh cuttlefish,6957301
Seriola hippos Samson fish,601960
Siganus lineatus Golden-lined spinefoot,604625
Sillago ciliata Sand sillago,604709
Solea aegyptiaca Egyptian sole,611707
Solen marginatus European razor clam,6947879
Solenocera florea Flower shrimp,6925480
Solenoceridae Solenocerid shrimps,490007
Spicara melanurus Blackspot picarel,605079
Spratelloides gracilis Silver-stripe round herring,601458
Squalus acanthias Picked dogfish,600139
Squalus mitsukurii Shortspine spurdog,600713
Squalus suckleyi Pacific spiny dogfish,665869
Stephanolepis cirrhifer Threadsail filefish,600531
Stolephorus waitei Spotty-face anchovy,600578
Stomolophus meleagris Cannonball jellyfish,6944383
Symphodus Eastern Atlantic wrasses,504373
Synapturichthys kleinii Klein's sole,601763
Terapon theraps Largescaled terapon,604829
Tetrapturus Spearfishes,504881
Thryssa dussumieri Dussumier's thryssa,600586
Thysanoteuthis rhombus Rhomboid squid,6958136
Todaropsis eblanae Lesser flying squid,6957560
Trachurus novaezelandiae Yellowtail horse mackerel,601979
Trisopterus Pouts,504081
Turbo marmoratus Green turban,6986809
Umbrina ronchus Fusca drum,604547
Upeneus moluccensis Goldband goatfish,604444
Venerupis Rhomboid carpet shells,5916801
Venus nux Saltwater clam,69140667
Wattsia mossambica Mozambique large-eye bream,601870
Bathysaurus ferox Deep-sea lizardfish,611841
Benthosema glaciale Glacier lantern fish,600021
Charybdis hellerii Spiny hands,699332
Eubleekeria splendens Splendid ponyfish,604454
Evibacus princeps Shield fan lobster,6915058
Gobius paganellus Rock goby,600073
Guentherus altivela Jellynose,609149
Ixa monodi Red Sea pebble crab,692385001
Microchirus ocellatus Foureyed sole,604991
Nematocarcinus africanus African spider shrimp,6925574
Ophichthus rufus Rufus snake-eel,601741
Ophidion barbatum Snake blenny,601742
Palaemon elegans Rockpool prawn,6924522
Pegusa impar Adriatic sole,601762
Portunus xantusii Xantus swimcrab,6926821
Serranus hepatus Brown comber,614419
Sicyonia carinata Mediterranean rock shrimp,6925500
Sicyonia disdorsalis Keeled rock shrimp,6914932
Squilla panamensis Panama mantis shrimp,6993284
Squilla parva Small mantis shrimp,6993285
Stomias affinis Gunther's boafish,610167
Trachinus radiatus Starry weever,605037
Anchoa hepsetus Broad-striped anchovy,601133
Atherina boyeri Big-scale sand smelt,601696
Bathyraja meridionalis Dark-belly skate,606951
Chirocentrus dorab Dorab wolf-herring,606358
Ctenolabrus rupestris Goldsinny-wrasse,600061
Dentex macrophthalmus Large-eye dentex,600438
Diplodus vulgaris Common two-banded seabream,601754
Epinephelus coioides Orange-spotted grouper,606465
Epinephelus fuscoguttatus Brown-marbled grouper,604460
Genypterus maculatus Black cusk-eel,600484
Gerres oyena Common silver-biddy,605996
Hydrolagus mirabilis Large-eyed rabbitfish,609000
Lepidotrigla cavillone Large-scaled gurnard,601722
Lethrinus obsoletus Orange-striped emperor,601847
Lutjanus quinquelineatus Five-lined snapper,600172
Monotaxis grandoculis Humpnose big-eye bream,601869
Mustelus henlei Brown smooth-hound,602540
Mustelus schmitti Narrownose smooth-hound,605937
Myliobatis aquila Common eagle ray,604330
Sardinops sagax South American pilchard,601477
Scarus ghobban Blue-barred parrotfish,605548
Scomberomorus commerson Narrow-barred Spanish mackerel,600121
Strangomera bentincki Araucanian herring,601530
