"TaxonKey","TaxonName","CommonName","stock"
400011,"Carcharhinidae","Requiem sharks","Carcharhinidae Requiem sharks"
400013,"Squalidae","Dogfish sharks","Squalidae Dogfish sharks"
400015,"Squatinidae","Angel sharks","Squatinidae Angel sharks"
400016,"Pristidae","Sawfishes","Pristidae Sawfishes"
400056,"Muraenidae","Moray eels","Muraenidae Moray eels"
400066,"Ophichthidae","Snake eels","Ophichthidae Snake eels"
400076,"Salmonidae","Salmonids","Salmonidae Salmonids"
400080,"Osmeridae","Smelts","Osmeridae Smelts"
400163,"Chlorophthalmidae","Greeneyes","Chlorophthalmidae Greeneyes"
400167,"Myctophidae","Lanternfishes","Myctophidae Lanternfishes"
400189,"Batrachoididae","Toadfishes","Batrachoididae Toadfishes"
400190,"Lophiidae","Goosefishes","Lophiidae Goosefishes"
400206,"Exocoetidae","Flyingfishes","Exocoetidae Flyingfishes"
400208,"Scomberesocidae","Sauries","Scomberesocidae Sauries"
400218,"Atherinidae","Silversides","Atherinidae Silversides"
400236,"Trachichthyidae","Slimeheads","Trachichthyidae Slimeheads"
400249,"Zeidae","Dories","Zeidae Dories"
400250,"Oreosomatidae","Oreos","Oreosomatidae Oreos"
400252,"Caproidae","Boarfishes","Caproidae Boarfishes"
400273,"Platycephalidae","Flatheads","Platycephalidae Flatheads"
400277,"Cottidae","Sculpins","Cottidae Sculpins"
400304,"Apogonidae","Cardinalfishes","Apogonidae Cardinalfishes"
400307,"Sillaginidae","Smelt-whitings","Sillaginidae Smelt-whitings"
400308,"Malacanthidae","Tilefishes","Malacanthidae Tilefishes"
400313,"Echeneidae","Remoras","Echeneidae Remoras"
400319,"Bramidae","Pomfrets","Bramidae Pomfrets"
400323,"Lutjanidae","Snappers","Lutjanidae Snappers"
400332,"Mullidae","Goatfishes","Mullidae Goatfishes"
400356,"Latridae","Trumpeters","Latridae Trumpeters"
400361,"Polynemidae","Threadfins","Polynemidae Threadfins"
400364,"Scaridae","Parrotfishes","Scaridae Parrotfishes"
400377,"Trachinidae","Weeverfishes","Trachinidae Weeverfishes"
400382,"Nototheniidae","Cod icefishes","Nototheniidae Cod icefishes"
400383,"Bathydraconidae","Antarctic dragonfishes","Bathydraconidae Antarctic dragonfishes"
400384,"Channichthyidae","Crocodile icefishes","Channichthyidae Crocodile icefishes"
400402,"Ammodytidae","Sand lances","Ammodytidae Sand lances"
400405,"Gobiidae","Gobies","Gobiidae Gobies"
400414,"Gempylidae","Snake mackerels","Gempylidae Snake mackerels"
400415,"Trichiuridae","Cutlassfishes","Trichiuridae Cutlassfishes"
400419,"Istiophoridae","Billfishes","Istiophoridae Billfishes"
400421,"Centrolophidae","Medusafishes","Centrolophidae Medusafishes"
400425,"Stromateidae","Butterfishes","Stromateidae Butterfishes"
400439,"Bothidae","Lefteye flounders","Bothidae Lefteye flounders"
400440,"Pleuronectidae","Righteye flounders","Pleuronectidae Righteye flounders"
400441,"Soleidae","Soles","Soleidae Soles"
400442,"Cynoglossidae","Tonguefishes","Cynoglossidae Tonguefishes"
400445,"Balistidae","Triggerfishes","Balistidae Triggerfishes"
400459,"Caesionidae","Fusiliers","Caesionidae Fusiliers"
400460,"Pomacanthidae","Angelfishes","Pomacanthidae Angelfishes"
400479,"Inermiidae","Bonnetmouths","Inermiidae Bonnetmouths"
400488,"Triakidae","Houndsharks","Triakidae Houndsharks"
400509,"Ambassidae","Asiatic glassfishes","Ambassidae Asiatic glassfishes"
400515,"Scophthalmidae","Turbots","Scophthalmidae Turbots"
400517,"Monacanthidae","Filefishes","Monacanthidae Filefishes"
400591,"Artedidraconidae","Barbled plunderfishes","Artedidraconidae Barbled plunderfishes"
490004,"Ommastrephidae","Arrow squids","Ommastrephidae Arrow squids"
490011,"Sepiidae","Cuttlefishes","Sepiidae Cuttlefishes"
490012,"Octopodidae","Octopuses","Octopodidae Octopuses"
490021,"Buccinidae","Buccinidae","Buccinidae Buccinidae"
490031,"Portunidae","Swimming crabs","Portunidae Swimming crabs"
490039,"Palinuridae","Spiny lobsters","Palinuridae Spiny lobsters"
490040,"Scyllaridae","Slipper lobsters","Scyllaridae Slipper lobsters"
490041,"Sergestidae","Sergestid shrimp","Sergestidae Sergestid shrimp"
490042,"Aristeidae","Aristeid shrimps","Aristeidae Aristeid shrimps"
490054,"Mytilidae","Sea mussels","Mytilidae Sea mussels"
490055,"Pectinidae","Scallops","Pectinidae Scallops"
490058,"Cardiidae","Cockles","Cardiidae Cockles"
490060,"Veneridae","Venus clams","Veneridae Venus clams"
490063,"Mactridae","Mactra surf clams","Mactridae Mactra surf clams"
490097,"Brachyura","Marine crabs","Brachyura Marine crabs"
490124,"Galatheidae","Squat lobsters","Galatheidae Squat lobsters"
500107,"Squalus","Dogfishes","Squalus Dogfishes"
500122,"Trachinus","Weevers","Trachinus Weevers"
500147,"Argentina","Argentines","Argentina Argentines"
500152,"Mugil","Grey mullets","Mugil Grey mullets"
500352,"Alosa","Shads","Alosa Shads"
500357,"Lutjanus","Snappers","Lutjanus Snappers"
500467,"Caranx","Jacks","Caranx Jacks"
500468,"Scomberoides","Queenfishes","Scomberoides Queenfishes"
500477,"Kyphosus","Sea chubs","Kyphosus Sea chubs"
500551,"Plotosus","Eel catfishes","Plotosus Eel catfishes"
500598,"Trachinotus","Pompanos","Trachinotus Pompanos"
500618,"Solea","Soles","Solea Soles"
500638,"Isurus","Mako sharks","Isurus Mako sharks"
500639,"Alopias","Thresher sharks","Alopias Thresher sharks"
500642,"Etmopterus","Lanternsharks","Etmopterus Lanternsharks"
500654,"Merluccius","Hakes","Merluccius Hakes"
500679,"Spicara","Picarels","Spicara Picarels"
500686,"Gaidropsarus","Rocklings","Gaidropsarus Rocklings"
500693,"Sphyrna","Hammerhead sharks","Sphyrna Hammerhead sharks"
500808,"Scolopsis","Monocle breams","Scolopsis Monocle breams"
500901,"Serranus","Groupers","Serranus Groupers"
500912,"Priacanthus","Bigeyes","Priacanthus Bigeyes"
500928,"Seriola","Amberjacks","Seriola Amberjacks"
501055,"Gerres","Silver biddies","Gerres Silver biddies"
501096,"Molva","Lings","Molva Lings"
501129,"Beryx","Alfonsinos","Beryx Alfonsinos"
501135,"Sebastes","Redfishes","Sebastes Redfishes"
501145,"Pagellus","Pandoras","Pagellus Pandoras"
501164,"Peprilus","Harvestfishes","Peprilus Harvestfishes"
501242,"Scatophagus","Scats","Scatophagus Scats"
501345,"Tylosurus","Needlefishes","Tylosurus Needlefishes"
501464,"Pristiophorus","Sawsharks","Pristiophorus Sawsharks"
501486,"Lycodes","Eelpouts","Lycodes Eelpouts"
501523,"Nemadactylus","Porae","Nemadactylus Porae"
501551,"Calamus","Porgies","Calamus Porgies"
501552,"Nemipterus","Threadfin breams","Nemipterus Threadfin breams"
502102,"Decapterus","Scads","Decapterus Scads"
502790,"Menticirrhus","Kingcroakers","Menticirrhus Kingcroakers"
502794,"Cynoscion","Weakfishes","Cynoscion Weakfishes"
503124,"Lepidorhombus","Megrims","Lepidorhombus Megrims"
503328,"Notoscopelus","Lampfish","Notoscopelus Lampfish"
503685,"Gymnoscopelus","lanternfish","Gymnoscopelus lanternfish"
504054,"Muraenolepis","Moray cods","Muraenolepis Moray cods"
504140,"Benthodesmus","Frostfishes","Benthodesmus Frostfishes"
504872,"Dissostichus","Toothfishes","Dissostichus Toothfishes"
504993,"Rhinochimaera","Longnose chimaeras","Rhinochimaera Longnose chimaeras"
506253,"Coregonus","Whitefishes","Coregonus Whitefishes"
508895,"Pogonophryne","Blunderfish","Pogonophryne Blunderfish"
509125,"Sphoeroides","Puffers","Sphoeroides Puffers"
509289,"Hemiramphus","Halfbeaks","Hemiramphus Halfbeaks"
520007,"Pampus","Silver pomfrets","Pampus Silver pomfrets"
590010,"Loligo","Common squids","Loligo Common squids"
590014,"Crassostrea","Cupped oysters","Crassostrea Cupped oysters"
590046,"Haliotis","Abalones","Haliotis Abalones"
590049,"Littorina","Periwinkles","Littorina Periwinkles"
590050,"Murex","Murex shells","Murex Murex shells"
590051,"Strombus","Stromboid conchs","Strombus Stromboid conchs"
590067,"Geryon","Deepsea crabs","Geryon Deepsea crabs"
590082,"Palinurus","Spiny lobsters","Palinurus Spiny lobsters"
590089,"Haliporoides","Knife shrimps","Haliporoides Knife shrimps"
590107,"Lepas","Goose barnacles","Lepas Goose barnacles"
590110,"Busycon","Whelks","Busycon Whelks"
590112,"Ostrea","Flat oysters","Ostrea Flat oysters"
590116,"Modiolus","Horse mussels","Modiolus Horse mussels"
590134,"Meretrix","Hard clams","Meretrix Hard clams"
590137,"Mulinia","Taquilla clams","Mulinia Taquilla clams"
590145,"Solen","Razor clams","Solen Razor clams"
590147,"Tapes","Tapes clams","Tapes Tapes clams"
590242,"Patella","Limpets","Patella Limpets"
590260,"Sclerocrangon","Sculptured shrimps","Sclerocrangon Sculptured shrimps"
590262,"Tellina","Tellins","Tellina Tellins"
590269,"Tresus","Gaper clams","Tresus Gaper clams"
600004,"Engraulis ringens","Anchoveta","Engraulis ringens Anchoveta"
600005,"Orthopristis chrysoptera","Pigfish","Orthopristis chrysoptera Pigfish"
600006,"Coryphaena hippurus","Common dolphinfish","Coryphaena hippurus Common dolphinfish"
600015,"Epinephelus guttatus","Red hind","Epinephelus guttatus Red hind"
600017,"Epinephelus morio","Red grouper","Epinephelus morio Red grouper"
600018,"Epinephelus striatus","Nassau grouper","Epinephelus striatus Nassau grouper"
600024,"Clupea harengus","Atlantic herring","Clupea harengus Atlantic herring"
600028,"Lepidorhombus whiffiagonis","Megrim","Lepidorhombus whiffiagonis Megrim"
600029,"Merlangius merlangus","Whiting","Merlangius merlangus Whiting"
600030,"Merluccius merluccius","European hake","Merluccius merluccius European hake"
600031,"Micromesistius poutassou","Blue whiting","Micromesistius poutassou Blue whiting"
600032,"Microchirus variegatus","Thickback sole","Microchirus variegatus Thickback sole"
600033,"Molva molva","Ling","Molva molva Ling"
600034,"Pollachius pollachius","Pollack","Pollachius pollachius Pollack"
600045,"Atherina presbyter","Sand smelt","Atherina presbyter Sand smelt"
600051,"Brosme brosme","Tusk","Brosme brosme Tusk"
600054,"Capros aper","Boarfish","Capros aper Boarfish"
600056,"Cepola macrophthalma","Red bandfish","Cepola macrophthalma Red bandfish"
600059,"Symphodus melops","Corkwing wrasse","Symphodus melops Corkwing wrasse"
600063,"Dicentrarchus labrax","European seabass","Dicentrarchus labrax European seabass"
600066,"Engraulis encrasicolus","European anchovy","Engraulis encrasicolus European anchovy"
600068,"Eutrigla gurnardus","Grey gurnard","Eutrigla gurnardus Grey gurnard"
600069,"Gadus morhua","Atlantic cod","Gadus morhua Atlantic cod"
600071,"Caranx hippos","Crevalle jack","Caranx hippos Crevalle jack"
600072,"Gobius niger","Black goby","Gobius niger Black goby"
600077,"Istiophorus platypterus","Indo-Pacific sailfish","Istiophorus platypterus Indo-Pacific sailfish"
600078,"Istiophorus albicans","Atlantic sailfish","Istiophorus albicans Atlantic sailfish"
600083,"Aphareus rutilans","Rusty jobfish","Aphareus rutilans Rusty jobfish"
600084,"Aprion virescens","Green jobfish","Aprion virescens Green jobfish"
600088,"Lamna nasus","Porbeagle","Lamna nasus Porbeagle"
600089,"Acanthocybium solandri","Wahoo","Acanthocybium solandri Wahoo"
600090,"Cetorhinus maximus","Basking shark","Cetorhinus maximus Basking shark"
600096,"Euthynnus affinis","Kawakawa","Euthynnus affinis Kawakawa"
600097,"Euthynnus alletteratus","Little tunny","Euthynnus alletteratus Little tunny"
600098,"Euthynnus lineatus","Black skipjack","Euthynnus lineatus Black skipjack"
600101,"Alosa alosa","Allis shad","Alosa alosa Allis shad"
600105,"Alosa immaculata","Pontic shad","Alosa immaculata Pontic shad"
600106,"Gymnosarda unicolor","Dogtooth tuna","Gymnosarda unicolor Dogtooth tuna"
600107,"Katsuwonus pelamis","Skipjack tuna","Katsuwonus pelamis Skipjack tuna"
600108,"Orcynopsis unicolor","Plain bonito","Orcynopsis unicolor Plain bonito"
600109,"Rastrelliger brachysoma","Short mackerel","Rastrelliger brachysoma Short mackerel"
600111,"Rastrelliger kanagurta","Indian mackerel","Rastrelliger kanagurta Indian mackerel"
600114,"Sarda orientalis","Striped bonito","Sarda orientalis Striped bonito"
600115,"Sarda sarda","Atlantic bonito","Sarda sarda Atlantic bonito"
600116,"Scomber australasicus","Blue mackerel","Scomber australasicus Blue mackerel"
600118,"Scomber scombrus","Atlantic mackerel","Scomber scombrus Atlantic mackerel"
600119,"Scomberomorus brasiliensis","Serra Spanish mackerel","Scomberomorus brasiliensis Serra Spanish mackerel"
600120,"Scomberomorus cavalla","King mackerel","Scomberomorus cavalla King mackerel"
600123,"Scomberomorus guttatus","Indo-Pacific king mackerel","Scomberomorus guttatus Indo-Pacific king mackerel"
600125,"Scomberomorus lineolatus","Streaked seerfish","Scomberomorus lineolatus Streaked seerfish"
600131,"Scomberomorus niphonius","Japanese Spanish mackerel","Scomberomorus niphonius Japanese Spanish mackerel"
600134,"Scomberomorus regalis","Cero","Scomberomorus regalis Cero"
600136,"Scomberomorus sierra","Pacific sierra","Scomberomorus sierra Pacific sierra"
600138,"Somniosus microcephalus","Greenland shark","Somniosus microcephalus Greenland shark"
600140,"Rhinobatos percellens","Chola guitarfish","Rhinobatos percellens Chola guitarfish"
600141,"Scomberomorus tritor","West African Spanish mackerel","Scomberomorus tritor West African Spanish mackerel"
600142,"Thunnus alalunga","Albacore","Thunnus alalunga Albacore"
600143,"Thunnus albacares","Yellowfin tuna","Thunnus albacares Yellowfin tuna"
600144,"Thunnus atlanticus","Blackfin tuna","Thunnus atlanticus Blackfin tuna"
600145,"Thunnus maccoyii","Southern bluefin tuna","Thunnus maccoyii Southern bluefin tuna"
600146,"Thunnus obesus","Bigeye tuna","Thunnus obesus Bigeye tuna"
600147,"Thunnus thynnus","Atlantic bluefin tuna","Thunnus thynnus Atlantic bluefin tuna"
600148,"Thunnus tonggol","Longtail tuna","Thunnus tonggol Longtail tuna"
600152,"Lutjanus guttatus","Spotted rose snapper","Lutjanus guttatus Spotted rose snapper"
600156,"Lutjanus kasmira","Common bluestripe snapper","Lutjanus kasmira Common bluestripe snapper"
600162,"Lutjanus malabaricus","Malabar blood snapper","Lutjanus malabaricus Malabar blood snapper"
600167,"Callorhinchus capensis","Cape elephantfish","Callorhinchus capensis Cape elephantfish"
600171,"Lutjanus purpureus","Southern red snapper","Lutjanus purpureus Southern red snapper"
600175,"Elops saurus","Ladyfish","Elops saurus Ladyfish"
600181,"Lutjanus synagris","Lane snapper","Lutjanus synagris Lane snapper"
600185,"Lutjanus vivanus","Silk snapper","Lutjanus vivanus Silk snapper"
600188,"Ocyurus chrysurus","Yellowtail snapper","Ocyurus chrysurus Yellowtail snapper"
600203,"Boops boops","Bogue","Boops boops Bogue"
600204,"Sarpa salpa","Salema","Sarpa salpa Salema"
600206,"Pristipomoides macrophthalmus","Cardinal snapper","Pristipomoides macrophthalmus Cardinal snapper"
600213,"Rhomboplites aurorubens","Vermilion snapper","Rhomboplites aurorubens Vermilion snapper"
600218,"Makaira mazara","Indo-Pacific blue marlin","Makaira mazara Indo-Pacific blue marlin"
600220,"Tetrapturus pfluegeri","Longbill spearfish","Tetrapturus pfluegeri Longbill spearfish"
600226,"Xiphias gladius","Swordfish","Xiphias gladius Swordfish"
600227,"Megalops cyprinoides","Indo-Pacific tarpon","Megalops cyprinoides Indo-Pacific tarpon"
600228,"Albula vulpes","Bonefish","Albula vulpes Bonefish"
600229,"Pterothrissus belloci","Longfin bonefish","Pterothrissus belloci Longfin bonefish"
600231,"Coregonus albula","Vendace","Coregonus albula Vendace"
600233,"Coregonus oxyrinchus","Houting","Coregonus oxyrinchus Houting"
600236,"Salmo salar","Atlantic salmon","Salmo salar Atlantic salmon"
600239,"Oncorhynchus mykiss","Rainbow trout","Oncorhynchus mykiss Rainbow trout"
600240,"Oncorhynchus gorbuscha","Pink salmon","Oncorhynchus gorbuscha Pink salmon"
600241,"Oncorhynchus keta","Chum salmon","Oncorhynchus keta Chum salmon"
600243,"Oncorhynchus nerka","Sockeye salmon","Oncorhynchus nerka Sockeye salmon"
600244,"Oncorhynchus tshawytscha","Chinook salmon","Oncorhynchus tshawytscha Chinook salmon"
600245,"Oncorhynchus kisutch","Coho salmon","Oncorhynchus kisutch Coho salmon"
600250,"Schedophilus ovalis","Imperial blackfish","Schedophilus ovalis Imperial blackfish"
600252,"Mallotus villosus","Capelin","Mallotus villosus Capelin"
600255,"Hypomesus pretiosus","Surf smelt","Hypomesus pretiosus Surf smelt"
600256,"Thaleichthys pacificus","Eulachon","Thaleichthys pacificus Eulachon"
600265,"Lutjanus gibbus","Humpback red snapper","Lutjanus gibbus Humpback red snapper"
600266,"Lutjanus griseus","Grey snapper","Lutjanus griseus Grey snapper"
600298,"Muraenesox cinereus","Daggertooth pike conger","Muraenesox cinereus Daggertooth pike conger"
600299,"Conger orbignianus","Argentine conger","Conger orbignianus Argentine conger"
600300,"Conger oceanicus","American conger","Conger oceanicus American conger"
600301,"Conger conger","European conger","Conger conger European conger"
600302,"Conger myriaster","Whitespotted conger","Conger myriaster Whitespotted conger"
600303,"Cololabis saira","Pacific saury","Cololabis saira Pacific saury"
600305,"Hyporhamphus sajori","Japanese halfbeak","Hyporhamphus sajori Japanese halfbeak"
600306,"Salilota australis","Tadpole codling","Salilota australis Tadpole codling"
600308,"Gadus macrocephalus","Pacific cod","Gadus macrocephalus Pacific cod"
600309,"Gadus ogac","Greenland cod","Gadus ogac Greenland cod"
600311,"Urophycis brasiliensis","Brazilian codling","Urophycis brasiliensis Brazilian codling"
600312,"Urophycis chuss","Red hake","Urophycis chuss Red hake"
600313,"Urophycis tenuis","White hake","Urophycis tenuis White hake"
600314,"Eleginus nawaga","Navaga","Eleginus nawaga Navaga"
600315,"Eleginus gracilis","Saffron cod","Eleginus gracilis Saffron cod"
600316,"Microgadus tomcod","Atlantic tomcod","Microgadus tomcod Atlantic tomcod"
600319,"Boreogadus saida","Polar cod","Boreogadus saida Polar cod"
600320,"Micromesistius australis","Southern blue whiting","Micromesistius australis Southern blue whiting"
600321,"Merluccius senegalensis","Senegalese hake","Merluccius senegalensis Senegalese hake"
600322,"Merluccius australis","Southern hake","Merluccius australis Southern hake"
600323,"Merluccius bilinearis","Silver hake","Merluccius bilinearis Silver hake"
600324,"Merluccius gayi gayi","South Pacific hake","Merluccius gayi gayi South Pacific hake"
600325,"Merluccius hubbsi","Argentine hake","Merluccius hubbsi Argentine hake"
600326,"Merluccius productus","North Pacific hake","Merluccius productus North Pacific hake"
600327,"Merluccius polli","Benguela hake","Merluccius polli Benguela hake"
600329,"Macruronus magellanicus","Patagonian grenadier","Macruronus magellanicus Patagonian grenadier"
600332,"Coryphaenoides rupestris","Roundnose grenadier","Coryphaenoides rupestris Roundnose grenadier"
600333,"Macroramphosus scolopax","Longspine snipefish","Macroramphosus scolopax Longspine snipefish"
600334,"Hoplostethus atlanticus","Orange roughy","Hoplostethus atlanticus Orange roughy"
600336,"Zenopsis conchifer","Silvery John dory","Zenopsis conchifer Silvery John dory"
600338,"Joturus pichardi","Bobo mullet","Joturus pichardi Bobo mullet"
600339,"Menidia menidia","Atlantic silverside","Menidia menidia Atlantic silverside"
600340,"Eleutheronema tetradactylum","Fourfinger threadfin","Eleutheronema tetradactylum Fourfinger threadfin"
600341,"Galeoides decadactylus","Lesser African threadfin","Galeoides decadactylus Lesser African threadfin"
600342,"Pentanemus quinquarius","Royal threadfin","Pentanemus quinquarius Royal threadfin"
600345,"Centropomus undecimalis","Common snook","Centropomus undecimalis Common snook"
600346,"Lates calcarifer","Barramundi","Lates calcarifer Barramundi"
600348,"Epinephelus analogus","Spotted grouper","Epinephelus analogus Spotted grouper"
600349,"Polyprion americanus","Wreckfish","Polyprion americanus Wreckfish"
600352,"Paralabrax humeralis","Peruvian rock seabass","Paralabrax humeralis Peruvian rock seabass"
600355,"Morone americana","White perch","Morone americana White perch"
600356,"Priacanthus macracanthus","Red bigeye","Priacanthus macracanthus Red bigeye"
600361,"Centropristis striata","Black seabass","Centropristis striata Black seabass"
600362,"Lopholatilus chamaeleonticeps","Great northern tilefish","Lopholatilus chamaeleonticeps Great northern tilefish"
600363,"Lactarius lactarius","False trevally","Lactarius lactarius False trevally"
600364,"Pomatomus saltatrix","Bluefish","Pomatomus saltatrix Bluefish"
600366,"Trachurus japonicus","Japanese jack mackerel","Trachurus japonicus Japanese jack mackerel"
600368,"Trachurus symmetricus","Pacific jack mackerel","Trachurus symmetricus Pacific jack mackerel"
600369,"Trachurus lathami","Rough scad","Trachurus lathami Rough scad"
600371,"Trachurus trecae","Cunene horse mackerel","Trachurus trecae Cunene horse mackerel"
600372,"Trachurus declivis","Greenback horse mackerel","Trachurus declivis Greenback horse mackerel"
600374,"Decapterus russelli","Indian scad","Decapterus russelli Indian scad"
600378,"Selene setapinnis","Atlantic moonfish","Selene setapinnis Atlantic moonfish"
600379,"Selene dorsalis","African moonfish","Selene dorsalis African moonfish"
600380,"Trachinotus carolinus","Florida pompano","Trachinotus carolinus Florida pompano"
600382,"Seriola lalandi","Yellowtail amberjack","Seriola lalandi Yellowtail amberjack"
600384,"Megalaspis cordyla","Torpedo scad","Megalaspis cordyla Torpedo scad"
600385,"Chloroscombrus chrysurus","Atlantic bumper","Chloroscombrus chrysurus Atlantic bumper"
600386,"Parona signata","Parona leatherjacket","Parona signata Parona leatherjacket"
600387,"Selar crumenophthalmus","Bigeye scad","Selar crumenophthalmus Bigeye scad"
600388,"Selaroides leptolepis","Yellowstripe scad","Selaroides leptolepis Yellowstripe scad"
600390,"Mene maculata","Moonfish","Mene maculata Moonfish"
600391,"Brama brama","Atlantic pomfret","Brama brama Atlantic pomfret"
600394,"Dicentrarchus punctatus","Spotted seabass","Dicentrarchus punctatus Spotted seabass"
600396,"Nemipterus virgatus","Golden threadfin bream","Nemipterus virgatus Golden threadfin bream"
600397,"Isacia conceptionis","Cabinza grunt","Isacia conceptionis Cabinza grunt"
600398,"Plectorhinchus mediterraneus","Rubberlip grunt","Plectorhinchus mediterraneus Rubberlip grunt"
600399,"Pomadasys argenteus","Silver grunt","Pomadasys argenteus Silver grunt"
600400,"Brachydeuterus auritus","Bigeye grunt","Brachydeuterus auritus Bigeye grunt"
600401,"Conodon nobilis","Barred grunt","Conodon nobilis Barred grunt"
600403,"Cynoscion analis","Peruvian weakfish","Cynoscion analis Peruvian weakfish"
600405,"Cynoscion nebulosus","Spotted weakfish","Cynoscion nebulosus Spotted weakfish"
600408,"Micropogonias undulatus","Atlantic croaker","Micropogonias undulatus Atlantic croaker"
600411,"Menticirrhus littoralis","Gulf kingcroaker","Menticirrhus littoralis Gulf kingcroaker"
600412,"Elagatis bipinnulata","Rainbow runner","Elagatis bipinnulata Rainbow runner"
600413,"Umbrina canosai","Argentine croaker","Umbrina canosai Argentine croaker"
600416,"Larimichthys polyactis","Yellow croaker","Larimichthys polyactis Yellow croaker"
600417,"Macrodon ancylodon","King weakfish","Macrodon ancylodon King weakfish"
600418,"Argyrosomus regius","Meagre","Argyrosomus regius Meagre"
600419,"Argyrosomus hololepidotus","Southern meagre","Argyrosomus hololepidotus Southern meagre"
600422,"Genyonemus lineatus","White croaker","Genyonemus lineatus White croaker"
600423,"Pteroscion peli","Boe drum","Pteroscion peli Boe drum"
600424,"Paralonchurus peruanus","Peruvian banded croaker","Paralonchurus peruanus Peruvian banded croaker"
600425,"Pogonias cromis","Black drum","Pogonias cromis Black drum"
600426,"Epinephelus aeneus","White grouper","Epinephelus aeneus White grouper"
600428,"Larimichthys crocea","Large yellow croaker","Larimichthys crocea Large yellow croaker"
600429,"Leiostomus xanthurus","Spot croaker","Leiostomus xanthurus Spot croaker"
600432,"Pseudotolithus senegalensis","Cassava croaker","Pseudotolithus senegalensis Cassava croaker"
600433,"Pseudotolithus elongatus","Bobo croaker","Pseudotolithus elongatus Bobo croaker"
600436,"Pagellus bellottii","Red pandora","Pagellus bellottii Red pandora"
600439,"Dentex dentex","Common dentex","Dentex dentex Common dentex"
600443,"Argyrozona argyrozona","Carpenter seabream","Argyrozona argyrozona Carpenter seabream"
600444,"Cheimerius nufar","Santer seabream","Cheimerius nufar Santer seabream"
600447,"Petrus rupestris","Red steenbras","Petrus rupestris Red steenbras"
600448,"Pterogymnus laniarius","Panga seabream","Pterogymnus laniarius Panga seabream"
600449,"Rhabdosargus globiceps","White stumpnose","Rhabdosargus globiceps White stumpnose"
600450,"Lithognathus lithognathus","White steenbras","Lithognathus lithognathus White steenbras"
600452,"Stenotomus chrysops","Scup","Stenotomus chrysops Scup"
600453,"Pseudupeneus prayensis","West African goatfish","Pseudupeneus prayensis West African goatfish"
600458,"Tautoga onitis","Tautog","Tautoga onitis Tautog"
600461,"Cheilodactylus variegatus","Peruvian morwong","Cheilodactylus variegatus Peruvian morwong"
600465,"Percophis brasiliensis","Brazilian flathead","Percophis brasiliensis Brazilian flathead"
600466,"Eleginops maclovinus","Patagonian blennie","Eleginops maclovinus Patagonian blennie"
600467,"Dissostichus eleginoides","Patagonian toothfish","Dissostichus eleginoides Patagonian toothfish"
600468,"Notothenia rossii","Marbled rockcod","Notothenia rossii Marbled rockcod"
600473,"Chaenocephalus aceratus","Blackfin icefish","Chaenocephalus aceratus Blackfin icefish"
600474,"Champsocephalus gunnari","Mackerel icefish","Champsocephalus gunnari Mackerel icefish"
600475,"Pseudochaenichthys georgianus","South Georgia icefish","Pseudochaenichthys georgianus South Georgia icefish"
600476,"Chionodraco rastrospinosus","Ocellated icefish","Chionodraco rastrospinosus Ocellated icefish"
