x
Mizuhopecten yessoensis Yesso scallop
Moronidae Temperate basses
Mustelus whitneyi Humpback smooth-hound
Myxus elongatus Sand grey mullet
Nassarius mutabilis Changeable nassa
Nematalosa nasus Bloch's gizzard shad
Nematopalaemon hastatus Estuarine prawn
Nemipterus hexodon Ornate threadfin bream
Nemipterus randalli Randall's threadfin bream
Nemopilema nomurai Nomura jelly
Neomyxus leuciscus Acute-jawed mullet
Nototodarus gouldi Gould's flying squid
Ocypode cursor tufted ghost crab
Odax pullus Butterfish
Odontamblyopus rubicundus Rubicundus eelgoby
Odontaspis ferox Smalltooth sand tiger
Ommastrephes Flying squids
Ophichthus Snake eel
Orthopristis reddingi Bronze-striped grunt
Osteichthyes Bony fish
Otolithes ruber Tigertooth croaker
Ozius guttatus Spottedbelly rock crab
Pagrus major Japanese seabream
Paralabrax albomaculatus Camotillo
Paralabrax maculatofasciatus Spotted sand bass
Paranthias furcifer Creole-fish
Parapenaeopsis stylifera Kiddi shrimp
Parapenaeopsis uncta Uncta shrimp
Parapristipoma trilineatum Chicken grunt
Parastichopus regalis Royal cucumber
Paromola cuvieri Paromola
Parupeneus cyclostomus Gold-saddle goatfish
Pasiphaea multidentata Pink glass shrimp
Pasiphaea sivado White glass shrimp
Pastinachus sephen Cowtail stingray
Patagonotothen guntheri Yellowfin notothen
Peristedion cataphractum African armoured searobin
Plectorhinchus gaterinus Blackspotted rubberlip
Plectorhinchus schotaf Minstrel sweetlips
Plesionika edwardsii Soldier striped shrimp
Plesionika heterocarpus Arrow shrimp
Plesionika martia Golden shrimp
Plesionika trispinus Pacific deepwater shrimp
Pleurogrammus azonus Okhotsk atka mackerel
Podophthalmus vigil periscope crab
Polititapes rhomboides Banded carpet shell
Polymesoda caroliniana Carolina marshclam
Polynemus paradiseus Paradise threadfin
Polyprion oxygeneios Hapuku wreckfish
Polyprion Wreckfishes
Pomadasys argyreus Bluecheek silver grunt
Pomatomidae Bluefishes
Pontinus macrocephalus Large-headed scorpionfish
Porichthys analis Darkedge midshipman
Porichthys porosissimus South American toadfish
Portunus armatus Blue swimmer crab
Priacanthus tayenus Purple-spotted bigeye
Protonibea diacanthus Blackspotted croaker
Pseudaphya ferreri Ferrer's goby
Pseudobatos planiceps Pacific guitarfish
Pseudopentaceros richardsoni Pelagic armourhead
Pseudorhombus arsius Largetooth flounder
Pterengraulis atherinoides Wingfin anchovy
Pterocaesio tile Dark-banded fusilier
Pterotolithus maculatus Blotched tiger-toothed croaker
Rangia cuneata Atlantic rangia
Rhinoptera steindachneri Pacific cownose ray
Rhizostoma pulmo Barrel jellyfish
Rhizostomeae Oral arm jellyfishes
Salpidae Salps
Sarda australis Australian bonito
Sarda Bonitos
Scolopsis taeniata Black-streaked monocle bream
Scomber japonicus Pacific chub mackerel
Scomberomorus semifasciatus Broad-barred king mackerel
"Scombroidei Barracudas, tunas, marlins, mackarels"
Scorpaena sonorae Sonora scorpionfish
Scorpis violacea Blue maomao
Scyliorhinus canicula Small-spotted catshark
Scyllarus arctus Small European locust lobster
Secutor insidiator Pugnose ponyfish
Selene peruviana Peruvian moonfish
Sepia elegans Elegant cuttlefish
Sepia orbignyana Pink cuttlefish
Sepia pharaonis Pharaoh cuttlefish
Seriola hippos Samson fish
Siganus lineatus Golden-lined spinefoot
Sillago ciliata Sand sillago
Solea aegyptiaca Egyptian sole
Solen marginatus European razor clam
Solenocera florea Flower shrimp
Solenoceridae Solenocerid shrimps
Spicara melanurus Blackspot picarel
Spratelloides gracilis Silver-stripe round herring
Squalus acanthias Picked dogfish
Squalus mitsukurii Shortspine spurdog
Squalus suckleyi Pacific spiny dogfish
Stephanolepis cirrhifer Threadsail filefish
Stolephorus waitei Spotty-face anchovy
Stomolophus meleagris Cannonball jellyfish
Symphodus Eastern Atlantic wrasses
Synapturichthys kleinii Klein's sole
Terapon theraps Largescaled terapon
Tetrapturus Spearfishes
Thryssa dussumieri Dussumier's thryssa
Thysanoteuthis rhombus Rhomboid squid
Todaropsis eblanae Lesser flying squid
Trachurus novaezelandiae Yellowtail horse mackerel
Trisopterus Pouts
Turbo marmoratus Green turban
Umbrina ronchus Fusca drum
Upeneus moluccensis Goldband goatfish
Venerupis Rhomboid carpet shells
Venus nux Saltwater clam
Wattsia mossambica Mozambique large-eye bream
Anchoa hepsetus Broad-striped anchovy
Atherina boyeri Big-scale sand smelt
Bathyraja meridionalis Dark-belly skate
Chirocentrus dorab Dorab wolf-herring
Ctenolabrus rupestris Goldsinny-wrasse
Dentex macrophthalmus Large-eye dentex
Diplodus vulgaris Common two-banded seabream
Epinephelus coioides Orange-spotted grouper
Epinephelus fuscoguttatus Brown-marbled grouper
Genypterus maculatus Black cusk-eel
Gerres oyena Common silver-biddy
Hydrolagus mirabilis Large-eyed rabbitfish
Lepidotrigla cavillone Large-scaled gurnard
Lethrinus obsoletus Orange-striped emperor
Lutjanus quinquelineatus Five-lined snapper
Monotaxis grandoculis Humpnose big-eye bream
Mustelus henlei Brown smooth-hound
Mustelus schmitti Narrownose smooth-hound
Myliobatis aquila Common eagle ray
Sardinops sagax South American pilchard
Scarus ghobban Blue-barred parrotfish
Scomberomorus commerson Narrow-barred Spanish mackerel
Strangomera bentincki Araucanian herring
