shp_iucn_sid,sciname,shp_subpop,api_iucn_sid,api_subpop
245,Acipenser oxyrinchus,New York Bight subpopulation,216648499,New York Bight subpopulation
245,Acipenser oxyrinchus,Baltic Sea subpopulation,182572773,Baltic Sea subpopulation
245,Acipenser oxyrinchus,Baltic Sea,182572773,Baltic Sea subpopulation
245,Acipenser oxyrinchus,South Atlantic subpopulation,216648545,South Atlantic subpopulation
245,Acipenser oxyrinchus,Canadian Maritime subpopulation,216648039,Canadian Maritime subpopulation
245,Acipenser oxyrinchus,Gulf of Maine subpopulation,216648437,Gulf of Maine subpopulation
245,Acipenser oxyrinchus,Chesapeake Bay subpopulation,216648271,Chesapeake Bay subpopulation
245,Acipenser oxyrinchus,Carolina subpopulation,216648226,Carolina subpopulation
135301,Oncorhynchus nerka,Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Schoen Ck/Davie R,135323,PUGET SOUND-GEORGIA BASIN: Schoen Ck/Davie R
135301,Oncorhynchus nerka,Oncorhynchus nerka TRANSBOUNDARY FJORDS: Kah Sheets Lk/S Kupreanof Is,135357,TRANSBOUNDARY FJORDS: Kah Sheets Lk/S Kupreanof Is
135301,Oncorhynchus nerka,"Oncorhynchus nerka STIKINE RIVER, LOWER",135325,"STIKINE RIVER, LOWER"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Gates Ck and Channel (early summer)",135315,"FRASER RIVER, MIDDLE: Gates Ck and Channel (early summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka HECATE STRAIT-Q.C. SOUND: Atnarko R,135354,HECATE STRAIT-Q.C. SOUND: Atnarko R
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LOWER: Chilliwack Lk (early summer)",201439,"FRASER RIVER, LOWER: Chilliwack Lk (early summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka WESTERN ARCTIC CURRENT (COLD),135313,WESTERN ARCTIC CURRENT (COLD)
135301,Oncorhynchus nerka,Oncorhynchus nerka NASS-SKEENA ESTUARY: North of Nass,135352,NASS-SKEENA ESTUARY: North of Nass
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, S THOMPSON: Shuswap, Kamloops (late)",201446,"FRASER RIVER, S THOMPSON: Shuswap, Kamloops (late)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Chilko (summer)",201450,"FRASER RIVER, MIDDLE: Chilko (summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka HECATE STRAIT-Q.C. SOUND: Hecate Strait,201437,HECATE STRAIT-Q.C. SOUND: Hecate Strait
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, MIDDLE: Babine",201436,"SKEENA R, MIDDLE: Babine"
135301,Oncorhynchus nerka,Oncorhynchus nerka HECATE STRAIT-Q.C. SOUND: Kitimat to Kitlope R,135376,HECATE STRAIT-Q.C. SOUND: Kitimat to Kitlope R
135301,Oncorhynchus nerka,"Oncorhynchus nerka COLUMBIA RIVER: Upper, Headwater/Arrow, Whatsan Lk",135368,"COLUMBIA RIVER: Upper, Headwater/Arrow, Whatsan Lk"
135301,Oncorhynchus nerka,Oncorhynchus nerka SEA OF OKHOTSK CURRENT (COLD),135302,SEA OF OKHOTSK CURRENT (COLD)
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, MIDDLE: Kispiox R, Club",201435,"SKEENA R, MIDDLE: Kispiox R, Club"
135301,Oncorhynchus nerka,Oncorhynchus nerka SOUTHEAST BERING SEA INNER SHELF,135340,SOUTHEAST BERING SEA INNER SHELF
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, LOWER: Alastair",201432,"SKEENA R, LOWER: Alastair"
135301,Oncorhynchus nerka,Oncorhynchus nerka WESTERN KAMCHATKA CURRENT (WARM),135370,WESTERN KAMCHATKA CURRENT (WARM)
135301,Oncorhynchus nerka,Oncorhynchus nerka ALSEK RIVER,135374,ALSEK RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka OKHOTSK-OYASHIO MIXING,135327,OKHOTSK-OYASHIO MIXING
135301,Oncorhynchus nerka,Oncorhynchus nerka KAMCHATKA RIVER,135351,KAMCHATKA RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka NASS-SKEENA ESTUARY: N Hadai Gwaii,135333,NASS-SKEENA ESTUARY: N Hadai Gwaii
135301,Oncorhynchus nerka,Oncorhynchus nerka TRANSBOUNDARY FJORDS: North,135312,TRANSBOUNDARY FJORDS: North
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LOWER: Widgeon Creek (late)",135372,"FRASER RIVER, LOWER: Widgeon Creek (late)"
135301,Oncorhynchus nerka,Oncorhynchus nerka COLUMBIA RIVER: Wenatchee,135363,COLUMBIA RIVER: Wenatchee
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, UPPER: Bowron (early summer)",135336,"FRASER RIVER, UPPER: Bowron (early summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka HECATE STRAIT-Q.C. SOUND: E Hadai Gwaii,201438,HECATE STRAIT-Q.C. SOUND: E Hadai Gwaii
135301,Oncorhynchus nerka,Oncorhynchus nerka NASS RIVER: Upper Nass,201429,NASS RIVER: Upper Nass
135301,Oncorhynchus nerka,Oncorhynchus nerka TRANSBOUNDARY FJORDS: South,135342,TRANSBOUNDARY FJORDS: South
135301,Oncorhynchus nerka,Oncorhynchus nerka NOATAK RIVER,135324,NOATAK RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Glendale Ck/Knight Inl,135344,PUGET SOUND-GEORGIA BASIN: Glendale Ck/Knight Inl
135301,Oncorhynchus nerka,Oncorhynchus nerka NASS RIVER: Coastal,201431,NASS RIVER: Coastal
135301,Oncorhynchus nerka,Oncorhynchus nerka TRANSBOUNDARY FJORDS: Petersburg Lk/N Kupreanof Is,135308,TRANSBOUNDARY FJORDS: Petersburg Lk/N Kupreanof Is
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, S THOMPSON: Shuswap (early summer)",201445,"FRASER RIVER, S THOMPSON: Shuswap (early summer)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Chilko (early summer)",201449,"FRASER RIVER, MIDDLE: Chilko (early summer)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LOWER: Harrison River (late)",201441,"FRASER RIVER, LOWER: Harrison River (late)"
135301,Oncorhynchus nerka,Oncorhynchus nerka YUKON RIVER INFLUENCE,135335,YUKON RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka YUKON RIVER INFLUENCE,135329,YUKON RIVER INFLUENCE
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Nahatlatch (early summer)",201447,"FRASER RIVER, MIDDLE: Nahatlatch (early summer)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Nadina, Nechako (early summer)",135303,"FRASER RIVER, MIDDLE: Nadina, Nechako (early summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka YUKON RIVER,135335,YUKON RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka SHELIKHOV GULF (COLD),135359,SHELIKHOV GULF (COLD)
135301,Oncorhynchus nerka,Oncorhynchus nerka COLUMBIA RIVER: Yakima R,135316,COLUMBIA RIVER: Yakima R
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, N THOMPSON: Kamloops (early summer)",135332,"FRASER RIVER, N THOMPSON: Kamloops (early summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka NASS RIVER: Gingit,201430,NASS RIVER: Gingit
135301,Oncorhynchus nerka,"Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Phillips R, Heydon Ck",135356,"PUGET SOUND-GEORGIA BASIN: Phillips R, Heydon Ck"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LILLOOET: Birkenhead (late)",135310,"FRASER RIVER, LILLOOET: Birkenhead (late)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka ALASKA COASTAL DOWNWELLING, WESTERN GULF OF ALASKA",135361,"ALASKA COASTAL DOWNWELLING, WESTERN GULF OF ALASKA"
135301,Oncorhynchus nerka,Oncorhynchus nerka COLUMBIA RIVER: Wallowa Lk,135326,COLUMBIA RIVER: Wallowa Lk
135301,Oncorhynchus nerka,Oncorhynchus nerka OUTER ISLANDS: NW Vancouver Island,201499,OUTER ISLANDS: NW Vancouver Island
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Taseko (early summer)",201448,"FRASER RIVER, MIDDLE: Taseko (early summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka OUTER ISLANDS: W Hadai Gwaii,201500,OUTER ISLANDS: W Hadai Gwaii
135301,Oncorhynchus nerka,Oncorhynchus nerka COLUMBIA RIVER: Payette R,135339,COLUMBIA RIVER: Payette R
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Stuart (early Stuart)",201453,"FRASER RIVER, MIDDLE: Stuart (early Stuart)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Nechako (summer)",201452,"FRASER RIVER, MIDDLE: Nechako (summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka ANADYR CURRENT,135318,ANADYR CURRENT
135301,Oncorhynchus nerka,Oncorhynchus nerka HECATE STRAIT-Q.C. SOUND: Queen Charlotte Sound,135381,HECATE STRAIT-Q.C. SOUND: Queen Charlotte Sound
135301,Oncorhynchus nerka,Oncorhynchus nerka COLUMBIA RIVER: Suttle Lk/Deschutes R,135341,COLUMBIA RIVER: Suttle Lk/Deschutes R
135301,Oncorhynchus nerka,Oncorhynchus nerka PENZHINA INTRACOASTAL,135345,PENZHINA INTRACOASTAL
135301,Oncorhynchus nerka,Oncorhynchus nerka PRINCE WILLIAM SOUND,135334,PRINCE WILLIAM SOUND
135301,Oncorhynchus nerka,"Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Village Bay Ck, Sakinaw",135330,"PUGET SOUND-GEORGIA BASIN: Village Bay Ck, Sakinaw"
135301,Oncorhynchus nerka,Oncorhynchus nerka ANADYR RIVER,135377,ANADYR RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka BERING-ALASKAN MIXING,135320,BERING-ALASKAN MIXING
135301,Oncorhynchus nerka,Oncorhynchus nerka BERING SLOPE/KAMCHATKA CURRENTS,135331,BERING SLOPE/KAMCHATKA CURRENTS
135301,Oncorhynchus nerka,Oncorhynchus nerka COLUMBIA RIVER: Okanogan R/Osoyoos Lk,135317,COLUMBIA RIVER: Okanogan R/Osoyoos Lk
135301,Oncorhynchus nerka,Oncorhynchus nerka COLUMBIA RIVER: Redfish Lk,135309,COLUMBIA RIVER: Redfish Lk
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, MIDDLE: Nanika Lk/Morice R",135373,"SKEENA R, MIDDLE: Nanika Lk/Morice R"
135301,Oncorhynchus nerka,Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Baker Lk/Puget Sound,135319,PUGET SOUND-GEORGIA BASIN: Baker Lk/Puget Sound
135301,Oncorhynchus nerka,"Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Nimpkish, Mackenzie R",135337,"PUGET SOUND-GEORGIA BASIN: Nimpkish, Mackenzie R"
135301,Oncorhynchus nerka,Oncorhynchus nerka COOK INLET,135348,COOK INLET
135301,Oncorhynchus nerka,Oncorhynchus nerka SEASONAL UPWELLING CLINE,135311,SEASONAL UPWELLING CLINE
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, UPPER",135321,"SKEENA R, UPPER"
135301,Oncorhynchus nerka,Oncorhynchus nerka VANCOUVER ISLAND COASTAL CURRENT,135371,VANCOUVER ISLAND COASTAL CURRENT
135301,Oncorhynchus nerka,Oncorhynchus nerka VELIKAYA RIVER,135346,VELIKAYA RIVER
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LOWER: Big Silver (late)",201444,"FRASER RIVER, LOWER: Big Silver (late)"
135301,Oncorhynchus nerka,Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Klinaklini River,135366,PUGET SOUND-GEORGIA BASIN: Klinaklini River
135301,Oncorhynchus nerka,Oncorhynchus nerka EASTERN ARCTIC CURRENT (WARM),135306,EASTERN ARCTIC CURRENT (WARM)
135301,Oncorhynchus nerka,Oncorhynchus nerka EASTERN ARCTIC (COLD),135379,EASTERN ARCTIC (COLD)
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LOWER: Cultus Lk (late)",201440,"FRASER RIVER, LOWER: Cultus Lk (late)"
135301,Oncorhynchus nerka,Oncorhynchus nerka NASS-SKEENA ESTUARY: Hugh Smith Lk/Boca de Quadra,135328,NASS-SKEENA ESTUARY: Hugh Smith Lk/Boca de Quadra
135301,Oncorhynchus nerka,Oncorhynchus nerka KUSKOKWIM RIVER,135343,KUSKOKWIM RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka KODIAK ISLAND,135365,KODIAK ISLAND
135301,Oncorhynchus nerka,Oncorhynchus nerka KOBUK RIVER,135355,KOBUK RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka KANCHALAN RIVER,135375,KANCHALAN RIVER
135301,Oncorhynchus nerka,Oncorhynchus nerka HECATE STRAIT-Q.C. SOUND: Lowe Lk/Granville Ch,135338,HECATE STRAIT-Q.C. SOUND: Lowe Lk/Granville Ch
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, LOWER: Kitsumkalum",201434,"SKEENA R, LOWER: Kitsumkalum"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Quesnel (summer)",201451,"FRASER RIVER, MIDDLE: Quesnel (summer)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka ALASKA COASTAL DOWNWELLING, EASTERN GULF OF ALASKA",135322,"ALASKA COASTAL DOWNWELLING, EASTERN GULF OF ALASKA"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, MIDDLE: Stuart (summer)",201454,"FRASER RIVER, MIDDLE: Stuart (summer)"
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LOWER: Weaver (late)",201442,"FRASER RIVER, LOWER: Weaver (late)"
135301,Oncorhynchus nerka,Oncorhynchus nerka HECATE STRAIT-Q.C. SOUND: Bella Coola R,135360,HECATE STRAIT-Q.C. SOUND: Bella Coola R
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, LOWER: Schulbuckhand",201433,"SKEENA R, LOWER: Schulbuckhand"
135301,Oncorhynchus nerka,"Oncorhynchus nerka SKEENA R, LOWER: McDonnel Lk/Zymoetz R",135353,"SKEENA R, LOWER: McDonnel Lk/Zymoetz R"
135301,Oncorhynchus nerka,Oncorhynchus nerka TRANSBOUNDARY FJORDS: Shipley Lk/N Kosciusko Is,135358,TRANSBOUNDARY FJORDS: Shipley Lk/N Kosciusko Is
135301,Oncorhynchus nerka,"Oncorhynchus nerka FRASER RIVER, LOWER: Upper Pitt R (early summer)",135369,"FRASER RIVER, LOWER: Upper Pitt R (early summer)"
135301,Oncorhynchus nerka,Oncorhynchus nerka TRANSBOUNDARY FJORDS: Kunk Lk/E Etolin Is,135362,TRANSBOUNDARY FJORDS: Kunk Lk/E Etolin Is
135301,Oncorhynchus nerka,Oncorhynchus nerka PUGET SOUND-GEORGIA BASIN: Quatse R/N Vancouver I,135380,PUGET SOUND-GEORGIA BASIN: Quatse R/N Vancouver I
135301,Oncorhynchus nerka,Oncorhynchus nerka COPPER RIVER,135347,COPPER RIVER
232,Acipenser gueldenstaedtii,Caspian Sea,246,Caspian Sea subpopulation
232,Acipenser gueldenstaedtii,Black Sea and Sea of Azov,182569211,Black Sea and Sea of Azov subpopulation
233,Acipenser medirostris,Southern DPS subpopulation,97432665,Southern DPS subpopulation
233,Acipenser medirostris,Northern DPS subpopulation,97432621,Northern DPS subpopulation
18175,Pristis pectinata,Eastern Atlantic,43398244,Eastern Atlantic subpopulation
18175,Pristis pectinata,Western Atlantic,43398250,Western Atlantic subpopulation
18584848,Pristis pristis,Eastern Atlantic,43508842,Eastern Atlantic subpopulation
18584848,Pristis pristis,Western Atlantic,43508845,Western Atlantic subpopulation
18584848,Pristis pristis,Indo West Pacific,43508905,Indo-West Pacific subpopulation
18584848,Pristis pristis,Eastern Pacific,43508949,Eastern Pacific subpopulation
18584848,Pristis pristis,Indo-west Pacific,43508905,Indo-West Pacific subpopulation
234,Acipenser transmontanus,Snake River subpopulation,103290582,Snake River subpopulation
234,Acipenser transmontanus,Fraser River Nechako subpopulation,44561,Fraser River Nechako subpopulation
234,Acipenser transmontanus,Kootenai River subpopulation,257,Kootenai River subpopulation
234,Acipenser transmontanus,Sacramento and San Joaquin River subpopulation,97440671,Sacramento and San Joaquin River subpopulation
6494,Dermochelys coriacea,Northwest Atlantic,46967827,Northwest Atlantic Ocean subpopulation
6494,Dermochelys coriacea,Southwest Indian,46967863,Southwest Indian Ocean subpopulation
6494,Dermochelys coriacea,Southwest Atlantic,46967838,Southwest Atlantic Ocean subpopulation
6494,Dermochelys coriacea,Southeast Atlantic,46967848,Southeast Atlantic Ocean subpopulation
6494,Dermochelys coriacea,East Pacific,46967807,East Pacific Ocean subpopulation
6494,Dermochelys coriacea,Northeast Indian,46967873,Northeast Indian Ocean subpopulation
6494,Dermochelys coriacea,West Pacific,46967817,West Pacific Ocean subpopulation
3897,Caretta caretta,Atlantic Southwest,84191235,South West Atlantic subpopulation
3897,Caretta caretta,Pacific North,83652278,North Pacific subpopulation
3897,Caretta caretta,Mediterranean,83644804,Mediterranean subpopulation
3897,Caretta caretta,Pacific South,84156809,South Pacific subpopulation
3897,Caretta caretta,Indian Northeast,84126444,North East Indian Ocean subpopulation
3897,Caretta caretta,Indian Southeast,84189617,South East Indian Ocean subpopulation
3897,Caretta caretta,Atlantic Northwest,84131194,North West Atlantic subpopulation
3897,Caretta caretta,Indian Northwest,84127873,North West Indian Ocean subpopulation
3897,Caretta caretta,Atlantic Notheast,83776383,North East Atlantic subpopulation
3897,Caretta caretta,Indian Southwest,84199475,South West Indian Ocean subpopulation
