db,query,family
itis,Korean rockfish,Sebastidae
itis,Large yellow croaker,Sciaenidae
itis,Largemouth black bass,Centrarchidae
itis,Lebranche mullet,Mugilidae
itis,Longfin yellowtail,Carangidae
itis,Longrayed whiptail,Macrouridae
itis,Malabar trevally,Carangidae
itis,Mangrove cupped oyster,Ostreidae
itis,Marble goby,Butidae
itis,Marbled spinefoot,Siganidae
itis,Marine crabs,Portunidae
itis,Marine crustaceans,Crustaceans
itis,Marine fishes,Fish
itis,Marine molluscs,Mollusca
itis,Mediterranean shore crab,Portunidae
itis,Meristotheca senegalense,Algae
itis,Metapenaeus shrimps,Penaeidae
itis,Mi-iuy  croaker,Sciaenidae
itis,Mozuku,Algae
itis,Mugil spp,Mugilidae
itis,Natantian decapods,Sergestidae
itis,New Zealand mussel,Mytilidae
itis,Nori,Algae
itis,North African catfish,Clariidae
itis,"Octopuses, etc.",Octopodidae
itis,Octopuses,Octopodidae
itis,Okhotsk atka mackerel,Hexagrammidae
itis,Olive green cockle,Cardiidae
itis,Orange mud crab,Portunidae
itis,Orbicular batfish,Ephippidae
itis,Oriental cyclina,Veneridae
itis,Pacific asaphis,Veneridae
itis,Pacific cupped oyster,Ostreidae
itis,Pacific horse clam,Mactridae
itis,Pacific lion's paw,Pectinidae
itis,Pacific littleneck clam,Veneridae
itis,Palaemonid shrimps,Palaemonidae
itis,Palinurid spiny lobsters,Palinuridae
itis,Pangas catfishes,Pangasiidae
itis,Pargo breams,Sparidae
itis,Pearl oyster shells,Pteriidae
itis,Pen shells,Pinnidae
itis,Penaeus shrimps,Penaeidae
itis,Penguin wing oyster,Pteriidae
itis,Peppery furrow,Semelidae
itis,Percoids,Percoidea
itis,Periwinkles,Littorinidae
itis,Perlemoen abalone,Haliotidae
itis,Peruvian calico scallop,Pectinidae
itis,Pink dentex,Sparidae
itis,Pod razor shell,Pharidae
itis,"Porgies, seabreams",Sparidae
itis,Porphyra columbina,Algae
itis,Portunus swimcrabs,Portunidae
itis,Pufferfishes,Tetraodontidae
itis,Pullet carpet shell,Veneridae
itis,Queen scallop,Pectinidae
itis,Rainbow abalone,Haliotidae
itis,Red bait,Pyuridae
itis,Red drum,Sciaenidae
itis,Red oyas,Pyuridae
itis,Red seaweeds,Algae
itis,Redbanded seabream,Sparidae
itis,River eels,Anguillidae
itis,River Plata mussel,Mytilidae
itis,Rooster venus,Veneridae
itis,Rough turban,Turbinidae
itis,Russell's snapper,Lutjanidae
itis,Sabaki tilapia,Cichlidae
itis,Salmonoids,Salmonidae
itis,Sand gaper,Myidae
itis,Sargassum spp,Algae
itis,Sargo breams,Sparidae
itis,Scallops,Pectinidae
itis,Sciaenas,Sciaenidae
itis,"Scorpionfishes, redfishes",Scorpaenidae
itis,Sea belt,Algae
itis,Sea cucumbers,Cucumriidae
itis,Sea lettuces,Algae
itis,Sea mussels,Mytilidae
itis,Sea squirts,Pyuridae
itis,Sea urchins,Strongylocentrotidae
itis,Seabasses,Serranidae
itis,Seaweeds,Algae
itis,Senegalese sole,Soleidae
itis,Sharpsnout seabream,Sparidae
itis,Shi drum,Sciaenidae
itis,Silver barb,Cyprinidae
itis,Silver seabream,Sparidae
itis,Sixfinger threadfin,Polynemidae
itis,Slender wart weed,Algae
itis,Slipper cupped oyster,Ostreidae
itis,Smooth giant clam,Cardiidae
itis,Smooth mactra,Mactridae
itis,"Snappers, jobfishes",Lutjanidae
itis,Snubnose pompano,Carangidae
itis,So-iuy mullet,Mugilidae
itis,Sobaity seabream,Sparidae
itis,Solea spp,Soleidae
itis,Solen razor clams,Soleidae
itis,South American rock mussel,Mytilidae
itis,Southern Australia scallop,Pectinidae
itis,Speckled longfin eel,Anguillidae
itis,Spinefeet,Siganidae
itis,Spinous spider crab,Portunidae
itis,Spiny eucheuma,Solieriaceae
itis,Spirulina maxima,Algae
itis,Starry sturgeon,Acipenseridae
itis,Stony sea urchin,Parechinidae
itis,Streaked spinefoot,Siganidae
itis,"Striped bass, hybrid",Moronidae
itis,Striped venus,Veneridae
itis,Stromboid conchs,Strombidae
itis,"Swimming crabs, etc.",Portunidae
itis,Sydney cupped oyster,Ostreidae
itis,Tangle,Algae
itis,Thinlip grey mullet,Mugilidae
itis,Tiger pufferfish,Tetraodontidae
itis,"Tiger-dragon grouper, hybrid",Serranidae
itis,Torpedo-shaped catfishes,Ictaluridae
itis,Trochita spp,Calyptraeidae
itis,Tropical spiny lobsters,Palinuridae
itis,Tuberculate abalone,Haliotidae
itis,Two-spot red snapper,Lutjanidae
itis,Twobar seabream,Sparidae
itis,Variegated scallop,Pectinidae
itis,Venus clams,Veneridae
itis,Waigieu seaperch,Latidae
itis,Wakame,Algae
itis,Warty gracilaria,Algae
itis,Warty venus,Veneridae
itis,White seabream,Sparidae
itis,White trevally,Carangidae
itis,White-spotted spinefoot,Siganidae
itis,Whitemouth croaker,Sciaenidae
itis,Yellowback seabream,Sparidae
itis,Yellowfin seabream,Sparidae
itis,Yellowtail amberjack,Carangidae
itis,Yesso scallop,Pectinidae
