iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
22718379,global,Increasing,0,lm
22694357,global,Increasing,0.00679,lm
62030970,global,Increasing,-0,lm
22680024,global,Increasing,0,lm
155187257,global,Increasing,NA,NA
22727969,global,Increasing,-0,lm
22694524,global,Increasing,0,lm
22696792,global,Increasing,0,lm
22697360,global,Increasing,0,lm
22696734,global,Increasing,-0.01005,lm
22710051,global,Increasing,0,lm
22678625,global,Increasing,-0.00216,lm
155249960,global,Increasing,NA,NA
2477,global,Increasing,-0,lm
22679896,global,Increasing,0,lm
22697758,global,Increasing,0.00101,lm
158620855,global,Increasing,NA,NA
158624465,global,Increasing,NA,NA
158624557,global,Increasing,NA,NA
158632105,global,Increasing,NA,NA
158632774,global,Increasing,NA,NA
158882810,global,Increasing,NA,NA
159752331,global,Increasing,NA,NA
133511,global,Increasing,-0,lm
133511,mediterranean,Increasing,-0,lm
22679839,europe,Increasing,0,lm
22679872,europe,Increasing,0,lm
22679896,europe,Increasing,0,lm
22679943,europe,Increasing,0,lm
22680492,europe,Increasing,0,lm
22683740,europe,Increasing,0,lm
22692146,europe,Increasing,0,lm
22693220,europe,Increasing,0,lm
22693431,europe,Increasing,0,lm
22693759,europe,Increasing,0,lm
22694160,europe,Increasing,0,lm
22694373,europe,Increasing,0,lm
22694379,europe,Increasing,0,lm
22694479,europe,Increasing,0,lm
22694591,europe,Increasing,0,lm
22694601,europe,Increasing,0,lm
22694764,europe,Increasing,0,lm
22694841,europe,Increasing,-0.03333,lm
22694852,europe,Increasing,-0.03333,lm
22694938,europe,Increasing,0,lm
22695137,europe,Increasing,0,lm
22696657,europe,Increasing,0,lm
22696734,europe,Increasing,0,lm
22696792,europe,Increasing,0,lm
22697031,europe,Increasing,0,lm
22697043,europe,Increasing,0,lm
22697360,europe,Increasing,0,lm
22697422,europe,Increasing,0,lm
22697555,europe,Increasing,0,lm
22697590,europe,Increasing,0,lm
22697599,europe,Increasing,0,lm
22698062,europe,Increasing,0,lm
22705929,europe,Increasing,0,lm
22716971,europe,Increasing,0,lm
22727969,europe,Increasing,0,lm
181568721,europe,Increasing,0,lm
22735929,europe,Increasing,0,lm
45354964,europe,Increasing,0,lm
22698572,global,Increasing,0,lm
21858,global,Increasing,-0.00737,lm
39337,global,Increasing,-0.0107,lm
177301951,global,Increasing,NA,NA
22698280,global,Increasing,-0.0053,lm
22692156,global,Increasing,0,lm
181500967,global,Increasing,NA,NA
22693627,global,Increasing,-0.00604,lm
22698350,global,Increasing,-0.00732,lm
22693811,global,Increasing,-0.00833,lm
22728303,global,Increasing,-0.0458,lm
63146,global,Increasing,0,lm
22697748,global,Increasing,0,lm
155249960,europe,Increasing,NA,NA
161307554,europe,Increasing,NA,NA
45354964,global,Increasing,0,lm
22694938,global,Increasing,0,lm
22695137,global,Increasing,-0.00873,lm
181568721,mediterranean,Increasing,NA,NA
22694938,mediterranean,Increasing,NA,NA
22694373,global,Increasing,0,lm
5659,global,Increasing,-0,lm
155623,europe,Increasing,NA,NA
22693899,global,Increasing,0,lm
13653,europe,Increasing,-0.025,lm
62291168,global,Increasing,-0.02692,lm
22696712,global,Increasing,0,lm
13006,europe,Increasing,0,lm
216558801,global,Increasing,NA,NA
2475,europe,Increasing,-0.0375,lm
2477,europe,Increasing,-0.025,lm
2467,europe,Increasing,NA,NA
135690,europe,Increasing,-0,lm
22718379,europe,Increasing,0,lm
22680199,global,Increasing,0.00302,lm
12419,europe,Increasing,0,lm
22697658,global,Increasing,-0.00517,lm
22679919,global,Increasing,-4.3e-4,lm
22694852,global,Increasing,0.00707,lm
9660,europe,Increasing,0,lm
13653,global,Increasing,-0.01407,lm
22697516,global,Increasing,0,lm
155736,europe,Increasing,NA,NA
22693663,global,Increasing,0,lm
22706033,global,Increasing,0,lm
22704484,global,Increasing,0,lm
22696391,global,Increasing,0,lm
22683710,global,Increasing,0,lm
22715501,global,Increasing,0,lm
22712294,global,Increasing,0,lm
104006526,global,Increasing,0,lm
22712068,global,Increasing,0,lm
22712071,global,Increasing,0,lm
103727557,global,Increasing,0,lm
22712266,global,Increasing,0,lm
22683740,global,Increasing,0,lm
22695144,global,Increasing,0,lm
22727471,global,Increasing,0,lm
22693978,global,Increasing,0,lm
22727677,global,Increasing,0,lm
22680236,global,Increasing,0,lm
22696926,global,Increasing,0,lm
22680011,global,Increasing,0,lm
22694086,global,Increasing,0,lm
10030,global,Decreasing,0,lm
11150,global,Decreasing,NA,NA
11200,global,Decreasing,-0,lm
12137,global,Decreasing,0.01111,lm
12417,global,Decreasing,-0,lm
12695,global,Decreasing,NA,NA
13145,global,Decreasing,NA,NA
13145,caribbean,Decreasing,NA,NA
13145,gulf_of mexico,Decreasing,NA,NA
153538,mediterranean,Decreasing,NA,NA
154708,global,Decreasing,NA,NA
155018,global,Decreasing,0.04,lm
155130,global,Decreasing,-0,lm
155152,global,Decreasing,NA,NA
161373,global,Decreasing,0.03226,lm
161378,global,Decreasing,0.03333,lm
161403,global,Decreasing,NA,NA
161436,global,Decreasing,NA,NA
161514,global,Decreasing,NA,NA
161518,global,Decreasing,NA,NA
161564,global,Decreasing,NA,NA
161610,global,Decreasing,NA,NA
161696,global,Decreasing,-0,lm
161718,global,Decreasing,NA,NA
161743,global,Decreasing,0.01613,lm
162627,global,Decreasing,NA,NA
162917,global,Decreasing,NA,NA
163017,global,Decreasing,NA,NA
163141,global,Decreasing,NA,NA
163337,global,Decreasing,NA,NA
163339,global,Decreasing,NA,NA
163340,global,Decreasing,NA,NA
163458,global,Decreasing,NA,NA
16475,global,Decreasing,NA,NA
135458600,global,Decreasing,NA,NA
165413,europe,Decreasing,NA,NA
166200,global,Decreasing,NA,NA
166442,global,Decreasing,NA,NA
166641,global,Decreasing,NA,NA
166966,global,Decreasing,NA,NA
166979,global,Decreasing,NA,NA
169975,global,Decreasing,NA,NA
170168,global,Decreasing,NA,NA
170173,global,Decreasing,NA,NA
170183,global,Decreasing,NA,NA
170184,global,Decreasing,NA,NA
170194,global,Decreasing,NA,NA
170199,global,Decreasing,NA,NA
170200,global,Decreasing,NA,NA
170204,global,Decreasing,NA,NA
170208,global,Decreasing,NA,NA
170225,global,Decreasing,NA,NA
170226,global,Decreasing,NA,NA
170244,global,Decreasing,NA,NA
170247,global,Decreasing,NA,NA
170256,global,Decreasing,NA,NA
17026,global,Decreasing,0.00939,lm
170526,global,Decreasing,NA,NA
180238,global,Decreasing,NA,NA
180257,global,Decreasing,NA,NA
180265,global,Decreasing,NA,NA
180275,global,Decreasing,NA,NA
180337,global,Decreasing,NA,NA
180352,global,Decreasing,NA,NA
180373,global,Decreasing,NA,NA
180411,global,Decreasing,NA,NA
180424,global,Decreasing,NA,NA
180481,global,Decreasing,NA,NA
180518,global,Decreasing,NA,NA
185869,global,Decreasing,NA,NA
185977,global,Decreasing,NA,NA
185977,caribbean,Decreasing,NA,NA
186014,global,Decreasing,NA,NA
186014,caribbean,Decreasing,NA,NA
186016,global,Decreasing,NA,NA
186016,caribbean,Decreasing,NA,NA
186056,global,Decreasing,NA,NA
186985,global,Decreasing,NA,NA
188319,global,Decreasing,NA,NA
188343,global,Decreasing,NA,NA
188350,global,Decreasing,NA,NA
188356,global,Decreasing,NA,NA
188370,global,Decreasing,NA,NA
188386,global,Decreasing,NA,NA
188397,global,Decreasing,NA,NA
188406,global,Decreasing,NA,NA
188416,global,Decreasing,NA,NA
188447,global,Decreasing,NA,NA
188472,global,Decreasing,NA,NA
188498,global,Decreasing,NA,NA
188528,global,Decreasing,NA,NA
188529,global,Decreasing,NA,NA
188546,global,Decreasing,NA,NA
188548,global,Decreasing,NA,NA
188554,global,Decreasing,NA,NA
188555,global,Decreasing,NA,NA
188563,global,Decreasing,NA,NA
188565,global,Decreasing,NA,NA
188582,global,Decreasing,NA,NA
188608,global,Decreasing,NA,NA
188614,global,Decreasing,NA,NA
189675,global,Decreasing,NA,NA
190078,global,Decreasing,NA,NA
190132,global,Decreasing,NA,NA
190138,global,Decreasing,NA,NA
190206,global,Decreasing,NA,NA
190221,global,Decreasing,NA,NA
190224,global,Decreasing,-0.02143,lm
190246,global,Decreasing,NA,NA
190295,global,Decreasing,NA,NA
190968,global,Decreasing,NA,NA
192286,global,Decreasing,NA,NA
192350,global,Decreasing,NA,NA
192403,global,Decreasing,NA,NA
192475,global,Decreasing,NA,NA
192487,global,Decreasing,NA,NA
192521,global,Decreasing,NA,NA
192522,global,Decreasing,NA,NA
192541,global,Decreasing,NA,NA
192556,global,Decreasing,NA,NA
192602,global,Decreasing,NA,NA
192626,global,Decreasing,NA,NA
192709,global,Decreasing,NA,NA
192852,global,Decreasing,NA,NA
192920,global,Decreasing,NA,NA
192944,global,Decreasing,NA,NA
193095,global,Decreasing,NA,NA
193208,global,Decreasing,NA,NA
193598,global,Decreasing,NA,NA
193602,global,Decreasing,NA,NA
193605,global,Decreasing,NA,NA
193612,global,Decreasing,NA,NA
193622,global,Decreasing,NA,NA
193624,global,Decreasing,NA,NA
193641,global,Decreasing,NA,NA
193666,global,Decreasing,NA,NA
193700,global,Decreasing,NA,NA
193781,global,Decreasing,NA,NA
193796,global,Decreasing,NA,NA
193809,global,Decreasing,NA,NA
193810,global,Decreasing,NA,NA
194299,global,Decreasing,NA,NA
194303,global,Decreasing,NA,NA
194341,global,Decreasing,NA,NA
194343,global,Decreasing,NA,NA
194344,global,Decreasing,NA,NA
194406,global,Decreasing,NA,NA
19488,global,Decreasing,0.01343,lm
195036,global,Decreasing,NA,NA
195069,global,Decreasing,NA,NA
195475,global,Decreasing,NA,NA
195876,global,Decreasing,NA,NA
196322,global,Decreasing,NA,NA
196340,global,Decreasing,NA,NA
196370,global,Decreasing,NA,NA
196377,global,Decreasing,NA,NA
196395,global,Decreasing,NA,NA
196435,global,Decreasing,NA,NA
196824,global,Decreasing,NA,NA
197321,global,Decreasing,NA,NA
197322,global,Decreasing,NA,NA
197330,global,Decreasing,NA,NA
199118,global,Decreasing,NA,NA
200715,global,Decreasing,NA,NA
201946,global,Decreasing,NA,NA
203487,europe,Decreasing,NA,NA
21341,global,Decreasing,NA,NA
21343,global,Decreasing,NA,NA
22003,global,Decreasing,-0.01529,lm
22563,mediterranean,Decreasing,NA,NA
97358453,global,Decreasing,NA,NA
3851,global,Decreasing,0.00991,lm
3852,global,Decreasing,0.02103,lm
3853,global,Decreasing,0.01892,lm
3854,global,Decreasing,0.01982,lm
3898,global,Decreasing,NA,NA
39331,global,Decreasing,0.01667,lm
39341,global,Decreasing,0.02103,lm
39352,global,Decreasing,0.02857,lm
39359,global,Decreasing,0,lm
39368,global,Decreasing,0.0103,lm
39372,global,Decreasing,0.00991,lm
39374,global,Decreasing,0.02556,lm
39378,global,Decreasing,0,lm
39380,global,Decreasing,0.0081,lm
39381,global,Decreasing,0,lm
39385,global,Decreasing,0.03137,lm
39386,global,Decreasing,0.01667,lm
39388,global,Decreasing,0.01033,lm
41064,global,Decreasing,0,lm
41741,global,Decreasing,0.01176,lm
41755,mediterranean,Decreasing,NA,NA
41801,global,Decreasing,NA,NA
41823,global,Decreasing,-0,lm
152781967,global,Decreasing,NA,NA
44577,global,Decreasing,-0,lm
44578,global,Decreasing,-0,lm
44581,global,Decreasing,-0,lm
44586,global,Decreasing,-0,lm
44587,global,Decreasing,NA,NA
44595,global,Decreasing,-0.0125,lm
44597,global,Decreasing,NA,NA
44598,global,Decreasing,0.05,lm
44642,global,Decreasing,0.025,lm
44644,global,Decreasing,NA,NA
44656,global,Decreasing,-0,lm
44666,global,Decreasing,NA,NA
44674,global,Decreasing,-0.01429,lm
152784762,global,Decreasing,NA,NA
60128,global,Decreasing,0.01429,lm
60135,global,Decreasing,NA,NA
60154,global,Decreasing,NA,NA
60159,global,Decreasing,0.01154,lm
60161,global,Decreasing,NA,NA
60201,global,Decreasing,NA,NA
60202,global,Decreasing,0.02857,lm
60203,global,Decreasing,0.01429,lm
60204,global,Decreasing,0.04286,lm
60217,global,Decreasing,0.02667,lm
60218,global,Decreasing,-0,lm
60219,global,Decreasing,0.01333,lm
144136822,global,Decreasing,NA,NA
144141186,global,Decreasing,NA,NA
60225,global,Decreasing,0.01538,lm
61398,global,Decreasing,0.01429,lm
61407,global,Decreasing,0.02667,lm
61419,global,Decreasing,0.01429,lm
62222,global,Decreasing,NA,NA
6229,global,Decreasing,0.02222,lm
63107,global,Decreasing,0.03077,lm
63109,global,Decreasing,-0,lm
63110,global,Decreasing,0.01538,lm
63116,global,Decreasing,0.01538,lm
63124,global,Decreasing,0.03077,lm
63144,global,Decreasing,0,lm
63151,global,Decreasing,NA,NA
104065040,global,Decreasing,NA,NA
63153,global,Decreasing,0.01429,lm
63157,global,Decreasing,NA,NA
8813,global,Decreasing,0.01111,lm
8817,global,Decreasing,-0,lm
908,global,Decreasing,-0.016,lm
908,caribbean,Decreasing,NA,NA
908,gulf_of mexico,Decreasing,NA,NA
11534,global,Decreasing,-0.01667,lm
12419,mediterranean,Decreasing,NA,NA
132722,mediterranean,Decreasing,NA,NA
135525,mediterranean,Decreasing,NA,NA
135606,mediterranean,Decreasing,NA,NA
135690,mediterranean,Decreasing,NA,NA
13653,mediterranean,Decreasing,NA,NA
14264,global,Decreasing,NA,NA
14264,pan-africa,Decreasing,NA,NA
14264,s._africa fw,Decreasing,NA,NA
153538,global,Decreasing,NA,NA
154627,global,Decreasing,NA,NA
154742,global,Decreasing,NA,NA
154877,global,Decreasing,NA,NA
155318,global,Decreasing,NA,NA
164116,mediterranean,Decreasing,NA,NA
164375,europe,Decreasing,NA,NA
164508,pan-africa,Decreasing,NA,NA
164508,mediterranean,Decreasing,NA,NA
165631,global,Decreasing,NA,NA
165657,global,Decreasing,NA,NA
165689,global,Decreasing,NA,NA
165692,global,Decreasing,NA,NA
165704,global,Decreasing,NA,NA
165712,global,Decreasing,NA,NA
165717,global,Decreasing,NA,NA
167946,western_africa,Decreasing,NA,NA
169676,global,Decreasing,NA,NA
169965,global,Decreasing,NA,NA
169976,global,Decreasing,NA,NA
169980,global,Decreasing,NA,NA
169982,global,Decreasing,NA,NA
170094,global,Decreasing,NA,NA
170050,global,Decreasing,NA,NA
170197,mediterranean,Decreasing,NA,NA
170245,mediterranean,Decreasing,NA,NA
170280,mediterranean,Decreasing,NA,NA
170283,mediterranean,Decreasing,NA,NA
170357,mediterranean,Decreasing,NA,NA
173322,global,Decreasing,NA,NA
173327,global,Decreasing,NA,NA
173331,global,Decreasing,NA,NA
173333,global,Decreasing,NA,NA
173335,global,Decreasing,NA,NA
173337,global,Decreasing,NA,NA
173338,global,Decreasing,NA,NA
173339,global,Decreasing,NA,NA
173341,global,Decreasing,NA,NA
173342,global,Decreasing,NA,NA
173344,global,Decreasing,NA,NA
173345,global,Decreasing,NA,NA
173349,global,Decreasing,NA,NA
173355,global,Decreasing,NA,NA
173357,global,Decreasing,NA,NA
173361,global,Decreasing,NA,NA
173370,global,Decreasing,NA,NA
173374,global,Decreasing,NA,NA
173381,global,Decreasing,NA,NA
173382,global,Decreasing,NA,NA
176712,global,Decreasing,NA,NA
176720,global,Decreasing,NA,NA
176748,global,Decreasing,NA,NA
176763,global,Decreasing,NA,NA
178796,global,Decreasing,NA,NA
178797,global,Decreasing,NA,NA
178798,global,Decreasing,NA,NA
178799,global,Decreasing,NA,NA
178801,global,Decreasing,NA,NA
178802,global,Decreasing,NA,NA
178803,global,Decreasing,NA,NA
178804,global,Decreasing,NA,NA
178805,global,Decreasing,NA,NA
178806,global,Decreasing,NA,NA
178807,global,Decreasing,NA,NA
178808,global,Decreasing,NA,NA
178809,global,Decreasing,NA,NA
178811,global,Decreasing,NA,NA
178812,global,Decreasing,NA,NA
178814,global,Decreasing,NA,NA
178815,global,Decreasing,NA,NA
178816,global,Decreasing,NA,NA
178817,global,Decreasing,NA,NA
178819,global,Decreasing,NA,NA
178820,global,Decreasing,NA,NA
178821,global,Decreasing,NA,NA
178822,global,Decreasing,NA,NA
178823,global,Decreasing,NA,NA
178824,global,Decreasing,NA,NA
178825,global,Decreasing,NA,NA
178826,global,Decreasing,NA,NA
178827,global,Decreasing,NA,NA
178828,global,Decreasing,NA,NA
178829,global,Decreasing,NA,NA
178830,global,Decreasing,NA,NA
178831,global,Decreasing,NA,NA
178832,global,Decreasing,NA,NA
178834,global,Decreasing,NA,NA
178835,global,Decreasing,NA,NA
178837,global,Decreasing,NA,NA
178838,global,Decreasing,NA,NA
178839,global,Decreasing,NA,NA
178840,global,Decreasing,NA,NA
178841,global,Decreasing,NA,NA
178842,global,Decreasing,NA,NA
178843,global,Decreasing,NA,NA
178844,global,Decreasing,NA,NA
178845,global,Decreasing,NA,NA
178846,global,Decreasing,NA,NA
178847,global,Decreasing,NA,NA
178849,global,Decreasing,NA,NA
178850,global,Decreasing,NA,NA
178852,global,Decreasing,NA,NA
178853,global,Decreasing,NA,NA
178854,global,Decreasing,NA,NA
178855,global,Decreasing,NA,NA
178856,global,Decreasing,NA,NA
178857,global,Decreasing,NA,NA
178858,global,Decreasing,NA,NA
181328,global,Decreasing,NA,NA
183267,global,Decreasing,NA,NA
183406,global,Decreasing,NA,NA
183631,global,Decreasing,NA,NA
183939,global,Decreasing,NA,NA
184030,global,Decreasing,NA,NA
184534,northeastern_africa,Decreasing,NA,NA
184679,northeastern_africa,Decreasing,NA,NA
187392,global,Decreasing,NA,NA
187479,global,Decreasing,NA,NA
187493,global,Decreasing,NA,NA
187495,global,Decreasing,NA,NA
187506,global,Decreasing,NA,NA
187520,global,Decreasing,NA,NA
187544,global,Decreasing,NA,NA
187545,global,Decreasing,NA,NA
187565,global,Decreasing,NA,NA
187568,global,Decreasing,NA,NA
187654,global,Decreasing,NA,NA
187654,mediterranean,Decreasing,NA,NA
196016,global,Decreasing,NA,NA
196019,global,Decreasing,NA,NA
196044,global,Decreasing,NA,NA
196056,global,Decreasing,NA,NA
198562,mediterranean,Decreasing,NA,NA
198568,mediterranean,Decreasing,NA,NA
198668,mediterranean,Decreasing,NA,NA
198707,mediterranean,Decreasing,NA,NA
198709,mediterranean,Decreasing,NA,NA
198731,mediterranean,Decreasing,NA,NA
21860,mediterranean,Decreasing,NA,NA
23148,mediterranean,Decreasing,NA,NA
2420,global,Decreasing,NA,NA
31382,global,Decreasing,NA,NA
33705,global,Decreasing,NA,NA
34364,global,Decreasing,NA,NA
39400,global,Decreasing,-0,lm
4592,global,Decreasing,NA,NA
60302,global,Decreasing,-0,lm
60344,northern_africa,Decreasing,NA,NA
61333,global,Decreasing,NA,NA
61340,global,Decreasing,NA,NA
63579,global,Decreasing,NA,NA
63580,global,Decreasing,NA,NA
63585,global,Decreasing,NA,NA
63587,global,Decreasing,NA,NA
63591,global,Decreasing,NA,NA
63593,global,Decreasing,NA,NA
63596,global,Decreasing,NA,NA
63598,global,Decreasing,NA,NA
63612,global,Decreasing,NA,NA
63614,global,Decreasing,NA,NA
63622,global,Decreasing,NA,NA
63646,global,Decreasing,NA,NA
63653,global,Decreasing,NA,NA
63852,global,Decreasing,NA,NA
7859,mediterranean,Decreasing,NA,NA
8005,global,Decreasing,-0,lm
154804479,global,Decreasing,NA,NA
14134315,global,Decreasing,NA,NA
5375,global,Decreasing,NA,NA
155236,global,Decreasing,NA,NA
903,global,Decreasing,NA,NA
198568,global,Decreasing,NA,NA
15522229,global,Decreasing,NA,NA
16421352,global,Decreasing,NA,NA
16449708,global,Decreasing,NA,NA
16449654,global,Decreasing,NA,NA
161691,mediterranean,Decreasing,NA,NA
161696,mediterranean,Decreasing,NA,NA
63100,mediterranean,Decreasing,NA,NA
161425,mediterranean,Decreasing,NA,NA
91209505,mediterranean,Decreasing,NA,NA
63120,mediterranean,Decreasing,NA,NA
63131,mediterranean,Decreasing,NA,NA
161397,mediterranean,Decreasing,NA,NA
11200,mediterranean,Decreasing,NA,NA
3853,mediterranean,Decreasing,NA,NA
3854,mediterranean,Decreasing,NA,NA
63149,mediterranean,Decreasing,NA,NA
6229,mediterranean,Decreasing,NA,NA
3855,mediterranean,Decreasing,NA,NA
41876,mediterranean,Decreasing,NA,NA
161626,mediterranean,Decreasing,NA,NA
161485,mediterranean,Decreasing,NA,NA
161484,mediterranean,Decreasing,NA,NA
4292,mediterranean,Decreasing,NA,NA
61408,mediterranean,Decreasing,NA,NA
39388,mediterranean,Decreasing,NA,NA
63153,mediterranean,Decreasing,NA,NA
39341,mediterranean,Decreasing,NA,NA
39352,mediterranean,Decreasing,NA,NA
161461,mediterranean,Decreasing,NA,NA
161464,mediterranean,Decreasing,NA,NA
161339,global,Decreasing,-0,lm
161339,europe,Decreasing,0,lm
161339,mediterranean,Decreasing,0,lm
39358,mediterranean,Decreasing,NA,NA
39357,mediterranean,Decreasing,NA,NA
161569,mediterranean,Decreasing,NA,NA
16545046,global,Decreasing,NA,NA
39381,mediterranean,Decreasing,NA,NA
61417,mediterranean,Decreasing,NA,NA
61418,mediterranean,Decreasing,NA,NA
39339,mediterranean,Decreasing,NA,NA
10075,global,Decreasing,0,lm
16720057,global,Decreasing,NA,NA
10082,global,Decreasing,NA,NA
10087,global,Decreasing,0,lm
173361,mediterranean,Decreasing,NA,NA
19950,global,Decreasing,-0.0125,lm
155120,global,Decreasing,0,lm
190748,global,Decreasing,0,lm
63571,global,Decreasing,0,lm
154708,europe,Decreasing,NA,NA
170319,europe,Decreasing,NA,NA
21856,europe,Decreasing,NA,NA
62225,global,Decreasing,NA,NA
62224,global,Decreasing,NA,NA
198653,europe,Decreasing,NA,NA
19086782,global,Decreasing,NA,NA
19516809,global,Decreasing,NA,NA
10066,global,Decreasing,0,lm
198707,europe,Decreasing,NA,NA
198709,europe,Decreasing,NA,NA
18155949,global,Decreasing,NA,NA
135689,global,Decreasing,0.0125,lm
135579,global,Decreasing,0.01122,lm
135714,global,Decreasing,0.01122,lm
21112909,global,Decreasing,NA,NA
135606,global,Decreasing,0.0125,lm
14209,global,Decreasing,NA,NA
