iucn_sid,sciname,year,old_cat,cat,cat_score,iucn_version
3778,Caperea marginata,2018,LC,LC,0,2025-1
3851,Carcharhinus limbatus,2021,VU,VU,0.4,2025-1
3852,Carcharhinus obscurus,2019,EN,EN,0.6,2025-1
3853,Carcharhinus plumbeus,2021,EN,EN,0.6,2025-1
3854,Carcharias taurus,2021,CR,CR,0.8,2025-1
3855,Carcharodon carcharias,2022,VU,VU,0.4,2025-1
3897,Caretta caretta,2017,VU,VU,0.4,2025-1
3898,Carettochelys insculpta,2018,EN,EN,0.6,2025-1
4131,Centropyge resplendens,2010,LC,LC,0,2025-1
4159,Cephalorhynchus commersonii,2017,LC,LC,0,2025-1
4160,Cephalorhynchus eutropia,2017,NT,NT,0.2,2025-1
4161,Cephalorhynchus heavisidii,2018,NT,NT,0.2,2025-1
4162,Cephalorhynchus hectori,2013,EN,EN,0.6,2025-1
4292,Cetorhinus maximus,2021,EN,EN,0.6,2025-1
4360,Chaetodon flavocoronatus,2010,LC,LC,0,2025-1
4361,Chaetodon litus,2010,LC,LC,0,2025-1
4362,Chaetodon marleyi,2010,LC,LC,0,2025-1
4363,Prognathodes obliquus,2010,DD,DD,NA,2025-1
4364,Chaetodon robustus,2010,LC,LC,0,2025-1
4592,Cheilinus undulatus,2004,EN,EN,0.6,2025-1
4615,Chelonia mydas,2023,EN,EN,0.6,2025-1
4801,Christinus guentheri,2018,VU,VU,0.4,2025-1
4805,Chromis sanctaehelenae,2015,LC,LC,0,2025-1
4982,Clinus spatulatus,2022,EN,EN,0.6,2025-1
5272,Conus nobrei,2012,NT,NT,0.2,2025-1
5273,Conus zebroides,2013,NT,NT,0.2,2025-1
5325,Emblemariopsis tayrona,2015,LC,LC,0,2025-1
5362,Coregonus artedi,2024,LC,LC,0,2025-1
5363,Coregonus autumnalis,2024,LC,LC,0,2025-1
5370,Coregonus nasus,2024,LC,LC,0,2025-1
5375,Coregonus pidschian,2024,LC,LC,0,2025-1
5380,Coregonus oxyrinchus,2024,EX,EX,1,2025-1
5659,Crocodylus acutus,2022,VU,VU,0.4,2025-1
5660,Mecistops cataphractus,2014,CR,CR,0.8,2025-1
5663,Crocodylus moreletii,2023,LC,LC,0,2025-1
5667,Crocodylus palustris,2013,VU,VU,0.4,2025-1
5668,Crocodylus porosus,2021,LC,LC,0,2025-1
5675,Croilia mossambica,2025,LC,LC,0,2025-1
6031,Cyclura pinguis,2020,CR,CR,0.8,2025-1
6069,Monoplex parthenopaeum,2000,LR/lc,LC,0,2025-1
6204,Cystophora cristata,2025,VU,VU,0.4,2025-1
6229,Dalatias licha,2018,VU,VU,0.4,2025-1
6335,Delphinapterus leucas,2023,VU,VU,0.4,2025-1
6494,Dermochelys coriacea,2013,VU,VU,0.4,2025-1
6814,Dunckerocampus dactyliophorus,2016,DD,DD,NA,2025-1
6909,Dugong dugon,2019,VU,VU,0.4,2025-1
6930,Dussartius baeticus,1996,VU,VU,0.4,2025-1
7121,Elaphurus davidianus,2016,EW,EX,1,2025-1
7134,Eleotris sandwicensis,2013,DD,DD,NA,2025-1
7135,Eleotris melanosoma,2019,LC,LC,0,2025-1
7750,Enhydra lutris,2021,EN,EN,0.6,2025-1
7778,Entomacrodus cadenati,2014,LC,LC,0,2025-1
7854,Hyporthodus drummondhayi,2018,DD,DD,NA,2025-1
7855,Hyporthodus exsul,2018,LC,LC,0,2025-1
7858,Epinephelus lanceolatus,2018,DD,DD,NA,2025-1
7859,Mycteroperca marginata,2018,VU,VU,0.4,2025-1
7860,Hyporthodus nigritus,2018,NT,NT,0.2,2025-1
7861,Hyporthodus niveatus,2018,VU,VU,0.4,2025-1
7862,Epinephelus striatus,2018,CR,CR,0.8,2025-1
8005,Eretmochelys imbricata,2008,CR,CR,0.8,2025-1
8010,Erignathus barbatus,2025,NT,NT,0.2,2025-1
8097,Eschrichtius robustus,2023,RE,NA,NA,2025-1
8153,Eubalaena australis,2018,LC,LC,0,2025-1
8239,Eumetopias jubatus,2016,NT,NT,0.2,2025-1
8262,Eunicella verrucosa,2015,NT,NT,0.2,2025-1
8407,Eurypegasus draconis,2017,LC,LC,0,2025-1
8408,Eurypegasus papilio,2016,LC,LC,0,2025-1
8551,Feresa attenuata,2023,NA,NA,NA,2025-1
8784,Gadus morhua,2015,LC,LC,0,2025-1
8817,Galaxias argenteus,2014,VU,VU,0.4,2025-1
9002,Geocapromys ingrahami,2024,CR,CR,0.8,2025-1
9249,Globicephala macrorhynchus,2023,LC,LC,0,2025-1
9250,Globicephala melas,2023,LC,LC,0,2025-1
9266,Psammogobius biocellatus,2017,LC,LC,0,2025-1
9461,Grampus griseus,2023,LC,LC,0,2025-1
9660,Halichoerus grypus,2025,LC,LC,0,2025-1
10030,Hexanchus griseus,2020,NT,NT,0.2,2025-1
10056,Hippocampus capensis,2017,EN,EN,0.6,2025-1
10057,Hippocampus abdominalis,2017,LC,LC,0,2025-1
10060,Hippocampus bargibanti,2024,LC,LC,0,2025-1
10063,Hippocampus breviceps,2017,LC,LC,0,2025-1
10064,Hippocampus camelopardalis,2017,DD,DD,NA,2025-1
10065,Hippocampus coronatus,2016,DD,DD,NA,2025-1
10066,Hippocampus erectus,2017,VU,VU,0.4,2025-1
10069,Hippocampus hippocampus,2017,DD,DD,NA,2025-1
10070,Hippocampus histrix,2017,VU,VU,0.4,2025-1
10072,Hippocampus ingens,2017,VU,VU,0.4,2025-1
10074,Hippocampus jayakari,2017,LC,LC,0,2025-1
10075,Hippocampus kuda,2015,DD,DD,NA,2025-1
10077,Hippocampus minotaur,2017,DD,DD,NA,2025-1
10082,Hippocampus reidi,2017,NT,NT,0.2,2025-1
10083,Hippocampus sindonis,2017,LC,LC,0,2025-1
10087,Hippocampus trimaculatus,2015,VU,VU,0.4,2025-1
10088,Hippocampus whitei,2017,EN,EN,0.6,2025-1
10089,Hippocampus zosterae,2017,LC,LC,0,2025-1
10097,Hippoglossus hippoglossus,2022,NT,NT,0.2,2025-1
10103,Hippopotamus amphibius,2017,VU,VU,0.4,2025-1
10105,Hippopus hippopus,2024,VU,VU,0.4,2025-1
10106,Hippopus porcellanus,2024,VU,VU,0.4,2025-1
10268,Huso dauricus,2022,CR,CR,0.8,2025-1
10269,Huso huso,2024,CR,CR,0.8,2025-1
10276,Parahyaena brunnea,2015,NT,NT,0.2,2025-1
10303,Hydrodamalis gigas,2016,EX,EX,1,2025-1
10310,Hydromys chrysogaster,2016,LC,LC,0,2025-1
10329,Hydropotes inermis,2015,VU,VU,0.4,2025-1
10340,Hydrurga leptonyx,2015,LC,LC,0,2025-1
10707,Hyperoodon ampullatus,2023,LC,LC,0,2025-1
10708,Hyperoodon planifrons,2020,LC,LC,0,2025-1
10722,Hypomesus transpacificus,2014,CR,CR,0.8,2025-1
10724,Hypoplectrus providencianus,2015,LC,LC,0,2025-1
10800,Iguana delicatissima,2018,CR,CR,0.8,2025-1
10939,Jenkinsia parvula,2017,DD,DD,NA,2025-1
10952,Batagur trivittata,2019,CR,CR,0.8,2025-1
10960,Katechonemertes nightingaleensis,2014,VU,VU,0.4,2025-1
11047,Kogia breviceps,2023,DD,DD,NA,2025-1
11048,Kogia sima,2023,DD,DD,NA,2025-1
11060,Kuhlia marginata,2019,LC,LC,0,2025-1
11130,Lachnolaimus maximus,2015,VU,VU,0.4,2025-1
11140,Lagenodelphis hosei,2023,NA,NA,NA,2025-1
11141,Lagenorhynchus acutus,2023,LC,LC,0,2025-1
11142,Lagenorhynchus albirostris,2023,LC,LC,0,2025-1
11143,Lagenorhynchus australis,2019,LC,LC,0,2025-1
11144,Lagenorhynchus cruciger,2018,LC,LC,0,2025-1
11145,Lagenorhynchus obliquidens,2018,LC,LC,0,2025-1
11146,Lagenorhynchus obscurus,2019,LC,LC,0,2025-1
11150,Lagocephalus gloveri,2014,DD,DD,NA,2025-1
11200,Lamna nasus,2019,VU,VU,0.4,2025-1
11206,Lampetra fluviatilis,2024,NT,NT,0.2,2025-1
11375,Latimeria chalumnae,2000,CR,CR,0.8,2025-1
11453,Leiopotherapon aheneus,2019,EN,EN,0.6,2025-1
11502,Lentipes whittenorum,2019,DD,DD,NA,2025-1
11533,Lepidochelys kempii,2019,CR,CR,0.8,2025-1
11534,Lepidochelys olivacea,2008,VU,VU,0.4,2025-1
11696,Leptonychotes weddellii,2015,LC,LC,0,2025-1
11884,Leuciscus idus,2024,LC,LC,0,2025-1
11987,Limulus polyphemus,2016,VU,VU,0.4,2025-1
12006,Liolaemus lutzae,2021,CR,CR,0.8,2025-1
12125,Lissodelphis borealis,2018,LC,LC,0,2025-1
12126,Lissodelphis peronii,2018,LC,LC,0,2025-1
12137,Lithognathus lithognathus,2014,EN,EN,0.6,2025-1
12143,Litoria aurea,2023,NT,NT,0.2,2025-1
12246,Lobodon carcinophaga,2015,LC,LC,0,2025-1
12302,Lontra canadensis,2021,LC,LC,0,2025-1
12303,Lontra felina,2022,EN,EN,0.6,2025-1
12304,Lontra longicaudis,2022,NT,NT,0.2,2025-1
12305,Lontra provocax,2021,EN,EN,0.6,2025-1
12404,Luciogobius pallidus,2025,DD,DD,NA,2025-1
12416,Lutjanus analis,2016,LC,LC,0,2025-1
12417,Lutjanus cyanopterus,2016,VU,VU,0.4,2025-1
12419,Lutra lutra,2025,NT,NT,0.2,2025-1
12420,Hydrictis maculicollis,2021,NT,NT,0.2,2025-1
12421,Lutra sumatrana,2021,EN,EN,0.6,2025-1
12427,Lutrogale perspicillata,2021,VU,VU,0.4,2025-1
12551,Macaca fascicularis,2022,EN,EN,0.6,2025-1
12695,Malaclemys terrapin,2019,VU,VU,0.4,2025-1
13006,Megaptera novaeangliae,2023,LC,LC,0,2025-1
13045,Melanogrammus aeglefinus,2015,LC,LC,0,2025-1
13145,Menidia conchorum,2015,EN,EN,0.6,2025-1
13232,Mesogobius batrachocephalus,2024,LC,LC,0,2025-1
13241,Mesoplodon bidens,2023,LC,LC,0,2025-1
13242,Mesoplodon bowdoini,2020,DD,DD,NA,2025-1
13243,Mesoplodon carlhubbsi,2020,DD,DD,NA,2025-1
13244,Mesoplodon densirostris,2023,LC,LC,0,2025-1
13245,Mesoplodon europaeus,2023,LC,LC,0,2025-1
13247,Mesoplodon grayi,2023,NA,NA,NA,2025-1
13248,Mesoplodon hectori,2020,DD,DD,NA,2025-1
13249,Mesoplodon layardii,2020,LC,LC,0,2025-1
13250,Mesoplodon mirus,2023,LC,LC,0,2025-1
13251,Mesoplodon peruvianus,2020,LC,LC,0,2025-1
13252,Mesoplodon stejnegeri,2020,NT,NT,0.2,2025-1
13273,Metatrichoniscoides celticus,2022,NT,NT,0.2,2025-1
13374,Micronaspis floridana,2021,EN,EN,0.6,2025-1
13427,Microtus californicus,2016,LC,LC,0,2025-1
13581,Mirounga angustirostris,2015,LC,LC,0,2025-1
13583,Mirounga leonina,2015,LC,LC,0,2025-1
13653,Monachus monachus,2023,VU,VU,0.4,2025-1
13654,Neomonachus schauinslandi,2015,EN,EN,0.6,2025-1
13655,Neomonachus tropicalis,2015,EX,EX,1,2025-1
13704,Monodon monoceros,2023,VU,VU,0.4,2025-1
13852,Mordacia lapicida,2023,VU,VU,0.4,2025-1
13873,Morenia ocellata,2021,EN,EN,0.6,2025-1
13891,Mortonagrion hirosei,2011,NT,NT,0.2,2025-1
14048,Mycteroperca cidi,2018,DD,DD,NA,2025-1
14049,Mycteroperca jordani,2018,EN,EN,0.6,2025-1
14050,Mycteroperca microlepis,2018,VU,VU,0.4,2025-1
14051,Mycteroperca olfax,2023,EN,EN,0.6,2025-1
14052,Mycteroperca prionura,2018,DD,DD,NA,2025-1
14053,Mycteroperca rosacea,2018,LC,LC,0,2025-1
14054,Mycteroperca rubra,2018,LC,LC,0,2025-1
14214,Myoxocephalus quadricornis,2024,LC,LC,0,2025-1
14264,Myxus capensis,2007,LC,LC,0,2025-1
14521,Neogobius fluviatilis,2024,LC,LC,0,2025-1
14524,Neogobius melanostomus,2024,LC,LC,0,2025-1
14549,Neophoca cinerea,2015,EN,EN,0.6,2025-1
14562,Neosalanx reganius,2019,EN,EN,0.6,2025-1
14627,Vitta cristata,2010,LC,LC,0,2025-1
14628,Neritina natalensis,2010,LC,LC,0,2025-1
15106,Odobenus rosmarus,2025,NT,NT,0.2,2025-1
15239,Oxyurichthys keiensis,2025,LC,LC,0,2025-1
15269,Ommatophoca rossii,2015,LC,LC,0,2025-1
15419,Orcaella brevirostris,2017,EN,EN,0.6,2025-1
15421,Orcinus orca,2023,LC,LC,0,2025-1
15549,Orthogeomys hispidus,2016,LC,LC,0,2025-1
15631,Osmerus eperlanus,2024,LC,LC,0,2025-1
15873,Pagrus pagrus,2015,LC,LC,0,2025-1
15939,Pandaka pygmaea,2021,DD,DD,NA,2025-1
15968,Prosadenoporus agricola,2014,CR,CR,0.8,2025-1
16011,Favonigobius melanobranchus,2024,LC,LC,0,2025-1
16012,Favonigobius reichei,2017,LC,LC,0,2025-1
16185,Parapinnixa affinis,1996,EN,EN,0.6,2025-1
16238,Paretroplus polyactis,2016,LC,LC,0,2025-1
16474,Pegasus lancifer,2016,LC,LC,0,2025-1
16475,Pegasus laternarius,2017,DD,DD,NA,2025-1
16476,Pegasus volitans,2016,DD,DD,NA,2025-1
16503,Pelochelys bibroni,2020,VU,VU,0.4,2025-1
16559,Pentalagus furnessi,2016,EN,EN,0.6,2025-1
16564,Peponocephala electra,2023,NA,NA,NA,2025-1
16580,Perca fluviatilis,2024,LC,LC,0,2025-1
16781,Petromyzon marinus,2024,LC,LC,0,2025-1
16870,Phallostethus dunckeri,2020,VU,VU,0.4,2025-1
17013,Phoca vitulina,2025,LC,LC,0,2025-1
17023,Phoca largha,2016,LC,LC,0,2025-1
17026,Phocarctos hookeri,2015,EN,EN,0.6,2025-1
17027,Phocoena phocoena,2023,LC,LC,0,2025-1
17028,Phocoena sinus,2022,CR,CR,0.8,2025-1
17029,Phocoena spinipinnis,2018,NT,NT,0.2,2025-1
17032,Phocoenoides dalli,2018,LC,LC,0,2025-1
17096,Phycodurus eques,2017,LC,LC,0,2025-1
17177,Phyllopteryx taeniolatus,2025,VU,VU,0.4,2025-1
17245,Physiculus helenaensis,2015,DD,DD,NA,2025-1
17320,Pipistrellus abramus,2019,LC,LC,0,2025-1
17710,Myzopsetta ferruginea,2022,VU,VU,0.4,2025-1
17793,Podarcis filfolensis,2024,LC,LC,0,2025-1
17795,Podarcis lilfordi,2024,NT,NT,0.2,2025-1
17797,Podarcis milensis,2024,LC,LC,0,2025-1
17800,Podarcis pityusensis,2024,EN,EN,0.6,2025-1
17977,Pontinus nigropunctatus,2015,LC,LC,0,2025-1
17978,Pontoporia blainvillei,2017,VU,VU,0.4,2025-1
18145,Priolepis robinsi,2025,LC,LC,0,2025-1
18175,Pristis pectinata,2022,CR,CR,0.8,2025-1
18374,Protemblemaria punctata,2015,LC,LC,0,2025-1
18383,Prototroctes maraena,2019,VU,VU,0.4,2025-1
18458,Pseudemys alabamensis,1996,EN,EN,0.6,2025-1
18460,Pseudemys rubriventris,2011,NT,NT,0.2,2025-1
18510,Pseudochromis pesi,2022,LC,LC,0,2025-1
18546,Pseudomugil majusculus,2020,DD,DD,NA,2025-1
18596,Pseudorca crassidens,2023,DD,DD,NA,2025-1
18711,Pteronura brasiliensis,2023,EN,EN,0.6,2025-1
18877,Pungitius platygaster,2024,LC,LC,0,2025-1
19330,Rattus exulans,2016,LC,LC,0,2025-1
19387,Redigobius dewaali,2016,LC,LC,0,2025-1
19388,Redigobius bikolanus,2019,LC,LC,0,2025-1
19401,Reithrodontomys raviventris,2018,EN,EN,0.6,2025-1
19488,Rhincodon typus,2016,EN,EN,0.6,2025-1
19671,Rhodeus sericeus,2022,LC,LC,0,2025-1
19735,Kryptolebias marmoratus,2019,LC,LC,0,2025-1
19782,Rutilus frisii,2024,LC,LC,0,2025-1
19798,Parasaccogaster melanomycter,2015,DD,DD,NA,2025-1
19855,Salmo salar,2024,VU,VU,0.4,2025-1
19859,Salmo marmoratus,2024,VU,VU,0.4,2025-1
19861,Salmo trutta,2024,LC,LC,0,2025-1
19896,Sanopus astrifer,2020,VU,VU,0.4,2025-1
19897,Sanopus greenfieldorum,2015,VU,VU,0.4,2025-1
19898,Sanopus reticulatus,2015,EN,EN,0.6,2025-1
19899,Sanopus splendidus,2015,EN,EN,0.6,2025-1
19950,Scarus guacamaia,2015,LC,LC,0,2025-1
20047,Scomberomorus concolor,2024,NT,NT,0.2,2025-1
20314,Solegnathus dunckeri,2017,DD,DD,NA,2025-1
20315,Solegnathus hardwickii,2017,DD,DD,NA,2025-1
20316,Solegnathus lettiensis,2017,DD,DD,NA,2025-1
20318,Solegnathus spinosissimus,2017,DD,DD,NA,2025-1
20425,Sousa teuszii,2017,CR,CR,0.8,2025-1
20724,Stegastes sanctaehelenae,2015,LC,LC,0,2025-1
20729,Stenella attenuata,2018,LC,LC,0,2025-1
20730,Stenella clymene,2018,LC,LC,0,2025-1
20731,Stenella coeruleoalba,2023,LC,LC,0,2025-1
20732,Stenella frontalis,2023,LC,LC,0,2025-1
20733,Stenella longirostris,2018,LC,LC,0,2025-1
20738,Steno bredanensis,2023,NT,NT,0.2,2025-1
20795,Stereolepis gigas,2004,CR,CR,0.8,2025-1
20855,Stiphodon surrufus,2019,LC,LC,0,2025-1
20860,Sander lucioperca,2024,LC,LC,0,2025-1
20861,Sander marinus,2020,LC,LC,0,2025-1
20862,Sander volgensis,2024,LC,LC,0,2025-1
21257,Syngnathus abaster,2024,LC,LC,0,2025-1
21309,Tachypleus tridentatus,2019,EN,EN,0.6,2025-1
21341,Takifugu niphobles,2014,LC,LC,0,2025-1
21342,Takifugu poecilonotus,2014,LC,LC,0,2025-1
21343,Takifugu xanthopterus,2014,LC,LC,0,2025-1
21500,Tasmacetus shepherdi,2018,DD,DD,NA,2025-1
21628,Teramulus kieneri,2016,LC,LC,0,2025-1
21689,Thalassoma ascensionis,2010,DD,DD,NA,2025-1
21855,Thryssa scratchleyi,2019,DD,DD,NA,2025-1
21856,Thunnus alalunga,2021,LC,LC,0,2025-1
21857,Thunnus albacares,2021,LC,LC,0,2025-1
21858,Thunnus maccoyii,2021,EN,EN,0.6,2025-1
21859,Thunnus obesus,2021,VU,VU,0.4,2025-1
21860,Thunnus thynnus,2021,LC,LC,0,2025-1
21994,Torquigener brevipinnis,2014,LC,LC,0,2025-1
22003,Totoaba macdonaldi,2021,VU,VU,0.4,2025-1
22102,Trichechus inunguis,2016,VU,VU,0.4,2025-1
22103,Trichechus manatus,2024,VU,VU,0.4,2025-1
22104,Trichechus senegalensis,2015,VU,VU,0.4,2025-1
22135,Tridacna crocea,2024,LC,LC,0,2025-1
22136,Tridacna derasa,2024,EN,EN,0.6,2025-1
22137,Tridacna gigas,2024,CR,CR,0.8,2025-1
22138,Tridacna maxima,2024,LC,LC,0,2025-1
22140,Tridacna squamosa,2024,LC,LC,0,2025-1
22141,Tridacna mbalavuana,2024,EN,EN,0.6,2025-1
22383,Truncatella guerinii,2012,LC,LC,0,2025-1
22563,Tursiops truncatus,2023,LC,LC,0,2025-1
22781,Urocyon littoralis,2013,NT,NT,0.2,2025-1
22823,Ursus maritimus,2025,VU,VU,0.4,2025-1
22884,Varanus komodoensis,2021,EN,EN,0.6,2025-1
23053,Vulpes rueppellii,2010,LC,LC,0,2025-1
23141,Xeromys myoides,2016,VU,VU,0.4,2025-1
23148,Xiphias gladius,2022,NT,NT,0.2,2025-1
23211,Ziphius cavirostris,2023,LC,LC,0,2025-1
23259,Gobius ophiocephalus,2025,LC,LC,0,2025-1
29605,Cyclura stejnegeri,2020,CR,CR,0.8,2025-1
29653,Crocidura gueldenstaedtii,2023,LC,LC,0,2025-1
29658,Neomys fodiens,2024,LC,LC,0,2025-1
30609,Lonchocarpus chiricanus,2022,LC,LC,0,2025-1
30937,Leitneria floridana,2022,NT,NT,0.2,2025-1
31339,Barringtonia asiatica,2021,LC,LC,0,2025-1
31382,Rhizophora apiculata,2010,LC,LC,0,2025-1
32042,Juniperus taxifolia,2013,NT,NT,0.2,2025-1
33705,Dolichandrone spathacea,2010,LC,LC,0,2025-1
34364,Aglaia cucullata,2010,DD,DD,NA,2025-1
38360,Acacia aulacocarpa,2022,LC,LC,0,2025-1
38559,Dypsis psammophila,2012,EN,EN,0.6,2025-1
38747,Adonidia merrillii,2020,VU,VU,0.4,2025-1
39070,Sesuvium edmondstonii,2014,LC,LC,0,2025-1
39084,Amaranthus anderssonii,2014,LC,LC,0,2025-1
39086,Amaranthus sclerantoides,2014,LC,LC,0,2025-1
39087,Blutaparon rigidum,2014,EX,EX,1,2025-1
39105,Tiquilia darwinii,2014,LC,LC,0,2025-1
39106,Tiquilia fusca,2014,LC,LC,0,2025-1
39107,Tiquilia galapagoa,2014,LC,LC,0,2025-1
39109,Tournefortia pubescens,2014,LC,LC,0,2025-1
39302,Nemanthias regalis,2022,LC,LC,0,2025-1
39303,Dermatolepis inermis,2018,DD,DD,NA,2025-1
39324,Notorynchus cepedianus,2020,VU,VU,0.4,2025-1
39327,Pristiophorus cirratus,2021,LC,LC,0,2025-1
39328,Squatina californica,2020,NT,NT,0.2,2025-1
39329,Squatina argentina,2019,CR,CR,0.8,2025-1
39331,Squatina occulta,2019,CR,CR,0.8,2025-1
39332,Squatina squatina,2019,CR,CR,0.8,2025-1
39333,Heterodontus francisci,2015,DD,DD,NA,2025-1
39334,Heterodontus portusjacksoni,2015,LC,LC,0,2025-1
39335,Brachaelurus colcloughi,2015,VU,VU,0.4,2025-1
39336,Odontaspis noronhai,2019,LC,LC,0,2025-1
39337,Pseudocarcharias kamoharai,2019,LC,LC,0,2025-1
39338,Megachasma pelagios,2019,LC,LC,0,2025-1
39339,Alopias vulpinus,2022,VU,VU,0.4,2025-1
39341,Isurus oxyrinchus,2019,EN,EN,0.6,2025-1
39342,Lamna ditropis,2019,LC,LC,0,2025-1
39345,Haploblepharus edwardsii,2020,EN,EN,0.6,2025-1
39346,Haploblepharus fuscus,2020,VU,VU,0.4,2025-1
39347,Schroederichthys bivius,2020,LC,LC,0,2025-1
39348,Poroderma africanum,2020,LC,LC,0,2025-1
39349,Scyliorhinus capensis,2020,NT,NT,0.2,2025-1
39350,Leptocharias smithii,2021,VU,VU,0.4,2025-1
39351,Furgaleus macki,2016,LC,LC,0,2025-1
39352,Galeorhinus galeus,2020,CR,CR,0.8,2025-1
39353,Hemitriakis leucoperiptera,2021,CR,CR,0.8,2025-1
39354,Hypogaleus hyugaensis,2024,DD,DD,NA,2025-1
39355,Mustelus antarcticus,2016,LC,LC,0,2025-1
39356,Mustelus lenticulatus,2018,LC,LC,0,2025-1
39357,Mustelus asterias,2021,NT,NT,0.2,2025-1
39358,Mustelus mustelus,2021,EN,EN,0.6,2025-1
39359,Mustelus canis,2021,NT,NT,0.2,2025-1
39360,Scylliogaleus quecketti,2019,VU,VU,0.4,2025-1
39361,Triakis acutipinna,2021,EN,EN,0.6,2025-1
39362,Triakis megalopterus,2020,LC,LC,0,2025-1
39363,Triakis semifasciata,2015,LC,LC,0,2025-1
39365,Carcharhinus amblyrhynchos,2020,EN,EN,0.6,2025-1
39366,Carcharhinus amboinensis,2021,VU,VU,0.4,2025-1
39367,Carcharhinus borneensis,2021,CR,CR,0.8,2025-1
39368,Carcharhinus brevipinna,2020,VU,VU,0.4,2025-1
39369,Carcharhinus hemiodon,2021,CR,CR,0.8,2025-1
39370,Carcharhinus falciformis,2021,VU,VU,0.4,2025-1
39371,Carcharhinus leiodon,2017,EN,EN,0.6,2025-1
39372,Carcharhinus leucas,2021,VU,VU,0.4,2025-1
39374,Carcharhinus longimanus,2019,CR,CR,0.8,2025-1
39375,Carcharhinus melanopterus,2020,VU,VU,0.4,2025-1
39378,Galeocerdo cuvier,2019,NT,NT,0.2,2025-1
39379,Glyphis glyphis,2021,VU,VU,0.4,2025-1
39380,Negaprion brevirostris,2021,VU,VU,0.4,2025-1
39381,Prionace glauca,2019,NT,NT,0.2,2025-1
39382,Rhizoprionodon terraenovae,2021,LC,LC,0,2025-1
39384,Triaenodon obesus,2020,VU,VU,0.4,2025-1
39385,Sphyrna lewini,2019,CR,CR,0.8,2025-1
39386,Sphyrna mokarran,2019,CR,CR,0.8,2025-1
39387,Sphyrna tiburo,2021,EN,EN,0.6,2025-1
39388,Sphyrna zygaena,2019,VU,VU,0.4,2025-1
39389,Anoxypristis cuspidata,2023,CR,CR,0.8,2025-1
39390,Pristis clavata,2022,CR,CR,0.8,2025-1
