iucn_sid,habs,max_depth
3853,"9_1, 9_4, 9_5, 9_6, 9_8, 9_10, 10_1, 10_2, 11_1_1, 11_1_2, 12_2, 12_4",200 m +
3854,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_8, 9_10, 10_1, 11_1_1, 11_1_2",200 m +
3855,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8, 9_10, 10_1, 10_2, 10_3, 11_5, 12_1, 12_2, 13_1",deep oceanic
3897,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_8, 9_9, 9_10, 10_1, 12_2",200 m +
3898,9_5,< 200 m
3989,13_1,unknown
4131,9_2,< 200 m
4159,"9_1, 9_10, 10_1",200 m +
4160,"9_1, 9_10",< 200 m
4161,"9_1, 10_1",200 m +
4162,9_1,< 200 m
4292,"9_1, 10_1, 10_2, 10_3, 11_1_1, 11_1_2",deep oceanic
4360,"9_2, 9_8_3, 9_8",< 200 m
4361,"9_2, 12_6",< 200 m
4362,"9_2, 9_8, 9_10, 12_6",< 200 m
4363,9_2,< 200 m
4364,9_2,< 200 m
4592,"9_1, 9_8, 9_9",< 200 m
4615,"9_7, 9_9, 10_1, 12_2",200 m +
4801,12_1,< 20 m
4805,9_2,< 200 m
4982,9_10,< 200 m
5272,"9_4, 9_7",< 200 m
5273,9_2,< 200 m
5325,"9_2, 9_8",< 200 m
5362,9_10,< 200 m
5363,"9_1, 9_10, 10_1",200 m +
5370,9_10,< 200 m
5375,9_10,< 200 m
5380,9_10,< 200 m
5659,"9_10, 12_1, 12_2, 12_7",< 200 m
5660,9_10,< 200 m
5663,12_7,< 20 m
5667,9_8_4,< 200 m
5668,"9_10, 12_1",< 200 m
5675,"9_4, 9_10",< 200 m
6011,13_1,unknown
6013,13_1,unknown
6031,12_1,< 20 m
6069,9_1,< 200 m
6204,"9_1, 10_1, 10_2, 10_3, 12_1, 13_1",deep oceanic
6229,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 10_1, 10_2, 10_3, 11_1_1, 11_1_2, 11_1, 11_5",deep oceanic
6335,"9_1, 9_10, 10_1, 10_2, 10_3",deep oceanic
6494,"10_1, 12_2",200 m +
6814,"9_8, 12_6",< 200 m
6909,"9_2, 9_4, 9_5, 9_6, 9_8, 9_9, 9_10, 12_2, 12_7",< 200 m
6930,9_10,< 200 m
7121,12_5,< 20 m
7134,9_10,< 200 m
7135,"9_6, 9_10, 12_7",< 200 m
7750,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_10, 10_1",200 m +
7778,12_1,< 20 m
7854,9_2,< 200 m
7855,"9_2, 9_4",< 200 m
7858,"9_2, 9_8, 9_10, 15_11",< 200 m
7859,"9_1, 9_2, 9_8, 10_1",200 m +
7860,"9_2, 9_8, 15_11",< 200 m
7861,"9_2, 9_5",< 200 m
7862,"9_2, 9_3, 9_4, 9_5, 9_6, 9_8, 9_9, 9_10, 12_7",< 200 m
8005,"9_1, 9_2, 9_6, 9_7, 9_8_1, 9_8_3, 9_9, 10_1, 12_2, 12_4, 12_7",200 m +
8010,"9_1, 9_4, 9_5, 9_6, 10_1, 10_2, 12_2",200 m +
8097,"9_1, 10_1",200 m +
8153,"9_1, 10_1",200 m +
8239,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
8262,"9_2, 9_3, 9_4",< 200 m
8407,"9_3, 9_4, 9_7, 9_8_6, 9_8, 9_9, 9_10",< 200 m
8408,"9_3, 9_4, 9_5, 9_6",< 200 m
8551,"10_1, 10_2, 10_3",deep oceanic
8784,"9_4, 9_5, 9_6",< 200 m
8817,9_10,< 200 m
8881,13_1,unknown
9002,"12_1, 12_2",< 20 m
9249,"10_1, 10_2, 10_3",deep oceanic
9250,"10_1, 10_2, 10_3",deep oceanic
9266,"9_4, 9_5, 9_10, 12_6, 12_7",< 200 m
9461,"10_1, 10_2, 10_3",deep oceanic
9660,"9_1, 10_1, 10_2, 12_1, 12_2, 12_3, 13_1",200 m +
9845,13_1,unknown
10030,"9_1, 9_5, 10_1, 10_2, 10_3, 11_1_1, 11_1_2, 11_1, 11_5",deep oceanic
10056,"9_9, 9_10",< 200 m
10057,"9_1, 9_2, 9_6, 9_7, 9_9, 9_10, 10_1, 12_5, 12_6, 15_11, 15_12",200 m +
10060,9_8,< 200 m
10063,"9_1, 9_2, 9_7, 9_8, 9_9, 9_10, 10_1, 12_4",200 m +
10064,"9_7, 9_8, 9_9, 9_10",< 200 m
10065,"9_7, 9_9",< 200 m
10066,"9_2, 9_8, 9_9, 9_10, 12_2, 12_5, 12_7",< 200 m
10069,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_4, 9_8_5, 9_8_6, 9_8, 9_9, 9_10",< 200 m
10070,"9_7, 9_8_1, 9_8_2, 9_8_5, 9_8_6, 9_8, 9_9",< 200 m
10072,"9_2, 9_4, 9_7, 9_8, 9_10, 12_7",< 200 m
10074,"9_2, 9_4, 9_5, 9_6, 9_7, 9_9",< 200 m
10075,"9_1, 9_6, 9_9, 9_10, 12_7",< 200 m
10077,"9_2, 9_4, 9_8",< 200 m
10082,"9_1, 9_2, 9_4, 9_5, 9_6, 9_7, 9_8, 9_9, 9_10, 12_7",< 200 m
10083,"9_6, 9_7, 9_8, 9_9",< 200 m
10087,"9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_5, 9_8",< 200 m
10088,"9_7, 9_8, 9_9, 9_10, 15_11",< 200 m
10089,"9_7, 9_9",< 200 m
10097,"9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
10103,9_10,< 200 m
10105,"9_8_4, 9_8_6, 9_8, 9_9",< 200 m
10106,"9_4, 9_8_4, 9_8_6, 9_8",< 200 m
10250,13_1,unknown
10268,"9_1, 9_10",< 200 m
10269,"9_1, 9_10",< 200 m
10276,"12_1, 12_2, 12_5",< 20 m
10303,9_7,< 200 m
10310,9_10,< 200 m
10329,12_5,< 20 m
10340,"9_1, 10_1, 10_2, 12_1, 12_2, 13_1",200 m +
10707,"9_1, 10_1, 10_2, 10_3",deep oceanic
10708,"10_1, 10_2, 10_3",deep oceanic
10722,9_10,< 200 m
10724,9_8,< 200 m
10800,12_2,< 20 m
10939,"9_1, 9_8, 9_9, 10_1",200 m +
10952,12_2,< 20 m
10960,12_2,< 20 m
11047,"9_1, 10_1, 10_2, 10_3",deep oceanic
11048,"10_1, 10_2, 10_3",deep oceanic
11060,9_10,< 200 m
11130,"9_2, 9_3, 9_4, 9_8_3, 9_8, 9_9",< 200 m
11140,"9_1, 10_1",200 m +
11141,"9_1, 10_1",200 m +
11142,"9_1, 10_1",200 m +
11143,"9_1, 9_7",< 200 m
11144,"9_1, 10_1",200 m +
11145,"9_1, 9_10, 10_1",200 m +
11146,"9_1, 10_1, 10_2, 10_3",deep oceanic
11150,"9_4, 9_5, 9_6, 9_10",< 200 m
11200,"9_1, 10_1, 10_2, 10_3, 11_1_1, 11_1_2",deep oceanic
11205,13_1,unknown
11206,"9_1, 9_10",< 200 m
11375,"9_1, 9_2, 10_2",200 m +
11409,13_1,unknown
11453,9_10,< 200 m
11502,9_1,< 200 m
11533,"9_1, 9_10, 10_1",200 m +
11534,"9_1, 10_1, 12_2",200 m +
11696,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
11884,9_10,< 200 m
11987,"9_4, 9_5, 9_10, 12_2, 12_3, 12_4",< 200 m
12006,12_2,< 20 m
12125,"9_1, 10_1",200 m +
12126,"9_1, 10_1, 10_2",200 m +
12137,"9_3, 9_4, 9_10",< 200 m
12143,9_10,< 200 m
12246,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
12302,"9_10, 12_5",< 200 m
12303,"9_2, 9_10, 10_1, 12_1, 12_2, 12_5, 13_1",200 m +
12304,"9_10, 12_5",< 200 m
12305,"9_10, 12_1, 12_2, 12_5, 13_1",< 200 m
12404,9_3,< 200 m
12416,"9_2, 9_3, 9_4, 9_5, 9_6, 9_8, 9_9, 9_10, 12_7",< 200 m
12417,"9_2, 9_3, 9_4, 9_5, 9_6, 9_8, 9_10, 12_7",< 200 m
12419,"9_1, 9_10, 12_1, 12_2, 12_3, 12_4, 12_5, 12_6",< 200 m
12420,"9_10, 12_7",< 200 m
12421,"9_10, 12_5",< 200 m
12427,"9_10, 12_5",< 200 m
12551,"12_1, 12_2, 12_3, 12_4, 12_7",< 20 m
12695,"9_3, 9_4, 9_5, 9_10, 12_2, 12_4, 12_5, 12_7",< 200 m
13006,"9_1, 10_1",200 m +
13045,"9_4, 9_5, 9_6",< 200 m
13145,"9_1, 9_10, 12_6",< 200 m
13232,"9_2, 9_3, 9_4, 9_5, 9_10",< 200 m
13241,"9_1, 10_1, 10_2, 10_3",deep oceanic
13242,"10_1, 10_2, 10_3",deep oceanic
13243,"10_1, 10_2, 10_3",deep oceanic
13244,"9_1, 10_1, 10_2, 10_3",deep oceanic
13245,"10_1, 10_2, 10_3",deep oceanic
13247,"9_1, 10_1, 10_2, 10_3",deep oceanic
13248,"10_1, 10_2, 10_3",deep oceanic
13249,"10_1, 10_2, 10_3",deep oceanic
13250,"9_1, 10_1, 10_2, 10_3",deep oceanic
13251,"10_1, 10_2, 10_3",deep oceanic
13252,"10_1, 10_2, 10_3",deep oceanic
13273,12_1,< 20 m
13374,"12_4, 12_5",< 20 m
13427,12_5,< 20 m
13581,"9_1, 10_1, 10_2, 10_3, 12_1, 13_1",deep oceanic
13583,"9_1, 10_1, 10_2, 10_3, 12_1, 12_2, 12_3, 13_1",deep oceanic
13653,"9_1, 10_1, 10_2, 12_1, 12_2, 13_1",200 m +
13654,"9_1, 10_1, 10_2, 12_1, 12_2, 13_1",200 m +
13655,"9_1, 10_1, 12_1, 12_2, 12_3, 13_1",200 m +
13704,"9_1, 10_1, 10_2, 10_3",deep oceanic
13852,"9_1, 9_10",< 200 m
13873,12_7,< 20 m
13891,12_7,< 20 m
14048,"9_2, 9_8, 9_9, 9_10",< 200 m
14049,"9_2, 9_4, 9_7, 9_10, 11_5, 12_7, 15_11",200 m +
14050,"9_2, 9_3, 9_4, 9_5, 9_8, 9_9, 9_10, 12_7",< 200 m
14051,"9_2, 9_4, 9_9, 12_7",< 200 m
14052,9_2,< 200 m
14053,"9_2, 9_3, 9_7, 11_5",200 m +
14054,"9_2, 9_3, 9_4, 15_11",< 200 m
14214,9_10,< 200 m
14264,9_10,< 200 m
14521,9_10,< 200 m
14524,9_10,< 200 m
14549,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
14562,9_10,< 200 m
14627,"9_10, 12_7",< 200 m
14628,9_10,< 200 m
14811,13_1,unknown
15106,"9_1, 9_4, 9_5, 9_6, 10_1, 10_2, 12_1, 12_2, 13_1",200 m +
15239,"9_5, 9_6, 9_10",< 200 m
15269,"9_1, 10_1, 10_2, 13_1",200 m +
15419,"9_1, 9_10",< 200 m
15421,"9_1, 9_10, 10_1, 10_2",200 m +
15549,12_2,< 20 m
15631,"9_1, 9_10",< 200 m
15873,"9_2, 9_3, 9_4, 9_9",< 200 m
15939,"9_10, 12_7",< 200 m
15968,"12_2, 12_7, 13_1",< 20 m
16011,"9_5, 9_8, 9_9",< 200 m
16012,9_10,< 200 m
16238,9_10,< 200 m
16474,"9_1, 9_4, 9_8, 9_9, 10_1",200 m +
16475,"9_1, 9_3, 9_4, 9_5, 9_6, 9_9, 10_1",200 m +
16476,"9_4, 9_5, 9_6, 9_9, 9_10",< 200 m
16503,"9_10, 12_2, 12_4",< 200 m
16559,12_1,< 20 m
16564,"10_1, 10_2, 10_3",deep oceanic
16580,9_10,< 200 m
16687,13_1,unknown
16781,"9_1, 9_10",< 200 m
16870,9_10,< 200 m
16926,13_1,unknown
17013,"9_1, 9_10, 10_1, 10_2, 12_1, 12_2, 12_3, 12_4, 12_5, 13_1",200 m +
17023,"9_1, 10_1, 12_1, 13_1",200 m +
17026,"9_1, 10_1, 10_2, 12_1, 12_2, 12_3, 13_1",200 m +
17027,"9_1, 9_10, 10_1",200 m +
17028,"9_1, 10_1",200 m +
17029,"9_1, 10_1",200 m +
17032,"9_1, 10_1",200 m +
17096,"9_1, 9_7, 9_8, 9_9, 10_1",200 m +
17177,"9_1, 9_2, 9_4, 9_7, 9_9",< 200 m
17245,"10_1, 10_2, 10_3",deep oceanic
17320,"12_1, 12_4",< 20 m
17710,"9_3, 9_4",< 200 m
17793,"12_1, 13_1",< 20 m
17795,"12_1, 13_1",< 20 m
17797,12_1,< 20 m
17800,"12_1, 13_1",< 20 m
17977,10_1,200 m +
17978,"9_1, 10_1",200 m +
18145,"9_2, 9_3, 9_4, 9_8",< 200 m
18175,"9_3, 9_4, 9_5, 9_6, 9_9, 9_10, 12_4, 12_7",< 200 m
18374,"9_2, 9_8, 12_7",< 200 m
18383,"9_1, 9_10",< 200 m
18458,"9_10, 12_5",< 200 m
18460,9_10,< 200 m
18510,"9_2, 9_8, 9_9",< 200 m
18546,12_7,< 20 m
18596,"9_1, 10_1, 10_2, 10_3",deep oceanic
18711,9_10,< 200 m
18877,"9_7, 9_9, 9_10",< 200 m
19330,"12_1, 12_2, 12_3, 13_1",< 20 m
19387,9_10,< 200 m
19388,9_10,< 200 m
19401,12_5,< 20 m
19488,"9_1, 10_1, 10_2, 10_3",deep oceanic
19671,9_10,< 200 m
19735,"9_10, 12_4, 12_5, 12_7",< 200 m
19782,9_10,< 200 m
19798,9_8,< 200 m
19855,"9_1, 9_10, 10_1",200 m +
19859,9_1,< 200 m
19861,"9_1, 9_10",< 200 m
19896,9_8,< 200 m
19897,9_8_5,< 200 m
19898,9_8,< 200 m
19899,9_8,< 200 m
19950,"9_2, 9_6, 9_7, 9_8_2, 9_8_4, 9_8, 9_9, 9_10, 12_7",< 200 m
20047,"9_1, 10_1",200 m +
20314,"9_1, 9_2, 9_4, 9_7, 9_8, 9_10, 10_1",200 m +
20315,"9_1, 9_7, 9_8, 10_1",200 m +
20316,"9_2, 9_7, 9_8_4, 9_9",< 200 m
20318,"9_2, 9_4, 9_7, 9_8_4, 9_10, 11_1_1, 11_1_2",200 m +
20425,"9_1, 9_10",< 200 m
20724,"9_2, 9_3",< 200 m
20729,"9_1, 10_1",200 m +
20730,"9_1, 10_1",200 m +
20731,"9_1, 10_1, 10_2",200 m +
20732,"9_1, 10_1",200 m +
20733,"9_1, 9_8, 10_1, 10_2, 10_3",deep oceanic
20738,"9_1, 10_1",200 m +
20795,9_7,< 200 m
20855,9_1,< 200 m
20860,9_10,< 200 m
20861,9_10,< 200 m
20862,9_10,< 200 m
21257,"9_6, 9_7, 9_9, 9_10",< 200 m
21309,"9_1, 9_4, 9_5, 9_10, 12_2, 12_3, 12_4",< 200 m
21341,"9_2, 9_3, 9_4, 9_5, 9_6, 9_10",< 200 m
21342,"9_2, 9_4",< 200 m
21343,"9_2, 9_4, 9_5, 9_6, 9_10",< 200 m
21452,13_1,unknown
21500,"10_1, 10_2, 10_3",deep oceanic
21628,9_10,< 200 m
21689,"9_2, 9_7, 9_9",< 200 m
21855,"9_1, 9_10",< 200 m
21856,"9_1, 10_1, 10_2",200 m +
21857,"9_1, 10_1, 10_2",200 m +
21858,"10_1, 10_2",200 m +
21859,"9_1, 10_1, 10_2, 10_3",deep oceanic
21860,"9_1, 10_1, 10_2",200 m +
21994,"9_4, 9_10",< 200 m
22003,"9_3, 9_4, 9_5, 9_6, 9_10",< 200 m
22102,9_10,< 200 m
22103,"9_1, 9_3, 9_4, 9_5, 9_6, 9_8, 9_9, 9_10, 10_1, 12_2, 12_3, 12_4, 12_5, 12_7",200 m +
22104,"9_2, 9_3, 9_4, 9_5, 9_6, 9_8, 9_9, 9_10, 10_1, 12_5, 12_7",200 m +
22135,"9_2, 9_8_4, 9_8_6, 9_8, 9_9, 12_1",< 200 m
22136,"9_8_3, 9_8_4, 9_8_6, 9_8",< 200 m
22137,"9_3, 9_4, 9_8_4, 9_8_6, 9_8, 9_9",< 200 m
22138,"9_2, 9_8_4, 9_8_6, 9_8, 9_9, 12_1",< 200 m
22140,"9_8_4, 9_8_6, 9_8, 9_9",< 200 m
22141,"9_8_2, 9_8_3, 9_8",< 200 m
22383,12_3,< 20 m
22563,"9_1, 9_5, 9_9, 9_10, 10_1",200 m +
22781,12_3,< 20 m
22823,"10_1, 12_1, 12_2, 12_3, 12_4, 13_1",200 m +
22884,"12_1, 12_2",< 20 m
23053,10_2,200 m +
23095,13_1,unknown
23141,12_5,< 20 m
23148,"9_1, 10_1, 10_2, 10_3",deep oceanic
23211,"9_1, 10_1, 10_2, 10_3",deep oceanic
23259,"9_5, 9_6, 9_7, 9_9, 9_10",< 200 m
29605,12_2,< 20 m
29653,12_5,< 20 m
30394,13_1,unknown
30507,13_1,unknown
30561,13_1,unknown
30609,12_2,< 20 m
30937,"9_10, 12_6",< 200 m
31339,12_2,< 20 m
31351,13_1,unknown
31382,12_7,< 20 m
32042,"12_1, 12_3",< 20 m
33196,13_1,unknown
33705,12_7,< 20 m
33989,13_1,unknown
34250,13_1,unknown
34364,12_7,< 20 m
35067,13_1,unknown
37828,13_1,unknown
38360,"12_1, 13_1",< 20 m
38559,"12_2, 12_4",< 20 m
38747,"12_2, 13_1",< 20 m
38992,13_1,unknown
39070,"12_1, 12_2",< 20 m
39084,12_2,< 20 m
39086,12_2,< 20 m
39087,12_2,< 20 m
39105,12_2,< 20 m
39106,12_2,< 20 m
39107,12_2,< 20 m
39109,12_2,< 20 m
39157,13_1,unknown
39241,13_1,unknown
39302,"9_2, 9_8",< 200 m
39303,"9_2, 9_8",< 200 m
39323,13_1,unknown
39324,"9_10, 11_1_1, 11_1_2",200 m +
39327,"9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
39328,"9_2, 9_4, 9_5, 9_6, 9_7, 9_10",< 200 m
39329,"9_4, 11_1_2",200 m +
39331,"9_4, 9_5, 9_6",< 200 m
39332,"9_2, 9_4, 9_7, 9_10, 12_4",< 200 m
39333,"9_2, 9_4, 9_7, 10_1",200 m +
39334,"9_2, 9_3, 9_4, 9_10",< 200 m
39335,"9_2, 9_8, 9_9",< 200 m
39336,"10_1, 10_2",200 m +
39337,"10_1, 10_2",200 m +
39338,"10_1, 10_2, 10_3",deep oceanic
39339,"9_1, 10_1, 10_2, 11_1_1, 11_1_2",200 m +
39341,"10_1, 10_2",200 m +
39342,"9_1, 10_1, 10_2, 10_3",deep oceanic
39345,"9_2, 9_4, 9_7, 11_1_1, 11_1_2",200 m +
39346,"9_2, 9_4",< 200 m
39347,"9_2, 9_3, 9_4, 9_7, 9_9",< 200 m
39348,"9_2, 9_7",< 200 m
39349,"9_2, 9_4, 11_1_1, 11_1_2",200 m +
39350,"9_4, 9_5, 9_6, 9_10",< 200 m
39351,"9_3, 9_4, 9_9",< 200 m
39352,"9_1, 9_3, 9_4, 9_5, 9_6, 9_10, 10_1, 10_2, 11_1_2",200 m +
39353,"9_4, 9_5, 9_6, 9_8, 9_9",< 200 m
39354,"9_1, 9_2, 9_3, 9_4",< 200 m
39355,"9_3, 9_4, 11_1_1, 11_1_2",200 m +
39356,"9_5, 9_10, 11_1_2",200 m +
39357,"9_3, 9_4, 9_5, 9_6, 9_10, 10_1, 12_2, 12_3",200 m +
39358,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2, 11_1",200 m +
39359,"9_2, 9_4, 9_5, 9_6, 11_1_1",200 m +
39360,"9_5, 9_6",< 200 m
39361,"9_2, 9_3, 9_4, 9_5, 9_6",< 200 m
39362,"9_2, 9_4",< 200 m
39363,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
39365,9_8,< 200 m
39366,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_8, 9_9, 9_10, 12_4, 12_7",< 200 m
39367,"9_4, 9_5, 9_6",< 200 m
39368,"9_1, 9_4, 9_5",< 200 m
39369,"9_4, 9_5, 9_6, 9_10",< 200 m
39370,"9_1, 10_1, 10_2, 11_1",200 m +
39371,9_5,< 200 m
39372,"9_1, 9_4, 9_5, 9_6, 9_8, 9_10",< 200 m
39374,"9_1, 9_8, 10_1, 10_2, 10_3",deep oceanic
39375,"9_8, 9_9, 12_2, 12_7",< 200 m
39378,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_8_1, 9_8_3, 9_8, 9_9, 9_10, 10_1, 10_2, 11_1_1, 11_1_2",200 m +
39379,"9_6, 9_10",< 200 m
39380,"9_1, 9_4, 9_8, 9_10, 12_7",< 200 m
39381,"9_1, 10_1, 10_2, 10_3",deep oceanic
39382,"9_4, 9_5, 9_6, 9_10, 12_2",< 200 m
39384,9_8,< 200 m
39385,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_10, 10_1, 10_2, 10_3, 11_1_1, 11_1_2, 11_1",deep oceanic
39386,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_3, 9_8_4, 9_8, 10_1, 10_2",200 m +
39387,"9_4, 9_5, 9_6, 9_8, 9_9, 9_10",< 200 m
39388,"9_1, 9_2, 9_4, 9_5, 9_6, 10_1",200 m +
39389,"9_1, 9_4, 9_5, 9_6, 9_8_4, 9_8_5, 9_9, 9_10, 12_2, 12_4, 12_7",< 200 m
39390,"9_4, 9_5, 9_6, 9_8_5, 9_8, 9_9, 9_10, 12_4, 12_7",< 200 m
39393,"9_2, 9_3, 9_4, 9_5, 9_6, 9_8_5, 9_9, 12_2, 12_4, 12_7",< 200 m
39394,"9_2, 9_4, 9_5, 9_6, 9_8, 9_10",< 200 m
39396,"10_1, 10_2, 11_1",200 m +
39399,"9_2, 9_3, 9_4, 9_5, 9_6, 9_10, 10_1, 11_1_1, 11_1_2, 11_1, 12_3",200 m +
39400,"9_4, 9_5, 9_6, 9_7",< 200 m
39411,9_10,< 200 m
39413,"9_4, 9_5, 9_8",< 200 m
39414,"9_4, 9_5, 9_6",< 200 m
39416,"9_1, 9_7, 9_10, 12_5",< 200 m
39459,13_1,unknown
39484,13_1,unknown
39707,13_1,unknown
39771,"9_2, 9_3, 9_4, 9_5, 11_1_1, 11_1_2",200 m +
39773,"9_2, 9_3, 9_8",< 200 m
39774,"9_8, 9_9, 12_6",< 200 m
40090,"9_10, 12_1, 12_7",< 200 m
40635,"10_1, 10_2, 10_3",deep oceanic
40708,9_10,< 200 m
40710,"9_6, 9_10",< 200 m
40711,"9_2, 12_6",< 200 m
40715,"9_2, 9_7, 9_8_4, 9_10, 12_5",< 200 m
40773,"9_2, 9_6, 9_7, 9_9, 9_10, 15_11",< 200 m
40784,"9_2, 12_1, 12_2, 12_3, 13_1",< 200 m
40795,13_1,unknown
40797,"9_1, 9_4, 9_5, 9_6, 9_9, 9_10, 12_7",< 200 m
40802,9_9,< 200 m
41005,"9_1, 9_2, 9_8, 9_9, 9_10, 10_1, 12_4, 12_5, 12_7",200 m +
41006,"9_3, 9_4, 9_5, 9_6, 9_7, 9_9, 12_1, 15_11",< 200 m
41007,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8, 9_9, 9_10",< 200 m
41008,"9_8, 9_9, 12_7",< 200 m
41010,"9_6, 9_8_3, 9_8_5, 9_8",< 200 m
41030,"9_7, 9_10",< 200 m
41064,"9_4, 9_5, 9_6, 9_10",< 200 m
41303,"12_5, 12_7",< 20 m
41366,12_1,< 20 m
41588,12_3,< 20 m
41590,9_10,< 200 m
41664,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
41665,"9_1, 10_1, 10_2, 12_1, 12_2, 12_3, 12_6, 13_1",200 m +
41666,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
41667,"9_1, 10_1, 12_1, 12_2, 13_1",200 m +
41668,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
41670,"9_1, 10_1, 10_2",200 m +
41671,"9_1, 10_1, 10_2, 12_1, 13_1",200 m +
41672,"9_1, 10_1, 10_2",200 m +
41688,"12_5, 15_11, 15_12, 15_13",< 200 m
41711,"9_1, 10_1",200 m +
41712,"9_1, 10_1, 10_2",200 m +
41714,"9_1, 9_8, 9_9, 9_10, 10_1",200 m +
41715,"9_1, 10_1",200 m +
41716,9_8,< 200 m
41718,"11_1_1, 11_1_2, 11_5",200 m +
41719,"11_1_1, 11_1_2",200 m +
41720,"9_4, 9_5, 9_6",< 200 m
41721,9_6,< 200 m
41722,"9_6, 11_1_1, 11_1_2",200 m +
41723,"11_1_1, 11_1_2",200 m +
41724,"11_1_1, 11_1_2",200 m +
41725,"9_4, 9_5, 11_1_1, 11_1_2",200 m +
41726,"9_1, 10_1",200 m +
41727,"9_4, 9_5, 9_6, 9_9, 11_1_1, 11_1_2",200 m +
41728,9_4,< 200 m
41729,"9_2, 9_4",< 200 m
