iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
3851,Carcharhinus limbatus,Blacktip Shark,2009,NT,NA,NT,0.2,2020-3
3852,Carcharhinus obscurus,Dusky Shark,2019,EN,A2bd,EN,0.6,2020-3
3853,Carcharhinus plumbeus,Sandbar Shark,2009,VU,A2bd+4bd,VU,0.4,2020-3
3854,Carcharias taurus,Sand Tiger Shark,2009,VU,A2ab+3d,VU,0.4,2020-3
3855,Carcharodon carcharias,White Shark,2019,VU,A2bd,VU,0.4,2020-3
3856,Carcinoscorpius rotundicauda,Horseshoe Crab,1996,DD,NA,DD,NA,2020-3
3897,Caretta caretta,Loggerhead Turtle,2017,VU,A2b,VU,0.4,2020-3
3898,Carettochelys insculpta,Pig-nosed Turtle,2018,EN,A2bd+4bd,EN,0.6,2020-3
4131,Centropyge resplendens,Resplendent Pygmy Angelfish,2010,LC,NA,LC,0,2020-3
4159,Cephalorhynchus commersonii,Commerson's Dolphin,2017,LC,NA,LC,0,2020-3
4160,Cephalorhynchus eutropia,Chilean Dolphin,2017,NT,NA,NT,0.2,2020-3
4161,Cephalorhynchus heavisidii,Heaviside's Dolphin,2018,NT,NA,NT,0.2,2020-3
4162,Cephalorhynchus hectori,Hector's Dolphin,2013,EN,A4d,EN,0.6,2020-3
4292,Cetorhinus maximus,Basking Shark,2019,EN,A2bd,EN,0.6,2020-3
4360,Chaetodon flavocoronatus,Yellow-crowned Butterflyfish,2010,LC,NA,LC,0,2020-3
4361,Chaetodon litus,Easter Island Butterflyfish,2010,LC,NA,LC,0,2020-3
4362,Chaetodon marleyi,Doublesash Butterflyfish,2010,LC,NA,LC,0,2020-3
4363,Prognathodes obliquus,Oblique Butterflyfish,2010,DD,NA,DD,NA,2020-3
4364,Chaetodon robustus,Three-banded Butterflyfish,2010,LC,NA,LC,0,2020-3
4592,Cheilinus undulatus,Humphead Wrasse,2004,EN,A2bd+3bd,EN,0.6,2020-3
4615,Chelonia mydas,Green Turtle,2004,EN,A2bd,EN,0.6,2020-3
4805,Chromis sanctaehelenae,St. Helena Chromis,2015,LC,NA,LC,0,2020-3
4982,Clinus spatulatus,Bot River Klipfish,2014,EN,"B2ab(iii,v)",EN,0.6,2020-3
5119,Collisella edmitchelli,NA,1996,EX,NA,EX,1,2020-3
5216,Conacmella vagans,NA,1996,DD,NA,DD,NA,2020-3
5269,Conus africanus,NA,2012,LC,NA,LC,0,2020-3
5270,Conus cepasi,NA,2012,VU,D2,VU,0.4,2020-3
5271,Conus kohni,NA,1996,DD,NA,DD,NA,2020-3
5272,Conus nobrei,NA,2012,NT,NA,NT,0.2,2020-3
5273,Conus zebroides,NA,2013,NT,NA,NT,0.2,2020-3
5325,Emblemariopsis tayrona,Tayrona Blenny,2015,LC,NA,LC,0,2020-3
5362,Coregonus artedi,Cisco,1996,LR/lc,NA,LC,0,2020-3
5486,Crassispira sacerdotalis,NA,1996,DD,NA,DD,NA,2020-3
5659,Crocodylus acutus,American Crocodile,2012,VU,A2cd,VU,0.4,2020-3
5668,Crocodylus porosus,Saltwater Crocodile,1996,LR/lc,NA,LC,0,2020-3
5675,Croilia mossambica,Burrowing Goby,2007,LC,NA,LC,0,2020-3
6069,Cymatium parthenopaeum,NA,2000,LR/lc,NA,LC,0,2020-3
6202,Cysticus gutta,NA,1996,DD,NA,DD,NA,2020-3
6203,Cysticus josephinae,NA,1996,DD,NA,DD,NA,2020-3
6204,Cystophora cristata,Hooded Seal,2016,VU,A3c,VU,0.4,2020-3
6229,Dalatias licha,Kitefin Shark,2018,VU,A2bd+3d,VU,0.4,2020-3
6335,Delphinapterus leucas,Beluga Whale,2017,LC,NA,LC,0,2020-3
6336,Delphinus delphis,Short-beaked Common Dolphin,2008,LC,NA,LC,0,2020-3
6337,Delphinus capensis,Long-beaked Common Dolphin,2008,DD,NA,DD,NA,2020-3
6494,Dermochelys coriacea,Leatherback,2013,VU,A2bd,VU,0.4,2020-3
6814,Dunckerocampus dactyliophorus,Banded Pipefish,2016,DD,NA,DD,NA,2020-3
6909,Dugong dugon,Dugong,2019,VU,A2bcd+4bcd,VU,0.4,2020-3
7011,Echinus esculentus,European Edible Sea Urchin,1996,LR/nt,NA,NT,0.2,2020-3
7035,Edwardsia ivelli,Ivell's Sea Anemone,1996,DD,NA,DD,NA,2020-3
7134,Eleotris sandwicensis,Hawaii Spinecheek Gudgeon,2013,DD,NA,DD,NA,2020-3
7135,Eleotris melanosoma,Broadhead Sleeper,2019,LC,NA,LC,0,2020-3
7750,Enhydra lutris,Sea Otter,2015,EN,A2abe,EN,0.6,2020-3
7778,Entomacrodus cadenati,West African Rockhopper,2014,LC,NA,LC,0,2020-3
7854,Epinephelus drummondhayi,Speckled Hind,2018,DD,NA,DD,NA,2020-3
7855,Hyporthodus exsul,Tenspine Grouper,2018,LC,NA,LC,0,2020-3
7858,Epinephelus lanceolatus,Giant Grouper,2018,DD,NA,DD,NA,2020-3
7859,Epinephelus marginatus,Dusky Grouper,2018,VU,A2bd+4bd,VU,0.4,2020-3
7860,Hyporthodus nigritus,Warsaw Grouper,2018,NT,NA,NT,0.2,2020-3
7861,Hyporthodus niveatus,Snowy Grouper,2018,VU,A2bd+4bd,VU,0.4,2020-3
7862,Epinephelus striatus,Nassau Grouper,2018,CR,A4bd,CR,0.8,2020-3
8005,Eretmochelys imbricata,Hawksbill Turtle,2008,CR,A2bd,CR,0.8,2020-3
8010,Erignathus barbatus,Bearded Seal,2016,LC,NA,LC,0,2020-3
8012,Erignathus barbatus ssp. barbatus,Atlantic Bearded Seal,2016,LC,NA,LC,0,2020-3
8013,Erignathus barbatus ssp. nauticus,Pacific Bearded Seal,2015,LC,NA,LC,0,2020-3
8097,Eschrichtius robustus,Gray Whale,2018,LC,NA,LC,0,2020-3
8099,Eschrichtius robustus western subpopulation,Western Gray Whale,2018,EN,D,EN,0.6,2020-3
8153,Eubalaena australis,Southern Right Whale,2018,LC,NA,LC,0,2020-3
8239,Eumetopias jubatus,Steller Sea Lion,2016,NT,NA,NT,0.2,2020-3
8261,Eunice viridis,Samoan Palolo Worm,1996,DD,NA,DD,NA,2020-3
8262,Eunicella verrucosa,Pink Sea Fan,1996,VU,A1d,VU,0.4,2020-3
8407,Eurypegasus draconis,Short Dragonfish,2017,LC,NA,LC,0,2020-3
8408,Eurypegasus papilio,Hawaiian Sea-moth Fish,2016,LC,NA,LC,0,2020-3
8409,Eurypegasus draconis Philippines stock,Little Dragonfish,1996,VU,A2d,VU,0.4,2020-3
8551,Feresa attenuata,Pygmy Killer Whale,2018,LC,NA,LC,0,2020-3
8784,Gadus morhua,Atlantic Cod,1996,VU,A1bd,VU,0.4,2020-3
8817,Galaxias argenteus,Giant Kokopu,2014,VU,A4ac,VU,0.4,2020-3
8951,Gasterosteus aculeatus,Threespined Stickleback,2019,LC,NA,LC,0,2020-3
9175,Gibberula cucullata,NA,1996,DD,NA,DD,NA,2020-3
9176,Gibberula modica,NA,1996,DD,NA,DD,NA,2020-3
9177,Gibberula puntillum,NA,1996,DD,NA,DD,NA,2020-3
9249,Globicephala macrorhynchus,Short-finned Pilot Whale,2018,LC,NA,LC,0,2020-3
9250,Globicephala melas,Long-finned Pilot Whale,2018,LC,NA,LC,0,2020-3
9266,Psammogobius biocellatus,Sleepy Goby,2017,LC,NA,LC,0,2020-3
9281,Glyphis gangeticus,Ganges Shark,2007,CR,A2cde; C2b,CR,0.8,2020-3
9461,Grampus griseus,Risso's Dolphin,2018,LC,NA,LC,0,2020-3
9463,Granulina parilis,NA,1996,DD,NA,DD,NA,2020-3
9660,Halichoerus grypus,Grey Seal,2016,LC,NA,LC,0,2020-3
10016,Heteropoma fulva,NA,1996,DD,NA,DD,NA,2020-3
10017,Heteropoma glabratum,NA,1996,DD,NA,DD,NA,2020-3
10018,Heteropoma pyramis,NA,1996,DD,NA,DD,NA,2020-3
10019,Heteropoma quadrasi,NA,1996,DD,NA,DD,NA,2020-3
10020,Heteropoma tuberculatum,NA,1996,DD,NA,DD,NA,2020-3
10021,Heteropoma turritum,NA,1996,DD,NA,DD,NA,2020-3
10030,Hexanchus griseus,Bluntnose Sixgill Shark,2020,NT,NA,NT,0.2,2020-3
10056,Hippocampus capensis,Knysna Seahorse,2017,EN,"B1ab(iii,v)+2ab(iii,v)",EN,0.6,2020-3
10057,Hippocampus abdominalis,Pot-bellied Seahorse,2017,LC,NA,LC,0,2020-3
10060,Hippocampus bargibanti,Bargibant's Seahorse,2017,DD,NA,DD,NA,2020-3
10063,Hippocampus breviceps,Short-snouted Seahorse,2017,LC,NA,LC,0,2020-3
10064,Hippocampus camelopardalis,Giraffe Seahorse,2017,DD,NA,DD,NA,2020-3
10065,Hippocampus coronatus,High-crowned Seahorse,2016,DD,NA,DD,NA,2020-3
10066,Hippocampus erectus,Lined Seahorse,2017,VU,A2cd,VU,0.4,2020-3
10069,Hippocampus hippocampus,Short-snouted Seahorse,2017,DD,NA,DD,NA,2020-3
10070,Hippocampus histrix,Thorny Seahorse,2017,VU,A2cd+4cd,VU,0.4,2020-3
10072,Hippocampus ingens,Giant Seahorse,2017,VU,A2cd,VU,0.4,2020-3
10074,Hippocampus jayakari,Jayakar's Seahorse,2017,LC,NA,LC,0,2020-3
10075,Hippocampus kuda,Spotted Seahorse,2014,VU,A2cd+3cd+4cd,VU,0.4,2020-3
10077,Hippocampus minotaur,Bullneck Seahorse,2017,DD,NA,DD,NA,2020-3
10082,Hippocampus reidi,Long-snout Seahorse,2017,NT,NA,NT,0.2,2020-3
10083,Hippocampus sindonis,Sindo's Seahorse,2017,LC,NA,LC,0,2020-3
10087,Hippocampus trimaculatus,Three-spot Seahorse,2015,VU,A2bcd+4bcd,VU,0.4,2020-3
10088,Hippocampus whitei,White's Seahorse,2017,EN,A2bc,EN,0.6,2020-3
10089,Hippocampus zosterae,Dwarf Seahorse,2017,LC,NA,LC,0,2020-3
10097,Hippoglossus hippoglossus,Atlantic Halibut,1996,EN,A1d,EN,0.6,2020-3
10105,Hippopus hippopus,Horse's Hoof Clam,1996,LR/cd,NA,VU,0.4,2020-3
10106,Hippopus porcellanus,China Clam,1996,LR/cd,NA,VU,0.4,2020-3
10268,Huso dauricus,Kaluga,2010,CR,A2bd,CR,0.8,2020-3
10269,Huso huso,Beluga,2010,CR,A2bcd,CR,0.8,2020-3
10273,Huso huso Adriatic Sea,Beluga,1996,EX,NA,EX,1,2020-3
10303,Hydrodamalis gigas,Steller's Sea Cow,2016,EX,NA,EX,1,2020-3
10340,Hydrurga leptonyx,Leopard Seal,2015,LC,NA,LC,0,2020-3
10707,Hyperoodon ampullatus,Northern Bottlenose Whale,2008,DD,NA,DD,NA,2020-3
10708,Hyperoodon planifrons,Southern Bottlenose Whale,2020,LC,NA,LC,0,2020-3
10724,Hypoplectrus providencianus,Masked Hamlet,2015,LC,NA,LC,0,2020-3
10939,Jenkinsia parvula,Venezuelan Herring,2017,DD,NA,DD,NA,2020-3
11030,Knipowitschia caucasica,NA,2008,LC,NA,LC,0,2020-3
11047,Kogia breviceps,Pygmy Sperm Whale,2020,LC,NA,LC,0,2020-3
11048,Kogia sima,Dwarf Sperm Whale,2020,LC,NA,LC,0,2020-3
11060,Kuhlia marginata,Silver Flagtail,2019,LC,NA,LC,0,2020-3
11130,Lachnolaimus maximus,Hogfish,2010,VU,A2bd,VU,0.4,2020-3
11140,Lagenodelphis hosei,Fraser's Dolphin,2018,LC,NA,LC,0,2020-3
11141,Lagenorhynchus acutus,Atlantic White-sided Dolphin,2019,LC,NA,LC,0,2020-3
11142,Lagenorhynchus albirostris,White-beaked Dolphin,2018,LC,NA,LC,0,2020-3
11143,Lagenorhynchus australis,Peale's Dolphin,2019,LC,NA,LC,0,2020-3
11144,Lagenorhynchus cruciger,Hourglass Dolphin,2018,LC,NA,LC,0,2020-3
11145,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,2018,LC,NA,LC,0,2020-3
11146,Lagenorhynchus obscurus,Dusky Dolphin,2019,LC,NA,LC,0,2020-3
11150,Lagocephalus gloveri,Brown-backed Toadfish,2014,DD,NA,DD,NA,2020-3
11191,Ophioglossolambis violacea,NA,1996,DD,NA,DD,NA,2020-3
11200,Lamna nasus,Porbeagle,2019,VU,A2bd,VU,0.4,2020-3
11368,Latiaxis babelis,NA,1996,LR/nt,NA,NT,0.2,2020-3
11375,Latimeria chalumnae,Coelacanth,2000,CR,A2bcd,CR,0.8,2020-3
11501,Lentipes concolor,Oopu Alamoo,1996,DD,NA,DD,NA,2020-3
11502,Lentipes whittenorum,NA,2019,DD,NA,DD,NA,2020-3
11533,Lepidochelys kempii,Kemp's Ridley,2019,CR,A2bd,CR,0.8,2020-3
11534,Lepidochelys olivacea,Olive Ridley,2008,VU,A2bd,VU,0.4,2020-3
11696,Leptonychotes weddellii,Weddell Seal,2015,LC,NA,LC,0,2020-3
11987,Limulus polyphemus,American Horseshoe Crab,2016,VU,A3bd,VU,0.4,2020-3
12103,Liosaccus pachygaster,NA,1996,VU,D2,VU,0.4,2020-3
12125,Lissodelphis borealis,Northern Right Whale Dolphin,2018,LC,NA,LC,0,2020-3
12126,Lissodelphis peronii,Southern Right Whale Dolphin,2018,LC,NA,LC,0,2020-3
12137,Lithognathus lithognathus,White Steenbras,2014,EN,"A2bcd; B2ab(ii,v)",EN,0.6,2020-3
12242,Littoraria flammea,NA,1996,EX,NA,EX,1,2020-3
12244,Liza luciae,St. Lucia Mullet,1996,EN,B1+2ab+3a,EN,0.6,2020-3
12246,Lobodon carcinophaga,Crabeater Seal,2015,LC,NA,LC,0,2020-3
12302,Lontra canadensis,North American River Otter,2015,LC,NA,LC,0,2020-3
12303,Lontra felina,Marine Otter,2015,EN,A3cde,EN,0.6,2020-3
12305,Lontra provocax,Southern River Otter,2015,EN,A3cde,EN,0.6,2020-3
12382,Lottia alveus,Eelgrass Limpet,1996,EX,NA,EX,1,2020-3
12404,Luciogobius pallidus,Well Earthworm Goby,1996,DD,NA,DD,NA,2020-3
12416,Lutjanus analis,Mutton Snapper,2016,NT,NA,NT,0.2,2020-3
12417,Lutjanus cyanopterus,Cubera Snapper,2016,VU,A2bd,VU,0.4,2020-3
12419,Lutra lutra,Eurasian Otter,2015,NT,NA,NT,0.2,2020-3
12421,Lutra sumatrana,Hairy-nosed Otter,2015,EN,A2cde,EN,0.6,2020-3
12427,Lutrogale perspicillata,Smooth-coated Otter,2015,VU,A2cde,VU,0.4,2020-3
12695,Malaclemys terrapin,Diamondback Terrapin,2019,VU,A4acde,VU,0.4,2020-3
12807,Marginella chalmersi,NA,1996,DD,NA,DD,NA,2020-3
12808,Marginella gemma,NA,1996,DD,NA,DD,NA,2020-3
12809,Marginella liparozona,NA,1996,DD,NA,DD,NA,2020-3
12810,Marginella melvilli,NA,1996,DD,NA,DD,NA,2020-3
13006,Megaptera novaeangliae,Humpback Whale,2018,LC,NA,LC,0,2020-3
13045,Melanogrammus aeglefinus,Haddock,1996,VU,A1d+2d,VU,0.4,2020-3
13145,Menidia conchorum,Key Silverside,2015,EN,B1ab(iii)+2ab(iii),EN,0.6,2020-3
13232,Mesogobius batrachocephalus,Toad Goby,2008,LC,NA,LC,0,2020-3
13238,Mesonerilla prospera,NA,1996,CR,B1+2c,CR,0.8,2020-3
13241,Mesoplodon bidens,Sowerby's Beaked Whale,2020,LC,NA,LC,0,2020-3
13242,Mesoplodon bowdoini,Andrew's Beaked Whale,2020,DD,NA,DD,NA,2020-3
13243,Mesoplodon carlhubbsi,Hubbs' Beaked Whale,2020,DD,NA,DD,NA,2020-3
13244,Mesoplodon densirostris,Blainville's Beaked Whale,2020,LC,NA,LC,0,2020-3
13245,Mesoplodon europaeus,Gervais' Beaked Whale,2020,LC,NA,LC,0,2020-3
13247,Mesoplodon grayi,Gray's Beaked Whale,2020,LC,NA,LC,0,2020-3
13248,Mesoplodon hectori,Hector's Beaked Whale,2020,DD,NA,DD,NA,2020-3
13249,Mesoplodon layardii,Strap-toothed Whale,2020,LC,NA,LC,0,2020-3
13250,Mesoplodon mirus,True's Beaked Whale,2020,LC,NA,LC,0,2020-3
13251,Mesoplodon peruvianus,Pygmy Beaked Whale,2020,LC,NA,LC,0,2020-3
13252,Mesoplodon stejnegeri,Stejneger's Beaked Whale,2020,NT,NA,NT,0.2,2020-3
13581,Mirounga angustirostris,Northern Elephant Seal,2015,LC,NA,LC,0,2020-3
13583,Mirounga leonina,Southern Elephant Seal,2015,LC,NA,LC,0,2020-3
13653,Monachus monachus,Mediterranean Monk Seal,2015,EN,C2a(i),EN,0.6,2020-3
13654,Neomonachus schauinslandi,Hawaiian Monk Seal,2015,EN,C1,EN,0.6,2020-3
13655,Neomonachus tropicalis,Caribbean Monk Seal,2015,EX,NA,EX,1,2020-3
13704,Monodon monoceros,Narwhal,2017,LC,NA,LC,0,2020-3
13852,Mordacia lapicida,Lamprea de Agua Dulce,1996,DD,NA,DD,NA,2020-3
13932,Muricopsis mariangelae,NA,1996,DD,NA,DD,NA,2020-3
13933,Muricopsis matildae,NA,1996,DD,NA,DD,NA,2020-3
13934,Muricopsis principensis,NA,1996,DD,NA,DD,NA,2020-3
14048,Mycteroperca cidi,Venezuelan Grouper,2018,DD,NA,DD,NA,2020-3
14049,Mycteroperca jordani,Gulf Grouper,2018,EN,A2bd,EN,0.6,2020-3
14050,Mycteroperca microlepis,Gag,2018,VU,A4bd,VU,0.4,2020-3
14051,Mycteroperca olfax,Colorado Grouper,2018,VU,A2bd,VU,0.4,2020-3
14052,Mycteroperca prionura,Sawtail Grouper,2018,DD,NA,DD,NA,2020-3
14053,Mycteroperca rosacea,Leopard Grouper,2018,LC,NA,LC,0,2020-3
14054,Mycteroperca rubra,Mottled Grouper,2018,LC,NA,LC,0,2020-3
14214,Myoxocephalus quadricornis,Fourhorn Sculpin,2018,LC,NA,LC,0,2020-3
14264,Myxus capensis,Freshwater Mullet,2007,LC,NA,LC,0,2020-3
14363,Natator depressus,Flatback,1996,DD,NA,DD,NA,2020-3
14500,Nematostella vectensis,Starlet Sea Anemone,1996,VU,A1ce,VU,0.4,2020-3
14549,Neophoca cinerea,Australian Sea Lion,2015,EN,A2bd,EN,0.6,2020-3
14561,Neorapana grandis,NA,1996,DD,NA,DD,NA,2020-3
14562,Neosalanx reganius,Ariake Dwarf Icefish,2019,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",EN,0.6,2020-3
14831,Nodipecten magnificus,NA,1996,DD,NA,DD,NA,2020-3
15106,Odobenus rosmarus,Walrus,2016,VU,A3c,VU,0.4,2020-3
15108,Odobenus rosmarus ssp. rosmarus,Atlantic Walrus,2016,NT,NA,NT,0.2,2020-3
15184,Ogilbia galapagosensis,Galapagos Cuskeel,2010,VU,D2,VU,0.4,2020-3
15239,Oxyurichthys keiensis,Kei Goby,2010,LC,NA,LC,0,2020-3
15269,Ommatophoca rossii,Ross Seal,2015,LC,NA,LC,0,2020-3
15270,Omphalotropis albocarinata,NA,1996,DD,NA,DD,NA,2020-3
15271,Omphalotropis carolinensis,NA,1996,DD,NA,DD,NA,2020-3
15273,Omphalotropis cookei,NA,1996,DD,NA,DD,NA,2020-3
15274,Omphalotropis elegans,NA,1996,DD,NA,DD,NA,2020-3
15275,Omphalotropis elongatula,NA,1996,DD,NA,DD,NA,2020-3
15276,Omphalotropis erosa,NA,1996,DD,NA,DD,NA,2020-3
15278,Omphalotropis fragilis,NA,1996,DD,NA,DD,NA,2020-3
15279,Omphalotropis gracilis,NA,1996,DD,NA,DD,NA,2020-3
15280,Omphalotropis guamensis,NA,1996,DD,NA,DD,NA,2020-3
15281,Omphalotropis howeinsulae,NA,1996,DD,NA,DD,NA,2020-3
15283,Omphalotropis laevigata,NA,1996,DD,NA,DD,NA,2020-3
15284,Omphalotropis laticosta,NA,1996,DD,NA,DD,NA,2020-3
15285,Omphalotropis latilabris,NA,1996,DD,NA,DD,NA,2020-3
15286,Omphalotropis mutica,NA,1996,DD,NA,DD,NA,2020-3
15287,Omphalotropis ochthogyra,NA,1996,DD,NA,DD,NA,2020-3
15288,Omphalotropis picta,NA,1996,DD,NA,DD,NA,2020-3
15289,Omphalotropis pilosa,NA,1996,DD,NA,DD,NA,2020-3
15290,Omphalotropis quadrasi,NA,1996,DD,NA,DD,NA,2020-3
15291,Omphalotropis semicostulata,NA,1996,DD,NA,DD,NA,2020-3
15292,Omphalotropis striatapila,NA,1996,DD,NA,DD,NA,2020-3
15293,Omphalotropis submaritima,NA,1996,DD,NA,DD,NA,2020-3
15295,Omphalotropis suturalis,NA,1996,DD,NA,DD,NA,2020-3
15296,Omphalotropis tumidula,NA,1996,DD,NA,DD,NA,2020-3
15297,Omphalotropis plicosa,NA,1996,EX,NA,EX,1,2020-3
15298,Omphalotropis hieroglyphica,NA,1996,EN,B1+2ab,EN,0.6,2020-3
15419,Orcaella brevirostris,Irrawaddy Dolphin,2017,EN,A2cd+3cd+4cd,EN,0.6,2020-3
15421,Orcinus orca,Killer Whale,2017,DD,NA,DD,NA,2020-3
15873,Pagrus pagrus,Red Porgy,2014,LC,NA,LC,0,2020-3
15939,Pandaka pygmaea,Dwarf Pygmy Goby,1996,CR,A1ace,CR,0.8,2020-3
16011,Favonigobius melanobranchus,Blackthroat Goby,1996,LR/nt,NA,NT,0.2,2020-3
16012,Favonigobius reichei,Indo-pacific Tropical Sand Goby,2017,LC,NA,LC,0,2020-3
16083,Paradoxa confirmata,NA,1996,DD,NA,DD,NA,2020-3
16084,Paradoxa thomensis,NA,1996,DD,NA,DD,NA,2020-3
16185,Parapinnixa affinis,Californian Bay Pea Crab,1996,EN,A1c,EN,0.6,2020-3
16238,Paretroplus polyactis,NA,2016,LC,NA,LC,0,2020-3
