iucn_sid,range_km2,sciname,dbf_file
2060,1086228.0000171661,Arctocephalus pusillus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
2061,1290375.2499866486,Arctocephalus townsendi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
2062,13407911.50000763,Arctocephalus tropicalis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
2113,389.75000286102295,Arius madagascariensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART7.dbf
2467,2409910.500105858,Balaena mysticetus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2474,345997252.75017977,Balaenoptera acutorostrata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2475,315475954.5000186,Balaenoptera borealis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2476,223716863.9999628,Balaenoptera edeni,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2477,342384020.50029516,Balaenoptera musculus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2478,205679438.5002017,Balaenoptera physalus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2480,173292117.25034046,Balaenoptera bonaerensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2539,3203409.5000863075,Balistes vetula,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART1.dbf
2621,17223.75,Bathygobius burtoni,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
2636,1318332.5,Bathyraja abyssicola,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
2644,82634.9999961853,Batrachoides manglae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART7.dbf
2761,2613.500011920929,Benthophiloides brauneri,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART8.dbf
2762,105046973.75013638,Berardius arnuxii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2763,22663049.499973297,Berardius bairdii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
2895,1477.2500047683716,Bostrychus zonatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART1.dbf
2958,87.25,Brachionichthys hirsutus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
3381,6839260.749997616,Butis butis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART5.dbf
3590,16867072.999975204,Callorhinus ursinus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
3764,845.75,Canthigaster rapaensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART6.dbf
3778,72411083.00006199,Caperea marginata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
3851,9359212.749940157,Carcharhinus limbatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
3852,15588901.499998331,Carcharhinus obscurus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
3853,7939847.249995232,Carcharhinus plumbeus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
3854,7623799.999997854,Carcharias taurus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
3855,272480083.250051,Carcharodon carcharias,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
3897,122444542.74995995,Caretta caretta,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/TURTLES.dbf
3898,6828.249997854233,Carettochelys insculpta,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/TURTLES.dbf
4131,310.75,Centropyge resplendens,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART7.dbf
4159,355583.0000214577,Cephalorhynchus commersonii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
4161,140638.0000190735,Cephalorhynchus heavisidii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
4162,87538.2500038147,Cephalorhynchus hectori,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
4292,221461552.75011635,Cetorhinus maximus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
4360,4248,Chaetodon flavocoronatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
4361,389.75,Chaetodon litus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART5.dbf
4362,156241.7499885559,Chaetodon marleyi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART7.dbf
4363,0,Prognathodes obliquus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART8.dbf
4364,346781.0000152588,Chaetodon robustus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART1.dbf
4615,252365804.24993682,Chelonia mydas,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/TURTLES.dbf
4805,438.25,Chromis sanctaehelenae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART2.dbf
4982,7036.5,Clinus spatulatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
5272,589,Conus nobrei,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/CONE_SNAILS.dbf
5273,5432.000005722046,Conus zebroides,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/CONE_SNAILS.dbf
5325,678.5,Emblemariopsis tayrona,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART5.dbf
5362,435657.0000574589,Coregonus artedi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SALMONIDS.dbf
5363,614281.0001997948,Coregonus autumnalis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SALMONIDS.dbf
5370,67180.75005197525,Coregonus nasus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SALMONIDS.dbf
5659,37644.99997496605,Crocodylus acutus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/CROCODILES_ALLIGATORS.dbf
5668,82994.75002717972,Crocodylus porosus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/CROCODILES_ALLIGATORS.dbf
5675,95715.99997615814,Croilia mossambica,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART1.dbf
6204,7612238.500039101,Cystophora cristata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
6229,6809091.500008583,Dalatias licha,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
6335,9417190.750312328,Delphinapterus leucas,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
6814,4766629.7499985695,Dunckerocampus dactyliophorus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
6909,3465975.7499399185,Dugong dugon,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
7135,189654.75008058548,Eleotris melanosoma,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART5.dbf
7750,1957978.9999833107,Enhydra lutris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
7778,243488.00002288818,Entomacrodus cadenati,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART8.dbf
7854,600153.5000038147,Hyporthodus drummondhayi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
7855,276796.99997520447,Hyporthodus exsul,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
7858,6846401.999941349,Epinephelus lanceolatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
7859,2338535.0000782013,Mycteroperca marginata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
7860,1135721.75,Hyporthodus nigritus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
7861,2143075.500020027,Hyporthodus niveatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
7862,980118.5000209808,Epinephelus striatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
8005,276304588.50004244,Eretmochelys imbricata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/TURTLES.dbf
8010,12803860.250391483,Erignathus barbatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
8097,1857485.9998931885,Eschrichtius robustus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
8153,86171325.25006866,Eubalaena australis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
8239,6406487.249984741,Eumetopias jubatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
8407,3613591.999948263,Eurypegasus draconis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART2.dbf
8408,22611.250007629395,Eurypegasus papilio,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
8551,205670480.9999926,Feresa attenuata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
8817,8433.75001502037,Galaxias argenteus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART7.dbf
9249,225229130.24994826,Globicephala macrorhynchus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
9250,130815545.00006199,Globicephala melas,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
9266,198023.50005126,Psammogobius biocellatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART8.dbf
9461,235427983.49999714,Grampus griseus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
9660,2913612.5000634193,Halichoerus grypus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
10030,9623877.99995017,Hexanchus griseus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
10056,117.49999618530273,Hippocampus capensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10057,968561.2500267029,Hippocampus abdominalis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10060,584756.9999761581,Hippocampus bargibanti,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10063,645395.75,Hippocampus breviceps,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10064,226561.49997234344,Hippocampus camelopardalis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10065,263186.2499961853,Hippocampus coronatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10066,2384631.2500276566,Hippocampus erectus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10069,1614641.7500362396,Hippocampus hippocampus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10070,6485413.4999911785,Hippocampus histrix,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10072,515162.999956131,Hippocampus ingens,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10074,276818.4999856949,Hippocampus jayakari,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10077,43457.50001525879,Hippocampus minotaur,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10082,1469462.0000190735,Hippocampus reidi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10083,7360.5,Hippocampus sindonis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10087,7621901.250005484,Hippocampus trimaculatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10088,62223.500007629395,Hippocampus whitei,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10089,521800.7500104904,Hippocampus zosterae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SYNGNATHIFORM_FISHES.dbf
10097,6005655.500039101,Hippoglossus hippoglossus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART8.dbf
10268,273987.7500078678,Huso dauricus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/STURGEONS_PADDLEFISHES.dbf
10340,21239655.75031829,Hydrurga leptonyx,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
10707,24332844.499998093,Hyperoodon ampullatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
10708,91769540.25014019,Hyperoodon planifrons,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
10724,223922.00002098083,Hypoplectrus providencianus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART2.dbf
10939,183655.75,Jenkinsia parvula,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
11047,252659260.00001383,Kogia breviceps,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11048,237249567.99999237,Kogia sima,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11060,3376.9999947547913,Kuhlia marginata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART4.dbf
11130,1668196.250008583,Lachnolaimus maximus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/WRASSES_PARROTFISHES.dbf
11140,174611685.99999714,Lagenodelphis hosei,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11141,10253964.750027657,Lagenorhynchus acutus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11142,12702764.500047684,Lagenorhynchus albirostris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11143,983038.7500314713,Lagenorhynchus australis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11144,62452668.000042915,Lagenorhynchus cruciger,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11145,15227768.249924183,Lagenorhynchus obliquidens,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11146,5260196.500042915,Lagenorhynchus obscurus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
11150,4392568.749985933,Lagocephalus gloveri,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART6.dbf
11200,93190977.0001545,Lamna nasus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SHARKS_RAYS_CHIMAERAS.dbf
11206,57139.000049352646,Lampetra fluviatilis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART8.dbf
11502,2831,Lentipes whittenorum,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART2.dbf
11533,13591339.250010729,Lepidochelys kempii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/TURTLES.dbf
11534,79141815.49991941,Lepidochelys olivacea,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/TURTLES.dbf
11696,21239655.75031829,Leptonychotes weddellii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
12125,10019046.000017166,Lissodelphis borealis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
12126,85192357.75004482,Lissodelphis peronii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
12137,146389.9999923706,Lithognathus lithognathus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SEABREAMS_SNAPPERS_GRUNTS.dbf
12246,20361990.750320196,Lobodon carcinophaga,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
12404,201349.7499885559,Luciogobius pallidus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART6.dbf
12416,1883799.0000200272,Lutjanus analis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SEABREAMS_SNAPPERS_GRUNTS.dbf
12417,2426407.0000314713,Lutjanus cyanopterus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/SEABREAMS_SNAPPERS_GRUNTS.dbf
12695,22654.749994516373,Malaclemys terrapin,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/TURTLES.dbf
13006,345117136.25009584,Megaptera novaeangliae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13145,4154.25,Menidia conchorum,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART3.dbf
13232,9071.250024795532,Mesogobius batrachocephalus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART4.dbf
13241,14407723.500046253,Mesoplodon bidens,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13244,239623917.50003433,Mesoplodon densirostris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13245,45779282.25005245,Mesoplodon europaeus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13247,93185144.00003576,Mesoplodon grayi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13249,86945813.25007343,Mesoplodon layardii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13250,12233266.250059605,Mesoplodon mirus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13251,21911212.999967575,Mesoplodon peruvianus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13252,7710533.499928474,Mesoplodon stejnegeri,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13581,10377195.499928474,Mirounga angustirostris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
13583,71133207.75036502,Mirounga leonina,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
13653,435846.0000362396,Monachus monachus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
13654,281652.7500076294,Neomonachus schauinslandi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_AND_TERRESTRIAL.dbf
13704,3373399.7500276566,Monodon monoceros,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MAMMALS_MARINE_ONLY.dbf
13852,264.50000047683716,Mordacia lapicida,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/MARINEFISH_PART5.dbf
14048,97963.4999961853,Mycteroperca cidi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2025-1/GROUPERS.dbf
