country,year,value,unit,sector,data_source
Angola,1986,0,USD (1),aqf,FAO global trade
Angola,1987,0,USD (1),aqf,FAO global trade
Angola,1988,0,USD (1),aqf,FAO global trade
Angola,1989,0,USD (1),aqf,FAO global trade
Angola,1990,0,USD (1),aqf,FAO global trade
Angola,1991,0,USD (1),aqf,FAO global trade
Angola,1992,0,USD (1),aqf,FAO global trade
Angola,1993,0,USD (1),aqf,FAO global trade
Angola,1994,0,USD (1),aqf,FAO global trade
Angola,1995,0,USD (1),aqf,FAO global trade
Angola,1996,0,USD (1),aqf,FAO global trade
Angola,1997,0,USD (1),aqf,FAO global trade
Angola,1998,0,USD (1),aqf,FAO global trade
Angola,1999,0,USD (1),aqf,FAO global trade
Angola,2000,0,USD (1),aqf,FAO global trade
Angola,2001,0,USD (1),aqf,FAO global trade
Angola,2002,0,USD (1),aqf,FAO global trade
Angola,2003,1000,USD (1),aqf,FAO global trade
Angola,2004,0,USD (1),aqf,FAO global trade
Angola,2005,0,USD (1),aqf,FAO global trade
Angola,2006,0,USD (1),aqf,FAO global trade
Angola,2007,0,USD (1),aqf,FAO global trade
Angola,2008,0,USD (1),aqf,FAO global trade
Angola,2009,0,USD (1),aqf,FAO global trade
Angola,2010,0,USD (1),aqf,FAO global trade
Angola,2011,0,USD (1),aqf,FAO global trade
Angola,2012,0,USD (1),aqf,FAO global trade
Angola,2013,0,USD (1),aqf,FAO global trade
Angola,2014,0,USD (1),aqf,FAO global trade
Angola,2015,0,USD (1),aqf,FAO global trade
Angola,2016,0,USD (1),aqf,FAO global trade
Angola,2017,0,USD (1),aqf,FAO global trade
Angola,2018,0,USD (1),aqf,FAO global trade
Angola,2019,0,USD (1),aqf,FAO global trade
Angola,2020,0,USD (1),aqf,FAO global trade
Angola,2021,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1976,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1977,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1978,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1979,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1980,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1981,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1982,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1983,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1984,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1985,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1986,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1987,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1988,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1989,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1990,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1991,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1992,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1993,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1994,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1995,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1996,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1997,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1998,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,1999,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2000,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2001,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2002,2000,USD (1),aqf,FAO global trade
Antigua and Barbuda,2003,2000,USD (1),aqf,FAO global trade
Antigua and Barbuda,2004,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2005,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2006,0,USD (1),aqf,FAO global trade
