animal,system,product,year,total_N_volt
sheep,grassland,milk,2018,268365.4378924567
sheep,grassland,milk,2019,268417.2252864052
sheep,mixed,meat,2005,2227014.329777092
sheep,mixed,meat,2006,2227014.3297770624
sheep,mixed,meat,2007,2227014.329777092
sheep,mixed,meat,2008,2227014.329777092
sheep,mixed,meat,2009,2227014.3297770624
sheep,mixed,meat,2010,2227014.329777092
sheep,mixed,meat,2011,2227014.329777092
sheep,mixed,meat,2012,2245201.279613867
sheep,mixed,meat,2013,2245201.279613867
sheep,mixed,meat,2014,2245201.279613837
sheep,mixed,meat,2015,2245201.279613837
sheep,mixed,meat,2016,2245201.279613837
sheep,mixed,meat,2017,2245201.279613837
sheep,mixed,meat,2018,2245201.279613837
sheep,mixed,meat,2019,2245201.279613867
sheep,mixed,milk,2005,598287.8819256334
sheep,mixed,milk,2006,598287.8819256334
sheep,mixed,milk,2007,598287.8819256334
sheep,mixed,milk,2008,598287.8819256334
sheep,mixed,milk,2009,598287.8819256334
sheep,mixed,milk,2010,598287.8819256334
sheep,mixed,milk,2011,598287.8819256334
sheep,mixed,milk,2012,611569.9162359263
sheep,mixed,milk,2013,611569.9162359263
sheep,mixed,milk,2014,611569.9162359263
sheep,mixed,milk,2015,611569.9162359263
sheep,mixed,milk,2016,611569.9162359263
sheep,mixed,milk,2017,611569.9162359263
sheep,mixed,milk,2018,611569.9162359263
sheep,mixed,milk,2019,611569.9162359263
