iucn_sid,sciname,year,category,code
171335,Erjavecia bergeri,2017,LC,2
171336,Montenegrina hiltrudae,2017,LC,2
171338,Ferussacia lanzarotensis,2017,LC,2
171339,Oxychilus meridionalis,2017,LC,2
171342,Limax gerhardti,2017,DD,2
171344,Oxychilus mavromoustakisi,2017,LC,2
171346,Amphorella tornatellina,2017,LC,2
171349,Milax parvulus,2017,LC,2
171351,Charpentieria splendens,2017,LC,2
171352,Charpentieria scarificata,2017,LC,2
171353,Vitrea transsylvanica,2017,LC,2
171355,Limax wohlberedti,2017,LC,2
171356,Oxychilus lentiformis,2017,LC,2
171357,Agathylla strigillata,2017,NT,2
171358,Daudebardia ponorica,2017,DD,2
171359,Geomalacus malagensis,2018,LC,2
171361,Tandonia rustica,2017,LC,2
2107,Arion obesoductus,2017,LC,2
171364,Macedonica macedonica,2017,DD,2
171366,Tandonia croatica,2017,DD,2
171368,Tandonia pinteri,2017,LC,2
171371,Medora eris,2017,LC,2
171372,Hypnophila girottii,2017,VU,2
171375,Testacella gestroi,2017,LC,2
171380,Lehmannia islandica,2017,DD,2
171381,Euxinella radikae,2017,NT,2
171382,Macrogastra asphaltina,2017,LC,2
171384,Oxychilus oppressus,2017,LC,2
171385,Charpentieria incerta,2017,DD,2
171388,Tandonia sowerbyi,2017,LC,2
171389,Cecilioides acicula,2017,LC,2
171390,Arion fasciatus,2017,LC,2
171391,Macedonica hartmuti,2017,NT,2
171393,Strigillaria hiltrudae,2017,LC,2
171395,Boettgeria jensi,2017,LC,2
171397,Ariunculus speziae,2017,LC,2
171398,Lampedusa lopadusae,2017,LC,2
171400,Spelaeodiscus dejongi,2017,LC,2
171401,Vitrea spelaea,2017,EN,2
171402,Cecilioides tumulorum,2017,LC,2
171403,Oxychilus nortoni,2017,NT,2
171404,Hypnophila emiliana,2017,VU,2
171405,Oxychilus egadiensis,2017,LC,2
171406,Oxychilus rateranus,2017,LC,2
171408,Charpentieria eminens,2017,EN,2
171409,Cecilioides clessini,2017,NT,2
171410,Agathylla viperina,2017,NT,2
171411,Medora lesinensis,2017,LC,2
171412,Cecilioides dalmatina,2017,DD,2
171414,Limax ciminensis,2017,DD,2
171415,Macrogastra plicatula,2017,LC,2
171416,Keraea deflorata,2017,DD,2
171418,Amphorella gracilis,2017,LC,2
171419,Arion lusitanicus,2017,LC,2
171420,Albinaria virgo,2017,LC,2
171421,Lehmannia jaroslaviae,2017,LC,2
171424,Mediterranea montivaga,2017,LC,2
171428,Troglovitrea argintarui,2017,LC,2
171429,Schistophallus investigatus,2017,LC,2
171430,Albinaria scopulosa,2017,LC,2
171433,Tandonia cristata,2017,LC,2
171434,Strigillaria cana,2017,LC,2
171436,Limax erythrus,2017,LC,2
171438,Mediterranea depressa,2017,LC,2
171439,Vitrea minellii,2017,DD,2
171440,Hypnophila malagana,2017,NT,2
171443,Poiretia dilatata,2017,LC,2
171444,Mediterranea serbica,2017,LC,2
171445,Oxychilus pityusanus,2017,LC,2
171446,Charpentieria leucophryna,2017,EN,2
171450,Zonites algirus,2017,VU,2
171451,Arion fuligineus,2018,LC,2
171452,Montenegrina subcristata,2017,LC,2
171458,Limax vizzavonensis,2017,NT,2
171459,Cryptella famarae,2017,VU,2
171465,Sciocochlea cryptica,2017,LC,2
171468,Oxychilus perspectivus,2017,LC,2
171469,Hypnophila bisacchii,2017,NT,2
171471,Striatura milium,2017,DD,2
171472,Testacella scutulum,2017,LC,2
171473,Hypnophila boissii,2017,LC,2
171474,Oxychilus jugoslavica,2017,DD,2
171475,Atlantica ganoda,2017,LC,2
171476,Medora dalmatina,2017,LC,2
171477,Medora agnata,2017,LC,2
171482,Atlantica kompsa,2017,NT,2
171484,Discus perspectivus,2017,LC,2
171485,Gyralina nopcsai,2017,NT,2
171486,Gyralina mirabilis,2017,LC,2
171487,Delima latilabris,2017,LC,2
171490,Herilla illyrica,2017,LC,2
171493,Vitrea zakynthia,2017,LC,2
171494,Boettgeria exigua,2018,LC,2
171495,Macrogastra tumida,2017,LC,2
171496,Lehmannia marginata,2017,LC,2
171498,Macedonica pinteri,2017,VU,2
171499,Cecilioides spelaea,2017,DD,2
171500,Schistophallus carotii,2017,NT,2
171502,Amphorella mitriformis,2017,LC,2
171503,Aegopis croaticus,2017,LC,2
171504,Albinaria evelynae,2017,VU,2
171505,Triloba sandrii,2017,LC,2
171507,Poiretia cornea,2017,LC,2
171510,Vitrea meijeri,2017,NT,2
171513,Arion distinctus,2017,LC,2
171514,Sphincterochila candidissima,2017,LC,2
171515,Gyralina mljetica,2017,VU,2
171516,Testacella maugei,2017,LC,2
171518,Tandonia kusceri,2017,LC,2
171520,Tandonia fejervaryi,2017,LC,2
171526,Medora contracta,2017,LC,2
171527,Pyramidula jaenensis,2017,LC,2
171528,Mentissa gracilicosta,2017,LC,2
171530,Retinella lenis,2017,NT,2
171532,Paraegopis oberwimmeri,2017,NT,2
171535,Limax squamosus,2017,DD,2
171536,Delima bilabiata,2017,LC,2
171537,Aegopis italicus,2017,LC,2
171540,Azeca goodalli,2017,LC,2
171541,Oxychilus farinesianus,2017,VU,2
171542,Charpentieria paestana,2017,LC,2
171544,Dilataria boettgeriana,2017,LC,2
171547,Oxychilus draparnaudi,2017,LC,2
171548,Oxychilus pilula,2017,EN,2
171549,Oxychilus minor,2017,LC,2
171551,Tandonia kaleniczenkoi,2017,NT,2
171552,Ariunculus isselii,2017,LC,2
171553,Aegopinella nitidula,2017,LC,2
171554,Milax ochraceus,2017,DD,2
171555,Clausilia pumila,2017,LC,2
171556,Agathylla regularis,2017,NT,2
171557,Euconulus callopisticus,2017,DD,2
171559,Tandonia cretica,2017,LC,2
171560,Balea heydeni,2017,LC,2
171564,Limacus flavus,2017,LC,2
171565,Vitrea siveci,2017,LC,2
171566,Vitrea gasulli,2017,LC,2
171567,Tandonia albanica,2017,LC,2
171568,Troglaegopis mosorensis,2017,LC,2
171569,Papillifera solida,2017,LC,2
171571,Gibbulinella dewinteri,2017,LC,2
171573,Tandonia totevi,2017,LC,2
171574,Gyralina velkovrhi,2017,VU,2
171576,Lehmannia vrancensis,2017,VU,2
171577,Paraegopis skipetaricus,2017,LC,2
171578,Macrogastra ventricosa,2017,LC,2
171579,Protoherilla pseudofallax,2017,LC,2
171580,Limax albipes,2017,LC,2
171581,Mentissella rebeli,2017,LC,2
171582,Vitrea kiliasi,2017,LC,2
171583,Cochlodina laminata,2017,LC,2
171584,Alopia lischkeana,2017,LC,2
171586,Medora almissana,2017,LC,2
171589,Euconulus fulvus,2017,LC,2
171590,Vitrea riedeli,2017,LC,2
171591,Clausilia bidentata,2017,LC,2
171594,Oxychilus atlanticus,2017,NT,2
171595,Charpentieria ferrox,2017,CR,2
171596,Limax conemenosi,2017,LC,2
171599,Protoherilla baleiformis,2017,LC,2
171600,Limax bielzii,2017,LC,2
171603,Arion vejdowskyi,2017,DD,2
171605,Nesovitrea hammonis,2017,LC,2
171606,Gyralina gyralinaeformis,2017,NT,2
171607,Charpentieria vulcanica,2017,LC,2
171608,Albinaria grayana,2017,NT,2
171609,Geomalacus anguiformis,2017,NT,2
171613,Tandonia lagostana,2017,CR,2
171614,Limax millipunctatus,2017,DD,2
171615,Alopia glorifica,2017,LC,2
171616,Albinaria cytherae,2017,VU,2
171618,Agathylla exarata,2017,LC,2
171619,Daudebardia parvula,2017,DD,2
171621,Xerotricha garachicoensis,2017,CR,2
171622,Aegopinella minor,2017,LC,2
171624,Cochlodina kuesteri,2017,LC,2
171625,Papillifera papillaris,2017,LC,2
171626,Cecilioides bourguignatiana,2017,DD,2
171627,Milax gagates,2017,LC,2
171628,Tandonia macedonica,2017,NT,2
171630,Spelaeodiscus unidentatus,2017,LC,2
171631,Sphincterochila baetica,2017,LC,2
171634,Spinophallus uminskii,2017,NT,2
171635,Oxychilus requienii,2017,LC,2
171636,Arion intermedius,2017,LC,2
171637,Gigantomilax majoricensis,2017,LC,2
171638,Pleurodiscus balmei,2017,LC,2
171639,Cryptella canariensis,2017,NT,2
171640,Delima semirugata,2017,LC,2
171642,Euconulus trochiformis,2017,LC,2
171644,Oxychilus scoliura,2017,NT,2
171646,Vitrea selecta,2017,LC,2
171647,Aegopinella forcarti,2017,LC,2
171648,Oxychilus adjaciensis,2017,LC,2
171649,Charpentieria nobilis,2017,EN,2
171650,Laciniaria plicata,2017,LC,2
171652,Limax cinereoniger,2017,LC,2
171653,Limax corsicus,2017,LC,2
171655,Lehmannia melitensis,2017,LC,2
171657,Lehmannia rupicola,2017,LC,2
171658,Strigillaria pseudofraudigera,2017,LC,2
171661,Vitrea illyrica,2017,LC,2
171662,Vestia roschitzi,2017,LC,2
171664,Pyramidula chorismenostoma,2017,LC,2
171665,Gyralina korabensis,2017,NT,2
171669,Carinigera eximia,2017,LC,2
171671,Aegopinella nitens,2017,LC,2
171672,Meledella werneri,2017,LC,2
171673,Macrogastra borealis,2017,LC,2
171674,Arion nobrei,2017,DD,2
171675,Hohenwartiana aradasiana,2017,DD,2
171678,Muticaria syracusana,2017,LC,2
171679,Bielzia coerulans,2017,LC,2
171683,Pyramidula rupestris,2017,LC,2
171685,Oxychilus amblyopus,2017,VU,2
171687,Oxychilus anjana,2017,LC,2
171688,Cryptella auriculata,2017,VU,2
171692,Cecilioides eucharista,2017,NA,2
171694,Poiretia delesserti,2017,LC,2
171695,Carpathica bielawskii,2017,LC,2
171696,Allaegopis skanderbegianus,2017,LC,2
171697,Virpazaria deelemanorum,2017,LC,2
171702,Vitrea mikuskai,2017,NT,2
171703,Idyla castalia,2017,LC,2
171704,Herilla jabucica,2017,LC,2
171705,Carinigera drenovoensis,2017,CR,2
171707,Allaegopis amphikypellon,2017,NT,2
171709,Oxychilus shuttleworthianus,2017,NT,2
171711,Cochlodina fimbriata,2017,LC,2
171714,Poiretia compressa,2017,LC,2
171715,Strigilodelima conspersa,2017,LC,2
171716,Carinigera buresi,2017,LC,2
171718,Montenegrina perstriata,2017,LC,2
171720,Malacolimax kostalii,2017,DD,2
171721,Vitrea neglecta,2017,LC,2
171722,Carinigera septima,2017,VU,2
171724,Testacella bisulcata,2017,DD,2
171726,Montenegrina rugilabris,2017,LC,2
171727,Strigillaria stolii,2017,VU,2
171729,Oxychilus ornatus,2017,DD,2
171730,Balea perversa,2017,LC,2
171733,Limax ianninii,2017,LC,2
171736,Oxychilus nautiliformis,2017,NT,2
171738,Amphorella triticea,2017,LC,2
171739,Amphorella oryza,2017,LC,2
171740,Oxychilus clarus,2017,NT,2
171744,Oxychilus alicurensis,2017,NT,2
171745,Charpentieria crassicostata,2017,CR,2
171746,Delima binotata,2017,LC,2
171749,Drusia valenciennii,2017,LC,2
171750,Mentissa velutina,2017,LC,2
171751,Boettgeria lowei,2017,LC,2
171755,Boettgeria deltostoma,2017,LC,2
171756,Ferussacia carnea,2017,NA,2
171759,Bulgarica mystica,2017,VU,2
171760,Limax punctulatus,2017,DD,2
171762,Arion lizarrustii,2017,DD,2
171763,Oxychilus diductus,2017,LC,2
171764,Ambigolimax valentianus,2017,LC,2
171765,Allaegopis corcyrensis,2017,DD,2
171767,Pyramidula pusilla,2017,LC,2
171769,Vestia elata,2017,LC,2
171776,Tandonia bosnensis,2017,DD,2
171779,Macedonica marginata,2017,LC,2
171780,Strigillaria bulgariensis,2017,LC,2
171781,Strigilodelima pentheri,2017,NT,2
171783,Aegopinella cisalpina,2017,LC,2
171784,Oxychilus batalhanus,2017,LC,2
171785,Carpathica calophana,2017,LC,2
171786,Delima amoena,2017,LC,2
171787,Hypnophila incerta,2017,NT,2
171937,Bythinella beckmanni,2024,VU,2
171986,Gigantomilax benjaminus,2017,LC,2
171991,Virpazaria aspectulabeatidis,2017,NT,2
171993,Virpazaria stojaspali,2017,NT,2
171994,Spelaeodiscus bulgaricus,2017,VU,2
171995,Oxychilus edmundi,2017,DD,2
172002,Limax brandstetteri,2017,DD,2
172003,Pholeoteras olympios,2023,VU,2
172007,Sciocochlea llogaraensis,2017,LC,2
172008,Limax giovannellae,2017,DD,2
172013,Albinaria linnei,2017,VU,2
172015,Assiminea rolani,2018,DD,2
172016,Assiminea avilai,2018,DD,2
172017,Assiminea glaubrechti,2017,DD,2
172018,Assiminea gittenbergeri,2017,DD,2
175638,Salix xanthicola,2017,VU,2
177778,Cryptella tamaranensis,2017,CR,2
17971,Pomatias raricosta,2017,DD,2
184447,Squalius pyrenaicus,2024,VU,2
188631,Hucho taimen,2024,DD,2
