iucn_sid,kingdom,phylum,class,order,family
154871,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE
154976,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE
155018,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ARIIDAE
155020,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,ENGRAULIDAE
155051,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE
155080,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,HEMIRAMPHIDAE
155130,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE
155152,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE
155163,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE
155201,ANIMALIA,CHORDATA,ACTINOPTERYGII,NOT ASSIGNED,AMBASSIDAE
155207,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE
155212,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE
155259,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,BELONIDAE
155273,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE
155285,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE
155535,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE
155630,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE
155736,ANIMALIA,MOLLUSCA,BIVALVIA,VENERIDA,CYRENIDAE
155980,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,TATEIDAE
15873,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE
16012,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE
161318,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE
161331,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE
161373,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE
161378,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE
161403,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SOMNIOSIDAE
161436,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE
161443,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE
161514,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE
161517,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE
161518,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE
161524,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE
161564,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE
161568,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE
161610,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE
161681,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE
161682,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,GURGESIELLIDAE
161686,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE
161696,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE
161702,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE
161718,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE
161731,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE
126710128,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MOBULIDAE
161743,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE
162494,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162495,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162496,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162497,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162498,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162499,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE
162500,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162501,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162502,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162503,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162504,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162505,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162506,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162507,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162508,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162509,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162510,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162511,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162512,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162513,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162514,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162515,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162516,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162517,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162518,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162519,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162520,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162521,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162522,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162523,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162524,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162525,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162526,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE
162527,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE
162528,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162529,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162530,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE
162532,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162533,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162535,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162536,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162537,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162538,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162539,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162540,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162541,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162542,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162543,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162544,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162545,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162547,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE
162548,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162549,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162550,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE
162551,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162552,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162553,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162554,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162555,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162556,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162557,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162558,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162559,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162560,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162561,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162562,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162563,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162564,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162565,ANIMALIA,MOLLUSCA,CEPHALOPODA,MYOPSIDA,LOLIGINIDAE
162566,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162567,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162568,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162569,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162570,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162571,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,OCTOPODIDAE
162572,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162573,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162574,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE
162575,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162576,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162577,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162578,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162579,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162580,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162581,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162582,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162583,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162584,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162585,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE
162586,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162587,ANIMALIA,MOLLUSCA,CEPHALOPODA,SPIRULIDA,SPIRULIDAE
162588,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162589,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162590,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162591,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162592,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE
162593,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162594,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162595,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162596,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162597,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162598,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162599,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162600,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162601,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162602,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162603,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162604,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE
162605,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162606,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162608,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162609,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162610,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162611,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162612,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162613,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162614,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162615,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162616,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162617,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162618,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162619,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162620,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162621,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162622,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162623,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162624,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162625,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162626,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162627,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162628,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162629,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162630,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162631,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162632,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162633,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162634,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162635,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162637,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162638,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162639,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162640,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162641,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162642,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162643,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162644,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162645,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162646,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162647,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162648,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162649,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162650,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162651,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162652,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162653,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162654,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162655,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162656,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162657,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE
162658,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162659,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162660,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162662,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162663,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162664,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162665,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162666,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162667,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162668,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162669,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162670,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162672,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162673,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162674,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162676,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162677,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162678,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162679,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162680,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162681,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162682,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162683,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE
162684,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162685,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE
162686,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE
162687,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE
162695,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162696,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162697,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162698,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162699,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162700,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162701,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162702,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162703,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162704,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162705,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162706,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162707,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162708,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162709,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162710,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162712,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162713,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162714,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162715,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162716,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162717,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162718,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162719,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162720,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162721,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE
162894,ANIMALIA,MOLLUSCA,CEPHALOPODA,BATHYTEUTHIDA,BATHYTEUTHIDAE
162897,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,OCTOPODIDAE
162899,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,AMPHITRETIDAE
162900,ANIMALIA,MOLLUSCA,CEPHALOPODA,OEGOPSIDA,OMMASTREPHIDAE
