comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2024,year,assess_year,cat,cat_txt,cat_score,eval_yr,cat_2024_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2020,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2021,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2022,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2023,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2024,NA,LC,Least Concern,0,2018,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1982,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1983,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1984,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1985,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1986,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1987,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1988,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1989,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1990,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1991,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1992,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1993,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1994,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1995,NA,NT,Lower Risk/near threatened,0.2,NA,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1996,2018,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1997,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1998,NA,NT,Lower Risk/near threatened,0.2,1996,0
