"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Australia",16,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,0,164,147,287,160,112,268,276,116,82,2119,2001,1473,1130,1300,1409,1756,1563.49
"Australia",16,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679,1486,1290,1494,1631,1847,1812,1803,1462,1430,1085,1355,1920,682,2448,3023,3471,2008,1957,1671,2721,2914,0,0,0,0,0,0,0,0
"Australia",16,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,924,1063,858,707,1049,1225,702.14
"Australia",16,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1589,1143,1335,681,1013,1152,1234,1184.13
"Australia",16,"Shells nei","shells",353,377,726,583,1368,1159,911,720,535,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",16,"Z_TOTAL","corals",328,363,522,776,1366,729,780,1127,1183,1029,0,0,0,0,7301,4307,4339,3429,3832,3205,2304,2162,2934,1534,957,802,1863,676,921,1053,1846,1902,1814,1929,2668,2865,6403,7641,6331,9692,9591,9810,0,0
"Bahamas",110,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,28,0,0,0,0,347,146,664,784,250,842,537,1167,438,1179,22,42,0,47.25
"Bahamas",110,"Natural sponges nei","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2038,1797,1104,1555,2780,1579,1496,52,8,16,569,1053,717,368,0,0,0,0,0,0,0,0,0,0,0.55
"Bahamas",110,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,176,197,638.72
"Bahamas",110,"Trochus shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,18,0,0,0,20,67,2,30,16,5,83,50,41,83,65,72,35,38,38
"Bahrain",52,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,56,37,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",204,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,48,27,174,43,53,16,129,4,0,0,10.42
"Bangladesh",204,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,66,112,102,122,187,434,766,1386,1263,260,173,116,82,82
"Bangladesh",204,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,43,18,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,86,45,7,2,1,2,26,0,0,0,0,0,0,0,0
"Barbados",124,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,0,5,0,2,4,0,0,0,0,5,2,2,3.66
"Barbados",124,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,10,6,5,10.05
"Barbados",124,"Ornamental fish nei","ornamentals",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,89,26,22,24,20,9,0,0,0,5,0,2,0,0,0,0,4,0,0,0
"Barbados",124,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01
"Belgium",59,"Agar agar nei","seaweeds",NA,0,1,1,1,44,29,101,128,170,104,136,70,31,0,0,0,0,133,241,229,181,213,702,611,404,452,420,541,805,781,1358,1503,1478,1617,1611,1752,2381,3824,3277,2858,2958,2917,2682.92
"Belgium",59,"Fish body oils, nei","fish_oil",149,130,140,181,244,75,52,98,230,74,101,576,109,159,173,79,91,274,311,1132,1268,831,643,362,259,88,529,1946,11355,18470,21656,20529,14290,25706,17334,21060,19211,10607,10079,14967,22512,19617,36384,34405.23
"Belgium",59,"Fish liver oils, nei","fish_oil",138,30,24,60,118,38,23,12,33,67,155,406,749,393,173,149,123,209,146,355,141,124,223,220,162,206,279,308,372,184,139,358,487,224,189,119,88,185,181,140,359,125,118,108.15
"Belgium",59,"Halibuts, liver oils","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,96,38,0,3,10,19,4,4,0,0,12,12
"Belgium",59,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,196,300,506,540,280,196,219,195,64,144,281,358,353,518,14137,17631,16430,16279,1572,1100,1273,1327,1414,1335,1464,1778,1762,1520,2165.01
"Belgium",59,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,289,323,307,336,236,215,213,140,169,235,304,128,129,149,99,70,40,28,11,3,1,11,5,6,35.11
"Belgium",59,"Natural sponges raw","sponges",2,2,2,1,2,44,29,32,17,25,24,44,66,84,78,223,268,252,238,7,8,1,0,0,1,115,88,68,26,0,1,1,257.865302737271,0,0,1,72,3,0,7,1,2,70,2
"Belgium",59,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,82,117,71,129,197,283,285,194,121,20,33,18,415,617,241,123,97,30,51,40,45,68,90,180,321,86,131,119,154,138,60.8
"Belgium",59,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,247,155,141,180,371,886,383,303,340,490,456,384,732,990,1713,1478,1682,1067,1583,1553,1508,1893,1487,0,0,0,0,0,0,0,0
"Belgium",59,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1889,1616,1369,1645,2006,2545,2203.29
"Belgium",59,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,341,470,265,332,429,547,924.06
"Belgium",59,"Shells nei","shells",3,4,4,4,4,119,87,185,137,151,217,245,212,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,119,0,0,0,0,0,0,0,12,0,41,17,18,0,14.53
"Belize",164,"Ornamental fish nei","ornamentals",NA,6,0,39,65,0,9,7,8,18,20,7,17,42,16,28,30,27,36,32,36,47,0,0,43,20,23,44,90,95,51,116,125,119,84,120,284,208,0,0,0,0,0,0
"Belize",164,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,1.75,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18.25,13.75,14,12.5,9.5,9.5,10.5,1.75,10.5,18,17.25,14.5,15,0.25,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,1.75,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",232,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,59,0,402,404,448,267,515,377,29,223,520,475,104,147,221,111,125,56.66
"Brazil",171,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,130,152,5,6,92,28,18,27,29,39,0,2,2,8,8,56,129,5,104,81,95,131,3,138,44.85
"Brazil",171,"Cod liver oil","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,0,0,0,15,0,0,0,0,0,0,34,14,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Brazil",171,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,14,12,6,1,1,2,3,34,94,55,64,54,47,29,3,8,16,68,5,4,1,3,1,0.13
"Brazil",171,"Fish body oils, nei","fish_oil",33,10,4,0,0,0,0,0,0,0,0,0,17,15,0,0,4,3,18,11,0,26,7,0,3,0,0,0,1,12,3,3,2,4,4,4,0,0,0,27,397,647,2146,1028.36
"Brazil",171,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0,0,6,0,0,0,0,0,0,2,4,0,0,0,0,8,0,0
"Brazil",171,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,35,0,0,8,0,6,4,2,4,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",171,"Ornamental fish nei","ornamentals",625,665,884,1035,843,743,622,515,711,833,859,1023,1078,1110,1393,1848,2396,3277,3833,4252,4249,3921,3345,3371,3235,3226,3250,2379,2664,4350,4136,5052,5629,7107,6792,7320,86,0,0,0,0,0,0,0
"Brazil",171,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,425,314,329,391,365,273,239.22
"Brazil",171,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,266,183,118,196,128,285,253,170,301,474,175,122,110,77,145,72,195,213,159,221,220,0,0,0,0,0,0,0,0
"Brazil",171,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,19,1,24,327,351.06
"Brazil",171,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,224,392,414,312,288,254,234.68
"Brazil",171,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,14,12,6,1,1,2,3,34,94,55,64,54,47,29,3,8,16,68,5,4,1,3,1,0.13
"Brunei",247,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,0,0,3,0,19,8,35,159,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei",247,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,24,73,3,46.67
"Bulgaria",71,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,64,11,35,4,43.26
"Bulgaria",71,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829,439,561,439,122,162,47,77,290,220,824,525,390,1523,264,435,416,535,542.95
"Bulgaria",71,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,7,6,11,3,7,3,1,0,0,0,0,2,2
"Bulgaria",71,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,4,1,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,0,0,0,0,0,0,62,263,432.29
"Bulgaria",71,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,0,30,0,0,0,1,0,0,0,1,0,199,580,445,0,0,0,0,0,0,0,0
"Bulgaria",71,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,390,419,122,119,69,91,180.89
"Cambodia",24,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2327,3237,2435,1147,502,318,119,233,7,34,87,113,7,0,0,0,0,0,0,0
"Cambodia",24,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,142,91,250,869,710,64,0,0,0,11,0,20,0,0,0,0,0,0,0
"Canada",218,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,19,151,18,71,146,78,83,108,175,510,324,95,29,71,108,223,789,1932,0,1,1,17,17.13
"Canada",218,"Cod liver oil","fish_oil",467,391,694,527,467,606,212,359,100,75,92,160,0,0,0,0,0,26,117,124,84,4,220,18,112,234,71,57,11,214,168,757,127,134,553,646,630,433,690,254,431,432,328,489.87
"Canada",218,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,443,210,555,468,750,647,630,609,729,1124,1373,729,601,1215,486,501,514,576,290,600,3409,830,635,1522,536,819,571,863,1297.12
"Canada",218,"Fish body oils, nei","fish_oil",1056,1946,1790,1771,1004,1441,1185,1022,1061,909,872,886,1878,1734,2645,2455,3522,973,798,724,632,1514,2601,962,1107,1624,2300,2252,5796,11074,20692,16786,21788,17288,34348,47402,34512,28342,14812,15215,11648,18928,20353,22192.26
"Canada",218,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,827,280,19,178,103,383,49,192,20,71,466,26,377,3,77,350,1300,1028,692,2533,3328,970,1653,901,76,907,73,140,114,55,281,646.14
"Canada",218,"Herring oil","fish_oil",1509,1361,1565,1465,2430,1581,846,1465,1356,1571,1106,1305,0,0,0,0,0,1852,1159,1601,2721,1936,2359,1018,1133,659,1069,1143,1457,795,2370,2266,3274,1216,798,1207,855,743,451,428,1176,835,450,673.64
"Canada",218,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,197,186,242,45,12,5,3,24,213,11,14,10,17,360,438,374,153,80,119,15,30,82,15,1,6,5,0,0,0
"Canada",218,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,9,36,9,23,4,28,9,11,24,26,24,10,13,4,49,87,72,301,36,15,50,10,0,0,0,0,0,0,0,0
"Canada",218,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,19,1,2,8,6,6
"Canada",218,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6943,4419,3584,6329,21573,5438,6895,3136,4871,6132,6727,5211,5985,6867,7315,8119,9547,9538,11776,12023,12085,12404,0,0,0,0,0,0,0,0
"Canada",218,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5360,2829,4381,6695,8733,9065,4582,7366.09
"Canada",218,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7009,10219,9844,9099,8661,9137,9585,10319.11
"Canada",218,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,443,210,555,468,750,647,630,609,729,1124,1373,729,601,1215,486,501,514,576,290,600,3409,830,635,1522,536,819,571,863,1297.12
"Chile",224,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33428,40354,44581,42483,24025,32372,39044,40325,32575,31904,32793,39168,46099,46208,39282,32991,36470,43639,43805,44071,48754,48790,39030,37248,34286,30143.9
"Chile",224,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,645,363,268,372,179,210,341,180,151,100,61,112,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",224,"Fish body oils, nei","fish_oil",10482,11218,22168,21467,34608,27048,26879,6738,28549,35671,18481,16698,23521,22690,14360,26492,15060,18978,43776,49180,41712,13222,3262,13409,3121,2013,12192,10332,17629,26077,43551,52666,102764,56319,50122,86922,108319,108811,132467,108948,86657,84733,134059,123825.6
