"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Australia",16,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1551,2692,2138,3156,3000,3431,3126,3569,3400,3964,2700,3370,4430,1350,4150,5400,5420,3340,2690,1980,3240,2450,0,0,0,0,0,0,0
"Australia",16,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,11,25,4,17,43
"Australia",16,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180,836,959,552,870,994,827
"Australia",16,"Shells nei","shells",366,451,538,331,496,395,312,259,233,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",16,"Z_TOTAL","corals",464,524,705,981,1505,663,739,613,535,468,0,0,0,0,1618,1420,1300,1369,1780,1188,894,902,1377,861,982,829,1412,941,782,707,1676,616,446,294,353,426,1118,916,704,912,944,951,0
"Bahamas",110,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,10,2,22,31,13,28,17,33,24,46,12,23,0
"Bahamas",110,"Natural sponges nei","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,73,66,96,97,84,67,8,3,31,23,50,31,26,0,0,0,0,0,0,0,0,0,0
"Bahamas",110,"Trochus shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,0,0,0,20,35,2,73,31,38.3254034986978,85,67,45,78,92,92,47,83
"Bahrain",52,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,1.69104661716955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",204,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,50,63,74,74,103,35,200,100,100,100
"Bangladesh",204,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,121,248,423,176,222,673,949,2197,2178,530,395,285,215
"Bangladesh",204,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11,10,2,0,0,1,10,0,0,0,0,0,0,0
"Barbados",124,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896410208555006,0,0.304473827864451,0.301839988357957,0,1,0,0.584638981170761,1,0,0,0,0,1,0.566202104625297,0.563568265118803
"Barbados",124,"Miscellaneous corals and shells","shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3.83263796207865,0,0,0,0,0,0,0,2,5.43003360231302,5.55647326200403
"Barbados",124,"Ornamental fish nei","ornamentals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Other seaweeds and aquatic plants and products thereof","seaweeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0.491346057529476,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Agar agar nei","seaweeds",NA,1,4,3,5,6,5,13,15,16,9,10,8,2,0,0,0,0,3,6,4,8,8,30,24,8,13,5,9,51,20,53,38,37,39,32,43,57,116,186,100,103,104
"Belgium",59,"Fish body oils, nei","fish_oil",442,347,328,407,591,195,149,253,550,135,194,641,162,710,519,309,275,788,584,2176,1635,1019,485,52,31,37,801,3708,12764,26131,21259,16136,7941,28589,14140,11855,10964,4788,3195,6732,10999,11529,49259
"Belgium",59,"Fish liver oils, nei","fish_oil",448,29,6,80,34,31,34,6,26,56,114,251,496,287,117,104,66,138,74,177,69,73,123,106,100,136,146,151,121,75,53,203,223,102,46,21,21,40,27,31,96,21,18
"Belgium",59,"Halibuts, liver oils","fish_oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103285542542721,0,0,0,0,0,0,0,0,0,0,21,8,0,0,1,1,0.00768131775779668,0.00768131775779668,0,0,1
"Belgium",59,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,602,751,681,793,474,269,433,378,84,233,592,645,590,1021,55287,68142,50105,35124,2336,1165,1070,1120,1561,1351,1843,1425,1368,1381
"Belgium",59,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,8,13,15,18,20,33,17,111,18,13,3,2,1,6,2.6237691674542,2,3,2.31890375880255,2.27756607627351,2.26723165564125,1,2.28790049690577,2.2930677072219
"Belgium",59,"Natural sponges raw","sponges",0.27053614041575,0.24933225240499,0.22812836439423,0.172826313210273,0.18572058837271,1.59663955363643,1.06396321802764,1.14505381953648,0.612377483927688,0.863958901302546,0.808656850118581,1.46941622557186,2.19837192737154,2.79093497647841,2,9,25,9,7,0.0381530840773081,0.051047359239746,0,0,0,1,11,15,9,3,0,0,0,3,0,0,0,65,0,0,1,0,0,8
"Belgium",59,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,7,6,12,19,33,43,27,16,2,3,1,26,27,12,3,5,3,2,2.44715884790656,2,3,3,5,6,3,2,3,4,7
"Belgium",59,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,13,10,10,28,63,122,54,63,522,372,192,166,203,253,290,328,1321,344,170,320,271,309,338,0,0,0,0,0,0,0
"Belgium",59,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,217,168,111,171,196,220
"Belgium",59,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,316,391,185,160,200,203
"Belgium",59,"Shells nei","shells",966,1398,1340,1136,678,609,422,1198,1214,1195,1412,1177,821,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",164,"Miscellaneous corals and shells","shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,255,0,0,0,0,0,0,0,11,0,40,98,90,0
"Belize",164,"Ornamental fish nei","ornamentals",NA,3.42823448045847,0,9.3201925143542,13.9313549653267,0,4.22317345941249,3.92642684168075,4.15552762416732,5.96217060730883,6.36655385653485,4.1417001046693,5.94834308781081,10.3842230720439,5.88069725256567,8.03790516918606,8.44228841841206,7.97025933394089,9.60161985034297,6,7,12,0,0,11.1515070120019,7.17382859274193,7.75349430870739,56,53,90,57,40,39,28,20,30,47,27,0,0,0,0,0
"Belize",164,"Other seaweeds and aquatic plants and products thereof","seaweeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.621365570929,1,0,810.972685059984,767.756458222997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40179478961545,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire",245,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06078697788264,0.75,3.32966959057161,0.5,0.5,0.25,0.5,0.5,1.16863100437256,1.5,2,2.25,0.5,0.5,0.814010241639764,0,0,0,0,0,0,0,0
"Bonaire",245,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40179478961545,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",232,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,28,0,142,95,82,48,64,53,5,51,69,76,13,23,32,16,18
"Brazil",171,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,10,23,158.789004333084,1,8,6,1,3,3,3,0,19.8943567078459,4.47931803292522,0.802543651649061,0.802543651649061,3,6,0.675145505496873,5,3,4,6,1,7
"Brazil",171,"Cod liver oil","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416970550075803,1,0,0,0,3,0,0,0,0,0,0,4,3,0.700344507905658,0.685412300185195,0,0,0.14819081110743,0,0,0,0,0.0735297725051041,0,0,0
"Brazil",171,"Coral and the like","corals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,44,33,5,13.7714282735656,1,1,9,513,510,35,16,11,3,1,1,1,2,11,0.0165628162113238,0,0,0,0
"Brazil",171,"Fish body oils, nei","fish_oil",42,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,26,18966.2879192319,18209.968763914,17436.9673470727,0,60,15130.8539349984,0,1,0,0,0,10520.1436800796,2,8986.27340023196,8218.57997569349,0,0,0,0,0,0,0,22,334,585,2454
"Brazil",171,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527275863113573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Brazil",171,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,13,0,0,8.72270503655358,0,6.37138889328699,3.94849248718097,1.52559608107495,4.09165301285987,15.3883782859539,12.9654818798479,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",171,"Ornamental fish nei","ornamentals",188,194,236,271,233,211,198,211,261,345,360,468,532,493,545,578,671,921,275,256,326,321,269,288,197,181,172,110,95,174,152,158,131,97,86,76,1,0,0,0,0,0,0
"Brazil",171,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,4,4,4,13
"Brazil",171,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1806.22336528075,207,156,135,144,159,258,205,146,239,356,173,128,131,89,126,47,81,84,94,121,137,0,0,0,0,0,0,0
"Brazil",171,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,80
"Brazil",171,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,123,159,148,125,286,816
"Brazil",171,"Z_TOTAL","corals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,44,33,5,13.7714282735656,1,1,9,513,510,35,16,11,3,1,1,1,2,11,0.0165628162113238,0,0,0,0
"Brunei",247,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.40486656330478,0,0,1.4641483066499,0,4.18459796547164,2.27606673337215,6.90504762429338,28.2218884081885,0,15.9748761011471,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei",247,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,0
"Bulgaria",71,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5.14060993753901,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"Bulgaria",71,"Miscellaneous corals and shells","shells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,200,332,241,68,82,69,62,80,81,146,76,45,230,52,81,80,108
"Bulgaria",71,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,1.77808653500797,1.5752392251796,2.66095716283434,0.954783730942346,1.82574079401656,0.978610860446643,0.561002676037756,0,0,0,0,0.83533137437902
"Bulgaria",71,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria",71,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,2,0,0,0,26.2912842782116,0,0,0,32.9602183097359,0,5,8,5,0,0,0,0,0,0,0
"Bulgaria",71,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,7,3,5
"Cambodia",24,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,449,433,253,142,124,63,110,13,47,230,141,9,0,0,0,0,0,0
"Cambodia",24,"Other seaweeds and aquatic plants and products thereof","seaweeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,323,210,476,1943,1266,120,0,0,0,43,0,25,0,0,0,0,0,0
"Canada",218,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6164737954923,0,0,47.8224064452052,3,1,2,75,3,7,8,14,31,15,5,2,3,10,15,41,92,0,1,1,8
"Canada",218,"Cod liver oil","fish_oil",1381,914,1546,1162,1032,915,437,845,173,184,213,358,0,0,0,0,0,26,64,27,13,0,16,2,13,536,24,23,10,13,16,57,11,8,40,53,37,34,46,20,39,41,21
"Canada",218,"Coral and the like","corals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,716,245,1042,1057,1795,602,419,672,2220,2893,4131,2087,1568,2394,716,147,194,390,194,382,1235,522,773,1437,1061,1738,1132,1499
"Canada",218,"Fish body oils, nei","fish_oil",3407,10987,4161,4004,2806,3936,3181,2389,2857,2233,2006,2449,5347,4957,7750,6928,9571,2107,1139,1329,769,1492,1542,988,1572,2139,2698,4237,5816,4143,4949,4608,4349,1493,3667,6533,4938,4604,2927,1492,1317,1992,3819
"Canada",218,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707,1159,69,88,151,19,28,213,2,9,21,5,379,362.270393711695,20,147,2006,857,177,378,377,261,353,115,10,68,22,85,26,10,17
"Canada",218,"Herring oil","fish_oil",5314,4124,3679,6274,4724,4196,2329,4196,3198,3791,3025,4134,0,0,0,0,0,4188,2405,2919,4873,3071,2891,1904,2570,1608,1959,2035,2560,1092,1263,2152,2313,691,587,625,454,370,218,205,486,388,248
"Canada",218,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50571416279126,25.3220225072218,0,0
"Canada",218,"Ornamental fish nei","ornamentals",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,3,7,1,7,1,4,9,9,9,4,5,1,16,25,16,22,2,1,2,2.61667078081019,0,0,0,0,0,0,0
"Canada",218,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.595210479742,0,1,103.91641843086,105.432712100201,1,108.816063169428
"Canada",218,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950.525912001835,647.723854716573,556.91006194166,915.426042373991,1300,700,900,500,780,980,1100,870,1120,1530,1830,2100,2730,2800,3570,4000,4150,4430,0,0,0,0,0,0,0
"Canada",218,"Seaweeds and other algae, fit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,304,470,720,970,1000,690
"Canada",218,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3969,5786,5550,5420,5100,5400,5629
"Canada",218,"Z_TOTAL","corals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,716,245,1042,1057,1795,602,419,672,2220,2893,4131,2087,1568,2394,716,147,194,390,194,382,1235,522,773,1437,1061,1738,1132,1499
"Chile",224,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107,2226,2297,2439,1548,2298,2893,2872,2400,2413,2477,2676,2304,2185,1995,1985,2170,2056,1925,1771,1780,1825,1562,1571,1495
"Chile",224,"Coral and the like","corals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,409,340,242,477,307,280,502,260,113,47,8,59,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",224,"Fish body oils, nei","fish_oil",20234,26017,55897,51787,87880,71604,89232,18575,94748,135026,114022,91592,75469,141858,83919,108738,51825,71165,165714,150582,127189,32354,4465,64546,16146,6302,22843,18591,28149,42193,61843,71490,80492,80417,49914,60988,70533,67127,85273,79601,68648,61371,89780
"Chile",224,"Fish liver oils, nei","fish_oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
