English_name,ISSCAAP_Group,Taxonomic_Code,Scientific_Name,Family,Order or higher taxa,,,,,
Triportheus magdalenae,13,1.20E+11,Triportheus magdalenae,TRIPORTHEIDAE,CHARACIFORMES,,,,,
Salminus affinis,13,1.20E+11,Salminus affinis,BRYCONIDAE,CHARACIFORMES,,,,,
Brycon sinuensis,13,1.20E+11,Brycon sinuensis,BRYCONIDAE,CHARACIFORMES,,,,,
Cyphocharax magdalenae,13,1.20E+11,Cyphocharax magdalenae,CURIMATIDAE,CHARACIFORMES,,,,,
Megaleporinus muyscorum,13,1.20E+11,Megaleporinus muyscorum,ANOSTOMIDAE,CHARACIFORMES,,,,,
Natica spp,55,3.41E+11,Natica spp,NATICIDAE,GASTROPODA,,,,,
Brotula clarkae,34,1.49E+11,Brotula clarkae,BROTULIDAE,OPHIDIIFORMES,,,,,
Brycon spp,13,1.20E+11,Brycon spp,BRYCONIDAE,CHARACIFORMES,,,,,
Stellifer spp,33,1.77E+11,Stellifer spp,SCIAENIDAE,PERCIFORMES,,,,,
Cynoscion reticulatus,33,1.77E+11,Cynoscion reticulatus,SCIAENIDAE,PERCIFORMES,,,,,
Carangoides spp,33,1.76E+11,Carangoides spp,CARANGIDAE,PERCIFORMES,,,,,
Eucinostomus spp,33,1.72E+11,Eucinostomus spp,GERREIDAE,PERCIFORMES,,,,,
Diapterus brevirostris,33,1.72E+11,Diapterus brevirostris,GERREIDAE,PERCIFORMES,,,,,
Anisotremus spp,33,1.71E+11,Anisotremus spp,HAEMULIDAE,PERCIFORMES,,,,,
Haemulopsis spp,33,1.73E+11,Haemulopsis spp,HAEMULIDAE,PERCIFORMES,,,,,
Diplectrum spp,33,1.75E+11,Diplectrum spp,SERRANIDAE,PERCIFORMES,,,,,
Anthozoa,76,6.07E+11,Anthozoa,CNIDARIA,ANTHOZOA,,,,,
Lagocephalus spp,33,1.80E+11,Lagocephalus spp,TETRAODONTIDAE,TETRAODONTIFORMES,,,,,
Torquigener flavimaculosus,33,1.80E+11,Torquigener flavimaculosus,TETRAODONTIDAE,TETRAODONTIFORMES,,,,,
Lethrinus spp,33,1.76E+11,Lethrinus spp,LETHRINIDAE,PERCIFORMES,,,,,
Arius spp,34,1.23E+11,Arius spp,ARIIDAE,SILURIFORMES,,,,,
Solea spp,31,1.73E+11,Solea spp,SOLEIDAE,PLEURONECTIFORMES,,,,,
Gymnothorax porphyreus,33,1.70E+11,Gymnothorax porphyreus,MURAENIDAE,ANGUILLIFORMES,,,,,
Larimus spp,33,1.77E+11,Larimus spp,SCIAENIDAE,PERCIFORMES,,,,,
Pontinus spp,33,1.75E+11,Pontinus spp,SCORPAENIDAE,SCORPAENIFORMES,,,,,
Patagonotothen tessellata,38,1.31E+11,Patagonotothen tessellata,NOTOTHENIIDAE,PERCIFORMES (NOTOTHENIOIDEI),,,,,
Iluocoetes fimbriatus,34,1.31E+11,Iluocoetes fimbriatus,ZOARCIDAE,PERCIFORMES,,,,,
Cucumaria frondosa,76,6.07E+11,Cucumaria frondosa,CUCUMARIIDAE,ECHINODERMATA (HOLOTHUROIDEA),,,,,
Scyphozoa,76,6.02E+11,Scyphozoa,SCYPHOZOA,CNIDARIA (SCYPHOZOA),,,,,
Centroscymnus spp,38,1.64E+11,Centroscymnus spp,SOMNIOSIDAE,SQUALIFORMES,,,,,
Solenocera acuminata,41,1.42E+11,Solenocera acuminata,SOLENOCERIDAE,DECAPODA (CRUSTACEA),,,,,
Muraenesocidae,33,1.70E+11,Muraenesocidae,MURAENESCOIDAE,ANGUILLIFORMES,,,,,
Elkhorn sea moss,79,7.10E+11,*Bryothamnion spp*,WRANGELIACEAE,FLORIDEOPHYCEAE,,,,,
Brama spp,37,1.76E+11,Brama spp,BRAMIDAE,PERCIFORMES,,,,,
Bellottia apoda,34,1.49E+11,Bellottia apoda,BROTULIDAE,OPHIDIIFORMES,,,,,
Epigonus constanciae,33,1.75E+11,Epigonus constanciae,EPIGONIDAE,PERCIFORMES,,,,,
Sudis hyalina,37,1.76E+11,Sudis hyalina,SUDIDAE,AULOPIFORMES,,,,,
Luciobarbus graellsii,13,1.20E+11,Luciobarbus graellsii,CYPRINIDAE,CYPRINIFORMES,,,,,
Dibranchus atlanticus,34,1.49E+11,Dibranchus atlanticus,OGCOCEPHALIDAE,LOPHIIFORMES,,,,,
Artedidraco shackletoni,38,1.32E+11,Artedidraco shackletoni,ARTEDIDRACONIDAE,PERCIFORMES (NOTOTHENIOIDEI),,,,,
Paralabrax spp,33,1.75E+11,Paralabrax spp,SERRANIDAE,PERCIFORMES,,,,,
Bodianus spp,33,1.73E+11,Bodianus spp,LABRIDAE,PERCIFORMES,,,,,
Belone spp,33,1.72E+11,Belone spp,BELONIDAE,BELONIFORMES,,,,,
Scribbled leatherjac. filefish,33,1.80E+11,Aluterus scriptus,MONACANTHIDAE,TETRAODONTIFORMES,,,,,
Holothuria whitmaei,76,6.07E+11,Holothuria whitmaei,HOLOTHURIIDAE,ECHINODERMATA (HOLOTHUROIDEA),,,,,
Holothuria lessoni,76,6.07E+11,Holothuria lessoni,HOLOTHURIIDAE,ECHINODERMATA (HOLOTHUROIDEA),,,,,
Stichopus herrmanni,76,6.07E+11,Stichopus herrmanni,STICHOPODIDAE,ECHINODERMATA (HOLOTHUROIDEA),,,,,
Gymnoscopelus opisthopterus,37,1.76E+11,Gymnoscopelus opisthopterus,MYCTOPHIDAE,MYCTOPHIFORMES,,,,,
Pogonophryne spp,38,1.31E+11,Pogonophryne spp,ARTEDIDRACONIDAE,PERCIFORMES (NOTOTHENIOIDEI),,,,,
Pinnoctopus cordiformis,57,3.51E+11,Pinnoctopus cordiformis,OCTOPODIDAE,OCTOPODA,,,,,
Munida spp,41,1.42E+11,Munida spp,MUNIDIDAE,DECAPODA (CRUSTACEA),,,,,
Austrofusus glans,55,3.41E+11,Austrofusus glans,BUCCINIDAE,GASTROPODA,,,,,
Paphies spp,55,3.41E+11,Paphies spp,VENERIDAE,BIVALVIA,,,,,
Bassanago hirsutus,34,1.49E+11,Bassanago hirsutus,CONGRIDAE,ANGUILLIFORMES,,,,,
Argentina elongata,37,1.76E+11,Argentina elongata,ARGENTINIDAE,ARGENTINIFORMES,,,,,
Pseudopercis spp,33,1.75E+11,Pseudopercis spp,PINGUIPEDIDAE,PERCIFORMES,,,,,
Lessonia spp,79,7.30E+11,Lessonia spp,LESSONIACEAE,PHAEOPHYCEAE,,,,,
Colistium nudipinnis,31,1.73E+11,Colistium nudipinnis,PLEURONECTIDAE,PLEURONECTIFORMES,,,,,
Colistium guentheri,31,1.73E+11,Colistium guentheri,PLEURONECTIDAE,PLEURONECTIFORMES,,,,,
Hyporhamphus ihi,33,1.81E+11,Hyporhamphus ihi,HEMIRAMPHIDAE,ATHERINIFORMES,,,,,
Rexea spp,37,1.76E+11,Rexea spp,GEMPYLIDAE,PERCIFORMES,,,,,
Hoplichthys spp,34,1.31E+11,Hoplichthys spp,HOPLICHTHYIDAE,SCORPAENIFORMES,,,,,
Chimaera spp,38,1.64E+11,Chimaera spp,CHIMAERIDAE,CHIMAERIFORMES,,,,,
Pterocladia lucida,79,7.10E+11,Pterocladia lucida,GELIDIACEAE,FLORIDEOPHYCEAE,,,,,
Xenocephalus armatus,34,1.31E+11,Xenocephalus armatus,PLATYCEPHALIDAE,SCORPAENIFORMES,,,,,
Histioteuthis spp,57,3.51E+11,Histioteuthis spp,HISTIOTEUTHIDAE,CEPHALOPODA,,,,,
Calanus finmarchicus,76,6.03E+11,Calanus finmarchicus,CALANIDAE,COPEPODA,,,,,
Vertebrata lanosa,79,7.10E+11,Vertebrata lanosa,RHODOMELACEAE,FLORIDEOPHYCEAE,,,,,
Semibalanus balanoides,76,6.05E+11,Semibalanus balanoides,BALANIDAE,CRUSTACEA (CIRRIPEDIA),,,,,
Catostylus spp,76,6.02E+11,Catostylus spp,CATOSTYLIDAE,CNIDARIA (SCYPHOZOA),,,,,
Auchenionchus microcirrhis,33,1.75E+11,Auchenionchus microcirrhis,LABRISOMIDAE,PERCIFORMES,,,,,
Anisotremus scapularis,33,1.71E+11,Anisotremus scapularis,HAEMULIDAE,PERCIFORMES,,,,,
Oplegnathus spp,33,1.73E+11,Oplegnathus spp,OPLEGNATHIDAE,PERCIFORMES,,,,,
Brachygenys californiensis,33,1.71E+11,Brachygenys californiensis,HAEMULIDAE,PERCIFORMES,,,,,
Euthynnus spp,36,1.76E+11,Euthynnus spp,SCOMBRIDAE,PERCIFORMES,,,,,
Astatoreochromis alluaudi,13,1.20E+11,Astatoreochromis alluaudi,CICHLIDAE,CICHLIFORMES,,,,,
Belonepterygion fasciolatum,33,1.73E+11,Belonepterygion fasciolatum,PLESIOPIDAE,PERCIFORMES,,,,,
Poecilia araguaiensis,13,1.21E+11,Poecilia araguaiensis,POECILIIDAE,CYPRINODONTIFORMES,,,,,
Lefua echigonia,13,1.26E+11,Lefua echigonia,ODONTOBUTIDAE,SCORPAENIFORMES,,,,,
Lepidion guentheri,34,1.49E+11,Lepidion guentheri,MORIDAE,GADIFORMES,,,,,
Pinirampus argentina,34,1.23E+11,Pinirampus argentina,PIMELODIDAE,SILURIFORMES,,,,,
Dipturus macrocauda,38,1.64E+11,Dipturus macrocauda,RAJIDAE,RAJIFORMES,,,,,
Rhinoraja longicauda,38,1.64E+11,Rhinoraja longicauda,RAJIDAE,RAJIFORMES,,,,,
Garo khajuriai,13,1.20E+11,Garo khajuriai,AMBLYCIPITIDAE,SILURIFORMES,,,,,
Potamotrygon constellata,38,1.64E+11,Potamotrygon constellata,POTAMOTRYGONIDAE,RAJIFORMES,,,,,
Cotylopus acutipinnis,13,1.21E+11,Cotylopus acutipinnis,GOBIIDAE,PERCIFORMES,,,,,
Ditropichthys storeri,34,1.49E+11,Ditropichthys storeri,COTTIDAE,SCORPAENIFORMES,,,,,
Eirmotus octozona,13,1.26E+11,Eirmotus octozona,CYPRINIDAE,CYPRINIFORMES,,,,,
Homostolus acer,34,1.49E+11,Homostolus acer,OGCOCEPHALIDAE,LOPHIIFORMES,,,,,
Labeo sindensis,13,1.26E+11,Labeo sindensis,CYPRINIDAE,CYPRINIFORMES,,,,,
Gobitrichinotus radiocularis,33,1.73E+11,Gobitrichinotus radiocularis,GOBIOIDEI,PERCIFORMES,,,,,
Luciobarbus bocagei,13,1.26E+11,Luciobarbus bocagei,CYPRINIDAE,CYPRINIFORMES,,,,,
Tridens melanops,34,1.23E+11,Tridens melanops,TRIDENSIDAE,SILURIFORMES,,,,,
Barbodes palata,13,1.20E+11,Barbodes palata,CYPRINIDAE,CYPRINIFORMES,,,,,
Taractes rubescens,37,1.76E+11,Taractes rubescens,BRAMIDAE,PERCIFORMES,,,,,
Lowfin gulper shark,38,1.64E+11,Centrophorus lusitanicus,SQUALIDAE,SQUALIFORMES,,,,,
Okamejei kenojei,38,1.64E+11,Okamejei kenojei,RAJIDAE,RAJIFORMES,,,,,
Beringraja pulchra,38,1.64E+11,Beringraja pulchra,RAJIDAE,RAJIFORMES,,,,,
Enteroctopus magnificus,57,3.51E+11,Enteroctopus magnificus,OCTOPODIDAE,OCTOPODA,,,,,
Paralomis spp,42,1.42E+11,Paralomis spp,LITHODIDAE,DECAPODA (CRUSTACEA),,,,,
Aphanopus spp,37,1.76E+11,Aphanopus spp,TRICHIURIDAE,PERCIFORMES,,,,,
Heterocarpus grimaldii,41,1.42E+11,Heterocarpus grimaldii,PANDALIDAE,DECAPODA (CRUSTACEA),,,,,
Spaniblennius riodourensis,33,1.75E+11,Spaniblennius riodourensis,BLENNIIDAE,PERCIFORMES,,,,,
Muraena augusti,33,1.70E+11,Muraena augusti,MURAENIDAE,ANGUILLIFORMES,,,,,
Polymetme corythaeola,37,1.76E+11,Polymetme corythaeola,PHOTICHTHYIDAE,PERCIFORMES,,,,,
Diaphus effulgens,37,1.76E+11,Diaphus effulgens,MYCTOPHIDAE,MYCTOPHIFORMES,,,,,
Bythites islandicus,34,1.49E+11,Bythites islandicus,BYTHITIDAE,OPHIDIIFORMES,,,,,
Eustomias obscurus,37,1.76E+11,Eustomias obscurus,STITIDAE,STOMIIFORMES,,,,,
Diopatra neapolitana,76,6.05E+11,Diopatra neapolitana,ONUPHIDAE,POLYCHAETA (ANNELIDA),,,,,
Codium adhaerens,79,7.10E+11,Codium adhaerens,CODIACEAE,CHLOROPHYTA,,,,,
Scopelogadus beanii,37,1.76E+11,Scopelogadus beanii,MELAMPHAIDAE,STOMIIFORMES,,,,,
Polycheles typhlops,41,1.42E+11,Polycheles typhlops,POLYCHELIDAE,DECAPODA (CRUSTACEA),,,,,
Iophon piceum,76,6.05E+11,Iophon piceum,IOPHONIDAE,PORIFERA (DEMOSPONGIAE),,,,,
Rajella kukujevi,38,1.64E+11,Rajella kukujevi,RAJIDAE,RAJIFORMES,,,,,
Anthothela grandiflora,76,6.01E+11,Anthothela grandiflora,ANTHOTHELIDAE,CNIDARIA (OCTOCORALLIA),,,,,
Gobius strictus,33,1.73E+11,Gobius strictus,GOBIIDAE,PERCIFORMES,,,,,
Scoletoma impatiens,76,6.05E+11,Scoletoma impatiens,OPHELIIDAE,POLYCHAETA (ANNELIDA),,,,,
Hansarsia megalops,33,1.75E+11,Hansarsia megalops,BLENNIIDAE,PERCIFORMES,,,,,
Limaria hians,55,3.41E+11,Limaria hians,LIMIDAE,BIVALVIA,,,,,
Rough longnose dogfish,38,1.64E+11,Deania hystricosa,CENTROPHORIDAE,SQUALIFORMES,,,,,
Chionodraco hamatus,38,1.32E+11,Chionodraco hamatus,CHANNICHTHYIDAE,PERCIFORMES (NOTOTHENIOIDEI),,,,,
Nototheniops nybelini,38,1.31E+11,Nototheniops nybelini,NOTOTHENIIDAE,PERCIFORMES (NOTOTHENIOIDEI),,,,,
Dunaliella salina,79,7.40E+11,Dunaliella salina,CHLOROPHYTA,CHLOROPHYCEAE,,,,,
Pitar spp,55,3.41E+11,Pitar spp,VENERIDAE,BIVALVIA,,,,,
Ocypode spp,42,1.42E+11,Ocypode spp,OCYPODIDAE,DECAPODA (CRUSTACEA),,,,,
Tegula spp,55,3.41E+11,Tegula spp,TEGULIDAE,GASTROPODA,,,,,
Nassarius spp,55,3.41E+11,Nassarius spp,NASSARIIDAE,GASTROPODA,,,,,
Nerita spp,55,3.41E+11,Nerita spp,NERITIDAE,GASTROPODA,,,,,
Ophioderma brevispinum,76,6.05E+11,Ophioderma brevispinum,OPHIURIDAE,ECHINODERMATA (OPHIUROIDEA),,,,,
Ophioblennius atlanticus,33,1.75E+11,Ophioblennius atlanticus,BLENNIIDAE,PERCIFORMES,,,,,
Holothuria spp,76,6.07E+11,Holothuria spp,HOLOTHURIIDAE,ECHINODERMATA (HOLOTHUROIDEA),,,,,
Acanthurus spp,33,1.73E+11,Acanthurus spp,ACANTHURIDAE,PERCIFORMES,,,,,
Atl.jackknife(=Atl.razor clam),55,3.41E+11,Ensis directus,PHARIDAE,BIVALVIA,,,,,
Siamese algae-eater,11,1.40001E+11,Gyrinocheilus aymonieri,GYRINOCHEILIDAE,CYPRINIFORMES,,,,,
River carpsucker,11,1.40002E+11,Carpiodes carpio,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Quillback,11,1.40002E+11,Carpiodes cyprinus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Longnose sucker,11,1.40002E+11,Catostomus catostomus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
White sucker,11,1.40002E+11,Catostomus commersonii,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Flannelmouth sucker,11,1.40002E+11,Catostomus latipinnis,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Largescale sucker,11,1.40002E+11,Catostomus macrocheilus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Tahoe sucker,11,1.40002E+11,Catostomus tahoensis,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Cui-ui,11,1.40002E+11,Chasmistes cujus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Blue sucker,11,1.40002E+11,Cycleptus elongatus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Lost River sucker,11,1.40002E+11,Deltistes luxatus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Lake chubsucker,11,1.40002E+11,Erimyzon sucetta,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Northern hog sucker,11,1.40002E+11,Hypentelium nigricans,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Bigmouth buffalo,11,1.40002E+11,Ictiobus cyprinellus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Buffalofishes NEI,11,1400021042XX,Ictiobus spp,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Spotted sucker,11,1.40002E+11,Minytrema melanops,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Gray redhorse,11,1.40002E+11,Moxostoma congestum,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Golden redhorse,11,1.40002E+11,Moxostoma erythrurum,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Harelip sucker,11,1.40002E+11,Moxostoma lacerum,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Shorthead redhorse,11,1.40002E+11,Moxostoma macrolepidotum,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Chinese sucker,11,1.40002E+11,Myxocyprinus asiaticus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Razorback sucker,11,1.40002E+11,Xyrauchen texanus,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Suckers NEI,11,1400021XXXXX,Catostomidae,CATOSTOMIDAE,CYPRINIFORMES,,,,,
Bengal loach,11,1.40003E+11,Botia dario,BOTIIDAE,CYPRINIFORMES,,,,,
NA,11,1400031010XX,Botia spp,BOTIIDAE,CYPRINIFORMES,,,,,
Clown loach,11,1.40003E+11,Chromobotia macracanthus,BOTIIDAE,CYPRINIFORMES,,,,,
NA,11,1.40003E+11,Parabotia curtus,BOTIIDAE,CYPRINIFORMES,,,,,
Tiger loach,11,1.40003E+11,Syncrossus hymenophysa,BOTIIDAE,CYPRINIFORMES,,,,,
Redtail botia,11,1.40003E+11,Yasuhikotakia modesta,BOTIIDAE,CYPRINIFORMES,,,,,
NA,11,1.40004E+11,Vaillantella cinnamomea,VAILLANTELLIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Acanthopsoides delphax,COBITIDAE,CYPRINIFORMES,,,,,
Horseface loach,11,1.40005E+11,Acantopsis dialuzona,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Canthophrys gongota,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Cobitis biwae,COBITIDAE,CYPRINIFORMES,,,,,
Choi's spiny loach,11,1.40005E+11,Cobitis choii,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Cobitis delicata,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Cobitis maroccana,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Cobitis melanoleuca,COBITIDAE,CYPRINIFORMES,,,,,
Southern Iberian spined loach,11,1.40005E+11,Cobitis paludica,COBITIDAE,CYPRINIFORMES,,,,,
Spined loach,11,1.40005E+11,Cobitis taenia,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Lepidocephalichthys annandalei,COBITIDAE,CYPRINIFORMES,,,,,
Guntea loach,11,1.40005E+11,Lepidocephalichthys guntea,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Lepidocephalichthys thermalis,COBITIDAE,CYPRINIFORMES,,,,,
Pond loach,11,1.40005E+11,Misgurnus anguillicaudatus,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Misgurnus dabryanus,COBITIDAE,CYPRINIFORMES,,,,,
Weatherfish,11,1.40005E+11,Misgurnus fossilis,COBITIDAE,CYPRINIFORMES,,,,,
Chinese muddy loach,11,1.40005E+11,Misgurnus mizolepis,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Neoeucirrhichthys maydelli,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Pangio agma,COBITIDAE,CYPRINIFORMES,,,,,
Golden spined loach,11,1.40005E+11,Sabanejewia aurata,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40005E+11,Sabanejewia balcanica,COBITIDAE,CYPRINIFORMES,,,,,
NA,11,1.40006E+11,Barbucca diabolica,BARBUCCIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Annamia normani,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Engkaria eubranchus,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Formosania lacustris,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Gastromyzon borneensis,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Glaniopsis denudata,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Neogastromyzon nieuwenhuisii,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Parhomaloptera microstoma,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Protomyzon aphelocheilus,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40007E+11,Sewellia lineolata,GASTROMYZONTIDAE,CYPRINIFORMES,,,,,
NA,11,1.40009E+11,Balitora annamitica,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1.40009E+11,Bhavania australis,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1.40009E+11,Hemimyzon formosanus,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1.40009E+11,Homaloptera bilineata,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1400091022XX,Homaloptera spp,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1.40009E+11,Neohomaloptera johorensis,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1.40009E+11,Sinogastromyzon puliensis,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1.40009E+11,Travancoria jonesi,BALITORIDAE,CYPRINIFORMES,,,,,
NA,11,1.4001E+11,Ellopostoma megalomycter,ELLOPOSTOMATIDAE,CYPRINIFORMES,,,,,
NA,11,1.40011E+11,Aborichthys elongatus,NEMACHEILIDAE,CYPRINIFORMES,,,,,
NA,11,1.40011E+11,Afronemacheilus abyssinicus,NEMACHEILIDAE,CYPRINIFORMES,,,,,
Stone loach,11,1.40011E+11,Barbatula barbatula,NEMACHEILIDAE,CYPRINIFORMES,,,,,
NA,11,1.40011E+11,Eonemachilus altus,NEMACHEILIDAE,CYPRINIFORMES,,,,,
NA,11,1.40011E+11,Indoreonectes evezardi,NEMACHEILIDAE,CYPRINIFORMES,,,,,
NA,11,1.40011E+11,Lefua echigonia,NEMACHEILIDAE,CYPRINIFORMES,,,,,
NA,11,1.40011E+11,Micronemacheilus cruciatus,NEMACHEILIDAE,CYPRINIFORMES,,,,,
