zone,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023
31,79302,79715,80098,80469,80832,81188,81541,81895,82247,87476,88340,89188,90024,90846,82629,92430,93187,93919,94633,95321,95981,96387,97017,97617
32,720714,732570,743981,755171,766153,776948,787584,745735,751590,755837,759060,763849,831335,835400,839294,845729,849318,852749,868414,871600,864001,867007,875146,874257
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1179395,1189824,1200205,1210447,1220481,1230601,1240827,1250882,1274189,1284264,1293676,1303717,1313095,1322238,1331155,1339827,1348242,1356388,1364283,1371946,1379365,1386129,1308222,1309448
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,301487,310696,320138,329655,339298,349089,359007,369029,385925,396334,380253,394999,394451,393988,393595,393253,392960,392709,392473,392217,391904,390669,390164,389568
40,14214411,13778820,14202893,14314471,14341320,14453890,14664553,14810556,14952694,15091597,15223639,15057846,15136337,15275428,15401814,15534110,15655191,15785798,15890595,15993927,16095548,16203562,16252166,15331971
41,7624115,8371267,7556874,8114907,8357379,8524756,9016940,9089391,9253372,8704241,8838787,9195217,9414324,9453631,9688029,9765240,10038745,10461061,10653968,11464932,11844103,12158007,12175599,12491058
42,5492643,5687109,5883555,6065827,6043201,6295834,6598155,6810977,7018742,7232064,7444513,7678132,7736419,7962741,8440204,8679444,8952808,9343357,9659246,9782405,9963284,10279521,10527901,10602164
43,2046650,2129843,2147995,2190704,2287402,2348889,2488231,2556389,2630231,2695698,2765362,2894330,2680950,3060034,3145037,3214646,3274209,3338702,3395604,3912462,4140116,4229340,4326762,4418770
44,2699624,3069835,3024771,3054771,3090043,3226476,3340865,3428867,3596358,3704223,3808269,3775091,3824716,3888120,3958204,4032135,4293013,4395360,4486517,4580453,4698525,4821740,4943465,5073715
45,842490,863596,848298,832122,822578,838878,756148,790123,886306,843595,870334,887174,908629,930160,974917,994379,897878,917860,954131,962856,972004,982538,992098,1002432
46,411014,418507,399026,406951,422555,430802,440130,449510,457404,653713,639001,652205,667163,681848,704660,720314,741012,763093,781932,799499,815241,829791,846319,908927
47,3748354,3764555,4054471,4214275,4378557,4471007,4629785,4780502,5264796,5219712,5365704,5460422,5596934,5739645,5887345,6070232,6218735,5556407,5593341,5719702,5838834,5939496,6054133,6167066
48,1830104,2011669,2081433,2165536,2237543,2312218,2390967,2470540,2551929,2630381,2280394,2324419,2373174,2422953,2471264,2521177,2571454,2626766,3539369,2829292,3701849,2931883,2987098,3045924
49,598188,624543,656413,674131,695233,718976,737375,699368,707319,722000,1079809,1138527,1108471,1112512,1134015,1112527,1144561,1248110,1438192,1479241,1530833,1644693,1685113,1752467
50,7248377,7612988,7971067,8228829,8904603,9049846,9234782,9433766,9626923,9821428,8789010,8913726,8866991,8997360,9184433,9313608,9391480,9419610,10876541,10738106,10920176,11114532,11303507,11649388
51,1969293,2040818,2110767,2182869,2257194,2335207,2417648,2504808,2595742,2690832,2787743,2593970,2644637,2693585,2739058,2784816,2829502,2865839,2907169,2936578,2975168,3013242,3049469,3089028
52,634123,645353,656395,667235,677882,688341,698583,708570,718304,728708,735185,1214703,1248345,1281332,1314089,1346613,1378904,1410942,1442659,1474016,1505003,1526929,1540554,1553882
53,11668629,11386730,11516842,11731426,11727307,12646668,12915694,12845412,13603508,14097726,14290330,14502123,14730116,14956069,15155640,23576537,23694035,25700644,26069125,28685741,29284348,29871288,30465901,31057582
54,2030932,2101547,2137372,2159706,2163740,2194910,2237590,3892792,4049027,4210858,4365227,4509069,4641238,4782431,4910072,5042330,5103870,5310654,8492572,8449933,8579270,8463393,8479469,8526928
55,245020,245369,235396,235810,245719,246704,247599,248462,249262,249974,250360,251206,251962,252374,252715,252984,253183,253315,245384,244741,242956,242041,233978,233544
56,401388,405281,408759,412138,415293,418223,420980,423612,426998,429474,508229,516100,523568,531046,538535,545993,553432,560899,568373,575839,583255,589451,596707,603901
57,268292,268738,238606,239036,248964,249956,250928,251803,252612,253335,254002,254587,273416,273867,274236,274529,274745,274889,255956,255285,254420,253462,248513,248053
58,1536970,1637765,1642287,1668291,1670915,1673427,1675829,1677918,1679693,1681108,1927190,1939532,2108372,2123053,2139519,2157814,2176519,2194208,2246454,2342023,2357699,2227821,2162778,2165493
59,3675787,3675922,3671225,3659558,3664020,3682486,3691996,3695843,3700137,3703886,3706184,3712554,3678189,3675494,3677468,3987525,4019892,4048226,4087933,4112978,4145931,4177843,4223928,4249356
60,23465,19120,19165,27063,27118,27171,27217,27268,27333,28796,28827,29056,29584,30077,30158,30181,30257,30295,30368,30434,30498,30381,30423,30477
61,6633387,6684393,6756701,6815834,6864714,7211030,7284984,7364281,7461720,7534161,7613783,7644437,7735060,7935741,8097688,8179746,8292665,8490111,8574817,8709625,8784564,8854887,8919517,8986523
62,14572318,15187970,15547256,15811671,16119556,16533922,16793166,17033130,17348796,15793139,16011279,16165549,16285400,16465349,16419922,16599823,16768222,16883431,17902524,18374871,18552492,18730244,18821172,18989582
63,101304,187054,191528,210153,223650,228796,308221,317395,330088,339189,413504,425527,445339,455821,460186,473500,486935,478794,500958,514357,527493,533094,535406,540204
64,716272,735743,764337,869816,897683,924081,949910,977741,1005172,934876,957062,979746,1005504,1029865,1139760,1164892,1195149,1219789,1245573,1320995,1384599,1408891,1438852,1467151
65,735822,760658,788420,812869,920411,949121,978844,1006734,1034991,1060707,1087920,1072342,1097759,1196383,1224089,1249995,1275961,1301988,1329722,1355705,1380578,1410587,1533293,1568578
66,4909001,5017920,5005192,5136537,5415942,5570110,5932051,6093161,6256694,6677192,6003833,6158386,6323117,6484236,6574516,6796427,6975165,7152586,7342304,7518096,7692100,7863876,8768601,8992537
67,4062837,4266829,4354846,4508668,4689287,4746360,4869940,4981203,5110677,5231369,5305423,5468590,4650548,4967552,5131685,5285906,5394873,5459727,5457733,5460287,5553255,5708996,5785466,5881581
68,391662,394569,397499,400421,396852,398534,400213,401880,403532,405165,406757,408333,409836,411277,412655,413965,415196,416338,449043,453319,457267,460891,464186,467138
69,1535311,1512984,1496331,1481955,1455115,1441512,1432937,1423604,1415118,1406185,1397675,1389830,1381609,1407973,1398920,1282040,1293672,1278507,1278091,1263982,1250116,1238893,1226397,1243239
70,1026403,999768,995175,991497,943201,937304,926563,920653,912343,906348,900735,895255,889294,904515,898498,903860,899089,894491,900210,894966,893005,887257,882315,875908
71,920559,920360,928832,948970,936389,902817,891005,883324,876108,868816,861415,854929,899813,892564,884036,916338,931346,926076,986826,981309,975111,968490,951890,945724
72,774176,772883,766966,774831,739370,739501,733669,732647,728998,728143,719785,718038,709300,707499,706173,704467,725759,730780,731248,723673,719265,716635,622104,615321
73,14105346,14241291,14136146,13874960,13826938,13872367,13750116,13653426,13588948,13530829,13469927,13402866,14059333,14066232,14071997,14075646,14070310,14071821,14042393,14442388,14435379,14488903,14458163,14416381
74,1617808,1420084,1379555,1378654,1426443,1428379,1407203,1355428,1350727,1329858,1325387,1322105,1317353,1313054,1424796,1424534,1423687,1422885,1218702,1219142,990052,1221555,1218280,1215681
75,6329082,6456581,6410867,6370460,6259032,6235179,6194198,6090418,6140056,6107223,6067544,6029622,6128031,6090277,6352422,6372328,6341911,6313508,6301836,6305103,6300030,6266569,5929580,4744978
76,29892941,30225366,31872551,32628856,33051646,33417999,33790875,34150808,34504228,36862753,37343868,37814814,38390482,39049223,39202338,39908768,38445407,38653578,39044439,42689545,42882188,43076059,43741543,43969717
77,2016125,2098752,2090274,2187889,2248849,2312813,2368295,2330323,2381507,2620328,2635785,2669197,2633899,2462083,2337509,2274082,2319757,2404261,2462171,3665125,3652602,3837517,4055609,4313443
78,3501321,3501917,3553029,3601491,3645117,3685780,3752855,3841225,3881961,3926470,3990937,4008497,4477831,4941628,6725375,6923632,5981885,5888880,5862606,6478777,6149105,5932372,5082289,5117940
79,6369797,6496291,6675308,6752803,6871486,7016098,7099911,7048869,7615608,7761331,7898688,8158954,8317293,8465422,8601825,8858568,8812011,8961810,9103314,9248300,9413426,9544771,9683232,10059586
80,9685493,9702403,9734617,9757486,9759174,9783266,9802914,9820601,9837189,9850643,9853214,9864045,9923899,9932138,9934946,9940772,9937736,9928066,9919893,9823260,9791917,9757403,9761777,9736666
81,758271,762887,767312,771656,775927,780134,784302,788458,792604,1084748,1102677,1120489,1153771,1171103,1188158,1204896,1221275,1237456,1237088,1252147,1284871,1299701,1295102,1308120
82,2349255,2380950,2529658,2511887,2527915,2528569,2546367,2557227,2571250,2597098,2131791,2137178,2253405,2259766,2276564,2283423,2305717,2313433,2320088,2326874,2333618,2344171,2350041,2450304
84,15639675,15175614,15766995,16031908,15755714,15953362,16147274,16871523,17092459,16905421,17102962,17308456,18479647,18835557,19192352,19551281,19906663,20255001,20595888,20926355,21246133,21546214,21842647,22820700
85,1046,1046,1071,1078,1086,1092,1098,1149,1158,1504,1510,1519,1525,1530,1534,1538,1538,1120,1122,1124,1125,1133,1134,1135
86,5831,5843,5913,5953,5992,6029,6062,6103,6153,5757,5781,5802,5823,5843,5860,5874,5874,6301,6311,6319,6327,6369,6377,6385
88,352,352,333,335,337,339,341,291,290,376,379,379,380,381,382,383,383,407,408,409,410,413,414,415
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2847,2896,2967,3040,3353,3192,3192,3351,3140,3176,3212,3249,3140,3140,2840,3361,2931,2931,3198,3198,3198,3198,3662,3662
96,2016530,1998135,2016909,2347849,2357241,2273180,2344612,2397982,2465263,2011063,2051247,2097589,2136494,2186315,2411823,2516873,2575700,2627265,2691143,2756055,2821830,2901326,3702483,3800266
97,1623630,1538394,1561608,1588926,1636144,1644716,1727691,1814740,1896900,1958410,2068412,2125897,2194036,2251848,2330841,2391997,2446449,2665161,2733907,2761091,2836448,2914647,2996017,2968370
98,1647981,1691879,1743257,1789012,1821443,1776290,1846696,1897318,1949055,2006633,2195171,2268299,2652354,2727403,2802541,2910566,3005141,3077990,3143687,3224545,3306168,3172515,3256620,3337429
99,2422883,2410505,2510365,2592783,2675172,2719383,2792490,2869470,3012988,3107918,3197729,3288947,3388015,3434610,3533289,3632292,3740366,3844144,3950717,4330407,4488194,4637728,4797682,4877587
100,521177,504795,511472,520103,601134,645946,663078,680683,699086,718687,738269,759028,782240,948877,985205,1004779,1025050,1046408,1069184,1094525,1123682,1150047,1177284,1261672
101,55597,55993,59646,89697,101353,103357,102898,102111,103831,104809,105665,106625,135644,137321,138376,139314,165743,170003,179788,183247,188174,190759,194170,197287
102,11427395,12730658,12885461,12925527,13475799,13449541,13401869,13344623,14794992,14879228,14887983,14860991,14665694,14603671,14552108,16150003,16369994,16562724,16723361,16881652,17057718,17214328,17374436,18160411
103,159902,165034,170372,175883,181565,187410,193413,199579,206178,212679,175808,179506,183176,186817,190428,194006,197541,201025,204454,207822,211122,213948,217164,220372
104,214310,230710,234893,245861,249859,252560,260854,266413,298041,306222,314754,323262,331799,340141,349302,435136,446005,456426,467698,479268,487735,499057,977616,1012398
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,5692872,6521198,6661061,6762027,6871400,7263072,7419752,7615874,7766100,7933073,7923979,8080474,8268247,8449724,8638272,8783962,8975856,9166760,9421025,9637519,9849178,11324168,11574660,11835097
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,63005,63503,64001,64481,64934,65365,65773,66163,66536,67837,68261,68679,69080,69467,69839,70196,70538,70864,71176,71472,71750,72084,72337,72576
110,294310,297854,295130,297476,299696,301792,303771,305655,307451,307552,310022,313312,316182,319031,321834,324597,327315,329988,332634,335210,335499,352655,355608,406513
111,17585,18122,18738,19350,19956,20556,21152,21746,22352,22942,23528,44819,46335,47754,49070,50280,82201,52570,53701,54819,55926,57196,58286,59367
112,10201726,10331110,10353436,10391797,10432955,10495959,10529649,10520823,10554240,10580454,10609138,10250841,10237179,10228230,10239283,10226161,10377418,10375090,10343130,10274151,10220489,10195796,10259711,10240037
113,34761,35527,40762,41935,43103,44270,45436,46601,47862,49035,50208,51384,52560,53737,54914,56092,57268,58442,59613,60781,61944,63131,64309,65483
114,6507313,6682993,7099911,7216824,7622796,7794565,8139129,8274988,8458821,8569114,9155336,9221997,9299564,9387140,9484696,9603001,9954132,10101282,10212922,10345484,10478837,10602761,10734819,10990149
115,7344261,7472107,7518473,7630893,7847387,8043546,8198417,8306484,8434012,8421958,8569820,8682628,8792321,8907161,9014548,9292509,9409412,9525326,9144689,9312979,9400918,9478353,9562596,9600808
116,4036668,3930822,4081490,3967619,3987313,4003563,4036382,4049908,4063877,4077113,3820711,3816356,3772359,3719823,3725067,3701931,3681008,3459094,3401603,3346892,3265633,3369454,3185569,3162228
117,19622,41624,21272,21730,22187,22643,23098,23553,24041,24491,24935,30391,31148,31912,32680,33454,34232,35015,35802,36591,37381,37891,38632,39369
118,11796,12132,12446,12738,13008,13254,13477,13677,14108,14436,14766,15094,15423,15754,16086,16418,16752,17087,17422,17756,18090,18403,18741,19079
119,38815,38756,38736,38763,38836,38958,39129,39349,39817,40131,49898,50314,50726,51134,51538,51936,52331,52713,53094,53463,53821,54149,54488,54817
120,66408,66970,67448,67896,68321,68723,69107,69481,84522,85632,86712,87884,89018,90156,91295,92436,93582,94730,95882,97031,98179,99175,100335,101489
121,6404,7574,8437,8995,9245,9341,9439,9538,5079,5097,5118,5140,5164,5189,5215,5241,5267,5292,5315,5342,5373,5387,4275,5440
122,156250,158178,160148,162154,164215,166310,168459,170650,159585,160267,160741,161557,162178,162781,163362,163922,164464,164994,165510,166008,166487,166637,167122,167591
123,71578,70785,70158,69655,69277,69029,68910,72377,72514,72660,72813,72969,73126,73286,73449,73607,73759,73898,74027,74144,74243,74584,74629,74656
124,274557,275330,276182,277263,278287,278868,279911,280946,281968,284589,285134,286705,287733,288725,289680,290604,291493,292336,293131,293874,294560,301865,302674,303431
125,89016,89228,89211,89258,89356,89503,89703,89972,90343,90739,107818,108419,109011,109590,110153,110694,111220,111724,112207,112665,113094,113570,113949,114299
126,1175601,1169681,1111506,1104209,1096585,1075069,1065841,1056607,1047366,1229953,1228691,1227505,1226382,1225225,1223916,1222363,1220479,1218208,1215527,1212401,1208789,1221047,1405646,1407460
127,115455,115942,116394,116812,117193,117534,117848,118149,118432,104574,104218,103869,103537,103220,102918,102627,102349,102088,101844,101612,101390,101145,100969,100804
129,2787043,2795610,2865969,2911821,2944080,3077727,3127579,3177402,3243952,3293718,3343345,3398589,3447055,3497064,3545976,3593960,3645849,3693073,3740991,3787777,3842216,3876361,4279759,4344472
130,1336544,1607730,1577387,1600347,1623759,1642823,1667228,1692094,1722285,1731520,1832895,1851522,1929824,1955016,1979313,1993935,2017881,2042064,2071956,2095559,2156635,2178993,2203381,2221862
131,2691597,2635080,2723739,2782629,2899534,2946158,2914439,2969211,3027113,3082365,3139915,2970457,3003313,2974608,3003386,3025208,3040859,3069639,3089711,3117628,3086848,3107222,3136155,3290498
132,7553464,6251126,6544419,6630907,6890750,7014594,7126849,7557406,7668444,7439094,7529399,7617840,7705252,7791529,8070702,8155161,8239786,8323097,8405459,8574522,8898837,9128452,8892998,8941835
133,2255460,2236576,2272198,2330517,2471939,2598743,2659267,2718012,2779425,2850130,2911352,2965263,3025435,3080725,3136275,3195007,3248689,3307847,3358422,3344729,3406880,3637882,3683516,3665712
134,4814063,5046951,5128481,5221623,5306818,5402923,5497074,5598298,5659701,5760816,4894836,4915453,4930660,4945411,4958268,4968144,4979332,4991668,5002223,5196646,5251988,5290445,5359782,5387823
135,18606618,18468476,19223477,19271018,19527357,19771117,20023379,20248501,20460538,20693491,20933842,21500054,21747521,21991626,22735773,23113825,23393780,23656219,23837961,24261487,24363860,24659168,24468906,24595464
136,2465830,2113710,2154593,2173032,2133562,1792173,1857325,1895696,1936685,1974457,2033816,2082847,2123805,2172650,2222529,2195408,2239977,2284770,2449748,2437277,2457633,2560106,2598330,2638725
137,4701710,5024193,5087379,5203608,5004632,5062134,5128371,5205471,5269114,5510133,5593703,5802106,5885720,5967256,6050292,6133661,6193563,6274371,6354507,6409030,6474261,6546585,6622288,6946995
138,13981561,13659029,13891452,14170105,13798298,13965319,14458800,14646804,14913558,15099112,15283014,15157799,15317795,15476732,15659801,15820610,16008859,16182351,17243811,17416565,17666978,17834745,17860723,17961927
139,13680276,13815947,14086105,14304079,14531087,14272042,14474447,14596394,14846658,15071326,15299837,15531917,15541936,15770649,15998097,16223371,16982070,17345611,17560990,15693102,15598203,15839671,16230407,16572471
140,814202,785212,820234,827988,835483,842706,849648,809896,855216,825788,827167,869168,807434,811382,815164,780406,783716,786878,760812,763603,745693,748287,728557,727816
141,45205,45661,46011,46345,46662,46962,47246,47511,48668,48856,49035,49267,49483,49709,49947,50196,50456,50730,51018,51319,51628,51943,52269,52600
143,275098,277248,278663,280077,293678,296446,299120,301712,304162,306495,308633,310886,313144,315088,317158,331695,335665,339395,342956,346672,350233,353734,357117,360426
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,56309,56191,56364,56371,56371,56363,54639,56346,57559,57600,57637,57670,57695,57714,57728,57733,57728,57718,57691,57660,57616,57799,57792,57777
146,52,48,47,47,46,45,45,44,48,48,48,48,48,48,48,48,54,54,54,50,50,50,50,50
147,249239,253505,257847,262126,266340,270485,274579,278963,283019,287032,291000,271687,274512,277293,280026,282703,285321,287881,290373,292789,295121,297154,299356,301488
148,6000,6186,6367,6515,7482,7652,7825,10263,10506,10744,9475,9597,9141,9253,9365,9475,9584,9693,10410,10526,10641,10733,10846,10958
149,40,40,6,1,1,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,65440,67084,68687,57843,57903,57880,57794,57663,64827,65628,66433,67242,54947,54719,54517,54342,54195,51504,50826,50135,47392,46366,45443,44620
152,179506,179060,178629,178171,177777,177287,176911,214264,217083,219998,192001,193161,194320,195476,196628,197774,198926,200108,201316,202541,203774,204898,206179,207501
153,20414,20410,20810,20810,21199,21199,21199,21200,12271,11870,11488,11124,10777,10447,10134,9838,9556,9291,9038,8799,8574,8327,8128,7939
154,2106,2124,2134,2145,2156,2166,2166,2188,1444,1398,1354,1311,1269,1229,1190,1190,1190,1626,1618,2000,2000,2000,1700,1700
155,102313,104226,106136,108141,110236,112422,114689,116921,119009,120898,122580,105916,106146,106322,106440,106501,106513,106479,106398,106270,106095,105780,105517,105221
156,1468,1443,1428,1416,1398,1386,1392,1380,1433,1416,1400,1384,1368,1353,1337,1337,1337,1285,1285,1647,1647,1647,1647,1647
157,55,58,60,62,73,75,76,48,45,49,41,40,31,31,31,31,0,31,20,20,20,43,43,44
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,92,84,79,0,0,0,0,0,315,315,315,315,0,0,0,0,0,0,0,0,0,0,0,0
161,15308,15283,15585,15734,15880,16025,16025,16025,15237,15289,15343,15398,15453,15507,15561,15613,15664,15714,15763,15809,15854,15851,15891,15929
162,3634010,3711814,3748335,3796194,3818317,3876852,3915875,3961419,4017351,4057322,4094277,4131459,4167944,4211338,4246865,4284305,4319201,4352789,4389091,4687593,4754334,4817202,4867780,4922990
163,94564480,94521962,97033442,97673309,98462424,98597046,99668872,100041753,100795121,103204523,102817484,103765152,104187414,104809850,105987351,106998225,108195201,109538921,109890163,110024814,110201327,110931439,112168032,112938757
164,205826,213778,215611,216196,222567,228608,235999,243415,247836,253618,256933,263323,265338,271128,273663,277393,282777,286895,306516,311676,321286,325910,331570,329432
166,2652787,2665636,2680030,2695865,2713128,2735521,2758124,2780134,2804332,2825928,2847232,2868380,2889187,2909714,2930050,2950210,2970340,2990561,2812090,2810520,2808570,2816602,2818596,2820982
167,474944,490529,526748,557686,637398,637299,637885,637203,638526,624018,622431,620452,619582,614076,605920,605654,605855,607618,610567,614432,629827,665989,670388,672519
168,375844,389751,398137,408767,407881,406826,418727,422764,433010,437348,439969,498478,504976,509972,514153,519512,525544,530482,536335,540995,545862,550254,565562,571944
169,103845,140739,163914,167893,174690,178678,180519,150332,151297,151860,153349,154212,202122,202434,203755,222058,224703,220098,244757,246109,245910,247043,256876,256607
171,49491207,55691363,58145517,58877071,59849778,60534808,61347808,61983330,64048411,64830957,65602805,68206743,66830678,67396503,67949903,68489013,69019353,69540077,70054315,70803008,72155754,72744662,73383699,73873624
172,14310536,15851068,16484171,15936237,16145605,16296705,16450600,16607465,16681634,16859785,17057749,17233957,17425300,18125713,18303780,18365708,18563960,18788171,18951839,19127652,19296479,19460186,19241294,19411515
173,2342088,2324837,2378124,2431730,2432812,2422489,2433873,2454235,2466065,2478254,2489489,2346640,2376074,2382047,2388685,2394636,2401831,2410466,2437766,2445628,2452063,2461254,2469875,2486875
174,2889096,2960876,2947592,2958712,2970283,2990628,2991614,2995301,2997067,2998120,3005183,3008219,3080038,3082044,3083971,3205828,3218230,3220798,3283874,3293811,3303089,3342067,3366884,3374475
175,5125747,5149941,5164961,5163663,5207806,5226344,5243263,5260030,5276161,5291005,5304261,5319074,5333088,5344979,5356980,5372562,5384759,5400158,5597278,5629090,5656806,5684009,5714116,5740860
176,7817876,8034616,7964159,7969342,7975351,7955483,7956727,7954050,7953582,7952846,7945240,7867393,7893131,7874735,7859974,7840489,7826999,7813268,7800698,7780908,7750285,7723149,8180932,8174086
177,11130608,11177960,11235751,11396449,11461666,11527943,11583451,11577528,11629497,11679106,11762226,11728491,11795850,11875874,11927318,11977098,12025575,12068721,12131928,12160121,12205758,12246903,12387086,12596053
178,3238019,3316333,3353056,3412241,3358079,3358313,3344479,3361978,3361528,3358643,3358774,3356601,3414307,3410447,3407324,3425289,3440867,3435803,3442906,3437242,3430678,3421122,3457758,3605875
179,14929950,15031380,15127334,15240183,15307615,15376662,15523434,15762167,15872703,15962767,16013321,16092038,16484385,16569020,16644789,16744372,16815915,16790882,17084544,17149326,17287390,17352423,17556106,17520103
