report_title,published_date,sw_species,scientific_name,fao_species,fda_species,country,water_body,method,escapes_score,score,rec,species,rgn_id,rgn_name
"Salmon, Atlantic (Norway)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Norway,Area 13: East Finnmark,Marine net pen,4,4.65,Yellow,Atlantic salmon,223,Norway
"Salmon, Atlantic (Scotland)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,United Kingdom,Northeast Atlantic Ocean,Marine net pen,0,1.73,Red,Atlantic salmon,180,United Kingdom
"Salmon, Atlantic (Scotland)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,United Kingdom,Northeast Atlantic Ocean,Marine net pen,0,1.44,Red,Atlantic salmon,180,United Kingdom
"Salmon, Atlantic (Scotland)",12/06/2021,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,United Kingdom,Northeast Atlantic Ocean,Marine net pen,3,3.47,Red,Atlantic salmon,180,United Kingdom
Salmon (Faroes),12/05/2022,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Faroe Islands,Northeast Atlantic Ocean,Marine net pen,5,4.23,Yellow,Atlantic salmon,141,Faeroe Islands
"Trout, rainbow (Chile) - marine net pens",12/05/2022,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,Chile,Southeast Pacific Ocean,Marine net pen,2,3.94,Red,Rainbow trout,224,Chile
Shrimp (Vietnam),01/09/2023,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Vietnam,NA,Intensive pond,4,1.42,Red,Giant tiger prawn,207,Vietnam
Shrimp (Vietnam),01/09/2023,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Vietnam,NA,Paddy (field),4,4.98,Yellow,Giant tiger prawn,207,Vietnam
Shrimp (Vietnam),01/09/2023,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Vietnam,NA,Paddy (field),3,5.53,Yellow,Whiteleg shrimp,207,Vietnam
Tilapia (Colombia),03/06/2023,Hybrid red tilapia,Oreochromis mossambicus x Oreochromis niloticus,Hybrid red tilapia,NA,Colombia,NA,Ponds,5,3.37,Yellow,Hybrid red tilapia,132,Colombia
Tilapia (Colombia),03/06/2023,Nile tilapia,Oreochromis niloticus,Nile tilapia,Nile Tilapia,Colombia,NA,Ponds,5,3.37,Yellow,Nile tilapia,132,Colombia
Cobia (Panama),03/07/2022,Cobia,Rachycentron canadum,Cobia,Cobia,Panama,Western Central Atlantic Ocean,Marine net pen,4,5.29,Yellow,Cobia,129,Panama
"Catfish, channel (China)",01/09/2017,Channel catfish,Ictalurus punctatus,Channel catfish,Channel Catfish,China,NA,Ponds,2,2.43,Red,Channel catfish,209,China
"Trout, rainbow, US (Ponds, Raceways)",02/06/2017,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,United States,NA,Ponds,7,6.72,Green,Rainbow trout,163,United States
"Trout, rainbow, US (Ponds, Raceways)",02/06/2017,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,United States,NA,Outdoor flowthrough raceway,7,6.72,Green,Rainbow trout,163,United States
Shrimp (Indonesia),02/01/2016,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Indonesia,NA,Ponds,4,3.39,Red,Whiteleg shrimp,216,Indonesia
Shrimp (Indonesia),02/01/2016,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Indonesia,NA,Ponds,5,3.12,Red,Giant tiger prawn,216,Indonesia
Shrimp (China),03/01/2016,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,China,NA,Ponds,3,2.57,Red,Whiteleg shrimp,209,China
Shrimp (Honduras),08/31/2015,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Honduras,NA,Ponds,4,4.97,Yellow,Whiteleg shrimp,133,Honduras
"Crayfish, red swamp (China)",09/12/2013,Red swamp crayfish,Procambarus clarkii,Red swamp crawfish,Red Swamp Crayfish,China,NA,Ponds,0,4.48,Red,Red swamp crawfish,209,China
Tilapia (Ecuador),03/11/2013,Nile tilapia,Oreochromis niloticus,Nile tilapia,Nile Tilapia,Ecuador,NA,Ponds,6,6.93,Green,Nile tilapia,137,Ecuador
"Catfish, sutchi/pangasius (Vietnam)",06/07/2021,Sutchi catfish,Pangasianodon hypophthalmus,Striped catfish,Sutchi Catfish,Vietnam,NA,Ponds,5,4.31,Red,Striped catfish,207,Vietnam
Shrimp (Myanmar),04/02/2018,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Myanmar,NA,Ponds,10,7.73,Yellow,Giant tiger prawn,205,Myanmar
Sablefish (British Columbia),06/01/2020,Sablefish,Anoplopoma fimbria,Sablefish,Sablefish,Canada,Northeast Pacific Ocean,Marine net pen,6,6.79,Green,Sablefish,218,Canada
"Catfish, channel (US)",03/07/2022,Channel catfish,Ictalurus punctatus,Channel catfish,Channel Catfish,United States,NA,Ponds,8,7.62,Green,Channel catfish,163,United States
Tilapia (Peru),12/07/2015,Blue tilapia,Oreochromis aureus,Blue tilapia,Blue Tilapia,Peru,NA,Raceways,10,6.9,Green,Blue tilapia,138,Peru
"Tuna, bluefin (Australia)",04/05/2021,Southern bluefin tuna,Thunnus maccoyii,Southern bluefin tuna,Southern Bluefin Tuna,Australia,NA,Marine net pen,10,5.04,Red,Southern bluefin tuna,16,Australia
"Tuna, bluefin (Japan)",04/05/2021,Pacific bluefin tuna,Thunnus orientalis,Pacific bluefin tuna,Pacific Bluefin Tuna,Japan,NA,Marine net pen,10,2.3,Red,Pacific bluefin tuna,210,Japan
"Tuna, bluefin (Mexico)",04/05/2021,Pacific bluefin tuna,Thunnus orientalis,Pacific bluefin tuna,Pacific Bluefin Tuna,Mexico,NA,Marine net pen,10,2.87,Red,Pacific bluefin tuna,135,Mexico
"Clam, Pacific geoduck (Washington and BC)",12/05/2016,Pacific geoduck,Panopea generosa,Pacific geoduck,Pacific Geoduck,United States,Northeast Pacific Ocean,Bottom culture,5,6.29,Yellow,Pacific geoduck,163,United States
"Clam, Pacific geoduck (Washington and BC)",12/05/2016,Pacific geoduck,Panopea generosa,Pacific geoduck,Pacific Geoduck,Canada,Northeast Pacific Ocean,Bottom culture,5,6.34,Yellow,Pacific geoduck,218,Canada
Yellowtail (Japan),06/07/2021,Greater amberjack,Seriola dumerili,Greater amberjack,Greater Amberjack,Japan,Northwest Pacific Ocean,Marine net pen,10,1.12,Red,Greater amberjack,210,Japan
Yellowtail (Japan),06/07/2021,Buri amberjack,Seriola quinqueradiata,Japanese amberjack,Buri,Japan,Northwest Pacific Ocean,Marine net pen,10,1.12,Red,Japanese amberjack,210,Japan
Yellowtail (Japan),06/07/2021,Yellowtail amberjack,Seriola lalandi,Yellowtail amberjack,Yellowtail,Japan,Northwest Pacific Ocean,Marine net pen,10,1.12,Red,Yellowtail amberjack,210,Japan
"Char, Arctic (US, Canada, Iceland)",01/12/2015,Arctic char,Salvelinus alpinus,Arctic char,Arctic Char,United States,NA,Raceways,6,6.72,Green,Arctic char,163,United States
"Char, Arctic (US, Canada, Iceland)",01/12/2015,Arctic char,Salvelinus alpinus,Arctic char,Arctic Char,Canada,NA,Raceways,6,6.72,Green,Arctic char,218,Canada
"Char, Arctic (US, Canada, Iceland)",01/12/2015,Arctic char,Salvelinus alpinus,Arctic char,Arctic Char,Iceland,NA,Raceways,5,6.78,Green,Arctic char,143,Iceland
Tilapia (China),12/03/2018,Mozambique tilapia,Oreochromis mossambicus,Mozambique tilapia,Mozambique Tilapia,China,NA,Ponds,0,1.96,Red,Mozambique tilapia,209,China
Tilapia (China),12/03/2018,Nile tilapia,Oreochromis niloticus,Nile tilapia,Nile Tilapia,China,NA,Ponds,0,1.96,Red,Nile tilapia,209,China
Tilapia (China),12/03/2018,Hybrid tilapia,Oreochromis niloticus x Oreochromis aureus,NA,NA,China,NA,Ponds,0,1.96,Red,Hybrid tilapia,209,China
Shrimp (Nicaragua),12/03/2018,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Nicaragua,NA,Ponds,3,2.19,Red,Whiteleg shrimp,131,Nicaragua
"Trout, rainbow (Canada)",01/14/2019,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,Canada,NA,Raceways,6,6.3,Yellow,Rainbow trout,218,Canada
"Trout, rainbow (Canada)",01/14/2019,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,Canada,NA,Tanks,6,6.3,Yellow,Rainbow trout,218,Canada
"Trout, rainbow (Columbia)",01/14/2019,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,Colombia,NA,Outdoor flowthrough raceway,7,4.62,Red,Rainbow trout,132,Colombia
"Salmon, Chinook (New Zealand)",01/13/2020,Chinook salmon,Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,Chinook Salmon,New Zealand,Southwest Pacific Ocean,Marine net pen,10,6.78,Green,Chinook(=Spring=King) salmon,162,New Zealand
Amberjack (Hawaii),01/13/2020,Almaco jack,Seriola rivoliana,Longfin yellowtail,Almaco Jack,United States,Eastern Central Pacific Ocean,Marine net pen,6,6.78,Yellow,Longfin yellowtail,163,United States
"Salmon, Chinook (British Columbia)",06/03/2019,Chinook salmon,Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,Chinook Salmon,Canada,Northeast Pacific Ocean,Marine net pen,7,6.52,Yellow,Chinook(=Spring=King) salmon,218,Canada
"Bass, striped (Mexico)",01/13/2020,Striped bass,Morone saxatilis,Striped bass,Striped Bass,Mexico,Eastern Central Pacific Ocean,Marine net pen,5,6.11,Yellow,Striped bass,135,Mexico
Tilapia (Ecuador),03/11/2013,Hybrid red tilapia,Oreochromis mossambicus x Oreochromis niloticus,Hybrid red tilapia,NA,Ecuador,NA,Ponds,6,6.93,Green,Hybrid red tilapia,137,Ecuador
Tilapia (Taiwan),02/06/2016,Mozambique tilapia,Oreochromis mossambicus,Mozambique tilapia,Mozambique Tilapia,Taiwan,NA,Ponds,4,4.12,Yellow,Mozambique tilapia,14,Taiwan
Tilapia (Taiwan),02/06/2016,Hybrid red tilapia,Oreochromis mossambicus x Oreochromis niloticus,Hybrid red tilapia,NA,Taiwan,NA,Ponds,4,4.12,Yellow,Hybrid red tilapia,14,Taiwan
Tilapia (Taiwan),02/06/2016,Nile tilapia,Oreochromis niloticus,Nile tilapia,Nile Tilapia,Taiwan,NA,Ponds,4,4.12,Yellow,Nile tilapia,14,Taiwan
Tilapia (Taiwan),02/06/2016,Blue tilapia,Oreochromis aureus,Blue tilapia,Blue Tilapia,Taiwan,NA,Ponds,4,4.12,Yellow,Blue tilapia,14,Taiwan
Tilapia (Taiwan),02/06/2016,Wami tilapia,Oreochromis urolepis,Wami tilapia,NA,Taiwan,NA,Ponds,4,4.12,Yellow,Wami tilapia,14,Taiwan
Tilapia (Taiwan),02/06/2016,Sabaki tilapia,Oreochromis spilurus,Sabaki tilapia,NA,Taiwan,NA,Ponds,4,4.12,Yellow,Sabaki tilapia,14,Taiwan
"Bass, hybrid striped (United States)",01/13/2020,Sunshine bass,Morone chrysops x M. saxatilis,"Striped bass, hybrid",Sunshine Bass,United States,NA,Tanks,8,7.17,Green,"Striped bass, hybrid",163,United States
"Bass, hybrid striped (United States)",01/13/2020,Sunshine bass,Morone chrysops x M. saxatilis,"Striped bass, hybrid",Sunshine Bass,United States,NA,Ponds,8,6.9,Green,"Striped bass, hybrid",163,United States
Amberjack (Mexico),01/13/2020,Almaco jack,Seriola rivoliana,Longfin yellowtail,Almaco Jack,Mexico,Eastern Central Pacific Ocean,Marine net pen,7,5.73,Yellow,Longfin yellowtail,135,Mexico
Amberjack (Mexico),01/13/2020,Yellowtail amberjack,Seriola lalandi,Yellowtail amberjack,Yellowtail,Mexico,Eastern Central Pacific Ocean,Marine net pen,7,5.73,Yellow,Yellowtail amberjack,135,Mexico
Sturgeon (US),03/02/2020,White sturgeon,Acipenser transmontanus,White sturgeon,White Sturgeon,United States,NA,Tanks,10,7.49,Green,White sturgeon,163,United States
Sturgeon (US),03/02/2020,White sturgeon,Acipenser transmontanus,White sturgeon,White Sturgeon,United States,NA,Outdoor flowthrough raceway,10,7.49,Green,White sturgeon,163,United States
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Turkey,NA,Marine net pen,2,4.11,Red,Gilthead seabream,76,Turkey
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Turkey,NA,Marine net pen,2,4.13,Red,European seabass,76,Turkey
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Turkey,NA,Marine net pen,2,3.97,Red,Meagre,76,Turkey
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Egypt,NA,Semi-intensive pond,5,0.51,Red,Meagre,214,Egypt
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Egypt,NA,Semi-extensive pond,5,0,Red,Meagre,214,Egypt
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Egypt,NA,Semi-intensive pond,5,0.64,Red,Gilthead seabream,214,Egypt
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Egypt,NA,Semi-intensive pond,5,0.67,Red,European seabass,214,Egypt
Shrimp (Thailand),07/06/2020,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Thailand,NA,Intensive pond,4,3.46,Yellow,Whiteleg shrimp,25,Thailand
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic sturgeon,Acipenser oxyrinchus,Atlantic sturgeon,Atlantic Sturgeon,United States,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Atlantic sturgeon,163,United States
All species (Global Recirculating Aquaculture Systems),03/02/2020,Siberian sturgeon,Acipenser baerii,Siberian sturgeon,Siberian Sturgeon,United States,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Siberian sturgeon,163,United States
All species (Global Recirculating Aquaculture Systems),03/02/2020,Stellate sturgeon,Acipenser stellatus,Starry sturgeon,Stellate Sturgeon,United States,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Starry sturgeon,163,United States
Shrimp (United States),09/06/2022,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,United States,NA,Ponds,5,7.01,Green,Whiteleg shrimp,163,United States
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Croatia,NA,Marine net pen,2,4.45,Red,European seabass,187,Croatia
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Cyprus,NA,Marine net pen,2,4.45,Red,European seabass,81,Cyprus
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,France,NA,Marine net pen,2,4.45,Red,European seabass,179,France
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Greece,NA,Marine net pen,2,4.45,Red,European seabass,80,Greece
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Italy,NA,Marine net pen,2,4.45,Red,European seabass,184,Italy
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Malta,NA,Marine net pen,2,4.45,Red,European seabass,68,Malta
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Portugal,NA,Marine net pen,2,4.45,Red,European seabass,183,Portugal
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Slovenia,NA,Marine net pen,2,4.45,Red,European seabass,188,Slovenia
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Spain,NA,Marine net pen,2,4.45,Red,European seabass,182,Spain
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Croatia,NA,Marine net pen,2,4.42,Red,Gilthead seabream,187,Croatia
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Cyprus,NA,Marine net pen,2,4.42,Red,Gilthead seabream,81,Cyprus
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,France,NA,Marine net pen,2,4.42,Red,Gilthead seabream,179,France
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Greece,NA,Marine net pen,2,4.42,Red,Gilthead seabream,80,Greece
