iucn_sid,kingdom,phylum,class,order,family,genus,sciname,population,category
43160,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Clibadium,Clibadium zakii,NA,VU
43161,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Crepis,Crepis sodiroi,NA,DD
43162,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Critonia,Critonia eggersii,NA,VU
43163,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Critoniopsis,Critoniopsis cotopaxensis,NA,VU
43164,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Critoniopsis,Critoniopsis dorrii,NA,EN
43165,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Critoniopsis,Critoniopsis harlingii,NA,VU
43166,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Critoniopsis,Critoniopsis jaramilloi,NA,VU
43167,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Critoniopsis,Critoniopsis palaciosii,NA,VU
43168,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Critoniopsis,Critoniopsis tungurahuae,NA,NT
43169,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia pectennervia,NA,VU
43170,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia secunda,NA,VU
43171,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia serotina,NA,EN
43172,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia sodiroi,NA,NT
43173,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia sparreana,NA,VU
43174,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia tetrandra,NA,VU
43175,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia triramosa,NA,EN
43176,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia tropaeolifolia,NA,EN
43177,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia truncicola,NA,VU
43178,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia valvata,NA,EN
43179,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia xerophyta,NA,VU
43180,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,Begonia ynesiae,NA,VU
43181,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis chillacochensis,NA,DD
43182,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis farinosa,NA,DD
43183,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis hirtellipes,NA,DD
43184,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis hyperythra,NA,DD
43185,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis jamesonii,NA,LC
43186,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis laidivo,NA,DD
43187,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis lechleriana,NA,DD
43188,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis minzaensis,NA,NT
43189,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis papillosa,NA,DD
43190,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis pavoniana,NA,DD
43191,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis pectinata,NA,DD
43192,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis pindilicensis,NA,VU
43193,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis reicheana,NA,DD
43194,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis saxorum,NA,DD
43195,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis schwerinii,NA,DD
43196,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberis,Berberis simonsii,NA,DD
43197,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Matisia alata,NA,EN
43198,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Matisia coloradorum,NA,EN
43199,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Matisia grandifolia,NA,EN
43200,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Matisia palenquiana,NA,EN
43201,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pseudobombax,Pseudobombax guayasense,NA,DD
43202,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pseudobombax,Pseudobombax millei,NA,DD
43203,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BORAGINACEAE,Amsinckia,Amsinckia marginata,NA,CR
43204,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BORAGINACEAE,Cordia,Cordia rosei,NA,EN
43205,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BORAGINACEAE,Heliotropium,Heliotropium argenteum,NA,VU
43206,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BORAGINACEAE,Tournefortia,Tournefortia obtusiflora,NA,CR
43207,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Draba,Draba hookeri,NA,NT
43208,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Draba,Draba obovata,NA,NT
43209,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Draba,Draba splendens,NA,VU
43210,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Draba,Draba spruceana,NA,VU
43211,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Draba,Draba steyermarkii,NA,VU
43212,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Draba,Draba stylosa,NA,VU
43213,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Draba,Draba violacea,NA,CR
43214,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Eudema,Eudema nubigena,NA,EN
43215,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Lepidium,Lepidium ecuadoriense,NA,VU
43216,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Lepidium,Lepidium quitense,NA,VU
43217,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea abbreviata,NA,LC
43218,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea aculeatosepala,NA,VU
43219,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea biflora,NA,VU
43220,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea geminiflora,NA,DD
43221,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea kentii,NA,EN
43222,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea lugoi,NA,VU
43223,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea manzanaresiana,NA,EN
43224,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea napoensis,NA,NT
43225,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea patriciae,NA,VU
43226,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea roeseliae,NA,VU
43227,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea tayoensis,NA,EN
43228,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Aechmea,Aechmea wuelfinghoffii,NA,VU
43229,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Greigia,Greigia atrobrunnea,NA,VU
43230,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Greigia,Greigia sodiroana,NA,NT
43231,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania aequatorialis,NA,VU
43232,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania albescens,NA,EN
43233,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania alborosea,NA,VU
43234,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania alcantareoides,NA,EN
43235,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania andreettae,NA,VU
43236,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania asplundii,NA,LC
43237,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania atrocastanea,NA,VU
43238,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania barbiei,NA,DD
43239,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania bergii,NA,VU
43240,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania condorensis,NA,EN
43241,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania corniculata,NA,VU
43242,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania dalstroemii,NA,VU
43243,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania ecuadorensis,NA,EN
43244,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania foetida,NA,NT
43245,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania fosteriana,NA,NT
43246,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania fuerstenbergiana,NA,EN
43247,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania fuquae,NA,EN
43248,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania fusispica,NA,VU
43249,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania harlingii,NA,VU
43250,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania henniae,NA,EN
43251,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania hirtzii,NA,VU
43252,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania hollinensis,NA,VU
43253,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania inexpectata,NA,VU
43254,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania izkoi,NA,VU
43255,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania jaramilloi,NA,LC
43256,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania kentii,NA,VU
43257,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania lepidota,NA,CR
43258,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania madisonii,NA,VU
43259,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania osyana,NA,EN
43260,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania poortmanii,NA,CR
43261,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania pseudospectabilis,NA,VU
43262,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania puyoensis,NA,VU
43263,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania remyi,NA,LC
43264,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania roseiflora,NA,EN
43265,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania rubrolutea,NA,EN
43266,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania septata,NA,NT
43267,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania sieffiana,NA,VU
43268,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania striata,NA,CR
43269,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania teuscheri,NA,NT
43270,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania xanthobractea,NA,NT
43271,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Guzmania,Guzmania zakii,NA,VU
43272,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Mezobromelia,Mezobromelia brownii,NA,VU
43273,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Mezobromelia,Mezobromelia fulgens,NA,EN
43274,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pepinia,Pepinia alexanderi,NA,EN
43275,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pepinia,Pepinia carnososepala,NA,VU
43276,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pepinia,Pepinia fulgens,NA,VU
43277,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pepinia,Pepinia harlingii,NA,VU
43278,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pepinia,Pepinia hooveri,NA,EN
43279,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pepinia,Pepinia verrucosa,NA,VU
43280,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia aequatorialis,NA,EN
43281,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia alata,NA,EN
43282,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia andreetae,NA,VU
43283,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia bergii,NA,EN
43284,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia caduciflora,NA,EN
43285,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia clarkii,NA,EN
43286,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia cosangaensis,NA,NT
43287,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia devansayana,NA,VU
43288,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia dodsonii,NA,NT
43289,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia elliptica,NA,CR
43290,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia ferrell-ingramiae,NA,VU
43291,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia fusca,NA,LC
43292,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia hirtzii,NA,VU
43293,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia lutescens,NA,EN
43294,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia oblongifolia,NA,EN
43295,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia pavonii,NA,NT
43296,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia prolifera,NA,VU
43297,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia reflexiflora,NA,EN
43298,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia simulans,NA,NT
43299,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia sodiroi,NA,NT
43300,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia stevensonii,NA,VU
43301,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia unilateralis,NA,VU
43302,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Pitcairnia,Pitcairnia violascens,NA,VU
43303,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya aequatorialis,NA,LC
43304,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya angelensis,NA,EN
43305,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya compacta,NA,CR
43306,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya eryngioides,NA,LC
43307,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya exigua,NA,CR
43308,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya glomerifera,NA,LC
43309,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya maculata,NA,LC
43310,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya nutans,NA,NT
43311,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya obconica,NA,VU
43312,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya parviflora,NA,EN
43313,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya pichinchae,NA,VU
43314,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya pygmaea,NA,VU
43315,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya retrorsa,NA,LC
43316,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya roseana,NA,EN
43317,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Puya,Puya sodiroana,NA,VU
43318,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea blassii,NA,VU
43319,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea euryelytra,NA,VU
43320,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea hauggiae,NA,VU
43321,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea inconspicua,NA,EN
43322,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea pseudotetrantha,NA,NT
43323,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea quadripinnata,NA,NT
43324,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea sinuosa,NA,NT
43325,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea tandapiana,NA,VU
43326,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Racinaea,Racinaea tripinnata,NA,EN
43327,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Ronnbergia,Ronnbergia campanulata,NA,EN
43328,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia acosta-solisii,NA,EN
43329,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia aequatorialis,NA,VU
43330,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia brenneri,NA,VU
43331,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia cernua,NA,EN
43332,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia cucullata,NA,VU
43333,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia cyanea,NA,NT
43334,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia demissa,NA,EN
43335,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia dyeriana,NA,CR
43336,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia emergens,NA,VU
43337,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia hirtzii,NA,VU
43338,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia indigofera,NA,EN
43339,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia marnieri-lapostollei,NA,VU
43340,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia nervisepala,NA,EN
43341,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia pachyaxon,NA,EN
43342,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia polyantha,NA,EN
43343,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia portillae,NA,EN
43344,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia pretiosa,NA,VU
43345,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia raackii,NA,VU
43346,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia rhodosticta,NA,VU
43347,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia rubroviolacea,NA,EN
43348,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia sceptriformis,NA,NT
43349,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia sodiroi,NA,VU
43350,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia spathacea,NA,NT
43351,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia umbellata,NA,EN
43352,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Tillandsia,Tillandsia zarumensis,NA,EN
43353,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Vriesea,Vriesea andreettae,NA,VU
43354,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Vriesea,Vriesea appendiculata,NA,EN
43355,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Vriesea,Vriesea arpocalyx,NA,NT
