iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
6909,global,"2008, 2006, 2015, 2019","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,0
7135,global,"2012, 1996, 2010, 2017, 2019","LC, NT, LC, LC, LC","0, 0.2, 0, 0, 0",unknown,-0.00906
7750,global,"2011, 2008, 2000, 2015, 2021","EN, EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0
7859,global,"2004, 2018","EN, VU","0.6, 0.4",decreasing,-0.01429
7860,global,"2006, 2018","CR, NT","0.8, 0.2",unknown,-0.05
7861,global,"2008, 2007, 2018","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
7862,global,"2003, 2018","EN, CR","0.6, 0.8",decreasing,0.01333
8005,global,"2008, 1996","CR, CR","0.8, 0.8",decreasing,-0
8010,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",unknown,-0
8097,global,"1996, 2008, 2018","VU, LC, LC","0.4, 0, 0",stable,-0.01868
8153,global,"2008, 1996, 2013, 2018","LC, VU, LC, LC","0, 0.4, 0, 0",unknown,-0.01912
8239,global,"2008, 1996, 2012, 2016","EN, EN, NT, NT","0.6, 0.6, 0.2, 0.2",increasing,-0.02143
8813,global,"2014, 1996","EN, VU","0.6, 0.4",decreasing,0.01111
8817,global,"2014, 1996","VU, VU","0.4, 0.4",decreasing,-0
9249,global,"1996, 2018","VU, LC","0.4, 0",unknown,-0.01818
9250,global,"1996, 2018","LC, LC","0, 0",unknown,0
9266,global,"2012, 1996, 2017","LC, NT, LC","0, 0.2, 0",stable,-0.01025
9461,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
9660,europe,"2007, 2025","LC, LC","0, 0",increasing,0
9660,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",increasing,-0
10030,global,"2020, 2000, 2009","NT, NT, NT","0.2, 0.2, 0.2",decreasing,0
10056,global,"2012, 2000, 2017","EN, EN, EN","0.6, 0.6, 0.6",decreasing,0
10066,global,"2003, 2017","VU, VU","0.4, 0.4",decreasing,0
10070,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
10072,global,"2012, 2003, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,0
10075,global,"2003, 2014","VU, VU","0.4, 0.4",decreasing,0
10083,global,"2010, 2017","LC, LC","0, 0",unknown,0
10087,global,"2003, 2015","VU, VU","0.4, 0.4",decreasing,0
10097,global,"1996, 2022","EN, NT","0.6, 0.2",decreasing,-0.01538
10103,global,"2006, 2008, 2017","VU, VU, VU","0.4, 0.4, 0.4",stable,-0
10105,global,"1996, 2024","VU, VU","0.4, 0.4",decreasing,0
10106,global,"1996, 2024","VU, VU","0.4, 0.4",decreasing,0
10268,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
10269,europe,"2010, 2024","CR, CR","0.8, 0.8",decreasing,0
10269,global,"2010, 1996, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00787
10340,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",unknown,0
10707,global,"1996, 2021","VU, NT","0.4, 0.2",unknown,-0.008
10708,global,"2008, 1996, 2020","LC, VU, LC","0, 0.4, 0",unknown,-0.01667
10724,global,"1996, 2015","VU, LC","0.4, 0",unknown,-0.02105
11047,global,"1996, 2020","LC, LC","0, 0",unknown,0
11048,global,"1996, 2020","LC, LC","0, 0",unknown,0
11060,global,"2012, 2019","LC, LC","0, 0",stable,0
11130,global,"1996, 2010","VU, VU","0.4, 0.4",decreasing,0
11140,global,"2008, 2012, 2018","LC, LC, LC","0, 0, 0",unknown,-0
11141,europe,"2007, 2023","LC, LC","0, 0",stable,0
11141,global,"1996, 2008, 2019","LC, LC, LC","0, 0, 0",unknown,-0
11142,europe,"2007, 2023","LC, LC","0, 0",stable,0
11142,global,"1996, 2008, 2012, 2018","LC, LC, LC, LC","0, 0, 0, 0",unknown,-0
11144,global,"2008, 1996, 2018","LC, LC, LC","0, 0, 0",unknown,0
11145,global,"2008, 1996, 2012, 2018","LC, LC, LC, LC","0, 0, 0, 0",unknown,0
11200,global,"2019, 2006","VU, VU","0.4, 0.4",decreasing,-0
11206,europe,"2011, 2024","LC, NT","0, 0.2",decreasing,0.01538
11206,global,"1996, 2024","NT, NT","0.2, 0.2",decreasing,0
11533,global,"1996, 2019","CR, CR","0.8, 0.8",unknown,0
11534,global,"2008, 1996","VU, EN","0.4, 0.6",decreasing,-0.01667
11696,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",unknown,0
11987,global,"1996, 2016","NT, VU","0.2, 0.4",decreasing,0.01
12125,global,"2008, 1996, 2012, 2018","LC, LC, LC, LC","0, 0, 0, 0",unknown,0
12137,global,"2014, 1996","EN, VU","0.6, 0.4",decreasing,0.01111
12246,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",unknown,0
12302,global,"2008, 2004, 2015, 2021","LC, LC, LC, LC","0, 0, 0, 0",stable,0
12303,global,"2008, 2004, 2015, 2021, 2022","EN, EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0
12305,global,"2015, 2021","EN, EN","0.6, 0.6",decreasing,0
12399,global,"2015, 2021","CR, CR","0.8, 0.8",unknown,0
12416,global,"2016, 1996","NT, VU","0.2, 0.4",decreasing,-0.01
12417,global,"2016, 1996","VU, VU","0.4, 0.4",decreasing,-0
12419,europe,"2007, 2025","NT, NT","0.2, 0.2",increasing,0
12419,global,"2008, 2004, 2015, 2021, 2022","NT, NT, NT, NT, NT","0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0
12421,global,"2008, 2015, 2021","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
12427,global,"2008, 2004, 2015, 2021","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,0
13006,europe,"2007, 2023","LC, LC","0, 0",increasing,0
13006,global,"1996, 2008, 2018","VU, LC, LC","0.4, 0, 0",increasing,-0.01868
13232,europe,"2010, 2024","LC, LC","0, 0",unknown,0
13232,global,"2008, 2024","LC, LC","0, 0",stable,0
13250,global,"2020, 2022","LC, LC","0, 0",unknown,0
13581,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",increasing,0
13583,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",stable,0
13653,europe,"2007, 2023","CR, VU","0.8, 0.4",increasing,-0.025
13653,global,"2008, 1996, 2013, 2015, 2023","CR, CR, CR, EN, VU","0.8, 0.8, 0.8, 0.6, 0.4",increasing,-0.01407
13654,global,"2008, 1996, 2015","CR, EN, EN","0.8, 0.6, 0.6",decreasing,0.00181
13704,global,"2008, 2012, 2017","NT, NT, LC","0.2, 0.2, 0",unknown,-0.02295
14049,global,"2008, 2007, 2018","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
14050,global,"2008, 1996, 2018","LC, VU, VU","0, 0.4, 0.4",decreasing,-0.0011
14051,global,"2008, 2007, 2015, 2018, 2023","VU, VU, VU, VU, EN","0.4, 0.4, 0.4, 0.4, 0.6",decreasing,0.00963
14052,global,"2008, 1996","NT, VU","0.2, 0.4",unknown,-0.01667
14053,global,"2008, 2007, 2018","VU, VU, LC","0.4, 0.4, 0",decreasing,-0.03784
14054,global,"2008, 2018","LC, LC","0, 0",unknown,0
14214,global,"2013, 2018, 2024","LC, LC, LC","0, 0, 0",decreasing,-0
14521,europe,"2010, 2024","LC, LC","0, 0",unknown,0
14524,europe,"2010, 2024","LC, LC","0, 0",unknown,0
14549,global,"2008, 1996, 2015","EN, LC, EN","0.6, 0, 0.6",decreasing,0.03357
14562,global,"1996, 2019, 2018","VU, EN, VU","0.4, 0.6, 0.4",decreasing,0.00473
14627,pan-africa,"2010, 2020","LC, LC","0, 0",unknown,0
15106,global,"1996, 2016","LC, VU","0, 0.4",unknown,0.02
15184,global,"2010, 2023","VU, EN","0.4, 0.6",decreasing,0.01538
15239,global,"1996, 2010, 2025","NT, LC, LC","0.2, 0, 0",unknown,-0.00681
15269,global,"2008, 1996, 2015","LC, LC, LC","0, 0, 0",unknown,0
15419,global,"2008, 2017","VU, EN","0.4, 0.6",decreasing,0.02222
15631,europe,"2011, 2024","LC, LC","0, 0",unknown,0
15873,global,"2014, 1996","LC, EN","0, 0.6",unknown,-0.03333
16011,global,"1996, 2024, 2023","NT, LC, NT","0.2, 0, 0.2",unknown,-0.00383
16012,global,"2017, 1996","LC, NT","0, 0.2",unknown,-0.00952
16564,global,"1996, 2008, 2019","LC, LC, LC","0, 0, 0",unknown,-0
16781,europe,"2010, 2024","LC, LC","0, 0",unknown,0
16781,global,"1996, 2013, 2024","LC, LC, LC","0, 0, 0",decreasing,-0
17013,europe,"2007, 2025","LC, LC","0, 0",unknown,0
17013,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",unknown,-0
17023,global,"1996, 2016","LC, LC","0, 0",unknown,0
17026,global,"2015, 2008, 1996","EN, VU, VU","0.6, 0.4, 0.4",decreasing,0.00939
17027,europe,"2007, 2023","VU, LC","0.4, 0",stable,-0.025
17027,global,"1996, 2008, 2020, 2023","VU, LC, LC, LC","0.4, 0, 0, 0",unknown,-0.01379
17028,global,"2008, 2007, 2017, 2022","CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8",decreasing,0
17032,global,"2008, 1996, 2012, 2018","LC, VU, LC, LC","0, 0.4, 0, 0",unknown,-0.01931
17096,global,"2006, 2017","NT, LC","0.2, 0",decreasing,-0.01818
17177,global,"2006, 2017, 2025","NT, LC, VU","0.2, 0, 0.4",decreasing,0.00879
17710,global,"1996, 2022","VU, VU","0.4, 0.4",decreasing,0
17977,global,"1996, 2015","VU, LC","0.4, 0",unknown,-0.02105
17978,global,"2008, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
18145,global,"1996, 2010, 2025","NT, LC, LC","0.2, 0, 0",unknown,-0.00681
18175,global,"2006, 2013, 2022","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
18374,global,"1996, 2015","VU, LC","0.4, 0",unknown,-0.02105
18383,global,"2009, 1996, 2019","NT, VU, VU","0.2, 0.4, 0.4",decreasing,-7.5e-4
18384,global,"1996, 2014","EX, EX","1, 1",unknown,0
18510,global,"1996, 2022","VU, LC","0.4, 0",unknown,-0.01538
18596,global,"1996, 2018","LC, NT","0, 0.2",unknown,0.00909
18877,europe,"2010, 2024","LC, LC","0, 0",unknown,0
19387,global,"2007, 2016","LC, LC","0, 0",unknown,0
19387,pan-africa,"2007, 2016","LC, LC","0, 0",unknown,0
19388,global,"2012, 1996, 2019","LC, NT, LC","0, 0.2, 0",stable,-0.00935
19488,global,"2016, 2000, 2005","EN, VU, VU","0.6, 0.4, 0.4",decreasing,0.01343
19735,global,"2014, 2019","LC, LC","0, 0",unknown,0
19855,europe,"2014, 2024","VU, VU","0.4, 0.4",decreasing,0
19855,global,"1996, 2023","LC, NT","0, 0.2",decreasing,0.00741
19861,europe,"2008, 2011, 2024","LC, LC, LC","0, 0, 0",stable,0
19861,global,"2008, 1996, 2024","LC, LC, LC","0, 0, 0",stable,0
19896,global,"1996, 2015, 2020","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
19897,global,"1996, 2015","VU, VU","0.4, 0.4",unknown,0
19898,global,"2015, 1996","EN, VU","0.6, 0.4",unknown,0.01053
19899,global,"1996, 2015","VU, EN","0.4, 0.6",unknown,0.01053
19950,global,"1996, 2012","VU, NT","0.4, 0.2",decreasing,-0.0125
20047,global,"1996, 2011, 2024","EN, VU, NT","0.6, 0.4, 0.2",decreasing,-0.01426
20317,global,"1996, 2017","VU, LC","0.4, 0",unknown,-0.01905
20425,global,"2008, 2012, 2017","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.0459
20724,global,"2015, 1996","LC, VU","0, 0.4",unknown,-0.02105
20729,global,"2008, 1996, 2012, 2018","LC, VU, LC, LC","0, 0.4, 0, 0",unknown,-0.01931
20731,global,"1996, 2008, 2019","VU, LC, LC","0.4, 0, 0",unknown,-0.01763
20733,global,"1996, 2018","VU, LC","0.4, 0",unknown,-0.01818
20738,global,"2008, 2012, 2019","LC, LC, LC","0, 0, 0",unknown,-0
20745,europe,"2008, 2024","EX, NT","1, 0.2",unknown,-0.05
21257,europe,"2010, 2024","LC, LC","0, 0",unknown,0
21257,global,"2008, 2016, 2024","LC, LC, LC","0, 0, 0",unknown,-0
21856,global,"2011, 2021","NT, LC","0.2, 0",decreasing,-0.02
21857,global,"1996, 2011, 2021","LC, NT, LC","0, 0.2, 0",decreasing,0.00105
21858,global,"1996, 2011, 2021","CR, CR, EN","0.8, 0.8, 0.6",increasing,-0.00737
21859,global,"1996, 2011, 2021","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
21860,global,"2011, 2021","EN, LC","0.6, 0",unknown,-0.06
22003,global,"2021, 1996, 2010","VU, CR, CR","0.4, 0.8, 0.8",decreasing,-0.01529
22102,global,"2008, 2007","VU, VU","0.4, 0.4",decreasing,-0
22103,global,"2008, 2007, 2024","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
22104,global,"2008, 2006, 2015","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
22135,global,"1996, 2024","LC, LC","0, 0",unknown,0
22136,global,"1996, 2024","VU, EN","0.4, 0.6",decreasing,0.00714
22137,global,"1996, 2024","VU, CR","0.4, 0.8",decreasing,0.01429
22138,global,"1996, 2024","VU, LC","0.4, 0",stable,-0.01429
22140,global,"1996, 2024","VU, LC","0.4, 0",stable,-0.01429
22141,global,"1996, 2024","VU, EN","0.4, 0.6",decreasing,0.00714
22563,global,"2008, 2012, 2019","LC, LC, LC","0, 0, 0",unknown,-0
22823,europe,"2007, 2025","VU, VU","0.4, 0.4",stable,0
22823,global,"2006, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
23148,global,"2011, 2022","LC, NT","0, 0.2",decreasing,0.01818
23211,global,"2008, 2020","LC, LC","0, 0",unknown,0
23259,europe,"2014, 2025","LC, LC","0, 0",unknown,0
23259,global,"2014, 2025","LC, LC","0, 0",unknown,0
39302,global,"1996, 2022","VU, LC","0.4, 0",unknown,-0.01538
39303,global,"2008, 1996","NT, VU","0.2, 0.4",decreasing,-0.01667
39327,global,"2003, 2016, 2020, 2021","LC, LC, LC, LC","0, 0, 0, 0",stable,-0
39328,global,"2005, 2000, 2016, 2020","NT, NT, NT, NT","0.2, 0.2, 0.2, 0.2",decreasing,0
39329,global,"2006, 2019","EN, CR","0.6, 0.8",decreasing,0.01538
39331,global,"2019, 2007","CR, EN","0.8, 0.6",decreasing,0.01667
39332,europe,"2015, 2019","CR, CR","0.8, 0.8",decreasing,0
39332,global,"2006, 2015, 2019","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
39334,global,"2005, 2000, 2015","LC, LC, LC","0, 0, 0",stable,0
39335,global,"2009, 2000, 2015","VU, VU, VU","0.4, 0.4, 0.4",decreasing,0
39337,global,"2019, 2009, 2000","LC, NT, NT","0, 0.2, 0.2",increasing,-0.0107
39338,global,"2015, 2019","LC, LC","0, 0",unknown,0
39339,global,"2019, 2009, 2022","VU, VU, VU","0.4, 0.4, 0.4",decreasing,0
39341,global,"2019, 2009, 2000","EN, VU, NT","0.6, 0.4, 0.2",decreasing,0.02103
39342,global,"2009, 2019","LC, LC","0, 0",stable,0
39345,global,"2009, 2000, 2020","NT, NT, EN","0.2, 0.2, 0.6",decreasing,0.0206
39346,global,"2009, 2000, 2020","VU, NT, VU","0.4, 0.2, 0.4",decreasing,0.00963
39348,global,"2009, 2000, 2020","NT, NT, LC","0.2, 0.2, 0",increasing,-0.0103
39349,global,"2004, 2020","NT, NT","0.2, 0.2",decreasing,0
39350,global,"2009, 2000, 2021","NT, NT, VU","0.2, 0.2, 0.4",decreasing,0.00991
39351,global,"2003, 2016","LC, LC","0, 0",increasing,0
39352,global,"2020, 2006","CR, VU","0.8, 0.4",decreasing,0.02857
39353,global,"2006, 2000, 2021","EN, EN, CR","0.6, 0.6, 0.8",decreasing,0.01026
39354,global,"2005, 2000, 2016","NT, NT, LC","0.2, 0.2, 0",unknown,-0.01343
39355,global,"2003, 2016","LC, LC","0, 0",stable,0
39356,global,"2003, 2018","LC, LC","0, 0",stable,0
39357,global,"2009, 2000, 2021","LC, LC, NT","0, 0, 0.2",decreasing,0.00991
39358,global,"2009, 2000, 2021","VU, LC, EN","0.4, 0, 0.6",decreasing,0.02793
39359,global,"2021, 2009, 2000","NT, NT, NT","0.2, 0.2, 0.2",decreasing,0
39360,global,"2009, 2000, 2019","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
39361,global,"2009, 2000, 2021","EN, VU, EN","0.6, 0.4, 0.6",decreasing,0.00901
39362,global,"2009, 2000, 2020","NT, NT, LC","0.2, 0.2, 0",stable,-0.0103
39363,global,"2009, 2000, 2015","LC, VU, LC","0, 0.4, 0",unknown,-0.02807
39365,global,"2009, 2000, 2020","NT, NT, EN","0.2, 0.2, 0.6",decreasing,0.0206
39367,global,"2009, 2000, 2021","EN, EN, CR","0.6, 0.6, 0.8",decreasing,0.00991
39368,global,"2020, 2009, 2000","VU, NT, NT","0.4, 0.2, 0.2",decreasing,0.0103
39369,global,"2003, 2021","CR, CR","0.8, 0.8",unknown,0
39370,global,"2016, 2009, 2000, 2017, 2021","NT, NT, LC, VU, VU","0.2, 0.2, 0, 0.4, 0.4",decreasing,0.01859
39371,arabian_sea,"2000, 2009, 2017","VU, VU, EN","0.4, 0.4, 0.6",decreasing,0.01152
39371,global,"2009, 2000, 2017","VU, VU, EN","0.4, 0.4, 0.6",decreasing,0.01152
39372,global,"2021, 2009, 2000","VU, NT, NT","0.4, 0.2, 0.2",decreasing,0.00991
39374,global,"2019, 2006, 2015","CR, VU, VU","0.8, 0.4, 0.4",decreasing,0.02556
39375,global,"2009, 2000, 2020","NT, NT, VU","0.2, 0.2, 0.4",decreasing,0.0103
39378,global,"2019, 2009, 2000","NT, NT, NT","0.2, 0.2, 0.2",decreasing,0
39379,global,"2009, 2000, 2021","EN, EN, VU","0.6, 0.6, 0.4",decreasing,-0.00991
39380,global,"2021, 2009, 2000, 2015","VU, NT, NT, NT","0.4, 0.2, 0.2, 0.2",decreasing,0.0081
39381,global,"2019, 2009, 2000","NT, NT, NT","0.2, 0.2, 0.2",decreasing,0
39382,global,"2009, 2000, 2021","LC, LC, LC","0, 0, 0",increasing,0
39384,global,"2009, 2000, 2020","NT, NT, VU","0.2, 0.2, 0.4",decreasing,0.0103
39385,global,"2019, 2009, 2000","CR, EN, NT","0.8, 0.6, 0.2",decreasing,0.03137
39386,global,"2019, 2007","CR, EN","0.8, 0.6",decreasing,0.01667
39387,global,"2016, 2005, 2000, 2020, 2021","LC, LC, LC, EN, EN","0, 0, 0, 0.6, 0.6",decreasing,0.02752
39388,global,"2019, 2009, 2000","VU, VU, NT","0.4, 0.4, 0.2",decreasing,0.01033
39389,global,"2006, 2013, 2023","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00137
39390,global,"2006, 2013, 2022","CR, EN, CR","0.8, 0.6, 0.8",decreasing,0.00104
39393,global,"2006, 2013, 2022","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
39394,global,"2006, 2019","VU, CR","0.4, 0.8",decreasing,0.03077
39396,global,"2005, 2000, 2015","LC, LC, LC","0, 0, 0",unknown,0
39399,europe,"2015, 2016","NT, NT","0.2, 0.2",stable,0
39399,global,"2005, 2000, 2016, 2024","NT, NT, NT, NT","0.2, 0.2, 0.2, 0.2",decreasing,0
39400,global,"2009, 2000","NT, NT","0.2, 0.2",decreasing,-0
39413,global,"2005, 2000, 2016, 2024","VU, VU, VU, EN","0.4, 0.4, 0.4, 0.6",decreasing,0.00727
39414,global,"2009, 2000, 2016, 2021","EN, EN, EN, CR","0.6, 0.6, 0.6, 0.8",decreasing,0.00763
39416,global,"2006, 2015","LC, LC","0, 0",unknown,0
39771,global,"2003, 2020","EN, LC","0.6, 0",increasing,-0.03529
39773,global,"2008, 2018","LC, LC","0, 0",stable,0
