iucn_sid,pop_trend,iucn_version,iucn_rgn
39341,Decreasing,2025-1,global
39352,Decreasing,2025-1,global
39359,Decreasing,2025-1,global
39368,Decreasing,2025-1,global
39372,Decreasing,2025-1,global
39374,Decreasing,2025-1,global
39378,Decreasing,2025-1,global
39380,Decreasing,2025-1,global
39381,Decreasing,2025-1,global
39385,Decreasing,2025-1,global
39386,Decreasing,2025-1,global
39388,Decreasing,2025-1,global
41064,Decreasing,2025-1,global
41741,Decreasing,2025-1,global
41755,Decreasing,2025-1,mediterranean
41801,Decreasing,2025-1,global
41823,Decreasing,2025-1,global
152781967,Decreasing,2025-1,global
44577,Decreasing,2025-1,global
44578,Decreasing,2025-1,global
44581,Decreasing,2025-1,global
44586,Decreasing,2025-1,global
44587,Decreasing,2025-1,global
44595,Decreasing,2025-1,global
44597,Decreasing,2025-1,global
44598,Decreasing,2025-1,global
44642,Decreasing,2025-1,global
44644,Decreasing,2025-1,global
44656,Decreasing,2025-1,global
44666,Decreasing,2025-1,global
44674,Decreasing,2025-1,global
152784762,Decreasing,2025-1,global
60128,Decreasing,2025-1,global
60135,Decreasing,2025-1,global
60154,Decreasing,2025-1,global
60159,Decreasing,2025-1,global
60161,Decreasing,2025-1,global
60201,Decreasing,2025-1,global
60202,Decreasing,2025-1,global
60203,Decreasing,2025-1,global
60204,Decreasing,2025-1,global
60217,Decreasing,2025-1,global
60218,Decreasing,2025-1,global
60219,Decreasing,2025-1,global
144136822,Decreasing,2025-1,global
144141186,Decreasing,2025-1,global
60225,Decreasing,2025-1,global
61398,Decreasing,2025-1,global
61407,Decreasing,2025-1,global
61419,Decreasing,2025-1,global
62222,Decreasing,2025-1,global
6229,Decreasing,2025-1,global
63107,Decreasing,2025-1,global
63109,Decreasing,2025-1,global
63110,Decreasing,2025-1,global
63116,Decreasing,2025-1,global
63124,Decreasing,2025-1,global
63144,Decreasing,2025-1,global
63151,Decreasing,2025-1,global
104065040,Decreasing,2025-1,global
63153,Decreasing,2025-1,global
63157,Decreasing,2025-1,global
8813,Decreasing,2025-1,global
8817,Decreasing,2025-1,global
908,Decreasing,2025-1,global
908,Decreasing,2025-1,caribbean
908,Decreasing,2025-1,gulf_of mexico
11534,Decreasing,2025-1,global
12419,Decreasing,2025-1,mediterranean
132722,Decreasing,2025-1,mediterranean
135525,Decreasing,2025-1,mediterranean
135606,Decreasing,2025-1,mediterranean
135690,Decreasing,2025-1,mediterranean
13653,Decreasing,2025-1,mediterranean
14264,Decreasing,2025-1,global
14264,Decreasing,2025-1,pan-africa
14264,Decreasing,2025-1,s._africa fw
153538,Decreasing,2025-1,global
154627,Decreasing,2025-1,global
154742,Decreasing,2025-1,global
154877,Decreasing,2025-1,global
155318,Decreasing,2025-1,global
164116,Decreasing,2025-1,mediterranean
164375,Decreasing,2025-1,europe
164508,Decreasing,2025-1,pan-africa
164508,Decreasing,2025-1,mediterranean
165631,Decreasing,2025-1,global
165657,Decreasing,2025-1,global
165689,Decreasing,2025-1,global
165692,Decreasing,2025-1,global
